energy_ev,total_up,Hg_p_up,Hg_d_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.48341071,0.32448019,0.21859693,0.28340162,0.49160491,0.00097611,0.10804429,0.03361095,0.62546486
-5.99399700,1.55362808,0.33258029,0.22428337,0.29730504,0.52232183,0.00109025,0.11061125,0.03567384,0.65933836
-5.98799400,1.62077957,0.33965794,0.22977331,0.31068795,0.55205673,0.00122453,0.11282930,0.03766487,0.69169068
-5.98199100,1.68403888,0.34559368,0.23504582,0.32338478,0.58044097,0.00138072,0.11465782,0.03956093,0.72207552
-5.97598799,1.74263013,0.35027907,0.24008804,0.33524442,0.60711609,0.00156098,0.11606057,0.04134002,0.75006847
-5.96998499,1.79584666,0.35362004,0.24489455,0.34613498,0.63174206,0.00176773,0.11700674,0.04298169,0.77527845
-5.96398199,1.84306879,0.35554037,0.24946678,0.35594822,0.65400506,0.00200367,0.11747200,0.04446750,0.79735864
-5.95797899,1.88377954,0.35598483,0.25381222,0.36460335,0.67362457,0.00227166,0.11743943,0.04578147,0.81601623
-5.95197599,1.91757758,0.35492213,0.25794367,0.37204991,0.69035946,0.00257459,0.11690039,0.04691031,0.83102064
-5.94597299,1.94418653,0.35234707,0.26187818,0.37826965,0.70401292,0.00291531,0.11585512,0.04784370,0.84220970
-5.93996998,1.96346013,0.34828206,0.26563595,0.38327700,0.71443609,0.00329647,0.11431312,0.04857439,0.84949362
-5.93396698,1.97538302,0.34277757,0.26923896,0.38711822,0.72153027,0.00372034,0.11229320,0.04909823,0.85285632
-5.92796398,1.98006688,0.33591166,0.27270945,0.38986916,0.72524769,0.00418871,0.10982317,0.04941413,0.85235432
-5.92196098,1.97774229,0.32778832,0.27606835,0.39163158,0.72559095,0.00470266,0.10693929,0.04952395,0.84811305
-5.91595798,1.96874662,0.31853493,0.27933352,0.39252837,0.72261121,0.00526245,0.10368524,0.04943224,0.84032094
-5.90995498,1.95350867,0.30829864,0.28251816,0.39269773,0.71640527,0.00586738,0.10011097,0.04914605,0.82922146
-5.90395198,1.93253080,0.29724208,0.28562918,0.39228670,0.70711169,0.00651564,0.09627118,0.04867463,0.81510369
-5.89794897,1.90636967,0.28553852,0.28866594,0.39144432,0.69490625,0.00720428,0.09222369,0.04802909,0.79829174
