energy_ev,total_up,Hg_p_up,Hg_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-6.00000000,1.79197705,0.31052548,0.64057160,0.07961228,0.09829478,0.06514423,0.67728925
-5.99399700,1.79613872,0.31513583,0.65140856,0.08187694,0.09928839,0.06793266,0.65896835
-5.98799400,1.80241942,0.32028111,0.66270402,0.08421371,0.10056849,0.07065527,0.64227505
-5.98199100,1.81042745,0.32584691,0.67420122,0.08657454,0.10210883,0.07327685,0.62730442
-5.97598799,1.81979116,0.33172637,0.68565893,0.08891666,0.10388384,0.07576603,0.61412361
-5.96998499,1.83018256,0.33782522,0.69686116,0.09120419,0.10586982,0.07809639,0.60277866
-5.96398199,1.84133853,0.34406634,0.70762582,0.09340962,0.10804591,0.08024746,0.59330139
-5.95797899,1.85307866,0.35039357,0.71781207,0.09551487,0.11039489,0.08220556,0.58571570
-5.95197599,1.86531840,0.35677461,0.72732577,0.09751209,0.11290374,0.08396439,0.58004303
-5.94597299,1.87807692,0.36320281,0.73612278,0.09940405,0.11556392,0.08552532,0.57630629
-5.93996998,1.89147894,0.36969776,0.74421000,0.10120405,0.11837131,0.08689751,0.57453230
-5.93396698,1.90575028,0.37630458,0.75164371,0.10293546,0.12132590,0.08809759,0.57475222
-5.92796398,1.92120720,0.38309188,0.75852554,0.10463074,0.12443120,0.08914911,0.57700026
-5.92196098,1.93823974,0.39014849,0.76499595,0.10633007,0.12769334,0.09008173,0.58131044
-5.91595798,1.95728993,0.39757896,0.77122561,0.10807963,0.13111999,0.09093003,0.58771184
-5.90995498,1.97882561,0.40549809,0.77740499,0.10992945,0.13471911,0.09173225,0.59622257
-5.90395198,2.00331139,0.41402465,0.78373260,0.11193114,0.13849754,0.09252873,0.60684285
-5.89794897,2.03117779,0.42327455,0.79040263,0.11413538,0.14245963,0.09336032,0.61954775
-5.89194597,2.06279047,0.43335383,0.79759227,0.11658936,0.14660584,0.09426669,0.63428013
-5.88594297,2.09842087,0.44435164,0.80544972,0.11933437,0.15093150,0.09528476,0.65094420
-5.87993997,2.13821994,0.45633374,0.81408318,0.12240340,0.15542573,0.09644711,0.66940031
-5.87393697,2.18219634,0.46933662,0.82355167,0.12581912,0.16007064,0.09778067,0.68946146
-5.86793397,2.23020038,0.48336274,0.83385795,0.12959221,0.16484078,0.09930557,0.71089167
