energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Mn_p_up,Mn_d_up,Se_s_up,Se_p_up
-6.00000000,1.64000191,0.04512459,0.01377389,0.28998206,0.20389549,0.29818412,0.29033190,0.10472307,0.84335455
-5.99399700,1.84738596,0.05056491,0.01608003,0.32822750,0.22972435,0.33871254,0.32581532,0.11709064,0.94910343
-5.98799400,2.06880360,0.05633113,0.01868091,0.36940442,0.25727093,0.38259219,0.36359035,0.13005580,1.06180309
-5.98199100,2.30311633,0.06239172,0.02159660,0.41338150,0.28641058,0.42974741,0.40339673,0.14349703,1.18080436
-5.97598799,2.54889294,0.06871102,0.02484530,0.45997497,0.31698594,0.48005012,0.44492293,0.15727163,1.30530205
-5.96998499,2.80442178,0.07525058,0.02844265,0.50894847,0.34880924,0.53331870,0.48780890,0.17121763,1.43434177
-5.96398199,3.06773371,0.08197080,0.03240088,0.56001450,0.38166597,0.58931852,0.53165084,0.18515656,1.56683247
-5.95797899,3.33663521,0.08883278,0.03672805,0.61283737,0.41531954,0.64776390,0.57600798,0.19889709,1.70156461
-5.95197599,3.60875096,0.09580032,0.04142716,0.66703770,0.44951703,0.70832172,0.62041127,0.21223940,1.83723360
-5.94597299,3.88157434,0.10284199,0.04649539,0.72219820,0.48399558,0.77061645,0.66437353,0.22498016,1.97246757
-5.93996998,4.15252393,0.10993301,0.05192333,0.77787066,0.51848925,0.83423650,0.70740080,0.23691798,2.10585873
-5.93396698,4.41900374,0.11705702,0.05769432,0.83358383,0.55273600,0.89874159,0.74900439,0.24785906,2.23599685
-5.92796398,4.67846463,0.12420734,0.06378392,0.88885188,0.58648435,0.96367106,0.78871304,0.25762283,2.36150366
-5.92196098,4.92846422,0.13138787,0.07015952,0.94318325,0.61949951,1.02855246,0.82608480,0.26604740,2.48106668
-5.91595798,5.16672251,0.13861324,0.07678025,0.99608936,0.65156849,1.09291041,0.86071793,0.27299446,2.59347091
-5.90995498,5.39117085,0.14590836,0.08359695,1.04709314,0.68250399,1.15627510,0.89226050,0.27835348,2.69762714
-5.90395198,5.59999200,0.15330717,0.09055260,1.09573685,0.71214686,1.21819019,0.92041804,0.28204507,2.79259550
-5.89794897,5.79164959,0.16085058,0.09758281,1.14158915,0.74036683,1.27821976,0.94495916,0.28402318,2.87760339
-5.89194597,5.96490583,0.16858379,0.10461676,1.18425110,0.76706174,1.33595403,0.96571868,0.28427624,2.95205687
-5.88594297,6.11882701,0.17655286,0.11157828,1.22336107,0.79215497,1.39101352,0.98259835,0.28282704,3.01554534
-5.87993997,6.25277689,0.18480087,0.11838722,1.25859842,0.81559161,1.44305171,0.99556503,0.27973145,3.06783934
-5.87393697,6.36639887,0.19336364,0.12496099,1.28968599,0.83733323,1.49175599,1.00464672,0.27507600,3.10888177
-5.86793397,6.45958842,0.20226546,0.13121631,1.31639151,0.85735200,1.53684702,1.00992644,0.26897449,3.13877334
-5.86193097,6.53245772,0.21151486,0.13707100,1.33852788,0.87562418,1.57807665,1.01153460,0.26156380,3.15775302
-5.85592796,6.58529490,0.22110082,0.14244583,1.35595270,0.89212368,1.61522471,1.00964016,0.25299901,3.16617490
-5.84992496,6.61852055,0.23098953,0.14726641,1.36856702,0.90681608,1.64809491,1.00444112,0.24344827,3.16448257
-5.84392196,6.63264422,0.24112215,0.15146488,1.37631360,0.91965352,1.67651038,0.99615494,0.23308738,3.15318275
-5.83791896,6.62822367,0.25141350,0.15498154,1.37917492,0.93057082,1.70030920,0.98500922,0.22209457,3.13281936
-5.83191596,6.60582911,0.26175204,0.15776625,1.37717098,0.93948334,1.71934050,0.97123332,0.21064553,3.10394966
-5.82591296,6.56601466,0.27200120,0.15977956,1.37035715,0.94628656,1.73346148,0.95505111,0.19890891,3.06712340
-5.81990995,6.50929849,0.28200194,0.16099358,1.35882227,0.95085765,1.74253578,0.93667526,0.18704255,3.02286615
-5.81390695,6.43615253,0.29157669,0.16139255,1.34268687,0.95305905,1.74643355,0.91630325,0.17519032,2.97166739
-5.80790395,6.34700212,0.30053445,0.16097304,1.32210179,0.95274377,1.74503337,0.89411510,0.16347986,2.91397380
-5.80190095,6.24223515,0.30867683,0.15974389,1.29724703,0.94976238,1.73822606,0.87027290,0.15202117,2.85018772
-5.79589795,6.12221979,0.31580486,0.15772587,1.26833093,0.94397113,1.72592034,0.84492192,0.14090584,2.78067053
-5.78989495,5.98732909,0.32172620,0.15495096,1.23558950,0.93524093,1.70805010,0.81819311,0.13020722,2.70575039
-5.78389195,5.83797069,0.32626245,0.15146149,1.19928582,0.92346657,1.68458284,0.79020663,0.11998105,2.62573346
-5.77788894,5.67461912,0.32925625,0.14730906,1.15970944,0.90857574,1.65552874,0.76107618,0.11026677,2.54091761
-5.77188594,5.49784833,0.33057773,0.14255324,1.11717550,0.89053728,1.62094995,0.73091364,0.10108910,2.45160743
-5.76588294,5.30836206,0.33013015,0.13726026,1.07202366,0.86936819,1.58096917,0.69983371,0.09245998,2.35812942
-5.75987994,5.10701964,0.32785429,0.13150148,1.02461638,0.84513899,1.53577715,0.66795820,0.08438066,2.26084612
-5.75387694,4.89485534,0.32373150,0.12535200,0.97533687,0.81797709,1.48563822,0.63541966,0.07684375,2.16016830
-5.74787394,4.67308980,0.31778528,0.11888912,0.92458620,0.78806795,1.43089358,0.60236413,0.06983531,2.05656409
-5.74187094,4.44313237,0.31008126,0.11219094,0.87277991,0.75565395,1.37196174,0.56895281,0.06333672,1.95056468
-5.73586793,4.20657425,0.30072558,0.10533504,0.82034392,0.72103098,1.30933609,0.53536263,0.05732632,1.84276603
-5.72986493,3.96517226,0.28986194,0.09839714,0.76770991,0.68454295,1.24357935,0.50178564,0.05178095,1.73382651
-5.72386193,3.72082436,0.27766727,0.09145005,0.71531023,0.64657445,1.17531517,0.46842744,0.04667704,1.62446076
-5.71785893,3.47553794,0.26434641,0.08456263,0.66357254,0.60754188,1.10521714,0.43550454,0.04199155,1.51542996
-5.71185593,3.23139266,0.25012595,0.07779895,0.61291434,0.56788368,1.03399572,0.40324117,0.03770266,1.40752931
-5.70585293,2.99049974,0.23524765,0.07121762,0.56373752,0.52804979,0.96238371,0.37186541,0.03379016,1.30157345
-5.69984992,2.75495985,0.21996162,0.06487128,0.51642331,0.48849117,0.89112084,0.34160528,0.03023572,1.19838054
-5.69384692,2.52682158,0.20451960,0.05880626,0.47132755,0.44964960,0.82093841,0.31268457,0.02702293,1.09875618
-5.68784392,2.30804251,0.18916868,0.05306244,0.42877670,0.41194825,0.75254441,0.28531912,0.02413726,1.00347771
-5.68184092,2.10045453,0.17414546,0.04767322,0.38906455,0.37578345,0.68661011,0.25971333,0.02156591,0.91327984
-5.67583792,1.90573465,0.15967115,0.04266573,0.35244977,0.34151774,0.62375826,0.23605728,0.01929759,0.82884228
-5.66983492,1.72538231,0.14594740,0.03806114,0.31915426,0.30947457,0.56455374,0.21452446,0.01732227,0.75077959
-5.66383192,1.56070345,0.13315313,0.03387507,0.28936243,0.27993449,0.50949653,0.19527020,0.01563090,0.67963376
-5.65782891,1.41280144,0.12144233,0.03011820,0.26322117,0.25313304,0.45901733,0.17843069,0.01421513,0.61586943
-5.65182591,1.28257432,0.11094266,0.02679688,0.24084042,0.22926007,0.41347566,0.16412259,0.01306706,0.55987157
-5.64582291,1.17071748,0.10175497,0.02391385,0.22229437,0.20846033,0.37316016,0.15244310,0.01217894,0.51194551
-5.63981991,1.07773075,0.09395343,0.02146898,0.20762284,0.19083511,0.33829088,0.14347035,0.01154293,0.47231862
-5.63381691,1.00392858,0.08758627,0.01946001,0.19683295,0.17644465,0.30902287,0.13726389,0.01115085,0.44114330
-5.62781391,0.94945182,0.08267690,0.01788324,0.18990072,0.16531113,0.28545084,0.13386525,0.01099397,0.41850071
-5.62181091,0.91427996,0.07922534,0.01673423,0.18677260,0.15742172,0.26761413,0.13329825,0.01106275,0.40440450
-5.61580790,0.89824243,0.07720984,0.01600830,0.18736670,0.15273177,0.25550164,0.13556904,0.01134665,0.39880424
-5.60980490,0.90102805,0.07658846,0.01570105,0.19157378,0.15116767,0.24905617,0.14066572,0.01183395,0.40158795
-5.60380190,0.92219187,0.07730075,0.01580863,0.19925790,0.15262938,0.24817793,0.14855754,0.01251154,0.41258359
-5.59779890,0.96115900,0.07926933,0.01632796,0.21025679,0.15699245,0.25272687,0.15919358,0.01336477,0.43155914
-5.59179590,1.01722542,0.08240141,0.01725666,0.22438194,0.16410959,0.26252381,0.17250098,0.01437738,0.45822153
-5.58579290,1.08955593,0.08659020,0.01859294,0.24141865,0.17381168,0.27735030,0.18838291,0.01553140,0.49221433
-5.57978989,1.17717999,0.09171635,0.02033521,0.26112602,0.18590851,0.29694754,0.20671621,0.01680711,0.53311464
-5.57378689,1.27898611,0.09764940,0.02248163,0.28323710,0.20018910,0.32101440,0.22734904,0.01818316,0.58042960
-5.56778389,1.39371610,0.10424924,0.02502935,0.30745940,0.21642202,0.34920523,0.25009871,0.01963661,0.63359302
-5.56178089,1.51996025,0.11136774,0.02797380,0.33347581,0.23435573,0.38112757,0.27474977,0.02114317,0.69196269
-5.55577789,1.65615471,0.11885055,0.03130774,0.36094609,0.25371915,0.41634065,0.30105284,0.02267743,0.75481917
-5.54977489,1.80058241,0.12653904,0.03502035,0.38950914,0.27422267,0.45435488,0.32872409,0.02421323,0.82136634
-5.54377189,1.95137867,0.13427252,0.03909620,0.41878599,0.29555973,0.49463301,0.35744588,0.02572407,0.89073467
-5.53776888,2.10654229,0.14189063,0.04351437,0.44838355,0.31740910,0.53659330,0.38686841,0.02718349,0.96198730
-5.53176588,2.26395312,0.14923595,0.04824758,0.47789934,0.33943794,0.57961508,0.41661277,0.02856568,1.03412941
