energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,3.66306887,0.01916426,0.71229136,0.38236255,0.23422575,2.27927049,1.41296865,1.30800009,0.00000000
-5.99399700,3.71012337,0.01910782,0.72833368,0.39353321,0.23308556,2.36664632,1.42924307,1.32118231,0.00000000
-5.98799400,3.77001573,0.01915015,0.74498030,0.40680124,0.23330172,2.46030530,1.44828204,1.34129485,0.00000000
-5.98199100,3.84250718,0.01930041,0.76212180,0.42224871,0.23488026,2.55958550,1.46988141,1.36834225,0.00000000
-5.97598799,3.92722187,0.01956872,0.77964552,0.43994972,0.23780891,2.66371337,1.49380961,1.40225112,0.00000000
-5.96998499,4.02365434,0.01996585,0.79743765,0.45996505,0.24205735,2.77181262,1.51981776,1.44287003,0.00000000
-5.96398199,4.13117663,0.02050278,0.81538508,0.48233657,0.24757764,2.88291450,1.54764894,1.48996991,0.00000000
-5.95797899,4.24904524,0.02119033,0.83337662,0.50708192,0.25430490,2.99596966,1.57704614,1.54324508,0.00000000
-5.95197599,4.37640805,0.02203864,0.85130396,0.53418958,0.26215827,3.10986136,1.60775862,1.60231526,0.00000000
-5.94597299,4.51231163,0.02305668,0.86906203,0.56361474,0.27104215,3.22342027,1.63954653,1.66672863,0.00000000
-5.93996998,4.65570951,0.02425173,0.88654916,0.59527617,0.28084783,3.33544095,1.67218369,1.73596633,0.00000000
-5.93396698,4.80547197,0.02562891,0.90366696,0.62905431,0.29145539,3.44469986,1.70545889,1.80944865,0.00000000
-5.92796398,4.96039783,0.02719068,0.92032014,0.66479081,0.30273609,3.54997510,1.73917567,1.88654290,0.00000000
-5.92196098,5.11922861,0.02893646,0.93641636,0.70228944,0.31455491,3.65006750,1.77315113,1.96657310,0.00000000
-5.91595798,5.28066519,0.03086228,0.95186622,0.74131852,0.32677353,3.74382292,1.80721401,2.04883135,0.00000000
-5.90995498,5.44338693,0.03296049,0.96658356,0.78161466,0.33925334,3.83015521,1.84120250,2.13259056,0.00000000
-5.90395198,5.60607262,0.03521963,0.98048605,0.82288769,0.35185861,3.90806926,1.87496210,2.21711815,0.00000000
-5.89794897,5.76742279,0.03762438,0.99349618,0.86482647,0.36445949,3.97668341,1.90834394,2.30169003,0.00000000
-5.89194597,5.92618228,0.04015556,1.00554263,0.90710536,0.37693481,4.03525038,1.94120379,2.38560442,0.00000000
-5.88594297,6.08116197,0.04279038,1.01656192,0.94939080,0.38917447,4.08317572,1.97340186,2.46819444,0.00000000
-5.87993997,6.23125843,0.04550266,1.02650037,0.99134790,0.40108122,4.12003309,2.00480366,2.54883903,0.00000000
-5.87393697,6.37547034,0.04826328,1.03531616,1.03264644,0.41257184,4.14557535,2.03528165,2.62697136,0.00000000
-5.86793397,6.51291058,0.05104062,1.04298137,1.07296617,0.42357745,4.15974094,2.06471778,2.70208422,0.00000000
-5.86193097,6.64281314,0.05380116,1.04948393,1.11200098,0.43404311,4.16265502,2.09300665,2.77373204,0.00000000
-5.85592796,6.76453444,0.05651012,1.05482929,1.14946195,0.44392653,4.15462512,2.12005898,2.84152942,0.00000000
-5.84992496,6.87754891,0.05913213,1.05904163,1.18507907,0.45319612,4.13613149,2.14580523,2.90514622,0.00000000
-5.84392196,6.98143920,0.06163198,1.06216459,1.21860179,0.46182834,4.10781229,2.17019892,2.96429967,0.00000000
-5.83791896,7.07588193,0.06397531,1.06426144,1.24979846,0.46980476,4.07044441,2.19321950,3.01874413,0.00000000
-5.83191596,7.16062993,0.06612937,1.06541454,1.27845495,0.47710876,4.02492079,2.21487442,3.06825935,0.00000000
-5.82591296,7.23549270,0.06806369,1.06572422,1.30437274,0.48372242,3.97222510,2.23520024,3.11263819,0.00000000
-5.81990995,7.30031675,0.06975076,1.06530696,1.32736681,0.48962356,3.91340518,2.25426260,3.15167505,0.00000000
-5.81390695,7.35496739,0.07116659,1.06429308,1.34726379,0.49478347,3.84954629,2.27215500,3.18515596,0.00000000
