energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up
3.82691346,4.65714480,0.63894958,4.20810208,0.06053403,0.63784618,0.05799295,0.51434672
3.83291646,4.62236972,0.63785401,4.17550471,0.06219238,0.63804871,0.05872481,0.50626249
3.83891946,4.58528792,0.63593890,4.14051582,0.06397507,0.63677052,0.05967560,0.49821000
3.84492246,4.54665015,0.63333144,4.10377709,0.06588682,0.63405534,0.06085678,0.49028335
3.85092546,4.50707412,0.63015140,4.06581756,0.06792986,0.62995427,0.06227306,0.48255331
3.85692846,4.46705218,0.62650914,4.02706406,0.07010409,0.62452710,0.06392218,0.47506806
3.86293147,4.42696572,0.62250419,3.98785760,0.07240720,0.61784405,0.06579490,0.46785498
3.86893447,4.38710489,0.61822454,3.94847439,0.07483488,0.60998774,0.06787520,0.46092304
3.87493747,4.34769199,0.61374637,3.90914973,0.07738086,0.60105519,0.07014065,0.45426588
3.88094047,4.30890673,0.60913425,3.87010295,0.08003696,0.59115960,0.07256298,0.44786529
3.88694347,4.27091145,0.60444174,3.83156148,0.08279302,0.58043174,0.07510877,0.44169489
3.89294647,4.23387446,0.59971222,3.79378230,0.08563679,0.56902073,0.07774029,0.43572380
3.89894947,4.19798994,0.59498002,3.75706907,0.08855370,0.55709392,0.08041648,0.42992020
3.90495248,4.16349311,0.59027167,3.72178387,0.09152672,0.54483583,0.08309393,0.42425453
3.91095548,4.13066954,0.58560728,3.68835245,0.09453615,0.53244607,0.08572799,0.41870221
3.91695848,4.09985849,0.58100216,3.65726281,0.09755949,0.52013606,0.08827386,0.41324583
3.92296148,4.07144990,0.57646855,3.62905707,0.10057151,0.50812487,0.09068766,0.40787668
3.92896448,4.04587581,0.57201764,3.60431733,0.10354441,0.49663398,0.09292753,0.40259567
3.93496748,4.02359698,0.56766181,3.58364647,0.10644824,0.48588143,0.09495464,0.39741367
3.94097049,4.00508608,0.56341727,3.56764543,0.10925161,0.47607551,0.09673411,0.39235123
3.94697349,3.99080895,0.55930699,3.55688855,0.11192261,0.46740815,0.09823588,0.38743796
3.95297649,3.98120559,0.55536397,3.55189893,0.11443006,0.46004862,0.09943547,0.38271148
3.95897949,3.97667264,0.55163490,3.55312562,0.11674492,0.45413759,0.10031465,0.37821627
3.96498249,3.97754878,0.54818377,3.56092436,0.11884198,0.44978200,0.10086191,0.37400238
3.97098549,3.98410448,0.54509573,3.57554342,0.12070157,0.44705100,0.10107294,0.37012420
3.97698849,3.99653678,0.54248049,3.59711555,0.12231136,0.44597318,0.10095079,0.36663940
3.98299150,4.01496981,0.54047538,3.62565686,0.12366805,0.44653528,0.10050604,0.36360807
3.98899450,4.03946079,0.53924745,3.66107248,0.12477882,0.44868235,0.09975674,0.36109202
3.99499750,4.07001108,0.53899450,3.70316893,0.12566257,0.45231953,0.09872819,0.35915439
4.00100050,4.10658126,0.53994460,3.75167197,0.12635061,0.45731532,0.09745255,0.35785940
4.00700350,4.14910871,0.54235382,3.80624881,0.12688694,0.46350603,0.09596832,0.35727220
4.01300650,4.19752616,0.54650194,3.86653279,0.12732793,0.47070149,0.09431958,0.35745872
4.01900950,4.25177925,0.55268605,3.93214872,0.12774132,0.47869142,0.09255512,0.35848544
4.02501251,4.31184122,0.56121193,4.00273681,0.12820469,0.48725243,0.09072741,0.36041885
4.03101551,4.37772311,0.57238336,4.07797325,0.12880326,0.49615509,0.08889136,0.36332467
4.03701851,4.44947808,0.58648954,4.15758587,0.12962714,0.50517092,0.08710307,0.36726665
4.04302151,4.52719884,0.60379103,4.24136348,0.13076820,0.51407889,0.08541838,0.37230481
4.04902451,4.61100782,0.62450479,4.32915818,0.13231653,0.52267117,0.08389143,0.37849338
4.05502751,4.70104033,0.64878878,4.42088039,0.13435674,0.53075800,0.08257321,0.38587819
4.06103052,4.79742148,0.67672709,4.51648705,0.13696425,0.53817139,0.08151006,0.39449385
4.06703352,4.90023833,0.70831610,4.61596390,0.14020173,0.54476771,0.08074233,0.40436070
4.07303652,5.00950921,0.74345279,4.71930351,0.14411572,0.55042907,0.08030314,0.41548181
4.07903952,5.12515247,0.78192577,4.82648092,0.14873390,0.55506363,0.08021726,0.42784019
4.08504252,5.24695730,0.82340976,4.93742905,0.15406277,0.55860489,0.08050024,0.44139647
4.09104552,5.37455910,0.86746419,5.05201644,0.16008608,0.56101020,0.08115780,0.45608727
4.09704852,5.50742183,0.91353632,5.17002920,0.16676413,0.56225867,0.08218546,0.47182444
4.10305153,5.64482935,0.96096894,5.29115942,0.17403373,0.56234870,0.08356847,0.48849535
4.10905453,5.78588723,1.00901289,5.41500124,0.18180914,0.56129537,0.08528206,0.50596438
4.11505753,5.92953581,1.05684396,5.54105559,0.18998375,0.55912789,0.08729195,0.52407553
4.12106053,6.07457449,1.10358368,5.66874366,0.19843252,0.55588732,0.08955519,0.54265630
