energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.99971936,0.04874182,0.03662172,0.31781272,0.45625026,0.06144504,0.69344083,0.26161802,1.32775932
-5.99399700,2.99737414,0.05046733,0.03832539,0.31690171,0.44747660,0.06022317,0.68808902,0.26854451,1.33189726
-5.98799400,2.98991756,0.05208078,0.04000225,0.31569500,0.43713594,0.05878862,0.68133472,0.27512245,1.33440921
-5.98199100,2.97667235,0.05355061,0.04162118,0.31411667,0.42539689,0.05715528,0.67316903,0.28119738,1.33473634
-5.97598799,2.95710790,0.05484725,0.04315160,0.31210274,0.41245634,0.05533949,0.66361241,0.28662223,1.33239619
-5.96998499,2.93085221,0.05594419,0.04456450,0.30960393,0.39853376,0.05335967,0.65271490,0.29126265,1.32699124
-5.96398199,2.89770147,0.05681901,0.04583345,0.30658792,0.38386530,0.05123591,0.64055587,0.29500206,1.31821629
-5.95797899,2.85762647,0.05745425,0.04693543,0.30304101,0.36869778,0.04898955,0.62724314,0.29774620,1.30586423
-5.95197599,2.81077512,0.05783817,0.04785166,0.29896905,0.35328284,0.04664281,0.61291145,0.29942692,1.28982980
-5.94597299,2.75747041,0.05796521,0.04856815,0.29439765,0.33787128,0.04421838,0.59772022,0.30000494,1.27011075
-5.93996998,2.69820343,0.05783632,0.04907613,0.28937152,0.32270781,0.04173906,0.58185059,0.29947162,1.24680627
-5.93396698,2.63362111,0.05745900,0.04937223,0.28395310,0.30802628,0.03922745,0.56550178,0.29784950,1.22011238
-5.92796398,2.56450884,0.05684709,0.04945842,0.27822041,0.29404540,0.03670560,0.54888682,0.29519160,1.19031428
-5.92196098,2.49176829,0.05602029,0.04934182,0.27226441,0.28096513,0.03419472,0.53222763,0.29157960,1.15777588
-5.91595798,2.41639101,0.05500354,0.04903420,0.26618577,0.26896351,0.03171492,0.51574982,0.28712093,1.12292670
-5.90995498,2.33942889,0.05382609,0.04855143,0.26009143,0.25819425,0.02928498,0.49967718,0.28194488,1.08624679
-5.90395198,2.26196243,0.05252050,0.04791272,0.25409104,0.24878475,0.02692216,0.48422609,0.27619800,1.04825000
-5.89794897,2.18506834,0.05112148,0.04713982,0.24829347,0.24083477,0.02464197,0.46960016,0.27003906,1.00946661
-5.89194597,2.10978769,0.04966471,0.04625619,0.24280362,0.23441570,0.02245810,0.45598531,0.26363367,0.97042587
-5.88594297,2.03709621,0.04818561,0.04528618,0.23771961,0.22957024,0.02038227,0.44354535,0.25714893,0.93163924
-5.87993997,1.96787782,0.04671818,0.04425424,0.23313065,0.22631272,0.01842420,0.43241854,0.25074840,0.89358510
-5.87393697,1.90290268,0.04529393,0.04318428,0.22911549,0.22462985,0.01659154,0.42271496,0.24458740,0.85669557
-5.86793397,1.84281065,0.04394091,0.04209909,0.22574159,0.22448200,0.01488994,0.41451512,0.23880909,0.82134592
-5.86193097,1.78810061,0.04268300,0.04101999,0.22306504,0.22580493,0.01332310,0.40786958,0.23354125,0.78784688
-5.85592796,1.73912590,0.04153927,0.03996650,0.22113113,0.22851187,0.01189282,0.40279975,0.22889394,0.75644015
-5.84992496,1.69609580,0.04052363,0.03895627,0.21997542,0.23249610,0.01059917,0.39929969,0.22495800,0.72729707
-5.84392196,1.65908257,0.03964468,0.03800502,0.21962526,0.23763379,0.00944063,0.39733880,0.22180444,0.70052022
-5.83791896,1.62803307,0.03890576,0.03712672,0.22010149,0.24378703,0.00841428,0.39686515,0.21948455,0.67614767
-5.83191596,1.60278423,0.03830519,0.03633365,0.22142013,0.25080718,0.00751595,0.39780931,0.21803066,0.65415950
