energy_ev,total_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up,Zn_p_up,Zn_d_up
-6.00000000,2.55660898,0.01468462,0.22093062,1.44207881,0.00000000,0.78660987,0.39289221,2.04178370,0.03199976
-5.99399700,2.57055920,0.01428558,0.22912626,1.43952635,0.00000000,0.77668321,0.39602087,2.02930486,0.03238743
-5.98799400,2.58041440,0.01387316,0.23727954,1.43448846,0.00000000,0.76596852,0.39878535,2.01314575,0.03270237
-5.98199100,2.58680298,0.01346066,0.24536636,1.42745650,0.00000000,0.75483415,0.40132073,1.99405037,0.03294705
-5.97598799,2.59039190,0.01306088,0.25335664,1.41895460,0.00000000,0.74364558,0.40376556,1.97280208,0.03312471
-5.96998499,2.59186287,0.01268567,0.26121363,1.40952359,0.00000000,0.73275535,0.40625611,1.95019986,0.03323918
-5.96398199,2.59188841,0.01234562,0.26889349,1.39970455,0.00000000,0.72249367,0.40892057,1.92703491,0.03329478
-5.95797899,2.59110874,0.01204970,0.27634503,1.39002263,0.00000000,0.71315978,0.41187339,1.90406818,0.03329611
-5.95197599,2.59010981,0.01180503,0.28350973,1.38097134,0.00000000,0.70501431,0.41521008,1.88200942,0.03324793
-5.94597299,2.58940349,0.01161665,0.29032211,1.37299781,0.00000000,0.69827291,0.41900255,1.86149820,0.03315500
-5.93996998,2.58940995,0.01148745,0.29671030,1.36648945,0.00000000,0.69310098,0.42329520,1.84308732,0.03302197
-5.93396698,2.59044308,0.01141808,0.30259700,1.36176206,0.00000000,0.68960988,0.42810201,1.82722877,0.03285321
-5.92796398,2.59269901,0.01140708,0.30790068,1.35905000,0.00000000,0.68785437,0.43340460,1.81426248,0.03265274
-5.92196098,2.59624818,0.01145093,0.31253712,1.35849833,0.00000000,0.68783153,0.43915144,1.80440802,0.03242409
-5.91595798,2.60103112,0.01154427,0.31642118,1.36015733,0.00000000,0.68948099,0.44525830,1.79775918,0.03217023
-5.90995498,2.60685802,0.01168017,0.31946881,1.36397950,0.00000000,0.69268655,0.45160979,1.79428165,0.03189351
-5.90395198,2.61341231,0.01185044,0.32159927,1.36981915,0.00000000,0.69727903,0.45806214,1.79381360,0.03159556
-5.89794897,2.62025807,0.01204597,0.32273746,1.37743467,0.00000000,0.70304047,0.46444697,1.79606942,0.03127730
-5.89194597,2.62685132,0.01225708,0.32281628,1.38649353,0.00000000,0.70970940,0.47057609,1.80064632,0.03093887
