energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Hf_p_up,Hf_d_up,Te_p_up,Te_d_up
-6.00000000,4.76044659,0.02427319,1.06114364,1.17495227,0.35252350,1.77450118,1.93426197,1.76027996,0.00000000
-5.99399700,4.88726530,0.02528495,1.09992049,1.18572983,0.36830585,1.81915420,2.00032627,1.78954572,0.00000000
-5.98799400,5.00509280,0.02633943,1.13462480,1.19629228,0.38375715,1.85990664,2.06008693,1.81792245,0.00000000
-5.98199100,5.11331185,0.02743404,1.16483074,1.20691585,0.39880454,1.89653043,2.11285000,1.84559311,0.00000000
-5.97598799,5.21148386,0.02856604,1.19019380,1.21786913,0.41338303,1.92887769,2.15804847,1.87275217,0.00000000
-5.96998499,5.29934291,0.02973246,1.21045874,1.22939945,0.42743484,1.95687893,2.19525501,1.89959120,0.00000000
-5.96398199,5.37678318,0.03092982,1.22546490,1.24171941,0.44090832,1.98053834,2.22419049,1.92628371,0.00000000
-5.95797899,5.44384085,0.03215398,1.23514878,1.25499409,0.45375667,1.99992647,2.24472792,1.95296994,0.00000000
-5.95197599,5.50067180,0.03339991,1.23954397,1.26932987,0.46593655,2.01517084,2.25689207,1.97974250,0.00000000
-5.94597299,5.54752665,0.03466157,1.23877840,1.28476499,0.47740668,2.02644505,2.26085470,2.00663366,0.00000000
-5.93996998,5.58472471,0.03593171,1.23306925,1.30126271,0.48812663,2.03395700,2.25692611,2.03360500,0.00000000
-5.93396698,5.61262844,0.03720183,1.22271567,1.31870733,0.49805579,2.03793701,2.24554324,2.06054016,0.00000000
-5.92796398,5.63161982,0.03846217,1.20808976,1.33690325,0.50715268,2.03862637,2.22725503,2.08724107,0.00000000
-5.92196098,5.64207986,0.03970170,1.18962604,1.35557742,0.51537466,2.03626687,2.20270576,2.11342798,0.00000000
-5.91595798,5.64437206,0.04090829,1.16780986,1.37438493,0.52267796,2.03109181,2.17261674,2.13874348,0.00000000
-5.90995498,5.63883030,0.04206888,1.14316509,1.39291769,0.52901814,2.02331880,2.13776718,2.16276020,0.00000000
-5.90395198,5.62575149,0.04316971,1.11624138,1.41071586,0.53435079,2.01314440,2.09897468,2.18499202,0.00000000
-5.89794897,5.60539250,0.04419667,1.08760132,1.42728149,0.53863261,2.00074085,2.05707580,2.20490830,0.00000000
-5.89194597,5.57797110,0.04513561,1.05780775,1.44209392,0.54182254,1.98625455,2.01290712,2.22195035,0.00000000
-5.88594297,5.54367014,0.04597274,1.02741148,1.45462629,0.54388312,1.96980624,1.96728706,2.23554953,0.00000000
-5.87993997,5.50264405,0.04669498,0.99693961,1.46436248,0.54478178,1.95149257,1.92099886,2.24514622,0.00000000
-5.87393697,5.45502694,0.04729039,0.96688456,1.47081379,0.54449213,1.93138875,1.87477472,2.25020875,0.00000000
-5.86793397,5.40094132,0.04774848,0.93769414,1.47353482,0.54299522,1.90955188,1.82928146,2.25025173,0.00000000
-5.86193097,5.34050691,0.04806050,0.90976262,1.47213799,0.54028060,1.88602477,1.78510787,2.24485298,0.00000000
-5.85592796,5.27384890,0.04821978,0.88342321,1.46630615,0.53634734,1.86083999,1.74275386,2.23366862,0.00000000
-5.84992496,5.20110551,0.04822184,0.85894183,1.45580298,0.53120497,1.83402387,1.70262173,2.21644596,0.00000000
-5.84392196,5.12243471,0.04806460,0.83651265,1.44048093,0.52487434,1.80560044,1.66500975,2.19303375,0.00000000
-5.83791896,5.03802034,0.04774840,0.81625528,1.42028655,0.51738850,1.77559532,1.63010835,2.16338996,0.00000000
-5.83191596,4.94807793,0.04727603,0.79821396,1.39526316,0.50879367,1.74403936,1.59799904,2.12758670,0.00000000
-5.82591296,4.85286059,0.04665271,0.78235883,1.36555101,0.49915023,1.71097249,1.56865646,2.08581282,0.00000000
-5.81990995,4.75266557,0.04588592,0.76858924,1.33138498,0.48853392,1.67644740,1.54195361,2.03837390,0.00000000
-5.81390695,4.64784169,0.04498534,0.75673930,1.29309012,0.47703708,1.64053366,1.51767028,1.98569025,0.00000000
-5.80790395,4.53879807,0.04396265,0.74658545,1.25107523,0.46477007,1.60332179,1.49550484,1.92829279,0.00000000
-5.80190095,4.42601412,0.04283136,0.73785607,1.20582478,0.45186268,1.56492779,1.47508899,1.86681728,0.00000000
-5.79589795,4.31005069,0.04160657,0.73024267,1.15788951,0.43846560,1.52549770,1.45600525,1.80199697,0.00000000
-5.78989495,4.19156184,0.04030484,0.72341261,1.10787587,0.42475162,1.48521218,1.43780671,1.73465377,0.00000000
-5.78389195,4.07130660,0.03894390,0.71702268,1.05643470,0.41091662,1.44429093,1.42003830,1.66568817,0.00000000
-5.77788894,3.95015975,0.03754251,0.71073321,1.00424926,0.39718020,1.40299648,1.40225882,1.59606780,0.00000000
-5.77188594,3.82912054,0.03612021,0.70422211,0.95202295,0.38378554,1.36163715,1.38406293,1.52681480,0.00000000
-5.76588294,3.70931803,0.03469709,0.69719824,0.90046675,0.37099870,1.32056870,1.36510195,1.45899180,0.00000000
-5.75987994,3.59201195,0.03329361,0.68941360,0.85028672,0.35910693,1.28019420,1.34510265,1.39368676,0.00000000
-5.75387694,3.47858778,0.03193030,0.68067369,0.80217159,0.34841599,1.24096192,1.32388299,1.33199636,0.00000000
-5.74787394,3.37054528,0.03062753,0.67084572,0.75678052,0.33924641,1.20336073,1.30136406,1.27500826,0.00000000
-5.74187094,3.26947952,0.02940520,0.65986406,0.71473142,0.33192858,1.16791298,1.27757747,1.22378214,0.00000000
-5.73586793,3.17705439,0.02828245,0.64773295,0.67658963,0.32679670,1.13516464,1.25266770,1.17932976,0.00000000
-5.72986493,3.09496836,0.02727730,0.63452598,0.64285745,0.32418171,1.10567280,1.22688925,1.14259430,0.00000000
-5.72386193,3.02491335,0.02640628,0.62038268,0.61396436,0.32440316,1.07999084,1.20059849,1.11442927,0.00000000
-5.71785893,2.96852738,0.02568409,0.60550216,0.59025840,0.32776036,1.05865153,1.17424047,1.09557751,0.00000000
-5.71185593,2.92734277,0.02512323,0.59013420,0.57199873,0.33452291,1.04214867,1.14833142,1.08665073,0.00000000
-5.70585293,2.90273144,0.02473356,0.57456816,0.55934960,0.34492093,1.03091803,1.12343741,1.08811020,0.00000000
-5.69984992,2.89584969,0.02452207,0.55912029,0.55237597,0.35913532,1.02531824,1.10015033,1.10024934,0.00000000
-5.69384692,2.90758460,0.02449247,0.54411997,0.55104099,0.37728841,1.02561265,1.07906220,1.12317879,0.00000000
-5.68784392,2.93850472,0.02464506,0.52989558,0.55520540,0.39943536,1.03195296,1.06073905,1.15681470,0.00000000
-5.68184092,2.98881745,0.02497645,0.51676058,0.56462923,0.42555672,1.04436556,1.04569539,1.20087098,0.00000000
-5.67583792,3.05833530,0.02547960,0.50500043,0.57897558,0.45555261,1.06274145,1.03437072,1.25485605,0.00000000
-5.66983492,3.14645326,0.02614376,0.49486102,0.59781688,0.48923876,1.08683026,1.02710885,1.31807455,0.00000000
-5.66383192,3.25213880,0.02695465,0.48653882,0.62064334,0.52634495,1.11623918,1.02414105,1.38963455,0.00000000
