energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,4.21772844,0.01464431,0.00000000,0.01316683,0.95881820,0.04828932,1.56357063,1.11119015,1.38409108
-5.99399700,4.21749115,0.01488165,0.00000000,0.01289015,0.95674907,0.04851835,1.56694952,1.10734658,1.38204360
-5.98799400,4.21039640,0.01510058,0.00000000,0.01259693,0.95364523,0.04868042,1.56708522,1.10211698,1.37833939
-5.98199100,4.19647086,0.01530140,0.00000000,0.01229322,0.94946779,0.04878709,1.56402976,1.09537839,1.37280070
-5.97598799,4.17598902,0.01548586,0.00000000,0.01198554,0.94422235,0.04885300,1.55793786,1.08708587,1.36531058
-5.96998499,4.14947156,0.01565716,0.00000000,0.01168069,0.93795860,0.04889560,1.54906712,1.07727272,1.35581623
-5.96398199,4.11767696,0.01581991,0.00000000,0.01138557,0.93076904,0.04893464,1.53777511,1.06604848,1.34433094
-5.95797899,4.08158631,0.01598011,0.00000000,0.01110695,0.92278680,0.04899166,1.52451315,1.05359458,1.33093454
-5.95197599,4.04238122,0.01614491,0.00000000,0.01085135,0.91418237,0.04908930,1.50981699,1.04015811,1.31577200
-5.94597299,4.00141531,0.01632248,0.00000000,0.01062479,0.90515942,0.04925067,1.49429446,1.02604344,1.29905020
-5.93996998,3.96017944,0.01652170,0.00000000,0.01043274,0.89594949,0.04949855,1.47861036,1.01160230,1.28103276
-5.93396698,3.92026142,0.01675185,0.00000000,0.01027990,0.88680571,0.04985461,1.46346898,0.99722218,1.26203291
-5.92796398,3.88330105,0.01702231,0.00000000,0.01017018,0.87799549,0.05033863,1.44959459,0.98331368,1.24240448
-5.92196098,3.85094151,0.01734211,0.00000000,0.01010655,0.86979246,0.05096774,1.43771046,0.97029684,1.22253125
-5.91595798,3.82477830,0.01771961,0.00000000,0.01009105,0.86246772,0.05175568,1.42851703,0.95858707,1.20281484
-5.90995498,3.80630737,0.01816211,0.00000000,0.01012471,0.85628073,0.05271215,1.42266975,0.94858090,1.18366161
-5.90395198,3.79687386,0.01867545,0.00000000,0.01020753,0.85147008,0.05384229,1.42075732,0.94064207,1.16546895
-5.89794897,3.79762331,0.01926372,0.00000000,0.01033854,0.84824458,0.05514618,1.42328108,0.93508832,1.14861152
-5.89194597,3.80945697,0.01992894,0.00000000,0.01051576,0.84677486,0.05661865,1.43063611,0.93217939,1.13342788
-5.88594297,3.83299304,0.02067088,0.00000000,0.01073626,0.84718605,0.05824908,1.44309482,0.93210653,1.12020829
-5.87993997,3.86853538,0.02148689,0.00000000,0.01099624,0.84955178,0.06002148,1.46079362,0.93498396,1.10918392
-5.87393697,3.91605119,0.02237184,0.00000000,0.01129106,0.85388981,0.06191474,1.48372320,0.94084256,1.10051824
-5.86793397,3.97515869,0.02331809,0.00000000,0.01161534,0.86015959,0.06390297,1.51172291,0.94962605,1.09430076
-5.86193097,4.04512575,0.02431566,0.00000000,0.01196307,0.86826189,0.06595612,1.54447956,0.96118990,1.09054356
-5.85592796,4.12487992,0.02535236,0.00000000,0.01232773,0.87804056,0.06804066,1.58153085,0.97530289,1.08918080
-5.84992496,4.21302966,0.02641409,0.00000000,0.01270238,0.88928650,0.07012047,1.62227353,0.99165152,1.09007105
-5.84392196,4.30789656,0.02748515,0.00000000,0.01307988,0.90174354,0.07215774,1.66597603,1.00984702,1.09300261
-5.83791896,4.40755743,0.02854863,0.00000000,0.01345297,0.91511616,0.07411399,1.71179549,1.02943482,1.09770137
-5.83191596,4.50989512,0.02958691,0.00000000,0.01381447,0.92907862,0.07595114,1.75879851,1.04990617,1.10384085
-5.82591296,4.61265608,0.03058205,0.00000000,0.01415743,0.94328514,0.07763254,1.80598520,1.07071158,1.11105413
-5.81990995,4.71351289,0.03151634,0.00000000,0.01447530,0.95738074,0.07912392,1.85231567,1.09127551,1.11894692
-5.81390695,4.81012934,0.03237277,0.00000000,0.01476208,0.97101213,0.08039438,1.89673816,1.11101199,1.12711119
-5.80790395,4.90022574,0.03313546,0.00000000,0.01501245,0.98383832,0.08141711,1.93821780,1.12934056,1.13513893
-5.80190095,4.98164209,0.03379012,0.00000000,0.01522190,0.99554044,0.08217012,1.97576517,1.14570197,1.14263524
-5.79589795,5.05239683,0.03432439,0.00000000,0.01538684,1.00583034,0.08263669,2.00846350,1.15957312,1.14923033
-5.78989495,5.11073922,0.03472818,0.00000000,0.01550462,1.01445779,0.08280572,2.03549368,1.17048090,1.15459001
-5.78389195,5.15519348,0.03499386,0.00000000,0.01557362,1.02121593,0.08267188,2.05615627,1.17801429,1.15842422
-5.77788894,5.18459346,0.03511644,0.00000000,0.01559322,1.02594492,0.08223557,2.06988965,1.18183452,1.16049349
-5.77188594,5.19810696,0.03509362,0.00000000,0.01556379,1.02853375,0.08150269,2.07628385,1.18168295,1.16061317
-5.76588294,5.19524925,0.03492578,0.00000000,0.01548664,1.02892039,0.08048436,2.07508970,1.17738658,1.15865546
-5.75987994,5.17588583,0.03461589,0.00000000,0.01536389,1.02709027,0.07919634,2.06622288,1.16886097,1.15454943
-5.75387694,5.14022504,0.03416935,0.00000000,0.01519843,1.02307356,0.07765853,2.04976319,1.15611075,1.14827914
-5.74787394,5.08880127,0.03359374,0.00000000,0.01499374,1.01694133,0.07589426,2.02594900,1.13922774,1.13988034
-5.74187094,5.02245013,0.03289858,0.00000000,0.01475383,1.00880111,0.07392962,1.99516724,1.11838693,1.12943591
-5.73586793,4.94227687,0.03209500,0.00000000,0.01448304,0.99879198,0.07179273,1.95793969,1.09384050,1.11707055
-5.72986493,4.84961988,0.03119544,0.00000000,0.01418593,0.98707963,0.06951302,1.91490590,1.06591026,1.10294503
-5.72386193,4.74601057,0.03021327,0.00000000,0.01386719,0.97385157,0.06712064,1.86680371,1.03497888,1.08725027
-5.71785893,4.63313165,0.02916251,0.00000000,0.01353152,0.95931268,0.06464580,1.81444803,1.00148019,1.07020162
-5.71185593,4.51277492,0.02805747,0.00000000,0.01318351,0.94368130,0.06211826,1.75870876,0.96588887,1.05203354
-5.70585293,4.38680014,0.02691250,0.00000000,0.01282762,0.92718587,0.05956691,1.70048851,0.92871011,1.03299477
-5.69984992,4.25709606,0.02574172,0.00000000,0.01246807,0.91006211,0.05701940,1.64070099,0.89046919,1.01334414
-5.69384692,4.12554439,0.02455878,0.00000000,0.01210887,0.89255080,0.05450187,1.58025055,0.85170156,0.99334705
-5.68784392,3.99398742,0.02337674,0.00000000,0.01175372,0.87489587,0.05203876,1.52001366,0.81294353,0.97327247
-5.68184092,3.86419980,0.02220788,0.00000000,0.01140606,0.85734292,0.04965268,1.46082244,0.77472366,0.95339059
-5.67583792,3.73786452,0.02106364,0.00000000,0.01106904,0.84013777,0.04736433,1.40345092,0.73755521,0.93397088
-5.66983492,3.61655325,0.01995454,0.00000000,0.01074553,0.82352521,0.04519250,1.34860400,0.70192943,0.91528041
