energy_ev,total_up,As_p_up,As_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
3.44272136,2.05215998,0.35362538,0.00000000,2.02629258,1.06403067,0.11438539,0.27107055
3.44872436,2.04437278,0.35443551,0.00000000,2.02993922,1.05748599,0.10919020,0.27017679
3.45472736,2.02949251,0.35369325,0.00000000,2.02544385,1.04750248,0.10392266,0.26824243
3.46073037,2.00754821,0.35136914,0.00000000,2.01262793,1.03411607,0.09864199,0.26526130
3.46673337,1.97871817,0.34746934,0.00000000,1.99148508,1.01743477,0.09340544,0.26124942
3.47273637,1.94333410,0.34203626,0.00000000,1.96218822,0.99764079,0.08826732,0.25624545
3.47873937,1.90188093,0.33514813,0.00000000,1.92509144,0.97499051,0.08327828,0.25031041
3.48474237,1.85499155,0.32691739,0.00000000,1.88072600,0.94981198,0.07848476,0.24352688
3.49074537,1.80343634,0.31748789,0.00000000,1.82979042,0.92249977,0.07392854,0.23599730
3.49674837,1.74810746,0.30703108,0.00000000,1.77313456,0.89350730,0.06964647,0.22784176
3.50275138,1.68999802,0.29574119,0.00000000,1.71173811,0.86333651,0.06567032,0.21919508
3.50875438,1.63017666,0.28382954,0.00000000,1.64668395,0.83252526,0.06202667,0.21020331
3.51475738,1.56975822,0.27151830,0.00000000,1.57912748,0.80163269,0.05873689,0.20101986
3.52076038,1.50987151,0.25903379,0.00000000,1.51026284,0.77122313,0.05581703,0.19180120
3.52676338,1.45162533,0.24659965,0.00000000,1.44128736,0.74184899,0.05327789,0.18270255
3.53276638,1.39607397,0.23443015,0.00000000,1.37336571,0.71403351,0.05112485,0.17387342
3.53876938,1.34418382,0.22272381,0.00000000,1.30759513,0.68825385,0.04935790,0.16545347
3.54477239,1.29680228,0.21165767,0.00000000,1.24497325,0.66492536,0.04797151,0.15756864
3.55077539,1.25463049,0.20138246,0.00000000,1.18636983,0.64438783,0.04695456,0.15032782
3.55677839,1.21820109,0.19201867,0.00000000,1.13250348,0.62689411,0.04629038,0.14382013
3.56278139,1.18786206,0.18365388,0.00000000,1.08392454,0.61260195,0.04595673,0.13811298
3.56878439,1.16376735,0.17634130,0.00000000,1.04100453,0.60156920,0.04592602,0.13325091
3.57478739,1.14587498,0.17009965,0.00000000,1.00393274,0.59375282,0.04616550,0.12925529
3.58079040,1.13395248,0.16491420,0.00000000,0.97271983,0.58901176,0.04663779,0.12612485
3.58679340,1.12758981,0.16073914,0.00000000,0.94720834,0.58711351,0.04730139,0.12383699
3.59279640,1.12621884,0.15750091,0.00000000,0.92708931,0.58774424,0.04811152,0.12234981
3.59879940,1.12913895,0.15510249,0.00000000,0.91192432,0.59052195,0.04902098,0.12160471
