energy_ev,total_up,Ge_p_up,Ge_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-5.10555278,2.58565139,0.08955794,0.00000000,1.53539012,0.73397990,0.03605006,1.72469630
-5.09954977,2.61768360,0.08782156,0.00000000,1.55587280,0.74333148,0.03514614,1.74876850
-5.09354677,2.64272626,0.08597183,0.00000000,1.57037081,0.75107583,0.03419264,1.76826422
-5.08754377,2.66060775,0.08403986,0.00000000,1.57856120,0.75720026,0.03320540,1.78306243
-5.08154077,2.67134646,0.08206128,0.00000000,1.58027293,0.76173443,0.03220131,1.79316646
-5.07553777,2.67515122,0.08007563,0.00000000,1.57549413,0.76474881,0.03119790,1.79870407
-5.06953477,2.67241315,0.07812551,0.00000000,1.56437294,0.76635107,0.03021276,1.79992185
-5.06353177,2.66368929,0.07625555,0.00000000,1.54721218,0.76668055,0.02926306,1.79717431
-5.05752876,2.64967918,0.07451126,0.00000000,1.52445825,0.76590117,0.02836496,1.79090829
-5.05152576,2.63119557,0.07293780,0.00000000,1.49668495,0.76419315,0.02753305,1.78164367
-5.04552276,2.60913097,0.07157864,0.00000000,1.46457333,0.76174400,0.02677989,1.76995133
-5.03951976,2.58442180,0.07047436,0.00000000,1.42888851,0.75873930,0.02611554,1.75642976
-5.03351676,2.55801215,0.06966137,0.00000000,1.39045480,0.75535372,0.02554723,1.74168131
-5.02751376,2.53081871,0.06917086,0.00000000,1.35013026,0.75174290,0.02507905,1.72628947
-5.02151076,2.50369869,0.06902780,0.00000000,1.30878183,0.74803639,0.02471184,1.71079816
-5.01550775,2.47742213,0.06925022,0.00000000,1.26726198,0.74433232,0.02444319,1.69569399
-5.00950475,2.45264952,0.06984855,0.00000000,1.22638787,0.74069365,0.02426744,1.68139211
-5.00350175,2.42991558,0.07082533,0.00000000,1.18692338,0.73714657,0.02417600,1.66822611
-4.99749875,2.40961944,0.07217502,0.00000000,1.14956464,0.73368073,0.02415760,1.65644228
-4.99149575,2.39202114,0.07388410,0.00000000,1.11492903,0.73025143,0.02419876,1.64619793
-4.98549275,2.37724412,0.07593130,0.00000000,1.08354786,0.72678349,0.02428428,1.63756369
-4.97948974,2.36528305,0.07828811,0.00000000,1.05586219,0.72317658,0.02439780,1.63052923
-4.97348674,2.35601595,0.08091936,0.00000000,1.03222179,0.71931161,0.02452240,1.62501181
-4.96748374,2.34921981,0.08378406,0.00000000,1.01288659,0.71505791,0.02464126,1.62086694
-4.96148074,2.34458848,0.08683626,0.00000000,0.99803010,0.71028066,0.02473822,1.61790041
-4.95547774,2.34175175,0.09002603,0.00000000,0.98774440,0.70484838,0.02479836,1.61588112
-4.94947474,2.34029486,0.09330057,0.00000000,0.98204620,0.69863995,0.02480853,1.61455377
-4.94347174,2.33977728,0.09660528,0.00000000,0.98088332,0.69155092,0.02475776,1.61365116
-4.93746873,2.33975031,0.09988486,0.00000000,0.98414143,0.68349896,0.02463760,1.61290545
-4.93146573,2.33977285,0.10308447,0.00000000,0.99165064,0.67442806,0.02444232,1.61205807
-4.92546273,2.33942514,0.10615077,0.00000000,1.00319164,0.66431162,0.02416907,1.61086817
-4.91945973,2.33832001,0.10903295,0.00000000,1.01850132,0.65315421,0.02381784,1.60911934
-4.91345673,2.33611196,0.11168369,0.00000000,1.03727782,0.64099214,0.02339133,1.60662482
-4.90745373,2.33250379,0.11406001,0.00000000,1.05918492,0.62789280,0.02289477,1.60323095
-4.90145073,2.32725111,0.11612401,0.00000000,1.08385576,0.61395300,0.02233560,1.59881927
-4.89544772,2.32016480,0.11784350,0.00000000,1.11089626,0.59929638,0.02172308,1.59330722
-4.88944472,2.31111164,0.11919244,0.00000000,1.13988797,0.58407008,0.02106785,1.58664765
-4.88344172,2.30001327,0.12015132,0.00000000,1.17039090,0.56844073,0.02038150,1.57882720
-4.87743872,2.28684368,0.12070725,0.00000000,1.20194616,0.55259006,0.01967609,1.56986384
-4.87143572,2.27162539,0.12085401,0.00000000,1.23407889,0.53671009,0.01896366,1.55980355
-4.86543272,2.25442440,0.12059188,0.00000000,1.26630141,0.52099824,0.01825582,1.54871627
-4.85942971,2.23534418,0.11992733,0.00000000,1.29811690,0.50565217,0.01756339,1.53669131
-4.85342671,2.21451875,0.11887254,0.00000000,1.32902375,0.49086481,0.01689601,1.52383227
-4.84742371,2.19210517,0.11744487,0.00000000,1.35852054,0.47681936,0.01626192,1.51025163
-4.84142071,2.16827557,0.11566615,0.00000000,1.38611200,0.46368452,0.01566779,1.49606518
-4.83541771,2.14320903,0.11356197,0.00000000,1.41131562,0.45161009,0.01511858,1.48138649
-4.82941471,2.11708368,0.11116083,0.00000000,1.43366920,0.44072285,0.01461749,1.46632163
-4.82341171,2.09006929,0.10849340,0.00000000,1.45273898,0.43112311,0.01416605,1.45096435
-4.81740870,2.06232076,0.10559167,0.00000000,1.46812836,0.42288176,0.01376415,1.43539204
-4.81140570,2.03397291,0.10248823,0.00000000,1.47948689,0.41603820,0.01341024,1.41966268
-4.80540270,2.00513683,0.09921557,0.00000000,1.48651929,0.41059917,0.01310150,1.40381308
-4.79939970,1.97589818,0.09580545,0.00000000,1.48899418,0.40653845,0.01283406,1.38785845
-4.79339670,1.94631758,0.09228846,0.00000000,1.48675219,0.40379784,0.01260324,1.37179364
-4.78739370,1.91643322,0.08869358,0.00000000,1.47971308,0.40228909,0.01240383,1.35559599
-4.78139070,1.88626564,0.08504789,0.00000000,1.46788153,0.40189708,0.01223033,1.33922979
-4.77538769,1.85582462,0.08137644,0.00000000,1.45135132,0.40248403,0.01207720,1.32265223
-4.76938469,1.82511770,0.07770219,0.00000000,1.43030755,0.40389471,0.01193906,1.30582058
-4.76338169,1.79416009,0.07404596,0.00000000,1.40502685,0.40596238,0.01181094,1.28870029
-4.75737869,1.76298523,0.07042661,0.00000000,1.37587520,0.40851536,0.01168844,1.27127356
-4.75137569,1.73165546,0.06686114,0.00000000,1.34330347,0.41138384,0.01156785,1.25354789
-4.74537269,1.70027193,0.06336491,0.00000000,1.30784062,0.41440664,0.01144629,1.23556400
-4.73936968,1.66898315,0.05995181,0.00000000,1.27008460,0.41743762,0.01132175,1.21740261
-4.73336668,1.63799126,0.05663446,0.00000000,1.23069108,0.42035134,0.01119314,1.19918944
-4.72736368,1.60755546,0.05342442,0.00000000,1.19036034,0.42304765,0.01106023,1.18109800
-4.72136068,1.57799201,0.05033232,0.00000000,1.14982233,0.42545501,0.01092367,1.16334963
-4.71535768,1.54967041,0.04736790,0.00000000,1.10982051,0.42753224,0.01078485,1.14621060
-4.70935468,1.52300550,0.04454017,0.00000000,1.07109458,0.42926860,0.01064580,1.12998607
-4.70335168,1.49844566,0.04185728,0.00000000,1.03436261,0.43068215,0.01050904,1.11501100
-4.69734867,1.47645730,0.03932655,0.00000000,1.00030302,0.43181655,0.01037741,1.10163809
-4.69134567,1.45750625,0.03695431,0.00000000,0.96953691,0.43273631,0.01025390,1.09022341
-4.68534267,1.44203675,0.03474577,0.00000000,0.94261108,0.43352087,0.01014143,1.08111010
-4.67933967,1.43044918,0.03270485,0.00000000,0.91998257,0.43425785,0.01004272,1.07461107
-4.67333667,1.42307754,0.03083397,0.00000000,0.90200495,0.43503582,0.00996004,1.07099148
-4.66733367,1.42016801,0.02913392,0.00000000,0.88891710,0.43593712,0.00989510,1.07045205
-4.66133067,1.42185988,0.02760362,0.00000000,0.88083504,0.43703103,0.00984891,1.07311406
-4.65532766,1.42816997,0.02624005,0.00000000,0.87774697,0.43836795,0.00982164,1.07900718
-4.64932466,1.43898177,0.02503813,0.00000000,0.87951236,0.43997470,0.00981263,1.08806073
-4.64332166,1.45404003,0.02399074,0.00000000,0.88586496,0.44185142,0.00982032,1.10009927
-4.63731866,1.47295153,0.02308869,0.00000000,0.89642015,0.44397022,0.00984229,1.11484279
-4.63131566,1.49519221,0.02232093,0.00000000,0.91068648,0.44627558,0.00987533,1.13191186
-4.62531266,1.52012060,0.02167467,0.00000000,0.92808122,0.44868658,0.00991558,1.15083761
-4.61930965,1.54699710,0.02113567,0.00000000,0.94794957,0.45110075,0.00995865,1.17107621
-4.61330665,1.57500835,0.02068857,0.00000000,0.96958683,0.45339925,0.00999983,1.19202721
-4.60730365,1.60329544,0.02031727,0.00000000,0.99226290,0.45545311,0.01003427,1.21305494
-4.60130065,1.63098475,0.02000531,0.00000000,1.01524797,0.45713010,0.01005718,1.23351189
-4.59529765,1.65721979,0.01973634,0.00000000,1.03783857,0.45830171,0.01006410,1.25276290
-4.58929465,1.68119248,0.01949455,0.00000000,1.05938258,0.45885001,0.01005102,1.27020896
-4.58329165,1.70217218,0.01926507,0.00000000,1.07930231,0.45867375,0.01001464,1.28530933
-4.57728864,1.71953115,0.01903434,0.00000000,1.09711438,0.45769346,0.00995244,1.29760094
-4.57128564,1.73276505,0.01879052,0.00000000,1.11244540,0.45585535,0.00986285,1.30671410
-4.56528264,1.74150763,0.01852366,0.00000000,1.12504285,0.45313368,0.00974530,1.31238365
-4.55927964,1.74553881,0.01822597,0.00000000,1.13478026,0.44953160,0.00960023,1.31445530
-4.55327664,1.74478618,0.01789192,0.00000000,1.14165670,0.44508055,0.00942906,1.31288676
-4.54727364,1.73931975,0.01751830,0.00000000,1.14579038,0.43983820,0.00923417,1.30774390
-4.54127064,1.72934078,0.01710415,0.00000000,1.14740666,0.43388533,0.00901874,1.29919223
-4.53526763,1.71516526,0.01665072,0.00000000,1.14682123,0.42732168,0.00878665,1.28748446
