energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,2.70365163,0.00610735,0.35227568,1.05545948,0.50046807,1.27064154,0.74976720,1.30923507,0.00000000
-5.99399700,2.76686722,0.00616779,0.36468329,1.06954586,0.51384327,1.30770997,0.76969674,1.33038950,0.00000000
-5.98799400,2.82838380,0.00625540,0.37648499,1.08133174,0.52793920,1.34212326,0.78953628,1.35008540,0.00000000
-5.98199100,2.88732753,0.00636685,0.38754910,1.09048490,0.54255429,1.37353801,0.80904907,1.36790335,0.00000000
-5.97598799,2.94295139,0.00649918,0.39776124,1.09674216,0.55749464,1.40170483,0.82802998,1.38349419,0.00000000
-5.96998499,2.99465141,0.00664977,0.40702644,1.09991683,0.57257761,1.42646967,0.84631091,1.39658763,0.00000000
-5.96398199,3.04197383,0.00681622,0.41527023,1.09990239,0.58763412,1.44777066,0.86376358,1.40699635,0.00000000
-5.95797899,3.08461330,0.00699627,0.42243875,1.09667243,0.60250959,1.46563028,0.88029963,1.41461540,0.00000000
-5.95197599,3.12240229,0.00718770,0.42849781,1.09027693,0.61706361,1.48014361,0.89586814,1.41941723,0.00000000
-5.94597299,3.15529290,0.00738820,0.43343104,1.08083514,0.63116842,1.49146323,0.91045079,1.42144270,0.00000000
-5.93996998,3.18333232,0.00759530,0.43723734,1.06852571,0.64470652,1.49978159,0.92405502,1.42078888,0.00000000
-5.93396698,3.20663397,0.00780624,0.43992766,1.05357461,0.65756757,1.50531203,0.93670579,1.41759452,0.00000000
-5.92796398,3.22534633,0.00801798,0.44152158,1.03624174,0.66964508,1.50826962,0.94843642,1.41202420,0.00000000
-5.92196098,3.23962173,0.00822707,0.44204382,1.01680697,0.68083303,1.50885285,0.95927937,1.40425227,0.00000000
-5.91595798,3.24958730,0.00842975,0.44152087,0.99555646,0.69102297,1.50722750,0.96925739,1.39444756,0.00000000
-5.90995498,3.25532029,0.00862190,0.43997823,0.97277014,0.70010182,1.50351353,0.97837588,1.38276007,0.00000000
-5.90395198,3.25682922,0.00879917,0.43743818,0.94871091,0.70795059,1.49777591,0.98661691,1.36931022,0.00000000
-5.89794897,3.25404260,0.00895706,0.43391842,0.92361611,0.71444436,1.49001992,0.99393534,1.35418146,0.00000000
-5.89194597,3.24680559,0.00909106,0.42943171,0.89769183,0.71945350,1.48019114,1.00025742,1.33741665,0.00000000
-5.88594297,3.23488529,0.00919676,0.42398629,0.87110986,0.72284619,1.46818021,1.00548193,1.31901829,0.00000000
-5.87993997,3.21798396,0.00927010,0.41758740,0.84400770,0.72449218,1.45383197,1.00948376,1.29895252,0.00000000
-5.87393697,3.19575956,0.00930747,0.41023940,0.81649104,0.72426752,1.43695828,1.01211993,1.27715653,0.00000000
-5.86793397,3.16785211,0.00930587,0.40194858,0.78863865,0.72206014,1.41735393,1.01323746,1.25354880,0.00000000
-5.86193097,3.13391423,0.00926313,0.39272642,0.76050889,0.71777579,1.39481430,1.01268270,1.22804136,0.00000000
-5.85592796,3.09364360,0.00917793,0.38259284,0.73214757,0.71134410,1.36915386,1.01031158,1.20055327,0.00000000
-5.84992496,3.04681557,0.00904998,0.37157946,0.70359622,0.70272429,1.34022430,1.00600003,1.17102433,0.00000000
-5.84392196,2.99331343,0.00888003,0.35973238,0.67490030,0.69191019,1.30793107,0.99965400,1.13942809,0.00000000
-5.83791896,2.93315447,0.00866987,0.34711441,0.64611668,0.67893422,1.27224748,0.99121840,1.10578331,0.00000000
-5.83191596,2.86651023,0.00842233,0.33380646,0.61731992,0.66387000,1.23322533,0.98068447,1.07016310,0.00000000
-5.82591296,2.79371940,0.00814121,0.31990801,0.58860682,0.64683342,1.19100166,0.96809503,1.03270117,0.00000000
-5.81990995,2.71529266,0.00783112,0.30553660,0.56009908,0.62798207,1.14580116,0.95354730,0.99359477,0.00000000
-5.81390695,2.63190884,0.00749741,0.29082621,0.53194386,0.60751282,1.09793407,0.93719319,0.95310413,0.00000000
-5.80790395,2.54440279,0.00714595,0.27592479,0.50431217,0.58565794,1.04778993,0.91923685,0.91154841,0.00000000
-5.80190095,2.45374526,0.00678294,0.26099082,0.47739540,0.56267950,0.99582744,0.89992978,0.86929843,0.00000000
-5.79589795,2.36101596,0.00641477,0.24618932,0.45140006,0.53886265,0.94256106,0.87956354,0.82676649,0.00000000
-5.78989495,2.26737106,0.00604776,0.23168727,0.42654113,0.51450782,0.88854517,0.85846061,0.78439397,0.00000000
-5.78389195,2.17400682,0.00568801,0.21764878,0.40303452,0.48992233,0.83435662,0.83696371,0.74263714,0.00000000
-5.77788894,2.08212109,0.00534119,0.20423030,0.38108901,0.46541164,0.78057660,0.81542419,0.70195220,0.00000000
-5.77188594,1.99287451,0.00501242,0.19157599,0.36089814,0.44127080,0.72777264,0.79419005,0.66278005,0.00000000
-5.76588294,1.90735327,0.00470612,0.17981352,0.34263259,0.41777621,0.67648180,0.77359406,0.62553162,0.00000000
