energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,2.65149010,0.73227853,0.43240187,0.00313508,0.27744654,0.68286590,0.54734702,0.02129056,1.35193378
-5.99399700,2.73628889,0.75075145,0.44294127,0.00324631,0.28691042,0.69868327,0.56637217,0.02226656,1.39976459
-5.98799400,2.81922651,0.76888796,0.45307332,0.00335733,0.29646351,0.71393198,0.58480871,0.02318832,1.44670953
-5.98199100,2.89835944,0.78618908,0.46251111,0.00346542,0.30584528,0.72815675,0.60224507,0.02404498,1.49178425
-5.97598799,2.97183148,0.80217196,0.47099021,0.00356815,0.31479556,0.74091458,0.61829672,0.02482741,1.53403970
-5.96998499,3.03791924,0.81638218,0.47827522,0.00366355,0.32306055,0.75178649,0.63261512,0.02552845,1.57258596
-5.96398199,3.09507446,0.82840544,0.48416524,0.00375010,0.33039897,0.76038868,0.64489596,0.02614302,1.60661473
-5.95797899,3.14196174,0.83787818,0.48849831,0.00382682,0.33658799,0.76638290,0.65488607,0.02666817,1.63541976
-5.95197599,3.17749046,0.84449696,0.49115459,0.00389329,0.34142891,0.76948564,0.66238923,0.02710297,1.65841450
-5.94597299,3.20083993,0.84802603,0.49205820,0.00394966,0.34475225,0.76947579,0.66727024,0.02744840,1.67514645
-5.93996998,3.21147681,0.84830318,0.49117774,0.00399662,0.34642215,0.76620065,0.66945755,0.02770710,1.68530757
-5.93396698,3.20916428,0.84524333,0.48852548,0.00403540,0.34633979,0.75957990,0.66894394,0.02788303,1.68874054
-5.92796398,3.19396255,0.83883994,0.48415536,0.00406768,0.34444583,0.74960763,0.66578552,0.02798112,1.68544041
-5.92196098,3.16622074,0.82916411,0.47815970,0.00409556,0.34072158,0.73635199,0.66009893,0.02800692,1.67555177
-5.91595798,3.12656024,0.81636132,0.47066500,0.00412146,0.33518905,0.71995282,0.65205680,0.02796618,1.65936131
-5.90995498,3.07585033,0.80064600,0.46182680,0.00414803,0.32790963,0.70061706,0.64188168,0.02786449,1.63728621
-5.90395198,3.01517672,0.78229408,0.45182400,0.00417804,0.31898170,0.67861217,0.62983860,0.02770695,1.60985867
-5.89794897,2.94580428,0.76163366,0.44085260,0.00421429,0.30853698,0.65425783,0.61622646,0.02749792,1.57770717
-5.89194597,2.86913524,0.73903432,0.42911932,0.00425947,0.29673608,0.62791613,0.60136868,0.02724083,1.54153513
-5.88594297,2.78666437,0.71489530,0.41683516,0.00431609,0.28376309,0.59998064,0.58560329,0.02693805,1.50209783
-5.87993997,2.69993287,0.68963300,0.40420921,0.00438631,0.26981977,0.57086485,0.56927280,0.02659091,1.46017839
-5.87393697,2.61048249,0.66366833,0.39144288,0.00447193,0.25511931,0.54099020,0.55271437,0.02619978,1.41656373
-5.86793397,2.51981166,0.63741430,0.37872470,0.00457424,0.23988004,0.51077441,0.53625044,0.02576417,1.37202141
