energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,1.01570760,0.00478634,0.08195049,0.21021616,0.28464843,0.34254053,0.00736758,0.49070385
-5.99399700,1.01752437,0.00489295,0.08184552,0.20550483,0.28498198,0.34492388,0.00806445,0.49076224
-5.98799400,1.02266323,0.00502137,0.08200850,0.20101816,0.28632632,0.34865169,0.00886187,0.49226389
-5.98199100,1.03201755,0.00517455,0.08251981,0.19696300,0.28896941,0.35403441,0.00976701,0.49561917
-5.97598799,1.04635782,0.00535461,0.08345129,0.19352823,0.29317243,0.36133942,0.01078538,0.50117816
-5.96998499,1.06630073,0.00556273,0.08486368,0.19087877,0.29916183,0.37077994,0.01192038,0.50921626
-5.96398199,1.09228364,0.00579901,0.08680455,0.18915056,0.30712252,0.38250570,0.01317299,0.51992258
-5.95797899,1.12454553,0.00606241,0.08930664,0.18844664,0.31719287,0.39659565,0.01454150,0.53339174
-5.95197599,1.16311538,0.00635075,0.09238670,0.18883463,0.32946135,0.41305314,0.01602122,0.54961926
-5.94597299,1.20780848,0.00666074,0.09604495,0.19034549,0.34396517,0.43180377,0.01760440,0.56850106
-5.93996998,1.25823096,0.00698802,0.10026510,0.19297376,0.36069086,0.45269602,0.01928011,0.58983700
-5.93396698,1.31379239,0.00732736,0.10501498,0.19667907,0.37957668,0.47550462,0.02103435,0.61333835
-5.92796398,1.37372609,0.00767280,0.11024763,0.20138889,0.40051675,0.49993668,0.02285017,0.63863908
-5.92196098,1.43711620,0.00801791,0.11590296,0.20700245,0.42336673,0.52564021,0.02470794,0.66531038
-5.91595798,1.50293066,0.00835604,0.12190981,0.21339557,0.44795074,0.55221486,0.02658577,0.69287787
-5.90995498,1.57005864,0.00868058,0.12818828,0.22042615,0.47406917,0.57922436,0.02845990,0.72084090
-5.90395198,1.63735101,0.00898534,0.13465237,0.22794018,0.50150705,0.60621035,0.03030535,0.74869293
-5.89794897,1.70366207,0.00926481,0.14121272,0.23577805,0.53004272,0.63270685,0.03209650,0.77594239
-5.89194597,1.76789109,0.00951447,0.14777934,0.24378079,0.55945618,0.65825505,0.03380779,0.80213288
-5.88594297,1.82902181,0.00973109,0.15426434,0.25179610,0.58953710,0.68241774,0.03541442,0.82686203
-5.87993997,1.88615838,0.00991294,0.16058441,0.25968403,0.62009193,0.70479288,0.03689306,0.84979815
-5.87393697,1.93855633,0.01006004,0.16666312,0.26732191,0.65094996,0.72502582,0.03822255,0.87069397
-5.86793397,1.98564749,0.01017429,0.17243286,0.27460860,0.68196805,0.74281969,0.03938451,0.88939678
-5.86193097,2.02705772,0.01025954,0.17783649,0.28146784,0.71303395,0.75794371,0.04036390,0.90585478
-5.85592796,2.06261705,0.01032161,0.18282849,0.28785054,0.74406800,0.77023905,0.04114948,0.92011912
-5.84992496,2.09236182,0.01036827,0.18737578,0.29373610,0.77502332,0.77962213,0.04173417,0.93234167
-5.84392196,2.11652893,0.01040905,0.19145810,0.29913265,0.80588430,0.78608531,0.04211523,0.94276868
-5.83791896,2.13554245,0.01045513,0.19506797,0.30407622,0.83666367,0.78969494,0.04229440,0.95173045
-5.83191596,2.14999334,0.01051901,0.19821028,0.30862896,0.86739807,0.79058701,0.04227774,0.95962755
-5.82591296,2.16061311,0.01061422,0.20090154,0.31287637,0.89814245,0.78896053,0.04207552,0.96691419
-5.81990995,2.16824252,0.01075497,0.20316878,0.31692370,0.92896336,0.78506902,0.04170187,0.97407931
-5.81390695,2.17379662,0.01095570,0.20504819,0.32089169,0.95993144,0.77921039,0.04117428,0.98162618
