energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,4.22528359,0.78145718,2.16856688,0.00385977,0.65528030,1.79765698,1.06175826,0.02500868,0.34304500
-5.99399700,4.37224267,0.82612943,2.24425119,0.00417815,0.67492496,1.85542025,1.09186598,0.02668120,0.35530859
-5.98799400,4.51545010,0.87237795,2.31951620,0.00450151,0.69271674,1.90821571,1.11918721,0.02836890,0.36785203
-5.98199100,4.65407788,0.91989126,2.39394208,0.00482707,0.70853163,1.95560280,1.14357126,0.03005668,0.38063108
-5.97598799,4.78728555,0.96830966,2.46706346,0.00515190,0.72227226,1.99720541,1.16490877,0.03172990,0.39358365
-5.96998499,4.91421990,1.01722621,2.53836938,0.00547300,0.73386874,2.03271509,1.18313036,0.03337476,0.40662822
-5.96398199,5.03401873,1.06619006,2.60730677,0.00578731,0.74327915,2.06189322,1.19820457,0.03497874,0.41966307
-5.95797899,5.14581852,1.11471195,2.67328757,0.00609184,0.75048954,2.08457242,1.21013537,0.03653094,0.43256668
-5.95197599,5.24876606,1.16227191,2.73569922,0.00638368,0.75551347,2.10065707,1.21895926,0.03802234,0.44519918
-5.94597299,5.34203356,1.20832880,2.79391812,0.00666004,0.75839099,2.11012310,1.22474222,0.03944610,0.45740494
-5.93996998,5.42483667,1.25233149,2.84732556,0.00691838,0.75918733,2.11301705,1.22757645,0.04079763,0.46901612
-5.93396698,5.49645442,1.29373110,2.89532521,0.00715639,0.75799100,2.10945432,1.22757716,0.04207472,0.47985709
-5.92796398,5.55624995,1.33199399,2.93736140,0.00737206,0.75491152,2.09961667,1.22487931,0.04327742,0.48974962
-5.92196098,5.60369096,1.36661473,2.97293710,0.00756369,0.75007682,2.08374886,1.21963451,0.04440789,0.49851844
-5.91595798,5.63836844,1.39712874,3.00163080,0.00772996,0.74363015,2.06215441,1.21200787,0.04547016,0.50599703
-5.90995498,5.66001257,1.42312387,3.02311116,0.00786986,0.73572681,2.03519047,1.20217502,0.04646977,0.51203336
-5.90395198,5.66850462,1.44425050,3.03714868,0.00798279,0.72653059,2.00326174,1.19031916,0.04741330,0.51649523
-5.89794897,5.66388405,1.46022977,3.04362377,0.00806845,0.71621004,1.96681353,1.17662814,0.04830791,0.51927500
-5.89194597,5.64635009,1.47085955,3.04253055,0.00812689,0.70493477,1.92632399,1.16129160,0.04916076,0.52029348
-5.88594297,5.61625761,1.47601801,3.03397635,0.00815846,0.69287167,1.88229572,1.14449819,0.04997849,0.51950277
-5.87993997,5.57410729,1.47566471,3.01817672,0.00816377,0.68018146,1.83524687,1.12643287,0.05076665,0.51688789
-5.87393697,5.52053054,1.46983917,2.99544637,0.00814367,0.66701548,1.78570206,1.10727432,0.05152921,0.51246722
-5.86793397,5.45627002,1.45865730,2.96618641,0.00809920,0.65351288,1.73418342,1.08719263,0.05226811,0.50629169
-5.86193097,5.38215670,1.44230567,2.93086877,0.00803157,0.63979838,1.68120198,1.06634726,0.05298297,0.49844275
-5.85592796,5.29908488,1.42103430,2.89001851,0.00794211,0.62598075,1.62724992,1.04488541,0.05367079,0.48902933
-5.84992496,5.20798645,1.39514815,2.84419515,0.00783228,0.61215190,1.57279377,1.02294095,0.05432589,0.47818397
-5.84392196,5.10980602,1.36499785,2.79397400,0.00770359,0.59838680,1.51826903,1.00063388,0.05493995,0.46605825
-5.83791896,5.00547814,1.33097010,2.73992851,0.00755764,0.58474419,1.46407636,0.97807051,0.05550220,0.45281786
-5.83191596,4.89590782,1.29347811,2.68261462,0.00739607,0.57126803,1.41057940,0.95534429,0.05599969,0.43863746
-5.82591296,4.78195552,1.25295256,2.62255774,0.00722058,0.55798965,1.35810442,0.93253743,0.05641781,0.42369571
-5.81990995,4.66442681,1.20983310,2.56024306,0.00703289,0.54493051,1.30694154,0.90972304,0.05674076,0.40817052
-5.81390695,4.54406746,1.16456088,2.49610949,0.00683478,0.53210534,1.25734758,0.88696794,0.05695225,0.39223486
-5.80790395,4.42156331,1.11757205,2.43054717,0.00662806,0.51952564,1.20955003,0.86433574,0.05703618,0.37605312
-5.80190095,4.29754485,1.06929227,2.36389859,0.00641457,0.50720325,1.16375208,0.84189021,0.05697731,0.35977825
-5.79589795,4.17259540,1.02013225,2.29646270,0.00619615,0.49515376,1.12013806,0.81969860,0.05676204,0.34354955
-5.78989495,4.04726195,0.97048421,2.22850151,0.00597468,0.48339964,1.07887906,0.79783472,0.05637902,0.32749132
-5.78389195,3.92206738,0.92071909,2.16024840,0.00575201,0.47197289,1.04013815,0.77638151,0.05581977,0.31171210
-5.77788894,3.79752272,0.87118438,2.09191738,0.00552996,0.46091694,1.00407489,0.75543293,0.05507915,0.29630453
-5.77188594,3.67413829,0.82220247,2.02371229,0.00531027,0.45028782,0.97084877,0.73509493,0.05415575,0.28134579
-5.76588294,3.55243249,0.77406931,1.95583532,0.00509458,0.44015436,0.94062119,0.71548537,0.05305207,0.26689831
-5.75987994,3.43293736,0.72705331,1.88849407,0.00488443,0.43059749,0.91355591,0.69673287,0.05177467,0.25301087
-5.75387694,3.31620037,0.68139446,1.82190668,0.00468114,0.42170853,0.88981786,0.67897455,0.05033401,0.23971979
