energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.75747648,0.68264155,1.07137345,0.00291276,0.02597400,0.03668141,0.19540844,0.11291427,0.19876345
-5.99399700,1.74889463,0.66734136,1.06777663,0.00308160,0.02695275,0.03724522,0.19265084,0.11689448,0.19537502
-5.98799400,1.74387230,0.65219139,1.06667822,0.00331939,0.02803121,0.03773494,0.19032119,0.12182381,0.19197199
-5.98199100,1.74357815,0.63759580,1.06873471,0.00363222,0.02923002,0.03815346,0.18859202,0.12782515,0.18871606
-5.97598799,1.74921280,0.62399199,1.07460136,0.00402693,0.03057367,0.03850674,0.18763903,0.13503271,0.18577712
-5.96998499,1.76196886,0.61183592,1.08491035,0.00451073,0.03208971,0.03880350,0.18763571,0.14358826,0.18332744
-5.96398199,1.78299010,0.60158652,1.10024915,0.00509093,0.03380789,0.03905481,0.18874799,0.15363622,0.18153573
-5.95797899,1.81333101,0.59368944,1.12113988,0.00577451,0.03575896,0.03927356,0.19112902,0.16531805,0.18056129
-5.95197599,1.85391780,0.58856087,1.14802032,0.00656770,0.03797331,0.03947391,0.19491433,0.17876563,0.18054845
-5.94597299,1.90551193,0.58657176,1.18122701,0.00747560,0.04047945,0.03967067,0.20021738,0.19409424,0.18162141
-5.93996998,1.96867705,0.58803294,1.22098074,0.00850175,0.04330238,0.03987860,0.20712558,0.21139497,0.18387952
-5.93396698,2.04375011,0.59318174,1.26737500,0.00964768,0.04646186,0.04011182,0.21569703,0.23072714,0.18739325
-5.92796398,2.13081751,0.60217036,1.32036724,0.01091254,0.04997079,0.04038318,0.22595776,0.25211075,0.19220090
-5.92196098,2.22969682,0.61505638,1.37977345,0.01229278,0.05383362,0.04070364,0.23789980,0.27551961,0.19830612
-5.91595798,2.33992479,0.63179600,1.44526580,0.01378182,0.05804498,0.04108179,0.25148000,0.30087520,0.20567629
-5.90995498,2.46075203,0.65223990,1.51637366,0.01536989,0.06258848,0.04152345,0.26661951,0.32804191,0.21424191
-5.90395198,2.59114490,0.67613234,1.59248786,0.01704392,0.06743601,0.04203131,0.28320422,0.35682382,0.22389704
-5.89794897,2.72979485,0.70311333,1.67286820,0.01878755,0.07254722,0.04260476,0.30108593,0.38696339,0.23450068
-5.89194597,2.87513543,0.73272422,1.75665409,0.02058127,0.07786966,0.04323979,0.32008435,0.41814239,0.24587931
-5.88594297,3.02536697,0.76441637,1.84287833,0.02240269,0.08333924,0.04392907,0.33998991,0.44998517,0.25783040
-5.87993997,3.17848854,0.79756305,1.93048366,0.02422693,0.08888132,0.04466209,0.36056733,0.48206438,0.27012695
-5.87393697,3.33233695,0.83147412,2.01834195,0.02602720,0.09441218,0.04542548,0.38155992,0.51390917,0.28252285
-5.86793397,3.48463177,0.86541310,2.10527562,0.02777536,0.09984107,0.04620340,0.40269443,0.54501561,0.29475914
-5.86193097,3.63302544,0.89861634,2.19008081,0.02944271,0.10507254,0.04697807,0.42368648,0.57485914,0.30657074
-5.85592796,3.77515701,0.93031340,2.27155183,0.03100080,0.11000922,0.04773029,0.44424630,0.60290872,0.31769372
-5.84992496,3.90870814,0.95974826,2.34850612,0.03242221,0.11455477,0.04844015,0.46408475,0.62864199,0.32787263
-5.84392196,4.03145926,0.98620033,2.41980923,0.03368144,0.11861692,0.04908764,0.48291932,0.65156107,0.33686792
-5.83791896,4.14134432,1.00900476,2.48439887,0.03475571,0.12211054,0.04965331,0.50048000,0.67120823,0.34446287
-5.83191596,4.23650209,1.02757112,2.54130753,0.03562567,0.12496058,0.05011899,0.51651488,0.68718082,0.35047008
-5.82591296,4.31532221,1.04139978,2.58968283,0.03627608,0.12710467,0.05046834,0.53079520,0.69914480,0.35473699
-5.81990995,4.37648455,1.05009542,2.62880508,0.03669629,0.12849544,0.05068742,0.54311985,0.70684627,0.35715051
-5.81390695,4.41899028,1.05337712,2.65810166,0.03688060,0.12910228,0.05076518,0.55331904,0.71012044,0.35764027
-5.80790395,4.44218404,1.05108466,2.67715770,0.03682843,0.12891254,0.05069383,0.56125723,0.70889774,0.35618060
-5.80190095,4.44576645,1.04318089,2.68572310,0.03654436,0.12793216,0.05046911,0.56683518,0.70320665,0.35279104
-5.79589795,4.42979684,1.02975014,2.68371583,0.03603795,0.12618560,0.05009050,0.56999110,0.69317325,0.34753550
-5.78989495,4.39468678,1.01099284,2.67122161,0.03532341,0.12371519,0.04956126,0.57070102,0.67901754,0.34051996
-5.78389195,4.34118479,0.98721666,2.64849031,0.03441914,0.12057985,0.04888847,0.56897838,0.66104656,0.33188894
-5.77788894,4.27035353,0.95882467,2.61592950,0.03334712,0.11685329,0.04808285,0.56487300,0.63964488,0.32182095
-5.77188594,4.18354066,0.92630115,2.57409559,0.03213223,0.11262173,0.04715864,0.55846939,0.61526274,0.31052298
-5.76588294,4.08234467,0.89019567,2.52368288,0.03080152,0.10798130,0.04613329,0.54988473,0.58840242,0.29822444
-5.75987994,3.96857736,0.85110608,2.46551127,0.02938341,0.10303520,0.04502720,0.53926641,0.55960350,0.28517063
-5.75387694,3.84422416,0.80966135,2.40051272,0.02790693,0.09789067,0.04386335,0.52678935,0.52942757,0.27161617
-5.74787394,3.71140362,0.76650459,2.32971692,0.02640098,0.09265610,0.04266689,0.51265316,0.49844297,0.25781845
-5.74187094,3.57232715,0.72227714,2.25423637,0.02489362,0.08743802,0.04146474,0.49707909,0.46721024,0.24403144
-5.73586793,3.42925971,0.67760408,2.17525093,0.02341151,0.08233851,0.04028510,0.48030690,0.43626862,0.23049996
-5.72986493,3.28448215,0.63308148,2.09399183,0.02197934,0.07745270,0.03915700,0.46259166,0.40612409,0.21745460
-5.72386193,3.14025538,0.58926583,2.01172525,0.02061943,0.07286673,0.03810974,0.44420032,0.37723920,0.20510730
-5.71785893,2.99878664,0.54666557,1.92973517,0.01935138,0.06865598,0.03717238,0.42540822,0.35002496,0.19364773
-5.71185593,2.86219769,0.50573487,1.84930551,0.01819186,0.06488378,0.03637311,0.40649541,0.32483472,0.18324040
-5.70585293,2.73249496,0.46686953,1.77170150,0.01715443,0.06160052,0.03573866,0.38774270,0.30196016,0.17402254
-5.69984992,2.61154138,0.43040479,1.69815028,0.01624950,0.05884305,0.03529365,0.36942766,0.28162924,0.16610266
-5.69384692,2.50103001,0.39661493,1.62982080,0.01548430,0.05663467,0.03505989,0.35182029,0.26400595,0.15955981
-5.68784392,2.40245924,0.36571419,1.56780325,0.01486296,0.05498521,0.03505572,0.33517863,0.24919162,0.15444330
-5.68184092,2.31710986,0.33785904,1.51308831,0.01438657,0.05389170,0.03529531,0.31974428,0.23722768,0.15077307
-5.67583792,2.24602427,0.31315122,1.46654675,0.01405337,0.05333909,0.03578803,0.30573795,0.22809945,0.14854043
-5.66983492,2.18998819,0.29164147,1.42890985,0.01385886,0.05330138,0.03653784,0.29335510,0.22174094,0.14770920
-5.66383192,2.14951552,0.27333377,1.40075129,0.01379605,0.05374285,0.03754279,0.28276183,0.21804022,0.14821725
-5.65782891,2.12483693,0.25818978,1.38247123,0.01385564,0.05461953,0.03879464,0.27409124,0.21684545,0.14997837
-5.65182591,2.11589298,0.24613347,1.37428319,0.01402626,0.05588077,0.04027858,0.26744024,0.21797113,0.15288449
-5.64582291,2.12233242,0.23705580,1.37620458,0.01429474,0.05747092,0.04197321,0.26286712,0.22120464,0.15680815
-5.63981991,2.14351637,0.23081944,1.38805132,0.01464644,0.05933107,0.04385065,0.26038988,0.22631296,0.16160538
-5.63381691,2.17852880,0.22726339,1.40943723,0.01506547,0.06140081,0.04587691,0.25998551,0.23304930,0.16711882
-5.62781391,2.22619380,0.22620772,1.43977845,0.01553514,0.06362000,0.04801246,0.26159027,0.24115983,0.17318112
-5.62181091,2.28509960,0.22745812,1.47830331,0.01603822,0.06593049,0.05021308,0.26510101,0.25039016,0.17961862
-5.61580790,2.35362934,0.23081055,1.52406751,0.01655739,0.06827772,0.05243085,0.27037758,0.26049171,0.18625519
-5.60980490,2.42999795,0.23605574,1.57597464,0.01707560,0.07061224,0.05461540,0.27724631,0.27122767,0.19291624
-5.60380190,2.51229468,0.24298362,1.63280155,0.01757648,0.07289101,0.05671527,0.28550440,0.28237856,0.19943269
-5.59779890,2.59852995,0.25138764,1.69322815,0.01804472,0.07507848,0.05867938,0.29492525,0.29374720,0.20564499
-5.59179590,2.68668547,0.26106876,1.75587077,0.01846643,0.07714743,0.06045858,0.30526448,0.30516292,0.21140681
-5.58579290,2.77476595,0.27183913,1.81931816,0.01882953,0.07907952,0.06200715,0.31626655,0.31648486,0.21658855
-5.57978989,2.86085086,0.28352531,1.88216916,0.01912396,0.08086545,0.06328424,0.32767161,0.32760425,0.22108026
-5.57378689,2.94314435,0.29597085,1.94307058,0.01934200,0.08250485,0.06425520,0.33922263,0.33844544,0.22479417
-5.56778389,3.02002152,0.30903818,2.00075431,0.01947834,0.08400574,0.06489265,0.35067221,0.34896564,0.22766636
-5.56178089,3.09006947,0.32260965,2.05407207,0.01953025,0.08538368,0.06517737,0.36178916,0.35915328,0.22965781
-5.55577789,3.15212133,0.33658764,2.10202674,0.01949751,0.08666059,0.06509886,0.37236439,0.36902501,0.23075457
-5.54977489,3.20528210,0.35089377,2.14379893,0.01938235,0.08786323,0.06465558,0.38221595,0.37862130,0.23096705
-5.54377189,3.24894510,0.36546709,2.17876789,0.01918926,0.08902148,0.06385487,0.39119312,0.38800096,0.23032858
-5.53776888,3.28279856,0.38026146,2.20652578,0.01892473,0.09016645,0.06271258,0.39917922,0.39723450,0.22889312
-5.53176588,3.30682194,0.39524203,2.22688483,0.01859694,0.09132847,0.06125232,0.40609328,0.40639694,0.22673227
-5.52576288,3.32127227,0.41038127,2.23987707,0.01821537,0.09253510,0.05950455,0.41189024,0.41556010,0.22393177
-5.51975988,3.32666107,0.42565445,2.24574651,0.01779039,0.09380921,0.05750529,0.41656001,0.42478495,0.22058756
-5.51375688,3.32372303,0.44103503,2.24493426,0.01733279,0.09516726,0.05529485,0.42012516,0.43411433,0.21680161
-5.50775388,3.31337765,0.45649024,2.23805699,0.01685337,0.09661788,0.05291632,0.42263760,0.44356648,0.21267771
-5.50175088,3.29668576,0.47197692,2.22587983,0.01636253,0.09816078,0.05041409,0.42417428,0.45312972,0.20831735
-5.49574787,3.27480267,0.48743814,2.20928455,0.01586986,0.09978609,0.04783238,0.42483220,0.46275876,0.20381597
-5.48974487,3.24892999,0.50280065,2.18923455,0.01538382,0.10147418,0.04521390,0.42472291,0.47237267,0.19925967
-5.48374187,3.22026810,0.51797346,2.16673790,0.01491149,0.10319595,0.04259862,0.42396685,0.48185492,0.19472249
