energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,8.01728130,0.00446737,1.85868853,2.12522322,0.28109227,2.91661046,3.11656117,0.01304904,2.07326494
-5.99399700,7.91709384,0.00445929,1.87014508,2.06068543,0.27035733,2.90667805,3.12106328,0.01239863,2.00355700
-5.98799400,7.79730654,0.00448130,1.87490912,1.99406081,0.25897798,2.89069760,3.11401324,0.01187271,1.93172482
-5.98199100,7.66083517,0.00453796,1.87307087,1.92701849,0.24718902,2.86960418,3.09572891,0.01146895,1.85929516
-5.97598799,7.51081323,0.00463337,1.86484308,1.86113139,0.23523010,2.84434259,3.06675197,0.01118598,1.78775289
-5.96998499,7.35048381,0.00477101,1.85055126,1.79782883,0.22333807,2.81582923,3.02782850,0.01102322,1.71849276
-5.96398199,7.18309268,0.00495368,1.83062048,1.73835657,0.21173971,2.78491757,2.97988272,0.01098051,1.65277656
-5.95797899,7.01178636,0.00518348,1.80555899,1.68374516,0.20064519,2.75236866,2.92398486,0.01105788,1.59169726
-5.95197599,6.83951859,0.00546173,1.77593946,1.63478785,0.19024240,2.71882766,2.86131432,0.01125529,1.53615103
-5.94597299,6.66896806,0.00578898,1.74237849,1.59202826,0.18069238,2.68480725,2.79311958,0.01157233,1.48681798
-5.93996998,6.50247000,0.00616499,1.70551541,1.55575776,0.17212586,2.65067816,2.72067652,0.01200806,1.44415167
-5.93396698,6.34196329,0.00658875,1.66599113,1.52602224,0.16464104,2.61666708,2.64524694,0.01256072,1.40837730
-5.92796398,6.18895444,0.00705849,1.62442823,1.50263712,0.15830253,2.58286136,2.56803920,0.01322764,1.37949805
-5.92196098,6.04449903,0.00757172,1.58141298,1.48520957,0.15314137,2.54922023,2.49017265,0.01400500,1.35730850
-5.91595798,5.90920046,0.00812526,1.53748028,1.47316644,0.14915620,2.51559136,2.41264761,0.01488776,1.34141436
-5.90995498,5.78322549,0.00871526,1.49310212,1.46578640,0.14631517,2.48173203,2.33632215,0.01586954,1.33125689
-5.90395198,5.66633531,0.00933727,1.44868002,1.46223446,0.14455874,2.44733343,2.26189678,0.01694251,1.32614089
-5.89794897,5.55793030,0.00998622,1.40454184,1.46159765,0.14380302,2.41204717,2.18990758,0.01809737,1.32526487
-5.89194597,5.45710665,0.01065655,1.36094293,1.46291998,0.14394351,2.37551249,2.12072808,0.01932334,1.32775211
-5.88594297,5.36272196,0.01134216,1.31807139,1.46523575,0.14485923,2.33738322,2.05457946,0.02060813,1.33268132
-5.87993997,5.27346751,0.01203652,1.27605719,1.46760002,0.14641689,2.29735325,1.99154841,0.02193798,1.33911618
-5.87393697,5.18794406,0.01273268,1.23498432,1.46911544,0.14847516,2.25517980,1.93161158,0.02329779,1.34613259
-5.86793397,5.10473834,0.01342337,1.19490543,1.46895498,0.15088878,2.21070350,1.87466502,0.02467122,1.35284333
-5.86193097,5.02249759,0.01410103,1.15585781,1.46638025,0.15351252,2.16386487,1.82055698,0.02604087,1.35841943
-5.85592796,4.93999911,0.01475791,1.11787997,1.46075541,0.15620482,2.11471681,1.76912211,0.02738853,1.36210820
-5.84992496,4.85621277,0.01538620,1.08102766,1.45155693,0.15883119,2.06343277,1.72021521,0.02869541,1.36324779
