energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,3.66141313,-3.74706630,0.64433183,-0.55519457,2.11809487,-2.13989058,0.67080008,-0.84792230,0.51162927,-0.50923195,0.00274377,-0.00148151,0.44524050,-0.59958384,0.04109909,-0.04188121,0.41277131,-0.38143744
-5.99399700,3.58385496,-3.77552751,0.62882683,-0.55970521,2.08455658,-2.13662511,0.63739828,-0.85766880,0.48882229,-0.52312824,0.00298856,-0.00164118,0.42133525,-0.61348960,0.04092342,-0.04219854,0.41277430,-0.38195616
-5.98799400,3.51290125,-3.80903042,0.61521373,-0.56563448,2.05443661,-2.13580042,0.60591521,-0.86866956,0.46740026,-0.53787347,0.00325152,-0.00181478,0.39834176,-0.62822913,0.04083884,-0.04259501,0.41359957,-0.38308099
-5.98199100,3.44919123,-3.84750668,0.60374797,-0.57291473,2.02808669,-2.13760404,0.57654046,-0.88085518,0.44750708,-0.55330609,0.00353200,-0.00200254,0.37638927,-0.64362165,0.04083599,-0.04307017,0.41522980,-0.38492880
-5.97598799,3.39319613,-3.89064585,0.59464405,-0.58143464,2.00578451,-2.14209892,0.54941999,-0.89408516,0.42924679,-0.56922671,0.00382888,-0.00220460,0.35558000,-0.65943899,0.04090250,-0.04362031,0.41761970,-0.38759076
-5.96998499,3.34521984,-3.93790651,0.58807365,-0.59104545,1.98773044,-2.14922917,0.52465835,-0.90814994,0.41268578,-0.58540096,0.00414061,-0.00242097,0.33599051,-0.67540943,0.04102337,-0.04423854,0.42069809,-0.39112936
-5.96398199,3.30540224,-3.98853707,0.58416452,-0.60156858,1.97404504,-2.15883062,0.50232110,-0.92277598,0.39785571,-0.60156412,0.00446515,-0.00265151,0.31767334,-0.69122360,0.04118147,-0.04491505,0.42437096,-0.39557631
-5.95797899,3.27372537,-4.04160508,0.58300021,-0.61280432,1.96476781,-2.17064522,0.48243737,-0.93763386,0.38475719,-0.61742721,0.00479997,-0.00289590,0.30065884,-0.70654238,0.04135804,-0.04563740,0.42852521,-0.40093151
-5.95197599,3.25002264,-4.09603345,0.58462055,-0.62454083,1.95985746,-2.18433842,0.46500254,-0.95234899,0.37336384,-0.63268458,0.00514213,-0.00315363,0.28495724,-0.72100647,0.04153329,-0.04639086,0.43303330,-0.40716308
-5.94597299,3.23399102,-4.15064155,0.58902294,-0.63656327,1.95919402,-2.19951829,0.44998103,-0.96651444,0.36362671,-0.64702247,0.00548826,-0.00342397,0.27056080,-0.73424727,0.04168705,-0.04715887,0.43775820,-0.41420835
-5.93996998,3.22520623,-4.20418933,0.59616445,-0.64866236,1.96258316,-2.21575537,0.43730920,-0.97970555,0.35547877,-0.66012842,0.00583464,-0.00370596,0.25744609,-0.74589861,0.04179934,-0.04792348,0.44255885,-0.42197589
-5.93396698,3.22314080,-4.25542225,0.60596461,-0.66064217,1.96976260,-2.23260210,0.42689844,-0.99149549,0.34883947,-0.67170096,0.00617730,-0.00399838,0.24557639,-0.75560885,0.04185107,-0.04866579,0.44729566,-0.43034831
-5.92796398,3.22718444,-4.30311508,0.61830888,-0.67232661,1.98041073,-2.24961098,0.41863841,-1.00147110,0.34361911,-0.68145923,0.00651206,-0.00429975,0.23490406,-0.76305286,0.04182467,-0.04936648,0.45183599,-0.43918593
-5.92196098,3.23666630,-4.34611273,0.63305276,-0.68356461,1.99415720,-2.26635068,0.41240041,-1.00924843,0.33972291,-0.68915218,0.00683469,-0.00460831,0.22537307,-0.76794326,0.04170462,-0.05000620,0.45605921,-0.44833101
-5.91595798,3.25087836,-4.38336658,0.65002636,-0.69423365,2.01059498,-2.28241944,0.40804095,-1.01448717,0.33705476,-0.69456681,0.00714096,-0.00492207,0.21692139,-0.77004054,0.04147806,-0.05056606,0.45986133,-0.45761255
-5.90995498,3.26909894,-4.41396507,0.66903928,-0.70424165,2.02929355,-2.29745562,0.40540537,-1.01690337,0.33552048,-0.69753520,0.00742680,-0.00523873,0.20948346,-0.76916151,0.04113518,-0.05102801,0.46315878,-0.46685144
-5.90395198,3.29061555,-4.43715770,0.68988583,-0.71352738,2.04981241,-2.31114506,0.40433148,-1.01627998,0.33503050,-0.69794008,0.00768840,-0.00555582,0.20299240,-0.76518583,0.04066963,-0.05137529,0.46589133,-0.47586580
