energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,1.89883671,0.01639989,0.00000000,0.00904348,0.12316616,0.51378487,0.64675206,0.01151091,1.09571352
-5.99399700,1.89514505,0.01578246,0.00000000,0.00916000,0.12244117,0.50980253,0.65939411,0.01132334,1.08745740
-5.98799400,1.89944482,0.01519393,0.00000000,0.00941359,0.12250927,0.50815489,0.67475523,0.01115298,1.08323165
-5.98199100,1.91192927,0.01464135,0.00000000,0.00980858,0.12340721,0.50894956,0.69276538,0.01100740,1.08318834
-5.97598799,1.93262894,0.01413105,0.00000000,0.01034793,0.12515503,0.51225488,0.71328855,0.01089345,1.08739973
-5.96998499,1.96140589,0.01366840,0.00000000,0.01103308,0.12775478,0.51809703,0.73612341,0.01081708,1.09585442
-5.96398199,1.99795292,0.01325772,0.00000000,0.01186387,0.13118993,0.52645809,0.76100651,0.01078310,1.10845576
-5.95797899,2.04179855,0.01290223,0.00000000,0.01283840,0.13542534,0.53727520,0.78761814,0.01079494,1.12502310
-5.95197599,2.09231806,0.01260391,0.00000000,0.01395292,0.14040801,0.55044094,0.81559060,0.01085459,1.14529587
-5.94597299,2.14875040,0.01236356,0.00000000,0.01520178,0.14606853,0.56580510,0.84451909,0.01096248,1.16894067
-5.93996998,2.21022077,0.01218078,0.00000000,0.01657736,0.15232318,0.58317764,0.87397442,0.01111748,1.19556118
-5.93396698,2.27576804,0.01205407,0.00000000,0.01807006,0.15907679,0.60233298,0.90351748,0.01131698,1.22471051
-5.92796398,2.34437601,0.01198087,0.00000000,0.01966835,0.16622606,0.62301529,0.93271460,0.01155700,1.25590556
-5.92196098,2.41500717,0.01195775,0.00000000,0.02135884,0.17366348,0.64494467,0.96115326,0.01183239,1.28864270
-5.91595798,2.48663753,0.01198053,0.00000000,0.02312643,0.18128141,0.66782389,0.98845742,0.01213703,1.32241414
-5.90995498,2.55829089,0.01204447,0.00000000,0.02495452,0.18897646,0.69134547,1.01430170,0.01246418,1.35672414
-5.90395198,2.62907099,0.01214444,0.00000000,0.02682519,0.19665368,0.71519877,1.03842370,0.01280672,1.39110433
-5.89794897,2.69818998,0.01227507,0.00000000,0.02871954,0.20423061,0.73907688,1.06063392,0.01315749,1.42512748
-5.89194597,2.76499192,0.01243095,0.00000000,0.03061798,0.21164081,0.76268299,1.08082269,0.01350963,1.45841897
-5.88594297,2.82897017,0.01260680,0.00000000,0.03250056,0.21883680,0.78573609,1.09896367,0.01385682,1.49066571
