energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up
-6.00000000,5.22402771,1.02930493,3.27631269,0.01632049,0.05852554,0.27439441,1.09524400,0.87682626,0.00000000
-5.99399700,5.16910002,0.97488858,3.31337746,0.01556659,0.05366602,0.25716754,1.04639986,0.83818894,0.00000000
-5.98799400,5.11035589,0.92161807,3.34729519,0.01481236,0.04906050,0.24103480,0.99618867,0.79943475,0.00000000
-5.98199100,5.04843765,0.86970560,3.37818101,0.01406050,0.04472108,0.22591839,0.94503118,0.76076805,0.00000000
-5.97598799,4.98403722,0.81933611,3.40622517,0.01331324,0.04065460,0.21173418,0.89333730,0.72238390,0.00000000
-5.96998499,4.91788461,0.77066971,3.43168240,0.01257246,0.03686333,0.19839614,0.84150161,0.68446789,0.00000000
-5.96398199,4.85073019,0.72384337,3.45485505,0.01183983,0.03334562,0.18582032,0.78989927,0.64719554,0.00000000
-5.95797899,4.78332097,0.67897230,3.47607053,0.01111693,0.03009664,0.17392800,0.73888249,0.61073154,0.00000000
-5.95197599,4.71637243,0.63615062,3.49565456,0.01040532,0.02710904,0.16264812,0.68877744,0.57522851,0.00000000
-5.94597299,4.65053753,0.59545166,3.51390182,0.00970664,0.02437364,0.15191894,0.63988161,0.54082571,0.00000000
-5.93996998,4.58637508,0.55692797,3.53104626,0.00902263,0.02188003,0.14168905,0.59246171,0.50764738,0.00000000
-5.93396698,4.52432009,0.52061108,3.54723339,0.00835517,0.01961712,0.13191757,0.54675207,0.47580127,0.00000000
-5.92796398,4.46465866,0.48651143,3.56249704,0.00770622,0.01757367,0.12257393,0.50295360,0.44537713,0.00000000
-5.92196098,4.40750999,0.45461837,3.57674291,0.00707783,0.01573870,0.11363701,0.46123335,0.41644559,0.00000000
-5.91595798,4.35281777,0.42490060,3.58974100,0.00647206,0.01410193,0.10509404,0.42172471,0.38905737,0.00000000
-5.90995498,4.30035257,0.39730717,3.60112841,0.00589093,0.01265403,0.09693923,0.38452825,0.36324311,0.00000000
-5.90395198,4.24972664,0.37176907,3.61042351,0.00533634,0.01138700,0.08917216,0.34971319,0.33901376,0.00000000
-5.89794897,4.20042105,0.34820143,3.61705168,0.00481003,0.01029434,0.08179629,0.31731961,0.31636173,0.00000000
-5.89194597,4.15182502,0.32650655,3.62038200,0.00431349,0.00937127,0.07481746,0.28736114,0.29526265,0.00000000
-5.88594297,4.10328587,0.30657743,3.61977360,0.00384792,0.00861493,0.06824252,0.25982833,0.27567788,0.00000000
-5.87993997,4.05416744,0.28830191,3.61462942,0.00341418,0.00802444,0.06207823,0.23469241,0.25755759,0.00000000
-5.87393697,4.00391423,0.27156721,3.60445482,0.00301280,0.00760107,0.05633036,0.21190950,0.24084432,0.00000000
-5.86793397,3.95211769,0.25626465,3.58891763,0.00264393,0.00734824,0.05100312,0.19142501,0.22547682,0.00000000
-5.86193097,3.89858115,0.24229445,3.56790629,0.00230737,0.00727158,0.04609879,0.17317820,0.21139417,0.00000000
-5.85592796,3.84337940,0.22957029,3.54158247,0.00200259,0.00737886,0.04161768,0.15710670,0.19853979,0.00000000
-5.84992496,3.78690940,0.21802351,3.51042477,0.00172876,0.00767993,0.03755833,0.14315090,0.18686523,0.00000000
-5.84392196,3.72992870,0.20760670,3.47526052,0.00148482,0.00818656,0.03391792,0.13125794,0.17633367,0.00000000
-5.83791896,3.67357889,0.19829651,3.43728321,0.00126951,0.00891221,0.03069279,0.12138533,0.16692280,0.00000000
-5.83191596,3.61939215,0.19009559,3.39805385,0.00108144,0.00987175,0.02787916,0.11350396,0.15862699,0.00000000
-5.82591296,3.56927965,0.18303339,3.35948534,0.00091918,0.01108105,0.02547387,0.10760040,0.15145873,0.00000000
-5.81990995,3.52550167,0.17716603,3.32380985,0.00078130,0.01255656,0.02347519,0.10367842,0.14544916,0.00000000
-5.81390695,3.49062005,0.17257487,3.29352999,0.00066648,0.01431469,0.02188355,0.10175979,0.14064772,0.00000000
-5.80790395,3.46743463,0.16936416,3.27135554,0.00057356,0.01637123,0.02070230,0.10188403,0.13712089,0.00000000
-5.80190095,3.45890592,0.16765757,3.26012788,0.00050163,0.01874063,0.01993831,0.10410750,0.13495009,0.00000000
-5.79589795,3.46806685,0.16759379,3.26273532,0.00045008,0.02143523,0.01960250,0.10850148,0.13422881,0.00000000
-5.78989495,3.49792724,0.16932137,3.28202225,0.00041870,0.02446447,0.01971027,0.11514963,0.13505906,0.00000000
