energy_ev,total_up,Mo_p_up,Mo_d_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up
-6.00000000,2.77087824,0.72568234,1.59751089,0.31450175,0.00213644,1.61706341,0.00000000
-5.99399700,2.93841991,0.77400648,1.68949105,0.33280550,0.00229150,1.71521344,0.00000000
-5.98799400,3.09737584,0.82063715,1.77568035,0.35004421,0.00244236,1.80848235,0.00000000
-5.98199100,3.24550803,0.86496957,1.85473069,0.36596710,0.00258694,1.89558524,0.00000000
-5.97598799,3.38072932,0.90643056,1.92538474,0.38034189,0.00272320,1.97532567,0.00000000
-5.96998499,3.50117004,0.94449697,1.98651571,0.39296215,0.00284924,2.04663411,0.00000000
-5.96398199,3.60524009,0.97871306,2.03716474,0.40365415,0.00296332,2.10860347,0.00000000
-5.95797899,3.69168330,1.00870592,2.07657435,0.41228272,0.00306393,2.16052018,0.00000000
-5.95197599,3.75962162,1.03419825,2.10421617,0.41875601,0.00314985,2.20188920,0.00000000
-5.94597299,3.80858653,1.05501766,2.11981172,0.42302884,0.00322018,2.23245153,0.00000000
-5.93996998,3.83853604,1.07110202,2.12334510,0.42510433,0.00327438,2.25219330,0.00000000
-5.93396698,3.84985583,1.08250050,2.11506668,0.42503394,0.00331226,2.26134562,0.00000000
-5.92796398,3.84334449,1.08937016,2.09548758,0.42291561,0.00333400,2.26037511,0.00000000
-5.92196098,3.82018284,1.09196821,2.06536482,0.41889034,0.00334014,2.24996530,0.00000000
-5.91595798,3.78188884,1.09064034,2.02567772,0.41313707,0.00333155,2.23098957,0.00000000
-5.90995498,3.73025995,1.08580563,1.97759632,0.40586631,0.00330935,2.20447706,0.00000000
-5.90395198,3.66730559,1.07793904,1.92244335,0.39731271,0.00327492,2.17157280,0.00000000
-5.89794897,3.59517297,1.06755218,1.86165109,0.38772692,0.00322981,2.13349426,0.00000000
-5.89194597,3.51606983,1.05517370,1.79671513,0.37736718,0.00317565,2.09148626,0.00000000
-5.88594297,3.43218778,1.04133016,1.72914709,0.36649101,0.00311416,2.04677652,0.00000000
-5.87993997,3.34563011,1.02652867,1.66042823,0.35534744,0.00304701,2.00053392,0.00000000
-5.87393697,3.25834721,1.01124210,1.59196596,0.34417002,0.00297580,1.95383160,0.00000000
-5.86793397,3.17208284,0.99589773,1.52505517,0.33317113,0.00290203,1.90761651,0.00000000
-5.86193097,3.08833336,0.98086993,1.46084572,0.32253767,0.00282702,1.86268672,0.00000000
-5.85592796,3.00832159,0.96647711,1.40031756,0.31242838,0.00275193,1.81967749,0.00000000
-5.84992496,2.93298596,0.95298313,1.34426393,0.30297276,0.00267771,1.77905633,0.00000000
-5.84392196,2.86298472,0.94060265,1.29328330,0.29427173,0.00260511,1.74112688,0.00000000
-5.83791896,2.79871419,0.92951015,1.24777975,0.28639973,0.00253473,1.70604108,0.00000000
-5.83191596,2.74033920,0.91985170,1.20797131,0.27940815,0.00246698,1.67381835,0.00000000
-5.82591296,2.68783324,0.91175842,1.17390533,0.27332984,0.00240215,1.64437027,0.00000000
-5.81990995,2.64102527,0.90536076,1.14547961,0.26818422,0.00234041,1.61752913,0.00000000
-5.81390695,2.59964986,0.90080211,1.12246772,0.26398277,0.00228190,1.59307816,0.00000000
-5.80790395,2.56339736,0.89825085,1.10454696,0.26073444,0.00222671,1.57078154,0.00000000
-5.80190095,2.53196058,0.89790951,1.09132704,0.25845058,0.00217493,1.55041231,0.00000000
-5.79589795,2.50507521,0.90002024,1.08237801,0.25714905,0.00212668,1.53177625,0.00000000
-5.78989495,2.48255124,0.90486586,1.07725565,0.25685721,0.00208212,1.51473055,0.00000000
-5.78389195,2.46429362,0.91276594,1.07552325,0.25761360,0.00204146,1.49919594,0.00000000
-5.77788894,2.45031089,0.92406786,1.07676855,0.25946801,0.00200498,1.48516186,0.00000000
-5.77188594,2.44071156,0.93913298,1.08061530,0.26248006,0.00197297,1.47268441,0.00000000
-5.76588294,2.43568843,0.95831838,1.08672914,0.26671617,0.00194576,1.46187744,0.00000000
-5.75987994,2.43549237,0.98195500,1.09481792,0.27224513,0.00192366,1.45289748,0.00000000
-5.75387694,2.44039715,1.01032319,1.10462685,0.27913239,0.00190697,1.44592376,0.00000000
-5.74787394,2.45065799,1.04362712,1.11592945,0.28743356,0.00189589,1.44113468,0.00000000
-5.74187094,2.46646667,1.08196916,1.12851527,0.29718724,0.00189053,1.43868244,0.00000000
-5.73586793,2.48790619,1.12532608,1.14217569,0.30840773,0.00189088,1.43866762,0.00000000
-5.72986493,2.51490843,1.17352838,1.15668917,0.32107809,0.00189674,1.44111551,0.00000000
-5.72386193,2.54721745,1.22624421,1.17180734,0.33514386,0.00190777,1.44595586,0.00000000
-5.71785893,2.58436152,1.28296911,1.18724321,0.35050803,0.00192341,1.45300747,0.00000000
-5.71185593,2.62563580,1.34302266,1.20266264,0.36702747,0.00194290,1.46196886,0.00000000
-5.70585293,2.67009743,1.40555254,1.21767994,0.38451132,0.00196533,1.47241573,0.00000000
-5.69984992,2.71657381,1.46954652,1.23185807,0.40272137,0.00198959,1.48380570,0.00000000
-5.69384692,2.76368429,1.53385216,1.24471387,0.42137476,0.00201445,1.49549017,0.00000000
-5.68784392,2.80987447,1.59720384,1.25572803,0.44014892,0.00203859,1.50673289,0.00000000
-5.68184092,2.85346186,1.65825612,1.26435931,0.45868863,0.00206062,1.51673434,0.00000000
-5.67583792,2.89269074,1.71562241,1.27006251,0.47661511,0.00207914,1.52466069,0.00000000
-5.66983492,2.92579377,1.76791712,1.27230883,0.49353666,0.00209281,1.52967601,0.00000000
-5.66383192,2.95105727,1.81379986,1.27060780,0.50906064,0.00210037,1.53097586,0.00000000
-5.65782891,2.96688722,1.85201951,1.26452924,0.52280616,0.00210072,1.52782084,0.00000000
-5.65182591,2.97187259,1.88145639,1.25372417,0.53441700,0.00209292,1.51956813,0.00000000
-5.64582291,2.96484324,1.90116059,1.23794340,0.54357424,0.00207629,1.50569981,0.00000000
-5.63981991,2.94491950,1.91038480,1.21705285,0.55000799,0.00205039,1.48584633,0.00000000
-5.63381691,2.91155145,1.90861016,1.19104465,0.55350776,0.00201503,1.45980430,0.00000000
-5.62781391,2.86454609,1.89556399,1.16004365,0.55393103,0.00197033,1.42754782,0.00000000
