energy_ev,total_up,Cd_p_up,Cd_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.50121284,0.22942221,0.19126265,0.63421930,0.58221004,0.02949413,0.05690879,0.02427306,0.51700108
-5.99399700,1.47912396,0.22464292,0.18633086,0.62798326,0.57533581,0.02898392,0.05543507,0.02338637,0.51310258
-5.98799400,1.45627598,0.21959004,0.18153282,0.62123207,0.56815729,0.02848769,0.05390599,0.02255388,0.50842214
-5.98199100,1.43198925,0.21420399,0.17680304,0.61368740,0.56035604,0.02799750,0.05231152,0.02176085,0.50272182
-5.97598799,1.40567991,0.20843603,0.17208109,0.60510001,0.55166614,0.02750547,0.05064382,0.02099346,0.49580361
-5.96998499,1.37688613,0.20225129,0.16731415,0.59526020,0.54188660,0.02700406,0.04889780,0.02023947,0.48751809
-5.96398199,1.34528922,0.19563131,0.16245906,0.58400657,0.53089105,0.02648631,0.04707157,0.01948881,0.47777127
-5.95797899,1.31072898,0.18857591,0.15748407,0.57123280,0.51863450,0.02594602,0.04516682,0.01873391,0.46652917
-5.95197599,1.27321298,0.18110435,0.15237009,0.55689219,0.50515703,0.02537794,0.04318904,0.01797009,0.45382021
-5.94597299,1.23291974,0.17325571,0.14711151,0.54099990,0.49058464,0.02477794,0.04114765,0.01719561,0.43973526
-5.93996998,1.19019608,0.16508855,0.14171649,0.52363299,0.47512716,0.02414313,0.03905587,0.01641171,0.42442569
-5.93396698,1.14554910,0.15667975,0.13620695,0.50492822,0.45907378,0.02347194,0.03693058,0.01562254,0.40809926
-5.92796398,1.09963342,0.14812283,0.13061804,0.48507804,0.44278637,0.02276426,0.03479196,0.01483486,0.39101454
-5.92196098,1.05323436,0.13952564,0.12499731,0.46432484,0.42669090,0.02202144,0.03266301,0.01405780,0.37347377
-5.91595798,1.00724804,0.13100770,0.11940361,0.44295393,0.41126752,0.02124635,0.03056903,0.01330248,0.35581479
-5.90995498,0.96265906,0.12269722,0.11390569,0.42128552,0.39703944,0.02044332,0.02853697,0.01258156,0.33840226
-5.90395198,0.92051671,0.11472806,0.10858062,0.39966613,0.38456121,0.01961818,0.02659481,0.01190883,0.32161851
-5.89794897,0.88191029,0.10723664,0.10351204,0.37845955,0.37440641,0.01877809,0.02477087,0.01129875,0.30585436
-5.89194597,0.84794429,0.10035900,0.09878831,0.35803798,0.36715529,0.01793145,0.02309318,0.01076596,0.29150009
-5.88594297,0.81971386,0.09422794,0.09450059,0.33877329,0.36338226,0.01708777,0.02158886,0.01032490,0.27893688
-5.87993997,0.79828097,0.08897055,0.09074081,0.32102876,0.36364373,0.01625740,0.02028353,0.00998936,0.26852876
-5.87393697,0.78465159,0.08470587,0.08759966,0.30515138,0.36846604,0.01545134,0.01920083,0.00977212,0.26061524
-5.86793397,0.77975404,0.08154286,0.08516457,0.29146489,0.37833393,0.01468097,0.01836193,0.00968454,0.25550461
-5.86193097,0.78441862,0.07957860,0.08351765,0.28026347,0.39367938,0.01395774,0.01778515,0.00973631,0.25346796
-5.85592796,0.79935873,0.07889669,0.08273370,0.27180617,0.41487108,0.01329288,0.01748560,0.00993511,0.25473395
-5.84992496,0.82515350,0.07956575,0.08287826,0.26631212,0.44220458,0.01269707,0.01747484,0.01028638,0.25948419
-5.84392196,0.86223209,0.08163802,0.08400570,0.26395635,0.47589326,0.01218017,0.01776068,0.01079307,0.26784933
-5.83791896,0.91085985,0.08514811,0.08615741,0.26486623,0.51606036,0.01175087,0.01834684,0.01145549,0.27990576
-5.83191596,0.97112652,0.09011162,0.08936017,0.26911863,0.56273219,0.01141648,0.01923280,0.01227110,0.29567304
-5.82591296,1.04293690,0.09652392,0.09362461,0.27673759,0.61583287,0.01118267,0.02041356,0.01323449,0.31511187
-5.81990995,1.12600414,0.10435891,0.09894397,0.28769258,0.67518072,0.01105325,0.02187951,0.01433723,0.33812292
-5.81390695,1.21984620,0.11356791,0.10529306,0.30189747,0.74048663,0.01103008,0.02361629,0.01556793,0.36454639
-5.80790395,1.32378566,0.12407870,0.11262761,0.31921013,0.81135456,0.01111291,0.02560470,0.01691231,0.39416248
-5.80190095,1.43695345,0.13579481,0.12088391,0.33943275,0.88728435,0.01129937,0.02782073,0.01835326,0.42669279
-5.79589795,1.55829652,0.14859523,0.12997890,0.36231314,0.96767690,0.01158502,0.03023565,0.01987116,0.46180281
-5.78989495,1.68658983,0.16233451,0.13981081,0.38754676,1.05184180,0.01196335,0.03281616,0.02144409,0.49910555
-5.78389195,1.82045253,0.17684353,0.15026012,0.41477998,1.13900717,0.01242599,0.03552474,0.02304825,0.53816625
-5.77788894,1.95836841,0.19193087,0.16119121,0.44361433,1.22833171,0.01296286,0.03832008,0.02465840,0.57850840
-5.77188594,2.09871017,0.20738503,0.17245440,0.47361191,1.31891855,0.01356242,0.04115770,0.02624841,0.61962076
-5.76588294,2.23976720,0.22297735,0.18388851,0.50430204,1.40983052,0.01421193,0.04399062,0.02779184,0.66096557
-5.75987994,2.37977632,0.23846582,0.19532397,0.53518899,1.50010659,0.01489781,0.04677029,0.02926257,0.70198765
-5.75387694,2.51695460,0.25359957,0.20658621,0.56576086,1.58877882,0.01560598,0.04944755,0.03063550,0.74212425
-5.74787394,2.64953369,0.26812411,0.21749943,0.59549941,1.67488946,0.01632221,0.05197368,0.03188719,0.78081560
-5.74187094,2.77579461,0.28178707,0.22789062,0.62389061,1.75750779,0.01703254,0.05430162,0.03299656,0.81751562
-5.73586793,2.89410214,0.29434433,0.23759370,0.65043580,1.83574621,0.01772367,0.05638706,0.03394543,0.85170291
-5.72986493,3.00293797,0.30556631,0.24645359,0.67466312,1.90877519,0.01838330,0.05818965,0.03471915,0.88289139
-5.72386193,3.10093170,0.31524422,0.25433024,0.69613889,1.97583700,0.01900056,0.05967408,0.03530700,0.91064059
-5.71785893,3.18688898,0.32319596,0.26110233,0.71447853,2.03625789,0.01956628,0.06081107,0.03570253,0.93456510
-5.71185593,3.25981609,0.32927149,0.26667066,0.72935686,2.08945855,0.02007333,0.06157818,0.03590384,0.95434315
-5.70585293,3.31894046,0.33335738,0.27096090,0.74051722,2.13496307,0.02051686,0.06196051,0.03591362,0.96972388
-5.69984992,3.36372664,0.33538043,0.27392591,0.74777914,2.17240612,0.02089449,0.06195112,0.03573912,0.98053328
