energy_ev,total_up,P_s_up,P_p_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-0.44722361,4.39545556,0.03533543,0.73718847,2.94147600,0.00000000,3.06556709,1.56772267
-0.44122061,4.43348823,0.03300024,0.75477652,2.98191483,0.00000000,3.10128243,1.56600582
-0.43521761,4.47286084,0.03079146,0.77856650,3.02034759,0.00000000,3.15093480,1.56405329
-0.42921461,4.51390348,0.02873464,0.80862814,3.05682194,0.00000000,3.21443195,1.56218051
-0.42321161,4.55699449,0.02685001,0.84500262,3.09144029,0.00000000,3.29164750,1.56072280
-0.41720860,4.60254866,0.02515244,0.88769506,3.12436240,0.00000000,3.38241305,1.56002352
-0.41120560,4.65100074,0.02365153,0.93666519,3.15580410,0.00000000,3.48650426,1.56042129
-0.40520260,4.70278438,0.02235185,0.99181652,3.18603158,0.00000000,3.60362133,1.56223669
-0.39919960,4.75830664,0.02125333,1.05298445,3.21535100,0.00000000,3.73336432,1.56575889
-0.39319660,4.81791918,0.02035167,1.11992398,3.24409357,0.00000000,3.87520492,1.57123264
-0.38719360,4.88188698,0.01963887,1.19229779,3.27259656,0.00000000,4.02845582,1.57884601
-0.38119060,4.95035640,0.01910371,1.26966541,3.30118136,0.00000000,4.19224015,1.58871960
-0.37518759,5.02332437,0.01873230,1.35147452,3.33012977,0.00000000,4.36546290,1.60089748
-0.36918459,5.10061085,0.01850859,1.43705519,3.35966014,0.00000000,4.54678701,1.61534059
-0.36318159,5.18183700,0.01841491,1.52561786,3.38990535,0.00000000,4.73461656,1.63192297
-0.35717859,5.26641089,0.01843237,1.61625584,3.42089422,0.00000000,4.92708936,1.65043124
-0.35117559,5.35352315,0.01854139,1.70795283,3.45253832,0.00000000,5.12208091,1.67056783
-0.34517259,5.44215372,0.01872208,1.79959573,3.48462550,0.00000000,5.31722137,1.69195788
-0.33916958,5.53109080,0.01895467,1.88999276,3.51682135,0.00000000,5.50992608,1.71416024
-0.33316658,5.61896226,0.01921989,1.97789663,3.54867918,0.00000000,5.69744004,1.73668195
-0.32716358,5.70427866,0.01949931,2.06203210,3.57965829,0.00000000,5.87689521,1.75899622
-0.32116058,5.78548664,0.01977576,2.14112706,3.60915017,0.00000000,6.04537918,1.78056303
-0.31515758,5.86103015,0.02003357,2.21394601,3.63651104,0.00000000,6.20001265,1.80085158
-0.30915458,5.92941652,0.02025896,2.27932441,3.66109904,0.00000000,6.33803263,1.81936361
-0.30315158,5.98928383,0.02044024,2.33620266,3.68231355,0.00000000,6.45687758,1.83565626
-0.29714857,6.03946546,0.02056808,2.38365793,3.69963418,0.00000000,6.55427063,1.84936338
-0.29114557,6.07904784,0.02063567,2.42093256,3.71265649,0.00000000,6.62829674,1.86021389
-0.28514257,6.10741765,0.02063881,2.44745755,3.72112184,0.00000000,6.67746999,1.86804603
-0.27913957,6.12429493,0.02057596,2.46287022,3.72493890,0.00000000,6.70078766,1.87281650
-0.27313657,6.12974973,0.02044820,2.46702504,3.72419502,0.00000000,6.69776831,1.87460367
-0.26713357,6.12420056,0.02025908,2.45999743,3.71915610,0.00000000,6.66847196,1.87360446
-0.26113057,6.10839420,0.02001440,2.44208020,3.71025458,0.00000000,6.61350157,1.87012460
-0.25512756,6.08336756,0.01972190,2.41377322,3.69806586,0.00000000,6.53398569,1.86456289
-0.24912456,6.05039358,0.01939092,2.37576670,3.68327439,0.00000000,6.43154352,1.85738977
-0.24312156,6.01091407,0.01903189,2.32891914,3.66663146,0.00000000,6.30823410,1.84912153
-0.23711856,5.96646344,0.01865592,2.27423111,3.64890730,0.00000000,6.16649244,1.84029127
-0.23111556,5.91858780,0.01827425,2.21281602,3.63084071,0.00000000,6.00905570,1.83141843
-0.22511256,5.86876445,0.01789777,2.14586934,3.61308955,0.00000000,5.83888284,1.82297841
-0.21910955,5.81832647,0.01753648,2.07463737,3.59618564,0.00000000,5.65907142,1.81537412
