energy_ev,total_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,5.55884559,2.44044861,2.16291261,0.02754875,2.13242811,0.86535619,0.00000000
-5.99399700,5.33849521,2.43145278,2.08303951,0.02664344,2.01531538,0.85442237,0.00000000
-5.98799400,5.13391284,2.42683950,2.00979579,0.02606743,1.90561065,0.84518264,0.00000000
-5.98199100,4.94783312,2.42725505,1.94441549,0.02585415,1.80438157,0.83812520,0.00000000
-5.97598799,4.78261149,2.43327162,1.88799057,0.02603407,1.71249129,0.83373301,0.00000000
-5.96998499,4.64019662,2.44537282,1.84145834,0.02663412,1.63059050,0.83247676,0.00000000
-5.96398199,4.52211253,2.46394045,1.80559231,0.02767708,1.55911525,0.83480703,0.00000000
-5.95797899,4.42944965,2.48924288,1.78099592,0.02918108,1.49829014,0.84114533,0.00000000
-5.95197599,4.36286358,2.52142498,1.76809862,0.03115894,1.44813643,0.85187401,0.00000000
-5.94597299,4.32258028,2.56050004,1.76715367,0.03361766,1.40848426,0.86732502,0.00000000
-5.93996998,4.30840676,2.60634366,1.77823744,0.03655783,1.37898830,0.88776767,0.00000000
-5.93396698,4.31974614,2.65869013,1.80124965,0.03997316,1.35914612,0.91339577,0.00000000
-5.92796398,4.35561658,2.71713141,1.83591473,0.04385002,1.34831853,0.94431467,0.00000000
-5.92196098,4.41467358,2.78111924,1.88178409,0.04816711,1.34575121,0.98052872,0.00000000
-5.91595798,4.49523557,2.84997062,1.93823969,0.05289530,1.35059711,1.02193000,0.00000000
-5.90995498,4.59531276,2.92287700,2.00449910,0.05799753,1.36193894,1.06828905,0.00000000
-5.90395198,4.71263962,2.99891732,2.07962270,0.06342900,1.37881151,1.11924829,0.00000000
-5.89794897,4.84471113,3.07707509,2.16252324,0.06913751,1.40022339,1.17431912,0.00000000
-5.89194597,4.98882324,3.15625937,2.25197840,0.07506409,1.42517768,1.23288296,0.00000000
-5.88594297,5.14211740,3.23532931,2.34664654,0.08114374,1.45269157,1.29419697,0.00000000
-5.87993997,5.30162925,3.31312185,2.44508600,0.08730652,1.48181451,1.35740456,0.00000000
-5.87393697,5.46434104,3.38848182,2.54577793,0.09347879,1.51164483,1.42155064,0.00000000
-5.86793397,5.62723692,3.46029341,2.64715235,0.09958457,1.54134449,1.48560143,0.00000000
-5.86193097,5.78736024,3.52751201,2.74761720,0.10554710,1.57015199,1.54846824,0.00000000
-5.85592796,5.94187126,3.58919513,2.84558963,0.11129046,1.59739308,1.60903447,0.00000000
-5.84992496,6.08810383,3.64453106,2.93952858,0.11674120,1.62248926,1.66618487,0.00000000
-5.84392196,6.22361897,3.69286392,3.02796779,0.12182987,1.64496379,1.71883591,0.00000000
-5.83791896,6.34625370,3.73371387,3.10954796,0.12649261,1.66444528,1.76596606,0.00000000
-5.83191596,6.45416289,3.76679141,3.18304684,0.13067242,1.68066856,1.80664466,0.00000000
-5.82591296,6.54585269,3.79200468,3.24740603,0.13432033,1.69347290,1.84005838,0.00000000
-5.81990995,6.62020375,3.80945946,3.30175350,0.13739630,1.70279768,1.86553385,0.00000000
-5.81390695,6.67648326,3.81945122,3.34542051,0.13986984,1.70867534,1.88255585,0.00000000
-5.80790395,6.71434502,3.82244955,3.37795258,0.14172041,1.71122206,1.89078017,0.00000000
