energy_ev,total_up,Hf_p_up,Hf_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
-6.00000000,3.64823525,2.85602851,1.45603941,0.30392089,0.00390623,0.00377902,2.63050753
-5.99399700,3.64775711,2.86924740,1.44946632,0.30374452,0.00393863,0.00366313,2.62774045
-5.98799400,3.64355586,2.88054182,1.44175862,0.30306614,0.00396776,0.00356021,2.62208319
-5.98199100,3.63473382,2.88902549,1.43261201,0.30179030,0.00399236,0.00346867,2.61297695
-5.97598799,3.62040229,2.89381388,1.42171112,0.29982741,0.00401119,0.00338667,2.59987009
-5.96998499,3.59972378,2.89406244,1.40874714,0.29709818,0.00402312,0.00331222,2.58224566
-5.96398199,3.57195264,2.88900303,1.39343526,0.29353764,0.00402715,0.00324323,2.55964781
-5.95797899,3.53647203,2.87797707,1.37553108,0.28909851,0.00402243,0.00317766,2.53170615
-5.95197599,3.49282593,2.86046400,1.35484536,0.28375387,0.00400829,0.00311354,2.49815675
-5.94597299,3.44074470,2.83610405,1.33125626,0.27749888,0.00398428,0.00304911,2.45885922
-5.93996998,3.38016334,2.80471425,1.30471869,0.27035156,0.00395020,0.00298282,2.41380891
-5.93396698,3.31123160,2.76629730,1.27527032,0.26235266,0.00390603,0.00291342,2.36314395
-5.92796398,3.23431575,2.72104310,1.24303413,0.25356445,0.00385204,0.00283998,2.30714682
-5.92196098,3.14999223,2.66932299,1.20821729,0.24406878,0.00378867,0.00276192,2.24624046
-5.91595798,3.05903327,2.61167731,1.17110675,0.23396430,0.00371662,0.00267900,2.18097922
-5.90995498,2.96238571,2.54879693,1.13206156,0.22336310,0.00363673,0.00259132,2.11203506
-5.90395198,2.86114373,2.48149985,1.09150251,0.21238694,0.00355004,0.00249931,2.04017966
-5.89794897,2.75651698,2.41070401,1.04989957,0.20116323,0.00345770,0.00240367,1.96626335
-5.89194597,2.64979544,2.33739769,1.00775772,0.18982104,0.00336097,0.00230538,1.89119157
