energy_ev,total_up,Bi_p_up,Bi_d_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-6.00000000,4.80697909,1.38676104,0.01383939,2.23726759,1.63511537,2.11327479,0.00000000
-5.99399700,4.69696794,1.35270474,0.01337826,2.17649666,1.60712974,2.06937387,0.00000000
-5.98799400,4.57693762,1.31643307,0.01289688,2.11077733,1.57536591,2.02040385,0.00000000
-5.98199100,4.44921135,1.27864513,0.01240537,2.04138473,1.54042562,1.96732868,0.00000000
-5.97598799,4.31613838,1.24002175,0.01191369,1.96960557,1.50293844,1.91114906,0.00000000
-5.96998499,4.18003325,1.20120810,0.01143130,1.89670522,1.46354481,1.85287634,0.00000000
-5.96398199,4.04312271,1.16279949,0.01096705,1.82389877,1.42288076,1.79350848,0.00000000
-5.95797899,3.90750124,1.12533080,0.01052893,1.75232669,1.38156466,1.73400891,0.00000000
-5.95197599,3.77509597,1.08926952,0.01012398,1.68303548,1.34018621,1.67528844,0.00000000
-5.94597299,3.64764095,1.05501219,0.00975815,1.61696343,1.29929786,1.61819064,0.00000000
-5.93996998,3.52666036,1.02288399,0.00943627,1.55493122,1.25940834,1.56348036,0.00000000
-5.93396698,3.41345951,0.99314096,0.00916200,1.49763695,1.22097827,1.51183544,0.00000000
-5.92796398,3.30912274,0.96597421,0.00893786,1.44565496,1.18441751,1.46384114,0.00000000
-5.92196098,3.21451662,0.94151569,0.00876524,1.39943770,1.15008388,1.41998694,0.00000000
-5.91595798,3.13029722,0.91984480,0.00864446,1.35931995,1.11828289,1.38066521,0.00000000
-5.90995498,3.05692013,0.90099533,0.00857486,1.32552460,1.08926826,1.34617154,0.00000000
-5.90395198,2.99465228,0.88496226,0.00855484,1.29816936,1.06324294,1.31670623,0.00000000
-5.89794897,2.94358452,0.87170810,0.00858203,1.27727390,1.04036044,1.29237682,0.00000000
-5.89194597,2.90364475,0.86116843,0.00865334,1.26276698,1.02072634,1.27320148,0.00000000
-5.88594297,2.87461100,0.85325663,0.00876510,1.25449339,1.00440012,1.25911322,0.00000000
-5.87993997,2.85612468,0.84786765,0.00891317,1.25222056,0.99139714,1.24996500,0.00000000
-5.87393697,2.84770401,0.84488087,0.00909305,1.25564494,0.98169099,1.24553581,0.00000000
-5.86793397,2.84875796,0.84416229,0.00930003,1.26439825,0.97521633,1.24553774,0.00000000
-5.86193097,2.85860091,0.84556604,0.00952932,1.27805371,0.97187220,1.24962432,0.00000000
-5.85592796,2.87646827,0.84893547,0.00977611,1.29613269,0.97152594,1.25740000,0.00000000
-5.84992496,2.90153328,0.85410403,0.01003577,1.31811173,0.97401783,1.26843089,0.00000000
-5.84392196,2.93292478,0.86089598,0.01030390,1.34343036,0.97916619,1.28225650,0.00000000
-5.83791896,2.96974590,0.86912714,0.01057644,1.37149951,0.98677306,1.29840237,0.00000000
-5.83191596,3.01109325,0.87860578,0.01084981,1.40171093,0.99663013,1.31639326,0.00000000
-5.82591296,3.05607600,0.88913361,0.01112088,1.43344712,1.00852484,1.33576639,0.00000000
-5.81990995,3.10383430,0.90050699,0.01138713,1.46609198,1.02224625,1.35608438,0.00000000
-5.81390695,3.15355623,0.91251830,0.01164660,1.49904163,1.03759054,1.37694727,0.00000000
-5.80790395,3.20449266,0.92495739,0.01189791,1.53171536,1.05436580,1.39800316,0.00000000
-5.80190095,3.25596918,0.93761325,0.01214026,1.56356611,1.07239588,1.41895694,0.00000000
-5.79589795,3.30739478,0.95027561,0.01237335,1.59409027,1.09152312,1.43957669,0.00000000
-5.78989495,3.35826667,0.96273664,0.01259734,1.62283635,1.11160982,1.45969738,0.00000000
-5.78389195,3.40817119,0.97479263,0.01281274,1.64941219,1.13253841,1.47922174,0.00000000
-5.77788894,3.45678078,0.98624562,0.01302029,1.67349039,1.15421028,1.49811813,0.00000000
-5.77188594,3.50384720,0.99690509,0.01322088,1.69481182,1.17654342,1.51641549,0.00000000
-5.76588294,3.54919158,1.00658949,0.01341536,1.71318694,1.19946897,1.53419563,0.00000000
-5.75987994,3.59269181,1.01512796,0.01360451,1.72849501,1.22292699,1.55158320,0.00000000
-5.75387694,3.63426811,1.02236188,0.01378883,1.74068117,1.24686164,1.56873374,0.00000000
