energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up,V_p_up,V_d_up
-6.00000000,2.57442074,0.00527743,0.08198980,0.02866679,1.66306061,0.82442899,0.27201199,0.88799113,0.38833078
-5.99399700,2.62386922,0.00514515,0.08376726,0.02838303,1.69645958,0.85205979,0.27764968,0.90462752,0.39936190
-5.98799400,2.67173662,0.00501476,0.08561952,0.02812709,1.72865023,0.87919006,0.28315537,0.92047409,0.41009165
-5.98199100,2.71725078,0.00488748,0.08755336,0.02789930,1.75907985,0.90536355,0.28847468,0.93527478,0.42032289
-5.97598799,2.75951092,0.00476402,0.08957322,0.02769657,1.78711206,0.93008883,0.29354191,0.94873524,0.42983853
-5.96998499,2.79751713,0.00464468,0.09168148,0.02751272,1.81204675,0.95285358,0.29828231,0.96053188,0.43840861
-5.96398199,2.83020750,0.00452937,0.09387900,0.02733885,1.83314501,0.97314091,0.30261504,0.97032328,0.44579840
-5.95797899,2.85650093,0.00441766,0.09616568,0.02716387,1.84965788,0.99044709,0.30645667,0.97776358,0.45177731
-5.95197599,2.87534355,0.00430886,0.09854109,0.02697519,1.86085737,1.00429967,0.30972515,0.98251696,0.45612806
-5.94597299,2.88575631,0.00420211,0.10100510,0.02675936,1.86606828,1.01427543,0.31234383,0.98427266,0.45865572
-5.93996998,2.88688105,0.00409645,0.10355835,0.02650284,1.86469916,1.02001691,0.31424545,0.98275954,0.45919610
-5.93396698,2.87802241,0.00399090,0.10620262,0.02619271,1.85627047,1.02124699,0.31537570,0.97775954,0.45762312
-5.92796398,2.85868337,0.00388456,0.10894086,0.02581730,1.84043869,1.01778047,0.31569621,0.96911904,0.45385469
-5.92196098,2.82859221,0.00377662,0.11177708,0.02536682,1.81701484,1.00953219,0.31518671,0.95675764,0.44785689
-5.91595798,2.78771945,0.00366645,0.11471583,0.02483381,1.78597644,0.99652120,0.31384630,0.94067382,0.43964610
-5.90995498,2.73628386,0.00355363,0.11776141,0.02421349,1.74747241,0.97887068,0.31169356,0.92094712,0.42928914
-5.90395198,2.67474725,0.00343793,0.12091689,0.02350399,1.70182043,0.95680380,0.30876571,0.89773674,0.41690132
-5.89794897,2.60379845,0.00331936,0.12418284,0.02270640,1.64949729,0.93063556,0.30511673,0.87127674,0.40264258
-5.89194597,2.52432759,0.00319810,0.12755603,0.02182469,1.59112261,0.90076119,0.30081457,0.84186810,0.38671188
-5.88594297,2.43739220,0.00307454,0.13102803,0.02086553,1.52743705,0.86764180,0.29593769,0.80986810,0.36934025
-5.87993997,2.34417727,0.00294917,0.13458404,0.01983796,1.45927626,0.83178787,0.29057120,0.77567769,0.35078283
-5.87393697,2.24595152,0.00282263,0.13820188,0.01875300,1.38754191,0.79374164,0.28480271,0.73972762,0.33131024
-5.86793397,2.14402241,0.00269558,0.14185137,0.01762318,1.31317155,0.75405930,0.27871836,0.70246398,0.31119990
-5.86193097,2.03969226,0.00256871,0.14549419,0.01646205,1.23710864,0.71329365,0.27239913,0.66433400,0.29072742
-5.85592796,1.93421775,0.00244271,0.14908427,0.01528366,1.16027433,0.67197828,0.26591780,0.62577276,0.27015881
-5.84992496,1.82877479,0.00231821,0.15256880,0.01410203,1.08354209,0.63061375,0.25933669,0.58719141,0.24974345
-5.84392196,1.72443005,0.00219576,0.15588994,0.01293076,1.00771639,0.58965643,0.25270630,0.54896739,0.22970831
-5.83791896,1.62212038,0.00207583,0.15898700,0.01178256,0.93351592,0.54951014,0.24606505,0.51143696,0.21025352
-5.83191596,1.52264038,0.00195878,0.16179929,0.01066896,0.86156181,0.51052092,0.23943990,0.47489013,0.19154934
-5.82591296,1.42663820,0.00184490,0.16426937,0.00959998,0.79237099,0.47297481,0.23284809,0.43956811,0.17373454
-5.81990995,1.33461896,0.00173437,0.16634663,0.00858406,0.72635435,0.43709839,0.22629954,0.40566300,0.15691614
-5.81390695,1.24695484,0.00162728,0.16799097,0.00762785,0.66381938,0.40306184,0.21980007,0.37331961,0.14117034
-5.80790395,1.16390066,0.00152368,0.16917652,0.00673624,0.60497651,0.37098395,0.21335489,0.34263891,0.12654451
-5.80190095,1.08561336,0.00142356,0.16989503,0.00591243,0.54994842,0.34093874,0.20697241,0.31368282,0.11305993
-5.79589795,1.01217388,0.00132690,0.17015896,0.00515797,0.49878151,0.31296294,0.20066791,0.28647991,0.10071515
-5.78989495,0.94360994,0.00123364,0.17000379,0.00447294,0.45145864,0.28706400,0.19446689,0.26103145,0.08948971
-5.78389195,0.87991803,0.00114375,0.16948971,0.00385616,0.40791233,0.26322799,0.18840797,0.23731768,0.07934795
-5.77788894,0.82108362,0.00105720,0.16870227,0.00330532,0.36803769,0.24142705,0.18254490,0.21530371,0.07024279
-5.77188594,0.76709824,0.00097398,0.16775207,0.00281726,0.33170453,0.22162590,0.17694783,0.19494496,0.06211931
-5.76588294,0.71797283,0.00089412,0.16677336,0.00238814,0.29876811,0.20378744,0.17170349,0.17619184,0.05491791
-5.75987994,0.67374684,0.00081765,0.16592150,0.00201367,0.26907829,0.18787683,0.16691432,0.15899364,0.04857714
-5.75387694,0.63449269,0.00074466,0.16536934,0.00168925,0.24248688,0.17386445,0.16269663,0.14330157,0.04303600
-5.74787394,0.60031588,0.00067521,0.16530265,0.00141017,0.21885309,0.16172734,0.15917762,0.12907082,0.03823569
-5.74187094,0.57135083,0.00060940,0.16591455,0.00117176,0.19804717,0.15144944,0.15649160,0.11626194,0.03412093
-5.73586793,0.54775297,0.00054733,0.16739926,0.00096947,0.17995243,0.14302067,0.15477539,0.10484143,0.03064083
-5.72986493,0.52968774,0.00048908,0.16994524,0.00079896,0.16446574,0.13643503,0.15416313,0.09478169,0.02774926
-5.72386193,0.51731717,0.00043471,0.17372805,0.00065619,0.15149679,0.13168790,0.15478065,0.08606050,0.02540498
-5.71785893,0.51078484,0.00038426,0.17890301,0.00053747,0.14096639,0.12877282,0.15673971,0.07866013,0.02357137
