energy_ev,total_up,Rh_p_up,Rh_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,2.45315974,0.86937840,1.23035286,0.74996603,0.01262430,0.51865724,0.00000000
-5.99399700,2.47647619,0.87496800,1.24606499,0.75585391,0.01265503,0.52238632,0.00000000
-5.98799400,2.49753392,0.87974302,1.26121101,0.76147423,0.01265976,0.52482787,0.00000000
-5.98199100,2.51639886,0.88346970,1.27587689,0.76665489,0.01263623,0.52623237,0.00000000
-5.97598799,2.53326966,0.88598388,1.29020192,0.77126428,0.01258308,0.52688209,0.00000000
-5.96998499,2.54845796,0.88719204,1.30436779,0.77521115,0.01249990,0.52707916,0.00000000
-5.96398199,2.56236401,0.88707020,1.31858562,0.77844287,0.01238713,0.52713292,0.00000000
-5.95797899,2.57544950,0.88566072,1.33308196,0.78094238,0.01224596,0.52734709,0.00000000
-5.95197599,2.58820918,0.88306747,1.34808462,0.78272422,0.01207829,0.52800747,0.00000000
-5.94597299,2.60114331,0.87944997,1.36380922,0.78382996,0.01188653,0.52937062,0.00000000
-5.93996998,2.61473247,0.87501680,1.38044753,0.78432369,0.01167347,0.53165408,0.00000000
-5.93396698,2.62941652,0.87001890,1.39815811,0.78428763,0.01144216,0.53502855,0.00000000
-5.92796398,2.64557867,0.86474329,1.41706005,0.78381864,0.01119576,0.53961229,0.00000000
-5.92196098,2.66353579,0.85950737,1.43723000,0.78302547,0.01093739,0.54546805,0.00000000
-5.91595798,2.68353510,0.85465430,1.45870284,0.78202724,0.01067008,0.55260238,0.00000000
-5.90995498,2.70575736,0.85054950,1.48147561,0.78095302,0.01039663,0.56096749,0.00000000
-5.90395198,2.73032599,0.84757824,1.50551460,0.77994243,0.01011960,0.57046532,0.00000000
-5.89794897,2.75732120,0.84614427,1.53076496,0.77914725,0.00984126,0.58095359,0.00000000
-5.89194597,2.78679798,0.84666919,1.55716210,0.77873358,0.00956359,0.59225355,0.00000000
-5.88594297,2.81880641,0.84959224,1.58464420,0.77888423,0.00928833,0.60415896,0.00000000
-5.87993997,2.85341284,0.85537008,1.61316476,0.77980118,0.00901696,0.61644587,0.00000000
-5.87393697,2.89072012,0.86447605,1.64270460,0.78170739,0.00875082,0.62888276,0.00000000
-5.86793397,2.93088560,0.87739857,1.67328222,0.78484781,0.00849109,0.64124075,0.00000000
-5.86193097,2.97413538,0.89463815,1.70496211,0.78948925,0.00823893,0.65330325,0.00000000
-5.85592796,3.02077377,0.91670264,1.73786013,0.79591873,0.00799545,0.66487495,0.00000000
-5.84992496,3.07118711,0.94410057,1.77214589,0.80444019,0.00776185,0.67578970,0.00000000
-5.84392196,3.12584157,0.97733227,1.80804164,0.81536963,0.00753936,0.68591719,0.00000000
-5.83791896,3.18527466,1.01687890,1.84581778,0.82902833,0.00732935,0.69516810,0.00000000
-5.83191596,3.25008072,1.06318939,1.88578508,0.84573473,0.00713328,0.70349783,0.00000000
-5.82591296,3.32089099,1.11666566,1.92828393,0.86579480,0.00695276,0.71090855,0.00000000
-5.81990995,3.39834888,1.17764646,1.97367094,0.88949140,0.00678947,0.71744974,0.00000000
-5.81390695,3.48308151,1.24639043,2.02230360,0.91707294,0.00664521,0.72321717,0.00000000
-5.80790395,3.57566885,1.32305893,2.07452346,0.94874175,0.00652184,0.72835038,0.00000000
-5.80190095,3.67661154,1.40769955,2.13063855,0.98464266,0.00642125,0.73302882,0.00000000
-5.79589795,3.78629888,1.50023091,2.19090587,1.02485222,0.00634535,0.73746679,0.00000000
-5.78989495,3.90497848,1.60042967,2.25551439,1.06936905,0.00629601,0.74190728,0.00000000
-5.78389195,4.03272866,1.70792054,2.32456953,1.11810581,0.00627508,0.74661485,0.00000000
-5.77788894,4.16943517,1.82216999,2.39807960,1.17088323,0.00628432,0.75186783,0.00000000
-5.77188594,4.31477317,1.94248436,2.47594485,1.22742648,0.00632538,0.75795004,0.00000000
-5.76588294,4.46819538,2.06801272,2.55794963,1.28736428,0.00639982,0.76514209,0.00000000
-5.75987994,4.62892744,2.19775498,2.64375806,1.35023098,0.00650905,0.77371271,0.00000000
-5.75387694,4.79597057,2.33057523,2.73291353,1.41547158,0.00665433,0.78391017,0.00000000
-5.74787394,4.96811204,2.46522010,2.82484221,1.48244987,0.00683672,0.79595415,0.00000000
-5.74187094,5.14394323,2.60034197,2.91886054,1.55045943,0.00705710,0.81002819,0.00000000
-5.73586793,5.32188490,2.73452613,3.01418664,1.61873735,0.00731610,0.82627306,0.00000000
-5.72986493,5.50021900,2.86632127,3.10995530,1.68648026,0.00761408,0.84478126,0.00000000
-5.72386193,5.67712602,2.99427217,3.20523624,1.75286211,0.00795108,0.86559273,0.00000000
-5.71785893,5.85072678,3.11695341,3.29905499,1.81705336,0.00832678,0.88869209,0.00000000
-5.71185593,6.01912709,3.23300285,3.39041578,1.87824075,0.00874045,0.91400752,0.00000000
-5.70585293,6.18046401,3.34115372,3.47832578,1.93564696,0.00919088,0.94141131,0.00000000
-5.69984992,6.33295207,3.44026397,3.56181981,1.98854968,0.00967639,0.97072223,0.00000000
-5.69384692,6.47492793,3.52934196,3.63998480,2.03629920,0.01019472,1.00170968,0.00000000
-5.68784392,6.60489222,3.60756749,3.71198332,2.07833400,0.01074307,1.03409962,0.00000000
-5.68184092,6.72154723,3.67430761,3.77707537,2.11419385,0.01131809,1.06758221,0.00000000
-5.67583792,6.82382961,3.72912674,3.83463801,2.14352995,0.01191586,1.10182090,0.00000000
-5.66983492,6.91093732,3.77179115,3.88418226,2.16611181,0.01253201,1.13646299,0.00000000
-5.66383192,6.98235040,3.80226775,3.92536693,2.18183086,0.01316175,1.17115120,0.00000000
-5.65782891,7.03784536,3.82071776,3.95800934,2.19070060,0.01380006,1.20553606,0.00000000
-5.65182591,7.07750336,3.82748590,3.98209261,2.19285357,0.01444178,1.23928874,0.00000000
-5.64582291,7.10171235,3.82308569,3.99776978,2.18853535,0.01508186,1.27211396,0.00000000
-5.63981991,7.11116351,3.80818186,4.00536470,2.17809597,0.01571557,1.30376243,0.00000000
-5.63381691,7.10684252,3.78357076,4.00536989,2.16197910,0.01633876,1.33404245,0.00000000
-5.62781391,7.09001605,3.75015946,3.99844159,2.14070964,0.01694812,1.36283017,0.00000000
-5.62181091,7.06221384,3.70894445,3.98539203,2.11488002,0.01754143,1.39007796,0.00000000
-5.61580790,7.02520662,3.66099055,3.96717918,2.08513591,0.01811789,1.41582051,0.00000000
-5.60980490,6.98098025,3.60741045,3.94489402,2.05216164,0.01867829,1.44017810,0.00000000
-5.60380190,6.93170588,3.54934533,3.91974524,2.01666578,0.01922525,1.46335690,0.00000000
-5.59779890,6.87970634,3.48794665,3.89304162,1.97936728,0.01976340,1.48564573,0.00000000
-5.59179590,6.82741866,3.42435925,3.86617176,1.94098238,0.02029938,1.50740937,0.00000000
-5.58579290,6.77735259,3.35970579,3.84058137,1.90221247,0.02084197,1.52907833,0.00000000
-5.57978989,6.73204537,3.29507232,3.81774801,1.86373307,0.02140192,1.55113515,0.00000000
-5.57378689,6.69401277,3.23149496,3.79915334,1.82618401,0.02199183,1.57409755,0.00000000
-5.56778389,6.66569685,3.16994760,3.78625316,1.79016075,0.02262588,1.59849898,0.00000000
-5.56178089,6.64941128,3.11133055,3.78044543,1.75620684,0.02331947,1.62486709,0.00000000
-5.55577789,6.64728502,3.05646015,3.78303697,1.72480757,0.02408879,1.65370096,0.00000000
-5.54977489,6.66120583,3.00605939,3.79520927,1.69638460,0.02495030,1.68544798,0.00000000
-5.54377189,6.69276518,2.96074973,3.81798453,1.67129164,0.02592012,1.72048138,0.00000000
-5.53776888,6.74320651,2.92104433,3.85219284,1.64981114,0.02701349,1.75907944,0.00000000
-5.53176588,6.81337896,2.88734293,3.89844182,1.63215192,0.02824403,1.80140743,0.00000000
-5.52576288,6.90369879,2.85992866,3.95708997,1.61844785,0.02962318,1.84750328,0.00000000
-5.51975988,7.01412072,2.83896705,4.02822518,1.60875762,0.03115959,1.89726785,0.00000000
-5.51375688,7.14412135,2.82450752,4.11164971,1.60306560,0.03285855,1.95046042,0.00000000
-5.50775388,7.29269632,2.81648749,4.20687301,1.60128404,0.03472157,2.00670009,0.00000000
-5.50175088,7.45837273,2.81473921,4.31311324,1.60325652,0.03674604,2.06547298,0.00000000
-5.49574787,7.63923757,2.81899926,4.42930845,1.60876289,0.03892504,2.12614555,0.00000000
-5.48974487,7.83298222,2.82892064,4.55413773,1.61752569,0.04124727,2.18798336,0.00000000
-5.48374187,8.03696251,2.84408704,4.68605230,1.62921804,0.04369719,2.25017470,0.00000000
-5.47773887,8.24827271,2.86402894,4.82331592,1.64347294,0.04625529,2.31185817,0.00000000
-5.47173587,8.46383135,2.88824105,4.96405370,1.65989379,0.04889857,2.37215292,0.00000000
-5.46573287,8.68047563,2.91620016,5.10630751,1.67806599,0.05160112,2.43019025,0.00000000
-5.45972986,8.89506086,2.94738301,5.24809619,1.69756916,0.05433487,2.48514494,0.00000000
-5.45372686,9.10456064,2.98128298,5.38747783,1.71798963,0.05707045,2.53626489,0.00000000
-5.44772386,9.30616328,3.01742512,5.52261154,1.73893259,0.05977814,2.58289752,0.00000000
-5.44172086,9.49735981,3.05537846,5.65181581,1.76003351,0.06242878,2.62451162,0.00000000
-5.43571786,9.67601934,3.09476507,5.77362041,1.78096809,0.06499477,2.66071344,0.00000000
-5.42971486,9.84044760,3.13526516,5.88680936,1.80146019,0.06745098,2.69125644,0.00000000
-5.42371186,9.98942563,3.17661795,5.99045235,1.82128735,0.06977554,2.71604393,0.00000000
-5.41770885,10.12222622,3.21861798,6.08392306,1.84028327,0.07195052,2.73512479,0.00000000
-5.41170585,10.23860698,3.26110703,6.16690286,1.85833717,0.07396244,2.74868252,0.00000000
-5.40570285,10.33878005,3.30396197,6.23936976,1.87538972,0.07580255,2.75701823,0.00000000
-5.39969985,10.42335987,3.34707902,6.30157284,1.89142577,0.07746693,2.76052878,0.00000000
-5.39369685,10.49329156,3.39035540,6.35399335,1.90646396,0.07895632,2.75968130,0.00000000
-5.38769385,10.54976359,3.43366941,6.39729452,1.92054393,0.08027573,2.75498561,0.00000000
-5.38169085,10.59410958,3.47686004,6.43226285,1.93371157,0.08143387,2.74696621,0.00000000
-5.37568784,10.62770444,3.51970774,6.45974384,1.94600322,0.08244233,2.73613532,0.00000000
-5.36968484,10.65186075,3.56191737,6.48057602,1.95742981,0.08331472,2.72296860,0.00000000
-5.36368184,10.66773108,3.60310503,6.49552690,1.96796186,0.08406561,2.70788473,0.00000000
-5.35767884,10.67622199,3.64278968,6.50523446,1.97751644,0.08470949,2.69122991,0.00000000
-5.35167584,10.67792438,3.68039073,6.51015768,1.98594690,0.08525972,2.67326792,0.00000000
-5.34567284,10.67306447,3.71523213,6.51053892,1.99303640,0.08572757,2.65417601,0.00000000
-5.33966983,10.66147807,3.74655340,6.50638042,1.99849564,0.08612140,2.63404661,0.00000000
-5.33366683,10.64260975,3.77352757,6.49743624,2.00196539,0.08644600,2.61289435,0.00000000
-5.32766383,10.61553705,3.79528541,6.48322025,2.00302390,0.08670215,2.59066770,0.00000000
-5.32166083,10.57901832,3.81094525,6.46302978,2.00119890,0.08688646,2.56726418,0.00000000
-5.31565783,10.53156173,3.81964703,6.43598349,1.99598400,0.08699145,2.54254802,0.00000000
-5.30965483,10.47151140,3.82058906,6.40107151,1.98685858,0.08700588,2.51636900,0.00000000
-5.30365183,10.39714611,3.81306575,6.35721495,1.97331023,0.08691535,2.48858130,0.00000000
-5.29764882,10.30678500,3.79650427,6.30333152,1.95485875,0.08670311,2.45906106,0.00000000
-5.29164582,10.19889464,3.77049827,6.23840366,1.93108032,0.08635099,2.42772181,0.00000000
-5.28564282,10.07219163,3.73483672,6.16154542,1.90163056,0.08584053,2.39452695,0.00000000
-5.27963982,9.92573527,3.68952618,6.07206450,1.86626532,0.08515412,2.35949855,0.00000000
-5.27363682,9.75900553,3.63480511,5.96951621,1.82485795,0.08427609,2.32272251,0.00000000
-5.26763382,9.57196226,3.57114920,5.85374647,1.77741215,0.08319383,2.28434964,0.00000000
-5.26163082,9.36508271,3.49926696,5.72492178,1.72406961,0.08189868,2.24459318,0.00000000
-5.25562781,9.13937566,3.42008573,5.58354469,1.66511210,0.08038668,2.20372283,0.00000000
-5.24962481,8.89637162,3.33472821,5.43045407,1.60095774,0.07865914,2.16205605,0.00000000
-5.24362181,8.63808977,3.24448054,5.26681051,1.53215170,0.07672286,2.11994702,0.00000000
-5.23761881,8.36698367,3.15075312,5.09406762,1.45935184,0.07459022,2.07777412,0.00000000
-5.23161581,8.08586849,3.05503594,4.91393098,1.38330989,0.07227888,2.03592642,0.00000000
-5.22561281,7.79783359,2.95885029,4.72830689,1.30484921,0.06981136,1.99479003,0.00000000
