energy_ev,total_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,0.30249249,0.01943942,0.00000000,0.01259743,0.06488751,0.13582118,0.05417163
-5.99399700,0.26522652,0.01704454,0.00000000,0.01104552,0.05689362,0.11908877,0.04749793
-5.98799400,0.23088199,0.01483742,0.00000000,0.00961525,0.04952641,0.10366798,0.04134740
-5.98199100,0.19954179,0.01282336,0.00000000,0.00831008,0.04280364,0.08959605,0.03573487
-5.97598799,0.17121756,0.01100313,0.00000000,0.00713051,0.03672783,0.07687825,0.03066245
-5.96998499,0.14585912,0.00937350,0.00000000,0.00607443,0.03128822,0.06549205,0.02612115
-5.96398199,0.12336448,0.00792791,0.00000000,0.00513761,0.02646291,0.05539166,0.02209271
-5.95797899,0.10359023,0.00665714,0.00000000,0.00431408,0.02222117,0.04651268,0.01855145
-5.95197599,0.08636173,0.00554998,0.00000000,0.00359655,0.01852552,0.03877667,0.01546610
-5.94597299,0.07148272,0.00459381,0.00000000,0.00297685,0.01533389,0.03209546,0.01280150
-5.93996998,0.05874410,0.00377520,0.00000000,0.00244626,0.01260141,0.02637511,0.01052022
-5.93396698,0.04793171,0.00308039,0.00000000,0.00199586,0.01028218,0.02151936,0.00858391
-5.92796398,0.03883287,0.00249572,0.00000000,0.00161676,0.00833059,0.01743257,0.00695449
-5.92196098,0.03124184,0.00200797,0.00000000,0.00130038,0.00670254,0.01402215,0.00559512
-5.91595798,0.02496402,0.00160465,0.00000000,0.00103856,0.00535635,0.01120043,0.00447096
-5.90995498,0.01981912,0.00127419,0.00000000,0.00082376,0.00425340,0.00888603,0.00354975
-5.90395198,0.01564336,0.00100609,0.00000000,0.00064906,0.00335867,0.00700482,0.00280218
-5.89794897,0.01229088,0.00079099,0.00000000,0.00050829,0.00264103,0.00549046,0.00220219
-5.89194597,0.00963447,0.00062078,0.00000000,0.00039600,0.00207339,0.00428466,0.00172704
-5.88594297,0.00756586,0.00048854,0.00000000,0.00030747,0.00163284,0.00333723,0.00135746
-5.87993997,0.00599582,0.00038861,0.00000000,0.00023870,0.00130063,0.00260591,0.00107758
-5.87393697,0.00485399,0.00031658,0.00000000,0.00018638,0.00106225,0.00205616,0.00087499
-5.86793397,0.00408894,0.00026925,0.00000000,0.00014785,0.00090745,0.00166093,0.00074076
-5.86193097,0.00366834,0.00024471,0.00000000,0.00012107,0.00083035,0.00140048,0.00066945
-5.85592796,0.00357957,0.00024235,0.00000000,0.00010460,0.00082966,0.00126223,0.00065930
-5.84992496,0.00383073,0.00026296,0.00000000,0.00009760,0.00090901,0.00124084,0.00071246
-5.84392196,0.00445234,0.00030883,0.00000000,0.00009979,0.00107743,0.00133839,0.00083531
-5.83791896,0.00549962,0.00038389,0.00000000,0.00011147,0.00135006,0.00156485,0.00103897
-5.83191596,0.00705562,0.00049397,0.00000000,0.00013360,0.00174891,0.00193869,0.00133994
-5.82591296,0.00923503,0.00064702,0.00000000,0.00016775,0.00230404,0.00248781,0.00176089
-5.81990995,0.01218879,0.00085344,0.00000000,0.00021626,0.00305471,0.00325071,0.00233161
-5.81390695,0.01610950,0.00112641,0.00000000,0.00028223,0.00405093,0.00427784,0.00309012
-5.80790395,0.02123732,0.00148227,0.00000000,0.00036968,0.00535506,0.00563328,0.00408393
-5.80190095,0.02786648,0.00194099,0.00000000,0.00048362,0.00704358,0.00739647,0.00537136
-5.79589795,0.03635193,0.00252652,0.00000000,0.00063015,0.00920897,0.00966412,0.00702297
-5.78989495,0.04711591,0.00326724,0.00000000,0.00081662,0.01196155,0.01255219,0.00912297
-5.78389195,0.06065408,0.00419632,0.00000000,0.00105168,0.01543123,0.01619767,0.01177058
-5.77788894,0.07754059,0.00535197,0.00000000,0.00134540,0.01976905,0.02076027,0.01508115
-5.77188594,0.09843170,0.00677768,0.00000000,0.00170935,0.02514836,0.02642365,0.01918708
-5.76588294,0.12406706,0.00852219,0.00000000,0.00215661,0.03176538,0.03339612,0.02423828
-5.75987994,0.15526821,0.01063932,0.00000000,0.00270173,0.03983912,0.04191060,0.03040203
-5.75387694,0.19293340,0.01318752,0.00000000,0.00336072,0.04961028,0.05222355,0.03786223
-5.74787394,0.23802803,0.01622917,0.00000000,0.00415081,0.06133913,0.06461280,0.04681764
-5.74187094,0.29157022,0.01982952,0.00000000,0.00509028,0.07530197,0.07937390,0.05747931
-5.73586793,0.35461079,0.02405524,0.00000000,0.00619808,0.09178621,0.09681503,0.07006669
-5.72986493,0.42820745,0.02897270,0.00000000,0.00749337,0.11108386,0.11725011,0.08480267
-5.72386193,0.51339314,0.03464572,0.00000000,0.00899503,0.13348335,0.14099028,0.10190733
-5.71785893,0.61113855,0.04113314,0.00000000,0.01072096,0.15925984,0.16833360,0.12159050
-5.71185593,0.72230964,0.04848595,0.00000000,0.01268735,0.18866402,0.19955318,0.14404315
-5.70585293,0.84762100,0.05674427,0.00000000,0.01490788,0.22190973,0.23488398,0.16942790
-5.69984992,0.98758649,0.06593416,0.00000000,0.01739278,0.25916061,0.27450862,0.19786879
-5.69384692,1.14246896,0.07606448,0.00000000,0.02014801,0.30051646,0.31854263,0.22944084
-5.68784392,1.31223127,0.08712380,0.00000000,0.02317431,0.34599967,0.36701988,0.26415957
-5.68184092,1.49649106,0.09907772,0.00000000,0.02646643,0.39554252,0.41987877,0.30197129
-5.67583792,1.69448202,0.11186657,0.00000000,0.03001239,0.44897598,0.47695000,0.34274451
-5.66983492,1.90502440,0.12540390,0.00000000,0.03379291,0.50602092,0.53794675,0.38626308
-5.66383192,2.12650743,0.13957562,0.00000000,0.03778111,0.56628232,0.60245812,0.43222174
-5.65782891,2.35688621,0.15424027,0.00000000,0.04194238,0.62924733,0.66994655,0.48022457
-5.65182591,2.59369484,0.16923025,0.00000000,0.04623460,0.69428775,0.73974991,0.52978670
-5.64582291,2.83407750,0.18435423,0.00000000,0.05060866,0.76066730,0.81108876,0.58033976
-5.63981991,3.07483776,0.19940075,0.00000000,0.05500929,0.82755411,0.88307917,0.63124128
-5.63381691,3.31250623,0.21414289,0.00000000,0.05937631,0.89403828,0.95475103,0.68178786
-5.62781391,3.54342498,0.22834396,0.00000000,0.06364609,0.95915446,1.02507171,0.73123215
-5.62181091,3.76384692,0.24176406,0.00000000,0.06775332,1.02190873,1.09297458,0.77880314
-5.61580790,3.97004667,0.25416722,0.00000000,0.07163308,1.08130924,1.15739153,0.82372916
-5.60980490,4.15843925,0.26532891,0.00000000,0.07522296,1.13639938,1.21728843,0.86526284
-5.60380190,4.32570182,0.27504363,0.00000000,0.07846531,1.18629234,1.27170229,0.90270710
-5.59779890,4.46889347,0.28313212,0.00000000,0.08130946,1.23020572,1.31977847,0.93544105
-5.59179590,4.58556783,0.28944809,0.00000000,0.08371378,1.26749454,1.36080660,0.96294479
-5.58579290,4.67387335,0.29388388,0.00000000,0.08564760,1.29768126,1.39425327,0.98482186
-5.57978989,4.73263641,0.29637509,0.00000000,0.08709271,1.32048137,1.41979019,1.00081838
-5.57378689,4.76142328,0.29690360,0.00000000,0.08804457,1.33582318,1.43731622,1.01083783
-5.56778389,4.76057761,0.29549913,0.00000000,0.08851295,1.34386068,1.44697211,1.01495076
-5.56178089,4.73123127,0.29223908,0.00000000,0.08852217,1.34497880,1.44914698,1.01339881
-5.55577789,4.67528762,0.28724662,0.00000000,0.08811065,1.33979035,1.44447602,1.00659268
-5.54977489,4.59537754,0.28068725,0.00000000,0.08733009,1.32912467,1.43382901,0.99510401
-5.54377189,4.49478956,0.27276380,0.00000000,0.08624396,1.31400798,1.41829001,0.97965140
-5.53776888,4.37737679,0.26371021,0.00000000,0.08492563,1.29563618,1.39912855,0.96108099
-5.53176588,4.24744431,0.25378429,0.00000000,0.08345603,1.27534082,1.37776335,0.94034219
-5.52576288,4.10962117,0.24325979,0.00000000,0.08192103,1.25454942,1.35571963,0.91845963
-5.51975988,3.96872209,0.23241803,0.00000000,0.08040852,1.23474159,1.33458160,0.89650225
-5.51375688,3.82960376,0.22153960,0.00000000,0.07900545,1.21740236,1.31594155,0.87555059
-5.50775388,3.69702122,0.21089619,0.00000000,0.07779482,1.20397458,1.30134760,0.85666365
-5.50175088,3.57548900,0.20074307,0.00000000,0.07685284,1.19581184,1.29225161,0.84084636
-5.49574787,3.46915187,0.19131234,0.00000000,0.07624621,1.19413390,1.28995934,0.82901878
-5.48974487,3.38166902,0.18280717,0.00000000,0.07602986,1.19998589,1.29558446,0.82198827
-5.48374187,3.31611524,0.17539720,0.00000000,0.07624500,1.21420305,1.31000809,0.82042524
-5.47773887,3.27490164,0.16921524,0.00000000,0.07691766,1.23738212,1.33384528,0.82484364
-5.47173587,3.25971785,0.16435515,0.00000000,0.07805787,1.26986056,1.36741974,0.83558644
-5.46573287,3.27149681,0.16087110,0.00000000,0.07965926,1.31170426,1.41074770,0.85281677
-5.45972986,3.31040258,0.15877803,0.00000000,0.08169939,1.36270454,1.46353168,0.87651493
-5.45372686,3.37584101,0.15805319,0.00000000,0.08414051,1.42238441,1.52516451,0.90648122
-5.44772386,3.46649226,0.15863881,0.00000000,0.08693102,1.49001412,1.59474369,0.94234455
-5.44172086,3.58036390,0.16044555,0.00000000,0.09000725,1.56463564,1.67109575,0.98357655
-5.43571786,3.71486252,0.16335671,0.00000000,0.09329579,1.64509523,1.75281009,1.02951059
-5.42971486,3.86688171,0.16723303,0.00000000,0.09671611,1.73008307,1.83828122,1.07936513
-5.42371186,4.03290345,0.17191786,0.00000000,0.10018337,1.81817867,1.92575816,1.13227059
-5.41770885,4.20910994,0.17724252,0.00000000,0.10361145,1.90790030,2.01339942,1.18729881
-5.41170585,4.39150246,0.18303180,0.00000000,0.10691588,1.99775678,2.09933170,1.24349405
-5.40570285,4.57602368,0.18910934,0.00000000,0.11001677,2.08629956,2.18171030,1.29990448
-5.39969985,4.75867959,0.19530275,0.00000000,0.11284146,2.17217301,2.25877902,1.35561296
-5.39369685,4.93565737,0.20144842,0.00000000,0.11532691,2.25416103,2.32892740,1.40976599
-5.38769385,5.10343535,0.20739577,0.00000000,0.11742165,2.33122790,2.39074313,1.46159975
-5.38169085,5.25888151,0.21301097,0.00000000,0.11908727,2.40255169,2.44305761,1.51046227
-5.37568784,5.39933725,0.21817994,0.00000000,0.12029940,2.46754878,2.48498287,1.55583077
-5.36968484,5.52268359,0.22281057,0.00000000,0.12104814,2.52588848,2.51593848,1.59732360
-5.36368184,5.62738755,0.22683420,0.00000000,0.12133792,2.57749690,2.53566723,1.63470625
-5.35767884,5.71252718,0.23020624,0.00000000,0.12118685,2.62255006,2.54423927,1.66789135
-5.35167584,5.77779441,0.23290591,0.00000000,0.12062554,2.66145650,2.54204432,1.69693245
-5.34567284,5.82347584,0.23493530,0.00000000,0.11969557,2.69483007,2.52977256,1.72201222
-5.33966983,5.85041240,0.23631751,0.00000000,0.11844748,2.72345429,2.50838500,1.74342546
-5.33366683,5.85993974,0.23709434,0.00000000,0.11693868,2.74823973,2.47907469,1.76155764
-5.32766383,5.85381183,0.23732316,0.00000000,0.11523102,2.77017651,2.44322044,1.77686029
-5.32166083,5.83411121,0.23707358,0.00000000,0.11338847,2.79028393,2.40233513,1.78982399
-5.31565783,5.80314962,0.23642359,0.00000000,0.11147473,2.80955947,2.35801063,1.80095052
-5.30965483,5.76336326,0.23545571,0.00000000,0.10955105,2.82892959,2.31186174,1.81072521
-5.30365183,5.71720703,0.23425304,0.00000000,0.10767425,2.84920419,2.26547132,1.81959095
-5.29764882,5.66705217,0.23289543,0.00000000,0.10589504,2.87103687,2.22033863,1.82792471
-5.29164582,5.61509139,0.23145604,0.00000000,0.10425667,2.89489251,2.17783288,1.83601792
