energy_ev,total_up,Ga_p_up,Ga_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,6.54333084,1.89488608,0.00000000,2.77755644,5.20121855,0.37869236,0.00000000
-5.99399700,6.77373650,1.97960405,0.00000000,2.89529738,5.37736298,0.38757715,0.00000000
-5.98799400,6.99420299,2.06163705,0.00000000,3.00700141,5.54630282,0.39579972,0.00000000
-5.98199100,7.20214702,2.14001436,0.00000000,3.11125957,5.70610429,0.40318310,0.00000000
-5.97598799,7.39509327,2.21378458,0.00000000,3.20675635,5.85490064,0.40957300,0.00000000
-5.96998499,7.57070729,2.28203003,0.00000000,3.29228854,5.99091689,0.41483976,0.00000000
-5.96398199,7.72682940,2.34388162,0.00000000,3.36678265,6.11249618,0.41887979,0.00000000
-5.95797899,7.86150911,2.39853429,0.00000000,3.42931042,6.21812723,0.42161625,0.00000000
-5.95197599,7.97303936,2.44526232,0.00000000,3.47910260,6.30647224,0.42299915,0.00000000
-5.94597299,8.05998957,2.48343440,0.00000000,3.51556041,6.37639454,0.42300475,0.00000000
-5.93996998,8.12123638,2.51252777,0.00000000,3.53826477,6.42698466,0.42163447,0.00000000
-5.93396698,8.15599082,2.53214100,0.00000000,3.54698274,6.45758401,0.41891325,0.00000000
-5.92796398,8.16382042,2.54200467,0.00000000,3.54167112,6.46780466,0.41488749,0.00000000
-5.92196098,8.14466508,2.54198958,0.00000000,3.52247681,6.45754418,0.40962267,0.00000000
-5.91595798,8.09884533,2.53211170,0.00000000,3.48973378,6.42699441,0.40320075,0.00000000
-5.90995498,8.02706197,2.51253364,0.00000000,3.44395637,6.37664320,0.39571736,0.00000000
-5.90395198,7.93038635,2.48356217,0.00000000,3.38582899,6.30726846,0.38727898,0.00000000
-5.89794897,7.81024093,2.44564166,0.00000000,3.31619205,6.21992422,0.37800010,0.00000000
-5.89194597,7.66837004,2.39934354,0.00000000,3.23602454,6.11591865,0.36800052,0.00000000
-5.88594297,7.50680150,2.34535192,0.00000000,3.14642328,5.99678435,0.35740273,0.00000000
-5.87993997,7.32779992,2.28444589,0.00000000,3.04857956,5.86424186,0.34632946,0.00000000
-5.87393697,7.13381295,2.21747906,0.00000000,2.94375361,5.72015732,0.33490152,0.00000000
-5.86793397,6.92741247,2.14535716,0.00000000,2.83324768,5.56649573,0.32323581,0.00000000
-5.86193097,6.71123236,2.06901450,0.00000000,2.71837854,5.40527147,0.31144356,0.00000000
-5.85592796,6.48790529,1.98939043,0.00000000,2.60045019,5.23849792,0.29962889,0.00000000
-5.84992496,6.26000068,1.90740653,0.00000000,2.48072770,5.06813784,0.28788748,0.00000000
-5.84392196,6.02996590,1.82394554,0.00000000,2.36041300,4.89605649,0.27630561,0.00000000
-5.83791896,5.80007301,1.73983291,0.00000000,2.24062333,4.72397910,0.26495929,0.00000000
-5.83191596,5.57237261,1.65582143,0.00000000,2.12237296,4.55345418,0.25391371,0.00000000
-5.82591296,5.34865642,1.57257954,0.00000000,2.00655870,4.38582381,0.24322280,0.00000000
-5.81990995,5.13042956,1.49068358,0.00000000,1.89394951,4.22220198,0.23292908,0.00000000
-5.81390695,4.91889336,1.41061392,0.00000000,1.78518032,4.06346134,0.22306363,0.00000000
-5.80790395,4.71493876,1.33275493,0.00000000,1.68075012,3.91022869,0.21364631,0.00000000
-5.80190095,4.51915030,1.25739840,0.00000000,1.58102395,3.76288905,0.20468620,0.00000000
-5.79589795,4.33182000,1.18474991,0.00000000,1.48623870,3.62159781,0.19618217,0.00000000
-5.78989495,4.15297024,1.11493764,0.00000000,1.39651211,3.48630018,0.18812377,0.00000000
-5.78389195,3.98238442,1.04802282,0.00000000,1.31185448,3.35675705,0.18049223,0.00000000
-5.77788894,3.81964400,0.98401130,0.00000000,1.23218246,3.23257592,0.17326169,0.00000000
-5.77188594,3.66417010,0.92286550,0.00000000,1.15733443,3.11324556,0.16640060,0.00000000
-5.76588294,3.51526812,0.86451608,0.00000000,1.08708659,2.99817303,0.15987328,0.00000000
-5.75987994,3.37217343,0.80887299,0.00000000,1.02116944,2.88672150,0.15364152,0.00000000
-5.75387694,3.23409646,0.75583526,0.00000000,0.95928380,2.77824737,0.14766631,0.00000000
-5.74787394,3.10026549,0.70529944,0.00000000,0.90111611,2.67213541,0.14190949,0.00000000
-5.74187094,2.96996553,0.65716638,0.00000000,0.84635236,2.56783042,0.13633543,0.00000000
