energy_ev,total_up,As_p_up,As_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,4.61106140,1.33189402,0.00000000,3.29059550,2.77085822,0.92163334,0.00000000
-5.99399700,4.68000931,1.35918359,0.00000000,3.32678163,2.81770573,0.92897681,0.00000000
-5.98799400,4.75268022,1.38973539,0.00000000,3.36593678,2.86704000,0.93526761,0.00000000
-5.98199100,4.82866471,1.42319812,0.00000000,3.40817426,2.91840025,0.94068427,0.00000000
-5.97598799,4.90756182,1.45916311,0.00000000,3.45361216,2.97132118,0.94546316,0.00000000
-5.96998499,4.98895473,1.49716646,0.00000000,3.50234357,3.02532565,0.94988254,0.00000000
-5.96398199,5.07238359,1.53669217,0.00000000,3.55440299,3.07991674,0.95424416,0.00000000
-5.95797899,5.15731795,1.57717604,0.00000000,3.60973134,3.13456977,0.95885352,0.00000000
-5.95197599,5.24313081,1.61801075,0.00000000,3.66814201,3.18872552,0.96399998,0.00000000
-5.94597299,5.32907699,1.65855201,0.00000000,3.72929079,3.24178537,0.96993773,0.00000000
-5.93996998,5.41427776,1.69812607,0.00000000,3.79265227,3.29310943,0.97686891,0.00000000
-5.93396698,5.49771392,1.73603852,0.00000000,3.85750488,3.34201820,0.98492985,0.00000000
-5.92796398,5.57822872,1.77158459,0.00000000,3.92292659,3.38779848,0.99418120,0.00000000
-5.92196098,5.65454155,1.80406076,0.00000000,3.98780248,3.42971376,1.00460272,0.00000000
-5.91595798,5.72527269,1.83277776,0.00000000,4.05084467,3.46701898,1.01609286,0.00000000
-5.90995498,5.78897858,1.85707463,0.00000000,4.11062438,3.49897941,1.02847329,0.00000000
-5.90395198,5.84419641,1.87633367,0.00000000,4.16561517,3.52489298,1.04149815,0.00000000
-5.89794897,5.88949604,1.88999574,0.00000000,4.21424549,3.54411498,1.05486727,0.00000000
-5.89194597,5.92353664,1.89757560,0.00000000,4.25495812,3.55608395,1.06824268,0.00000000
-5.88594297,5.94512517,1.89867651,0.00000000,4.28627347,3.56034733,1.08126746,0.00000000
-5.87993997,5.95327312,1.89300370,0.00000000,4.30685340,3.55658529,1.09358547,0.00000000
-5.87393697,5.94724825,1.88037577,0.00000000,4.31556204,3.54463108,1.10486108,0.00000000
-5.86793397,5.92661797,1.86073368,0.00000000,4.31152011,3.52448664,1.11479737,0.00000000
-5.86193097,5.89128137,1.83414650,0.00000000,4.29414956,3.49633195,1.12315188,0.00000000
-5.85592796,5.84148753,1.80081361,0.00000000,4.26320584,3.46052730,1.12974881,0.00000000
-5.84992496,5.77783853,1.76106291,0.00000000,4.21879566,3.41760782,1.13448703,0.00000000
