energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,5.34454132,1.65981486,3.66194247,0.01815304,0.47162495,0.01527274,0.88233095
-5.99399700,5.21151048,1.56601687,3.59843622,0.01859258,0.44291139,0.01538234,0.86795920
-5.98799400,5.07505352,1.47474198,3.53060392,0.01897681,0.41553296,0.01542325,0.85189432
-5.98199100,4.93515203,1.38634231,3.45831217,0.01929611,0.38948418,0.01539271,0.83416323
-5.97598799,4.79184456,1.30109136,3.38151894,0.01954176,0.36473950,0.01528947,0.81480869
-5.96998499,4.64526366,1.21919508,3.30029708,0.01970629,0.34125936,0.01511388,0.79389307
-5.96398199,4.49566768,1.14080395,3.21485278,0.01978385,0.31899606,0.01486799,0.77150154
-5.95797899,4.34346532,1.06602530,3.12553805,0.01977042,0.29789906,0.01455558,0.74774436
-5.95197599,4.18923180,0.99493517,3.03285656,0.01966400,0.27791965,0.01418206,0.72275823
-5.94597299,4.03371561,0.92758907,2.93746232,0.01946476,0.25901469,0.01375445,0.69670643
-5.93996998,3.87783558,0.86403115,2.84015139,0.01917505,0.24114934,0.01328115,0.66977778
-5.93396698,3.72266827,0.80430134,2.74184665,0.01879931,0.22429886,0.01277174,0.64218440
-5.92796398,3.56942618,0.74844038,2.64357643,0.01834401,0.20844927,0.01223674,0.61415825
-5.92196098,3.41942780,0.69649237,2.54644759,0.01781734,0.19359715,0.01168728,0.58594669
-5.91595798,3.27406077,0.64850523,2.45161436,0.01722900,0.17974849,0.01113479,0.55780715
-5.90995498,3.13473969,0.60452892,2.36024377,0.01658982,0.16691690,0.01059066,0.53000110
-5.90395198,3.00286044,0.56461198,2.27347940,0.01591142,0.15512118,0.01006589,0.50278760
-5.89794897,2.87975281,0.52879655,2.19240447,0.01520582,0.14438262,0.00957076,0.47641669
-5.89194597,2.76663354,0.49711253,2.11800581,0.01448503,0.13472195,0.00911458,0.45112281
-5.88594297,2.66456162,0.46957113,2.05114006,0.01376072,0.12615647,0.00870532,0.42711863
-5.87993997,2.57439767,0.44615844,1.99250334,0.01304386,0.11869716,0.00834950,0.40458934
-5.87393697,2.49676915,0.42682947,1.94260557,0.01234446,0.11234622,0.00805193,0.38368784
-5.86793397,2.43204285,0.41150300,1.90175047,0.01167130,0.10709496,0.00781563,0.36453088
-5.86193097,2.38030585,0.40005776,1.87002207,0.01103179,0.10292231,0.00764177,0.34719625
-5.85592796,2.34135594,0.39233003,1.84727841,0.01043187,0.09979380,0.00752966,0.33172137
-5.84992496,2.31470196,0.38811307,1.83315280,0.00987596,0.09766133,0.00747686,0.31810302
-5.84392196,2.29957445,0.38715833,1.82706289,0.00936699,0.09646338,0.00747920,0.30629846
-5.83791896,2.29494632,0.38917853,1.82822735,0.00890651,0.09612604,0.00753106,0.29622785
-5.83191596,2.29956304,0.39385256,1.83568985,0.00849476,0.09656442,0.00762551,0.28777779
-5.82591296,2.31198148,0.40083183,1.84834965,0.00813091,0.09768464,0.00775459,0.28080597
-5.81990995,2.33061604,0.40974812,1.86499779,0.00781321,0.09938618,0.00790957,0.27514670
-5.81390695,2.35379048,0.42022226,1.88435782,0.00753918,0.10156448,0.00808127,0.27061712
-5.80790395,2.37979351,0.43187349,1.90512946,0.00730590,0.10411374,0.00826032,0.26702377
-5.80190095,2.40693606,0.44432891,1.92603367,0.00711010,0.10692968,0.00843752,0.26416950
-5.79589795,2.43360792,0.45723271,1.94585733,0.00694847,0.10991228,0.00860406,0.26186009
-5.78989495,2.45833148,0.47025466,1.96349583,0.00681772,0.11296819,0.00875183,0.25991069
-5.78389195,2.47981036,0.48309741,1.97799169,0.00671476,0.11601293,0.00887362,0.25815154
-5.77788894,2.49697082,0.49550243,1.98856765,0.00663680,0.11897257,0.00896333,0.25643293
-5.77188594,2.50899423,0.50725407,1.99465278,0.00658140,0.12178503,0.00901607,0.25462917
-5.76588294,2.51533925,0.51818183,1.99590049,0.00654649,0.12440072,0.00902830,0.25264136
-5.75987994,2.51575272,0.52816055,1.99219758,0.00653038,0.12678275,0.00899787,0.25039902
-5.75387694,2.51026899,0.53710862,1.98366397,0.00653171,0.12890658,0.00892397,0.24786048
-5.74787394,2.49919771,0.54498449,1.97064328,0.00654939,0.13075913,0.00880709,0.24501204
-5.74187094,2.48310097,0.55178154,1.95368450,0.00658253,0.13233756,0.00864894,0.24186608
-5.73586793,2.46276080,0.55752172,1.93351589,0.00663032,0.13364764,0.00845228,0.23845821
-5.72986493,2.43913896,0.56224851,1.91101227,0.00669200,0.13470191,0.00822079,0.23484368
-5.72386193,2.41333079,0.56601935,1.88715727,0.00676666,0.13551779,0.00795882,0.23109320
-5.71785893,2.38651564,0.56889836,1.86300240,0.00685328,0.13611558,0.00767126,0.22728853
-5.71185593,2.35990615,0.57094947,1.83962487,0.00695057,0.13651668,0.00736329,0.22351791
-5.70585293,2.33469874,0.57223059,1.81808595,0.00705695,0.13674194,0.00704021,0.21987168
-5.69984992,2.31202767,0.57278907,1.79939198,0.00717053,0.13681039,0.00670725,0.21643825
-5.69384692,2.29292451,0.57265864,1.78445941,0.00728911,0.13673823,0.00636940,0.21330055
-5.68784392,2.27828482,0.57185808,1.77408551,0.00741020,0.13653827,0.00603133,0.21053315
-5.68184092,2.26884297,0.57039156,1.76892572,0.00753107,0.13621983,0.00569720,0.20820004
-5.67583792,2.26515615,0.56825062,1.76947832,0.00764882,0.13578889,0.00537067,0.20635324
-5.66983492,2.26759749,0.56541754,1.77607682,0.00776045,0.13524870,0.00505481,0.20503207
-5.66383192,2.27635820,0.56186993,1.78888989,0.00786301,0.13460065,0.00475211,0.20426315
-5.65782891,2.29145801,0.55758613,1.80792849,0.00795367,0.13384531,0.00446447,0.20406096
-5.65182591,2.31276283,0.55255103,1.83305936,0.00802984,0.13298369,0.00419323,0.20442896
-5.64582291,2.34000817,0.54676196,1.86402375,0.00808932,0.13201843,0.00393926,0.20536101
-5.63981991,2.37282688,0.54023427,1.90046036,0.00813032,0.13095501,0.00370296,0.20684307
-5.63381691,2.41077925,0.53300606,1.94193083,0.00815165,0.12980285,0.00348439,0.20885499
