energy_ev,total_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up,Zn_p_up,Zn_d_up
-6.00000000,2.02525517,0.10905523,0.19766167,0.83667896,0.00000000,0.54864091,0.15926166,0.98505692,0.22389857
-5.99399700,1.89757554,0.10546946,0.17800759,0.78989444,0.00000000,0.51739376,0.15381254,0.89505797,0.20964828
-5.98799400,1.77108331,0.10163343,0.15933979,0.74287572,0.00000000,0.48598515,0.14799709,0.80883237,0.19548433
-5.98199100,1.64659787,0.09755943,0.14177624,0.69593230,0.00000000,0.45464197,0.14183998,0.72696400,0.18150846
-5.97598799,1.52485585,0.09326599,0.12540108,0.64936000,0.00000000,0.42357813,0.13537349,0.64989756,0.16781374
-5.96998499,1.40650900,0.08877739,0.11026659,0.60343839,0.00000000,0.39299281,0.12863717,0.57794429,0.15448377
-5.96398199,1.29212416,0.08412315,0.09639596,0.55842872,0.00000000,0.36306916,0.12167717,0.51129090,0.14159221
-5.95797899,1.18218463,0.07933718,0.08378653,0.51457199,0.00000000,0.33397319,0.11454533,0.45001118,0.12920254
-5.95197599,1.07709271,0.07445696,0.07241345,0.47208733,0.00000000,0.30585301,0.10729799,0.39407933,0.11736792
-5.94597299,0.97717298,0.06952247,0.06223340,0.43117061,0.00000000,0.27883820,0.09999461,0.34338442,0.10613139
-5.93996998,0.88267599,0.06457522,0.05318846,0.39199322,0.00000000,0.25303950,0.09269628,0.29774512,0.09552607
-5.93396698,0.79378231,0.05965703,0.04520967,0.35470106,0.00000000,0.22854857,0.08546415,0.25692433,0.08557556
-5.92796398,0.71060666,0.05480904,0.03822049,0.31941392,0.00000000,0.20543805,0.07835786,0.22064302,0.07629447
-5.92196098,0.63320220,0.05007062,0.03213978,0.28622499,0.00000000,0.18376176,0.07143403,0.18859309,0.06768892
-5.91595798,0.56156501,0.04547842,0.02688456,0.25520098,0.00000000,0.16355517,0.06474494,0.16044883,0.05975726
-5.90995498,0.49563866,0.04106561,0.02237217,0.22638247,0.00000000,0.14483615,0.05833740,0.13587693,0.05249078
-5.90395198,0.43531908,0.03686114,0.01852221,0.19978480,0.00000000,0.12760589,0.05225179,0.11454492,0.04587445
-5.89794897,0.38045972,0.03288932,0.01525790,0.17539948,0.00000000,0.11185014,0.04652149,0.09612811,0.03988780
-5.89194597,0.33087700,0.02916948,0.01250717,0.15319597,0.00000000,0.09754069,0.04117248,0.08031499,0.03450570
-5.88594297,0.28635612,0.02571590,0.01020341,0.13312396,0.00000000,0.08463702,0.03622332,0.06681134,0.02969931
-5.87993997,0.24665712,0.02253785,0.00828586,0.11511602,0.00000000,0.07308822,0.03168533,0.05534311,0.02543689
-5.87393697,0.21152115,0.01963984,0.00669986,0.09909055,0.00000000,0.06283495,0.02756305,0.04565825,0.02168471
-5.86793397,0.18067694,0.01702201,0.00539681,0.08495496,0.00000000,0.05381155,0.02385485,0.03752772,0.01840787
-5.86193097,0.15384712,0.01468059,0.00433403,0.07260896,0.00000000,0.04594818,0.02055380,0.03074577,0.01557112
-5.85592796,0.13075450,0.01260852,0.00347454,0.06194790,0.00000000,0.03917283,0.01764851,0.02512970,0.01313957
-5.84992496,0.11112800,0.01079604,0.00278667,0.05286592,0.00000000,0.03341336,0.01512415,0.02051921,0.01107943
-5.84392196,0.09470815,0.00923134,0.00224375,0.04525905,0.00000000,0.02859928,0.01296344,0.01677549,0.00935851
-5.83791896,0.08125198,0.00790123,0.00182372,0.03902793,0.00000000,0.02466333,0.01114757,0.01378018,0.00794683
-5.83191596,0.07053725,0.00679169,0.00150872,0.03408020,0.00000000,0.02154288,0.00965713,0.01143415,0.00681692
-5.82591296,0.06236583,0.00588843,0.00128479,0.03033249,0.00000000,0.01918095,0.00847288,0.00965641,0.00594423
-5.81990995,0.05656628,0.00517735,0.00114149,0.02771193,0.00000000,0.01752699,0.00757644,0.00838289,0.00530725
-5.81390695,0.05299542,0.00464487,0.00107164,0.02615721,0.00000000,0.01653725,0.00695080,0.00756539,0.00488766
-5.80790395,0.05153904,0.00427828,0.00107105,0.02561903,0.00000000,0.01617495,0.00658070,0.00717051,0.00467031
-5.80190095,0.05211160,0.00406584,0.00113827,0.02606021,0.00000000,0.01641000,0.00645289,0.00717869,0.00464318
-5.79589795,0.05465507,0.00399689,0.00127441,0.02745511,0.00000000,0.01721850,0.00655619,0.00758330,0.00479711
-5.78989495,0.05913675,0.00406184,0.00148293,0.02978876,0.00000000,0.01858192,0.00688144,0.00838964,0.00512567
-5.78389195,0.06554639,0.00425205,0.00176945,0.03305540,0.00000000,0.02048605,0.00742133,0.00961406,0.00562472
-5.77788894,0.07389236,0.00455971,0.00214153,0.03725671,0.00000000,0.02291974,0.00817006,0.01128287,0.00629209
-5.77188594,0.08419727,0.00497759,0.00260849,0.04239965,0.00000000,0.02587348,0.00912302,0.01343124,0.00712711
-5.76588294,0.09649280,0.00549881,0.00318112,0.04849402,0.00000000,0.02933784,0.01027626,0.01610188,0.00813013
-5.75987994,0.11081410,0.00611654,0.00387142,0.05554975,0.00000000,0.03330187,0.01162600,0.01934348,0.00930199
-5.75387694,0.12719379,0.00682374,0.00469218,0.06357407,0.00000000,0.03775156,0.01316807,0.02320899,0.01064347
-5.74787394,0.14565561,0.00761286,0.00565663,0.07256861,0.00000000,0.04266822,0.01489735,0.02775355,0.01215475
-5.74187094,0.16620799,0.00847565,0.00677790,0.08252637,0.00000000,0.04802715,0.01680721,0.03303213,0.01383486
-5.73586793,0.18883771,0.00940288,0.00806851,0.09342900,0.00000000,0.05379637,0.01888903,0.03909696,0.01568111
-5.72986493,0.21350371,0.01038424,0.00953972,0.10524403,0.00000000,0.05993564,0.02113168,0.04599461,0.01768861
-5.72386193,0.24013141,0.01140825,0.01120088,0.11792257,0.00000000,0.06639579,0.02352118,0.05376295,0.01984981
-5.71785893,0.26860770,0.01246219,0.01305875,0.13139732,0.00000000,0.07311836,0.02604040,0.06242797,0.02215413
-5.71185593,0.29877674,0.01353221,0.01511675,0.14558103,0.00000000,0.08003562,0.02866887,0.07200054,0.02458760
-5.70585293,0.33043695,0.01460342,0.01737434,0.16036565,0.00000000,0.08707099,0.03138270,0.08247335,0.02713267
-5.69984992,0.36333928,0.01566009,0.01982629,0.17562204,0.00000000,0.09413986,0.03415469,0.09381807,0.02976815
-5.69384692,0.39718700,0.01668594,0.02246224,0.19120041,0.00000000,0.10115081,0.03695451,0.10598292,0.03246915
-5.68784392,0.43163716,0.01766443,0.02526618,0.20693166,0.00000000,0.10800722,0.03974904,0.11889085,0.03520734
-5.68184092,0.46630379,0.01857915,0.02821623,0.22262933,0.00000000,0.11460913,0.04250286,0.13243843,0.03795114
-5.67583792,0.50076296,0.01941423,0.03128457,0.23809250,0.00000000,0.12085549,0.04517884,0.14649561,0.04066627
-5.66983492,0.53455958,0.02015471,0.03443757,0.25310931,0.00000000,0.12664652,0.04773889,0.16090651,0.04331625
-5.66383192,0.56721602,0.02078699,0.03763617,0.26746131,0.00000000,0.13188624,0.05014470,0.17549124,0.04586313
-5.65782891,0.59824209,0.02129920,0.04083652,0.28092821,0.00000000,0.13648497,0.05235867,0.19004885,0.04826832
-5.65182591,0.62714642,0.02168156,0.04399084,0.29329319,0.00000000,0.14036187,0.05434481,0.20436130,0.05049348
-5.64582291,0.65344870,0.02192665,0.04704851,0.30434842,0.00000000,0.14344713,0.05606965,0.21819852,0.05250146
-5.63981991,0.67669242,0.02202968,0.04995737,0.31390067,0.00000000,0.14568413,0.05750314,0.23132424,0.05425736
-5.63381691,0.69645774,0.02198859,0.05266516,0.32177680,0.00000000,0.14703104,0.05861950,0.24350250,0.05572943
-5.62781391,0.71237383,0.02180416,0.05512102,0.32782884,0.00000000,0.14746214,0.05939797,0.25450463,0.05689006
-5.62181091,0.72413034,0.02147993,0.05727714,0.33193861,0.00000000,0.14696862,0.05982343,0.26411630,0.05771663
-5.61580790,0.73148742,0.02102214,0.05909021,0.33402151,0.00000000,0.14555886,0.05988691,0.27214445,0.05819220
-5.60980490,0.73428381,0.02043947,0.06052294,0.33402942,0.00000000,0.14325823,0.05958587,0.27842373,0.05830613
-5.60380190,0.73244272,0.01974282,0.06154531,0.33195252,0.00000000,0.14010830,0.05892434,0.28282217,0.05805445
-5.59779890,0.72597512,0.01894496,0.06213562,0.32781996,0.00000000,0.13616569,0.05791286,0.28524582,0.05744005
-5.59179590,0.71498026,0.01806011,0.06228127,0.32169932,0.00000000,0.13150031,0.05656821,0.28564209,0.05647267
-5.58579290,0.69964343,0.01710357,0.06197919,0.31369485,0.00000000,0.12619340,0.05491297,0.28400172,0.05516866
-5.57978989,0.68023089,0.01609124,0.06123601,0.30394462,0.00000000,0.12033516,0.05297491,0.28035914,0.05355051
-5.57378689,0.65708232,0.01503922,0.06006779,0.29261660,0.00000000,0.11402229,0.05078620,0.27479141,0.05164627
-5.56778389,0.63060098,0.01396338,0.05849949,0.27990384,0.00000000,0.10735533,0.04838257,0.26741551,0.04948866
-5.56178089,0.60124205,0.01287899,0.05656412,0.26601909,0.00000000,0.10043609,0.04580229,0.25838447,0.04711421
-5.55577789,0.56949959,0.01180033,0.05430163,0.25118882,0.00000000,0.09336514,0.04308522,0.24788221,0.04456221
-5.54977489,0.53589278,0.01074049,0.05175758,0.23564715,0.00000000,0.08623949,0.04027175,0.23611756,0.04187360
-5.54377189,0.50095188,0.00971106,0.04898169,0.21962974,0.00000000,0.07915054,0.03740181,0.22331766,0.03908993
-5.53776888,0.46520461,0.00872203,0.04602638,0.20336800,0.00000000,0.07218235,0.03451396,0.20972112,0.03625227
-5.53176588,0.42916332,0.00778165,0.04294519,0.18708377,0.00000000,0.06541030,0.03164455,0.19557115,0.03340026
-5.52576288,0.39331360,0.00689644,0.03979138,0.17098464,0.00000000,0.05890007,0.02882701,0.18110908,0.03057124
-5.51975988,0.35810463,0.00607117,0.03661662,0.15526014,0.00000000,0.05270714,0.02609132,0.16656849,0.02779950
-5.51375688,0.32394154,0.00530896,0.03346988,0.14007885,0.00000000,0.04687657,0.02346354,0.15217014,0.02511577
-5.50775388,0.29118001,0.00461140,0.03039651,0.12558640,0.00000000,0.04144321,0.02096561,0.13811800,0.02254679
-5.50175088,0.26012317,0.00397869,0.02743761,0.11190463,0.00000000,0.03643226,0.01861527,0.12459631,0.02011509
-5.49574787,0.23102081,0.00340979,0.02462963,0.09913155,0.00000000,0.03186005,0.01642609,0.11176790,0.01783897
-5.48974487,0.20407059,0.00290268,0.02200424,0.08734225,0.00000000,0.02773514,0.01440767,0.09977365,0.01573261
-5.48374187,0.17942134,0.00245446,0.01958848,0.07659061,0.00000000,0.02405951,0.01256603,0.08873305,0.01380630
-5.47773887,0.15717782,0.00206164,0.01740501,0.06691166,0.00000000,0.02082995,0.01090395,0.07874577,0.01206687
-5.47173587,0.13740688,0.00172025,0.01547274,0.05832439,0.00000000,0.01803945,0.00942154,0.06989404,0.01051814
-5.46573287,0.12014451,0.00142604,0.01380737,0.05083495,0.00000000,0.01567863,0.00811678,0.06224567,0.00916144
-5.45972986,0.10540340,0.00117462,0.01242221,0.04444007,0.00000000,0.01373708,0.00698611,0.05585753,0.00799623
-5.45372686,0.09318069,0.00096162,0.01132893,0.03913045,0.00000000,0.01220467,0.00602506,0.05077915,0.00702065
-5.44772386,0.08346552,0.00078277,0.01053835,0.03489406,0.00000000,0.01107267,0.00522883,0.04705642,0.00623211
-5.44172086,0.07624609,0.00063400,0.01006117,0.03171922,0.00000000,0.01033473,0.00459286,0.04473496,0.00562780
-5.43571786,0.07151579,0.00051151,0.00990855,0.02959727,0.00000000,0.00998768,0.00411342,0.04386308,0.00520515
-5.42971486,0.06927839,0.00041179,0.01009262,0.02852488,0.00000000,0.01003207,0.00378801,0.04449416,0.00496224
-5.42371186,0.06955186,0.00033172,0.01062674,0.02850566,0.00000000,0.01047252,0.00361586,0.04668821,0.00489808
-5.41770885,0.07237080,0.00026848,0.01152560,0.02955136,0.00000000,0.01131783,0.00359820,0.05051257,0.00501276
-5.41170585,0.07778737,0.00021964,0.01280509,0.03168236,0.00000000,0.01258081,0.00373862,0.05604162,0.00530755
