energy_ev,total_up,Hg_p_up,Hg_d_up,In_p_up,In_d_up,Te_p_up,Te_d_up
-5.61580790,0.35469144,0.09412039,0.04315894,0.01097811,0.00075587,0.26421661,0.00000000
-5.60980490,0.36253233,0.09875854,0.04481175,0.01060609,0.00084192,0.25811232,0.00000000
-5.60380190,0.37069391,0.10343037,0.04653127,0.01025619,0.00093302,0.25157836,0.00000000
-5.59779890,0.37935862,0.10811325,0.04832312,0.00994136,0.00102900,0.24490538,0.00000000
-5.59179590,0.38871914,0.11278192,0.05019336,0.00967690,0.00112973,0.23839110,0.00000000
-5.58579290,0.39897469,0.11740941,0.05214832,0.00948012,0.00123512,0.23233154,0.00000000
-5.57978989,0.41032740,0.12196811,0.05419449,0.00936988,0.00134511,0.22701241,0.00000000
-5.57378689,0.42297881,0.12643104,0.05633848,0.00936615,0.00145975,0.22270070,0.00000000
-5.56778389,0.43712624,0.13077318,0.05858691,0.00948955,0.00157914,0.21963688,0.00000000
-5.56178089,0.45295909,0.13497288,0.06094639,0.00976087,0.00170350,0.21802785,0.00000000
-5.55577789,0.47065471,0.13901304,0.06342336,0.01020055,0.00183315,0.21804084,0.00000000
-5.54977489,0.49037386,0.14288213,0.06602395,0.01082811,0.00196847,0.21979840,0.00000000
-5.54377189,0.51225547,0.14657490,0.06875365,0.01166161,0.00210993,0.22337453,0.00000000
-5.53776888,0.53641087,0.15009264,0.07161692,0.01271702,0.00225805,0.22879224,0.00000000
-5.53176588,0.56291724,0.15344303,0.07461668,0.01400758,0.00241333,0.23602230,0.00000000
-5.52576288,0.59181068,0.15663948,0.07775368,0.01554320,0.00257624,0.24498346,0.00000000
-5.51975988,0.62307890,0.15970001,0.08102576,0.01732980,0.00274713,0.25554399,0.00000000
-5.51375688,0.65665404,0.16264574,0.08442715,0.01936869,0.00292622,0.26752463,0.00000000
-5.50775388,0.69240593,0.16549904,0.08794762,0.02165608,0.00311348,0.28070274,0.00000000
-5.50175088,0.73013642,0.16828148,0.09157185,0.02418260,0.00330861,0.29481773,0.00000000
-5.49574787,0.76957521,0.17101172,0.09527881,0.02693294,0.00351097,0.30957764,0.00000000
-5.48974487,0.81037785,0.17370356,0.09904141,0.02988576,0.00371955,0.32466657,0.00000000
-5.48374187,0.85212639,0.17636416,0.10282633,0.03301370,0.00393291,0.33975300,0.00000000
-5.47773887,0.89433308,0.17899285,0.10659429,0.03628362,0.00414919,0.35449867,0.00000000
-5.47173587,0.93644761,0.18158036,0.11030053,0.03965717,0.00436612,0.36856784,0.00000000
-5.46573287,0.97786780,0.18410886,0.11389580,0.04309160,0.00458102,0.38163661,0.00000000
-5.45972986,1.01795388,0.18655269,0.11732763,0.04654077,0.00479087,0.39340212,0.00000000
-5.45372686,1.05604608,0.18887987,0.12054209,0.04995656,0.00499241,0.40359126,0.00000000
-5.44772386,1.09148499,0.19105438,0.12348570,0.05329037,0.00518215,0.41196872,0.00000000
-5.44172086,1.12363407,0.19303906,0.12610774,0.05649491,0.00535657,0.41834397,0.00000000
-5.43571786,1.15190338,0.19479908,0.12836258,0.05952611,0.00551218,0.42257700,0.00000000
-5.42971486,1.17577356,0.19630567,0.13021211,0.06234506,0.00564568,0.42458269,0.00000000
-5.42371186,1.19481893,0.19754004,0.13162811,0.06491996,0.00575408,0.42433350,0.00000000
-5.41770885,1.20872854,0.19849719,0.13259428,0.06722801,0.00583480,0.42186044,0.00000000
-5.41170585,1.21732395,0.19918931,0.13310809,0.06925704,0.00588583,0.41725233,0.00000000
-5.40570285,1.22057296,0.19964860,0.13318202,0.07100694,0.00590578,0.41065323,0.00000000
-5.39969985,1.21859803,0.19992926,0.13284431,0.07249069,0.00589398,0.40225828,0.00000000
-5.39369685,1.21167906,0.20010849,0.13213911,0.07373500,0.00585050,0.39230788,0.00000000
-5.38769385,1.20024987,0.20028628,0.13112580,0.07478045,0.00577620,0.38108069,0.00000000
-5.38169085,1.18488842,0.20058399,0.12987778,0.07568115,0.00567268,0.36888536,0.00000000
-5.37568784,1.16630086,0.20114165,0.12848041,0.07650384,0.00554225,0.35605155,0.00000000
-5.36968484,1.14529985,0.20211400,0.12702840,0.07732642,0.00538784,0.34292037,0.00000000
-5.36368184,1.12277809,0.20366543,0.12562265,0.07823609,0.00521294,0.32983471,0.00000000
-5.35767884,1.09967787,0.20596399,0.12436661,0.07932690,0.00502141,0.31712966,0.00000000
-5.35167584,1.07695806,0.20917465,0.12336236,0.08069701,0.00481742,0.30512338,0.00000000
-5.34567284,1.05555983,0.21345215,0.12270658,0.08244553,0.00460524,0.29410885,0.00000000
-5.33966983,1.03637249,0.21893369,0.12248655,0.08466921,0.00438913,0.28434663,0.00000000
-5.33366683,1.02020113,0.22573190,0.12277637,0.08745901,0.00417319,0.27605893,0.00000000
-5.32766383,1.00773726,0.23392836,0.12363358,0.09089663,0.00396123,0.26942522,0.00000000
-5.32166083,0.99953393,0.24356805,0.12509635,0.09505120,0.00375664,0.26457950,0.00000000
-5.31565783,0.99598626,0.25465497,0.12718134,0.09997619,0.00356232,0.26160934,0.00000000
-5.30965483,0.99731838,0.26714930,0.12988243,0.10570670,0.00338057,0.26055664,0.00000000
-5.30365183,1.00357729,0.28096632,0.13317031,0.11225719,0.00321311,0.26142020,0.00000000
-5.29764882,1.01463396,0.29597702,0.13699303,0.11961978,0.00306101,0.26415981,0.00000000
-5.29164582,1.03019155,0.31201081,0.14127747,0.12776329,0.00292471,0.26870182,0.00000000
-5.28564282,1.04980040,0.32885995,0.14593170,0.13663293,0.00280409,0.27494589,0.00000000
-5.27963982,1.07287916,0.34628581,0.15084821,0.14615082,0.00269846,0.28277252,0.00000000
-5.27363682,1.09874103,0.36402671,0.15590772,0.15621731,0.00260672,0.29205117,0.00000000
-5.26763382,1.12662389,0.38180690,0.16098358,0.16671315,0.00252740,0.30264846,0.00000000
-5.26163082,1.15572308,0.39934659,0.16594652,0.17750246,0.00245875,0.31443606,0.00000000
-5.25562781,1.18522520,0.41637232,0.17066946,0.18843634,0.00239887,0.32729789,0.00000000
-5.24962481,1.21434155,0.43262746,0.17503229,0.19935727,0.00234581,0.34113621,0.00000000
-5.24362181,1.24233957,0.44788216,0.17892634,0.21010393,0.00229768,0.35587633,0.00000000
-5.23761881,1.26857108,0.46194246,0.18225833,0.22051640,0.00225268,0.37146959,0.00000000
-5.23161581,1.29249597,0.47465807,0.18495374,0.23044158,0.00220927,0.38789453,0.00000000
-5.22561281,1.31370045,0.48592833,0.18695926,0.23973858,0.00216615,0.40515602,0.00000000
-5.21960980,1.33190915,0.49570630,0.18824439,0.24828391,0.00212235,0.42328255,0.00000000
-5.21360680,1.34699074,0.50400048,0.18880212,0.25597622,0.00207723,0.44232168,0.00000000
-5.20760380,1.35895690,0.51087434,0.18864856,0.26274036,0.00203053,0.46233402,0.00000000
-5.20160080,1.36795513,0.51644344,0.18782172,0.26853069,0.00198233,0.48338598,0.00000000
-5.19559780,1.37425572,0.52087042,0.18637940,0.27333331,0.00193301,0.50554181,0.00000000
-5.18959480,1.37823399,0.52435802,0.18439644,0.27716715,0.00188327,0.52885531,0.00000000
-5.18359180,1.38034857,0.52714051,0.18196134,0.28008390,0.00183404,0.55336179,0.00000000
-5.17758879,1.38111725,0.52947382,0.17917255,0.28216666,0.00178643,0.57907078,0.00000000
-5.17158579,1.38109135,0.53162504,0.17613460,0.28352738,0.00174168,0.60595980,0.00000000
-5.16558279,1.38083013,0.53386158,0.17295422,0.28430318,0.00170111,0.63396974,0.00000000
-5.15957979,1.38087632,0.53644066,0.16973661,0.28465171,0.00166601,0.66300193,0.00000000
-5.15357679,1.38173390,0.53959945,0.16658212,0.28474570,0.00163764,0.69291724,0.00000000
-5.14757379,1.38384904,0.54354651,0.16358337,0.28476697,0.00161714,0.72353707,0.00000000
-5.14157079,1.38759484,0.54845473,0.16082294,0.28490025,0.00160549,0.75464624,0.00000000
-5.13556778,1.39326033,0.55445609,0.15837169,0.28532689,0.00160350,0.78599744,0.00000000
-5.12956478,1.40104383,0.56163853,0.15628771,0.28621892,0.00161173,0.81731710,0.00000000
-5.12356178,1.41105073,0.57004483,0.15461588,0.28773372,0.00163052,0.84831206,0.00000000
-5.11755878,1.42329523,0.57967360,0.15338807,0.29000933,0.00165998,0.87867686,0.00000000
-5.11155578,1.43770575,0.59048215,0.15262367,0.29316084,0.00169996,0.90810102,0.00000000
-5.10555278,1.45413308,0.60239100,0.15233070,0.29727775,0.00175008,0.93627603,0.00000000
-5.09954977,1.47236094,0.61528971,0.15250703,0.30242252,0.00180975,0.96290171,0.00000000
-5.09354677,1.49211775,0.62904360,0.15314178,0.30863011,0.00187820,0.98769160,0.00000000
-5.08754377,1.51308918,0.64350087,0.15421685,0.31590856,0.00195450,1.01037734,0.00000000
-5.08154077,1.53493053,0.65849977,0.15570824,0.32424045,0.00203759,1.03071196,0.00000000
-5.07553777,1.55727835,0.67387524,0.15758727,0.33358487,0.00212629,1.04847202,0.00000000
-5.06953477,1.57976088,0.68946471,0.15982162,0.34387996,0.00221940,1.06345896,0.00000000
-5.06353177,1.60200675,0.70511263,0.16237598,0.35504548,0.00231564,1.07549965,0.00000000
-5.05752876,1.62365182,0.72067355,0.16521254,0.36698538,0.00241376,1.08444652,0.00000000
-5.05152576,1.64434403,0.73601361,0.16829108,0.37959016,0.00251250,1.09017743,0.00000000
-5.04552276,1.66374631,0.75101038,0.17156894,0.39273873,0.00261064,1.09259560,0.00000000
-5.03951976,1.68153781,0.76555110,0.17500066,0.40629982,0.00270699,1.09162971,0.00000000
-5.03351676,1.69741368,0.77952971,0.17853763,0.42013292,0.00280043,1.08723433,0.00000000
-5.02751376,1.71108381,0.79284284,0.18212763,0.43408865,0.00288990,1.07939075,0.00000000
-5.02151076,1.72227109,0.80538525,0.18571443,0.44800895,0.00297437,1.06810814,0.00000000
-5.01550775,1.73070954,0.81704510,0.18923757,0.46172696,0.00305289,1.05342496,0.00000000
-5.00950475,1.73614285,0.82769976,0.19263231,0.47506708,0.00312455,1.03541046,0.00000000
-5.00350175,1.73832376,0.83721234,0.19582993,0.48784534,0.00318850,1.01416608,0.00000000
-4.99749875,1.73701470,0.84542965,0.19875832,0.49987021,0.00324392,0.98982651,0.00000000
-4.99149575,1.73198985,0.85218177,0.20134295,0.51094435,0.00329006,0.96256014,0.00000000
-4.98549275,1.72303879,0.85728356,0.20350826,0.52086709,0.00332621,0.93256884,0.00000000
-4.97948974,1.70997186,0.86053813,0.20517932,0.52943804,0.00335175,0.90008681,0.00000000
-4.97348674,1.69262693,0.86174236,0.20628382,0.53646158,0.00336610,0.86537838,0.00000000
-4.96748374,1.67087739,0.86069406,0.20675430,0.54175237,0.00336881,0.82873493,0.00000000
-4.96148074,1.64464093,0.85720068,0.20653048,0.54514138,0.00335953,0.79047072,0.00000000
-4.95547774,1.61388858,0.85108887,0.20556154,0.54648248,0.00333806,0.75091799,0.00000000
-4.94947474,1.57865347,0.84221449,0.20380840,0.54565904,0.00330435,0.71042129,0.00000000
-4.94347174,1.53903853,0.83047237,0.20124563,0.54259019,0.00325854,0.66933141,0.00000000
-4.93746873,1.49522275,0.81580524,0.19786311,0.53723639,0.00320096,0.62799903,0.00000000
-4.93146573,1.44746508,0.79821115,0.19366715,0.52960387,0.00313216,0.58676846,0.00000000
-4.92546273,1.39610582,0.77774897,0.18868111,0.51974756,0.00305292,0.54597148,0.00000000
-4.91945973,1.34156483,0.75454142,0.18294537,0.50777232,0.00296424,0.50592179,0.00000000
-4.91345673,1.28433656,0.72877542,0.17651672,0.49383216,0.00286730,0.46690999,0.00000000
-4.90745373,1.22498174,0.70069963,0.16946710,0.47812752,0.00276350,0.42919932,0.00000000
-4.90145073,1.16411596,0.67061917,0.16188176,0.46090045,0.00265439,0.39302228,0.00000000
-4.89544772,1.10239542,0.63888787,0.15385693,0.44242808,0.00254165,0.35857812,0.00000000
-4.88944472,1.04050034,0.60589813,0.14549702,0.42301436,0.00242703,0.32603121,0.00000000
-4.88344172,0.97911683,0.57206921,0.13691162,0.40298069,0.00231232,0.29551032,0.00000000
-4.87743872,0.91891775,0.53783424,0.12821229,0.38265569,0.00219927,0.26710863,0.00000000
-4.87143572,0.86054356,0.50362675,0.11950928,0.36236461,0.00208958,0.24088452,0.00000000
-4.86543272,0.80458394,0.46986725,0.11090849,0.34241888,0.00198479,0.21686294,0.00000000
-4.85942971,0.75156092,0.43695061,0.10250857,0.32310631,0.00188630,0.19503740,0.00000000
-4.85342671,0.70191441,0.40523469,0.09439844,0.30468229,0.00179525,0.17537233,0.00000000
-4.84742371,0.65599066,0.37503076,0.08665522,0.28736242,0.00171254,0.15780584,0.00000000
-4.84142071,0.61403409,0.34659608,0.07934273,0.27131687,0.00163878,0.14225277,0.00000000
-4.83541771,0.57618298,0.32012887,0.07251049,0.25666663,0.00157430,0.12860791,0.00000000
-4.82941471,0.54246895,0.29576578,0.06619334,0.24348178,0.00151912,0.11674941,0.00000000
-4.82341171,0.51282043,0.27358195,0.06041156,0.23178189,0.00147295,0.10654231,0.00000000
-4.81740870,0.48706970,0.25359333,0.05517153,0.22153820,0.00143524,0.09784200,0.00000000
-4.81140570,0.46496330,0.23576126,0.05046682,0.21267769,0.00140521,0.09049784,0.00000000
-4.80540270,0.44617525,0.21999887,0.04627970,0.20508866,0.00138184,0.08435660,0.00000000
-4.79939970,0.43032242,0.20617891,0.04258292,0.19862750,0.00136398,0.07926591,0.00000000
-4.79339670,0.41698161,0.19414268,0.03934160,0.19312630,0.00135035,0.07507748,0.00000000
-4.78739370,0.40570727,0.18370956,0.03651540,0.18840109,0.00133962,0.07165021,0.00000000
-4.78139070,0.39604953,0.17468681,0.03406055,0.18426010,0.00133044,0.06885307,0.00000000
-4.77538769,0.38757155,0.16687909,0.03193188,0.18051187,0.00132154,0.06656766,0.00000000
-4.76938469,0.37986570,0.16009751,0.03008474,0.17697284,0.00131171,0.06469049,0.00000000
-4.76338169,0.37256802,0.15416782,0.02847668,0.17347408,0.00129991,0.06313489,0.00000000
-4.75737869,0.36537046,0.14893745,0.02706891,0.16986706,0.00128527,0.06183252,0.00000000
-4.75137569,0.35803049,0.14428131,0.02582749,0.16602811,0.00126713,0.06073444,0.00000000
-4.74537269,0.35037798,0.14010618,0.02472423,0.16186168,0.00124505,0.05981176,0.00000000
-4.73936968,0.34231920,0.13635356,0.02373730,0.15730212,0.00121883,0.05905578,0.00000000
-4.73336668,0.33383782,0.13300111,0.02285155,0.15231432,0.00118852,0.05847767,0.00000000
-4.72736368,0.32499325,0.13006257,0.02205854,0.14689285,0.00115439,0.05810770,0.00000000
-4.72136068,0.31591623,0.12758633,0.02135635,0.14106023,0.00111696,0.05799391,0.00000000
-4.71535768,0.30680228,0.12565275,0.02074914,0.13486404,0.00107691,0.05820043,0.00000000
-4.70935468,0.29790303,0.12437030,0.02024651,0.12837338,0.00103511,0.05880528,0.00000000
-4.70335168,0.28951601,0.12387077,0.01986271,0.12167477,0.00099257,0.05989782,0.00000000
-4.69734867,0.28197327,0.12430362,0.01961574,0.11486762,0.00095038,0.06157578,0.00000000
-4.69134567,0.27562906,0.12582973,0.01952635,0.10805974,0.00090972,0.06394200,0.00000000
-4.68534267,0.27084722,0.12861471,0.01961693,0.10136276,0.00087179,0.06710090,0.00000000
-4.67933967,0.26798845,0.13282188,0.01991045,0.09488791,0.00083776,0.07115469,0.00000000
-4.67333667,0.26739787,0.13860524,0.02042932,0.08874221,0.00080876,0.07619955,0.00000000
-4.66733367,0.26939320,0.14610248,0.02119435,0.08302505,0.00078587,0.08232159,0.00000000
-4.66133067,0.27425377,0.15542841,0.02222372,0.07782554,0.00077000,0.08959306,0.00000000
-4.65532766,0.28221076,0.16666876,0.02353203,0.07322036,0.00076198,0.09806855,0.00000000
-4.64932466,0.29343861,0.17987475,0.02512946,0.06927233,0.00076243,0.10778155,0.00000000
-4.64332166,0.30804813,0.19505861,0.02702105,0.06602963,0.00077181,0.11874135,0.00000000
-4.63731866,0.32608116,0.21218997,0.02920614,0.06352556,0.00079039,0.13093056,0.00000000
-4.63131566,0.34750709,0.23119370,0.03167791,0.06177887,0.00081821,0.14430315,0.00000000
-4.62531266,0.37222124,0.25194890,0.03442323,0.06079455,0.00085513,0.15878335,0.00000000
-4.61930965,0.40004525,0.27428946,0.03742252,0.06056491,0.00090077,0.17426540,0.00000000
-4.61330665,0.43072937,0.29800605,0.04064996,0.06107101,0.00095455,0.19061419,0.00000000
-4.60730365,0.46395665,0.32284957,0.04407381,0.06228418,0.00101569,0.20766689,0.00000000
-4.60130065,0.49934906,0.34853605,0.04765694,0.06416763,0.00108323,0.22523561,0.00000000
-4.59529765,0.53647516,0.37475275,0.05135756,0.06667806,0.00115602,0.24311092,0.00000000
-4.58929465,0.57485929,0.40116542,0.05513007,0.06976712,0.00123278,0.26106624,0.00000000
-4.58329165,0.61399195,0.42742630,0.05892606,0.07338271,0.00131210,0.27886300,0.00000000
-4.57728864,0.65334097,0.45318262,0.06269542,0.07747011,0.00139249,0.29625624,0.00000000
-4.57128564,0.69236324,0.47808534,0.06638746,0.08197279,0.00147240,0.31300066,0.00000000
-4.56528264,0.73051648,0.50179764,0.06995206,0.08683294,0.00155025,0.32885676,0.00000000
-4.55927964,0.76727072,0.52400291,0.07334083,0.09199185,0.00162449,0.34359674,0.00000000
-4.55327664,0.80211912,0.54441185,0.07650816,0.09738986,0.00169363,0.35701023,0.00000000
-4.54727364,0.83458771,0.56276849,0.07941213,0.10296630,0.00175624,0.36890926,0.00000000
-4.54127064,0.86424385,0.57885477,0.08201535,0.10865913,0.00181106,0.37913254,0.00000000
-4.53526763,0.89070306,0.59249377,0.08428555,0.11440460,0.00185695,0.38754876,0.00000000
-4.52926463,0.91363434,0.60355126,0.08619610,0.12013687,0.00189299,0.39405890,0.00000000
-4.52326163,0.93276360,0.61193587,0.08772619,0.12578772,0.00191843,0.39859736,0.00000000
-4.51725863,0.94787552,0.61759781,0.08886099,0.13128645,0.00193276,0.40113215,0.00000000
-4.51125563,0.95881388,0.62052650,0.08959154,0.13655998,0.00193571,0.40166388,0.00000000
-4.50525263,0.96548052,0.62074715,0.08991452,0.14153326,0.00192723,0.40022400,0.00000000
-4.49924962,0.96783322,0.61831683,0.08983194,0.14613004,0.00190750,0.39687220,0.00000000
-4.49324662,0.96588277,0.61332011,0.08935069,0.15027394,0.00187691,0.39169320,0.00000000
-4.48724362,0.95968952,0.60586470,0.08848209,0.15388988,0.00183605,0.38479325,0.00000000
-4.48124062,0.94935954,0.59607722,0.08724138,0.15690582,0.00178569,0.37629626,0.00000000
-4.47523762,0.93504082,0.58409948,0.08564722,0.15925467,0.00172674,0.36634010,0.00000000
-4.46923462,0.91691943,0.57008519,0.08372125,0.16087644,0.00166022,0.35507285,0.00000000
-4.46323162,0.89521596,0.55419744,0.08148760,0.16172032,0.00158724,0.34264943,0.00000000
-4.45722861,0.87018202,0.53660667,0.07897255,0.16174673,0.00150898,0.32922848,0.00000000
-4.45122561,0.84209701,0.51748929,0.07620416,0.16092917,0.00142662,0.31496973,0.00000000
-4.44522261,0.81126497,0.49702680,0.07321193,0.15925573,0.00134134,0.30003168,0.00000000
-4.43921961,0.77801134,0.47540515,0.07002654,0.15673017,0.00125428,0.28456976,0.00000000
-4.43321661,0.74267970,0.45281432,0.06667955,0.15337253,0.00116654,0.26873481,0.00000000
-4.42721361,0.70562822,0.42944794,0.06320311,0.14921915,0.00107912,0.25267188,0.00000000
-4.42121061,0.66722575,0.40550265,0.05962969,0.14432213,0.00099294,0.23651923,0.00000000
-4.41520760,0.62784761,0.38117735,0.05599177,0.13874820,0.00090881,0.22040758,0.00000000
-4.40920460,0.58787098,0.35667204,0.05232146,0.13257712,0.00082745,0.20445942,0.00000000
-4.40320160,0.54766997,0.33218633,0.04865017,0.12589953,0.00074944,0.18878845,0.00000000
-4.39719860,0.50761055,0.30791769,0.04500822,0.11881456,0.00067524,0.17349902,0.00000000
-4.39119560,0.46804533,0.28405934,0.04142443,0.11142713,0.00060524,0.15868569,0.00000000
-4.38519260,0.42930859,0.26079811,0.03792576,0.10384513,0.00053969,0.14443272,0.00000000
-4.37918959,0.39171152,0.23831219,0.03453691,0.09617669,0.00047874,0.13081376,0.00000000
-4.37318659,0.35553811,0.21676907,0.03127999,0.08852753,0.00042247,0.11789153,0.00000000
-4.36718359,0.32104166,0.19632364,0.02817428,0.08099855,0.00037089,0.10571764,0.00000000
-4.36118059,0.28844221,0.17711672,0.02523594,0.07368379,0.00032390,0.09433259,0.00000000
-4.35517759,0.25792494,0.15927400,0.02247795,0.06666881,0.00028139,0.08376592,0.00000000
-4.34917459,0.22963952,0.14290550,0.01991001,0.06002945,0.00024318,0.07403656,0.00000000
-4.34317159,0.20370056,0.12810547,0.01753858,0.05383106,0.00020904,0.06515337,0.00000000
-4.33716858,0.18018894,0.11495287,0.01536702,0.04812820,0.00017874,0.05711589,0.00000000
-4.33116558,0.15915401,0.10351212,0.01339575,0.04296473,0.00015202,0.04991520,0.00000000
-4.32516258,0.14061642,0.09383425,0.01162256,0.03837415,0.00012860,0.04353503,0.00000000
-4.31915958,0.12457148,0.08595818,0.01004289,0.03438034,0.00010821,0.03795291,0.00000000
-4.31315658,0.11099275,0.07991198,0.00865021,0.03099840,0.00009056,0.03314136,0.00000000
-4.30715358,0.09983573,0.07571411,0.00743640,0.02823562,0.00007541,0.02906917,0.00000000
