energy_ev,total_up,Ag_p_up,Ag_d_up,Au_p_up,Au_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,4.62859172,0.61518867,2.61682169,0.21319296,1.61422450,0.00615366,0.04736744,0.02158021,0.26870954
-5.99399700,4.71107904,0.62073585,2.65476485,0.21368394,1.65788595,0.00622141,0.04748791,0.02232043,0.26930405
-5.98799400,4.78713799,0.62545929,2.68684668,0.21432270,1.70134645,0.00625804,0.04762120,0.02310049,0.26958321
-5.98199100,4.85590107,0.62920487,2.71269373,0.21499013,1.74422346,0.00626312,0.04776499,0.02391267,0.26948070
-5.97598799,4.91654074,0.63184369,2.73199430,0.21557033,1.78609370,0.00623674,0.04791929,0.02474903,0.26893857
-5.96998499,4.96827937,0.63327111,2.74450041,0.21595349,1.82650137,0.00617953,0.04808590,0.02560112,0.26790770
-5.96398199,5.01040077,0.63340521,2.75002995,0.21603864,1.86496842,0.00609261,0.04826782,0.02645984,0.26634803
-5.95797899,5.04226332,0.63218476,2.74846893,0.21573621,1.90100659,0.00597756,0.04846864,0.02731522,0.26422867
-5.95197599,5.06331456,0.62956727,2.73977422,0.21497021,1.93413077,0.00583636,0.04869184,0.02815634,0.26152790
-5.94597299,5.07310685,0.62552703,2.72397664,0.21368025,1.96387302,0.00567136,0.04894024,0.02897126,0.25823317
-5.93996998,5.07131364,0.62005365,2.70118437,0.21182294,1.98979688,0.00548519,0.04921543,0.02974711,0.25434105
-5.93396698,5.05774536,0.61315108,2.67158632,0.20937303,2.01151108,0.00528075,0.04951730,0.03047022,0.24985719
-5.92796398,5.03236437,0.60483713,2.63545533,0.20632391,2.02868233,0.00506110,0.04984375,0.03112637,0.24479627
-5.92196098,4.99529779,0.59514363,2.59315056,0.20268765,2.04104643,0.00482945,0.05019048,0.03170111,0.23918196
-5.91595798,4.94684754,0.58411704,2.54511883,0.19849449,2.04841734,0.00458908,0.05055093,0.03218020,0.23304683
-5.90995498,4.88749658,0.57181933,2.49189432,0.19379178,2.05069394,0.00434334,0.05091643,0.03255005,0.22643222
-5.90395198,4.81791081,0.55832908,2.43409634,0.18864245,2.04786408,0.00409558,0.05127640,0.03279826,0.21938803
-5.89794897,4.73893609,0.54374251,2.37242486,0.18312309,2.04000602,0.00384917,0.05161874,0.03291413,0.21197231
-5.89194597,4.65159023,0.52817425,2.30765355,0.17732154,2.02728719,0.00360744,0.05193030,0.03288916,0.20425086
-5.88594297,4.55704997,0.51175764,2.24062040,0.17133436,2.00996047,0.00337370,0.05219744,0.03271749,0.19629647
-5.87993997,4.45663322,0.49464449,2.17221594,0.16526404,1.98835841,0.00315127,0.05240664,0.03239634,0.18818817
-5.87393697,4.35177715,0.47700411,2.10336942,0.15921620,1.96288546,0.00294341,0.05254510,0.03192626,0.18001016
-5.86793397,4.24401299,0.45902160,2.03503327,0.15329678,1.93400890,0.00275343,0.05260135,0.03131132,0.17185071
-5.86193097,4.13493821,0.44089535,1.96816636,0.14760945,1.90224878,0.00258461,0.05256584,0.03055921,0.16380083
-5.85592796,4.02618729,0.42283397,1.90371669,0.14225323,1.86816720,0.00244029,0.05243139,0.02968112,0.15595287
-5.84992496,3.91940194,0.40505252,1.84260404,0.13732042,1.83235744,0.00232381,0.05219362,0.02869159,0.14839911
-5.84392196,3.81620169,0.38776838,1.78570328,0.13289488,1.79543312,0.00223857,0.05185122,0.02760821,0.14123029
-5.83791896,3.71815572,0.37119684,1.73382864,0.12905076,1.75801768,0.00218799,0.05140611,0.02645115,0.13453412
-5.83191596,3.62675637,0.35554661,1.68771964,0.12585154,1.72073423,0.00217549,0.05086345,0.02524272,0.12839393
-5.82591296,3.54339491,0.34101535,1.64802884,0.12334950,1.68419586,0.00220447,0.05023159,0.02400674,0.12288737
-5.81990995,3.46933968,0.32778552,1.61531151,0.12158550,1.64899640,0.00227828,0.04952178,0.02276797,0.11808515
-5.81390695,3.40571654,0.31602048,1.59001750,0.12058905,1.61570140,0.00240010,0.04874786,0.02155145,0.11405000
-5.80790395,3.35349165,0.30586112,1.57248495,0.12037853,1.58483941,0.00257290,0.04792582,0.02038184,0.11083562
-5.80190095,3.31345607,0.29742294,1.56293592,0.12096161,1.55689333,0.00279933,0.04707324,0.01928288,0.10848588
-5.79589795,3.28621220,0.29079368,1.56147356,0.12233570,1.53229168,0.00308159,0.04620875,0.01827672,0.10703395
-5.78989495,3.27216158,0.28603154,1.56808058,0.12448833,1.51139999,0.00342135,0.04535134,0.01738348,0.10650164
-5.78389195,3.27149406,0.28316388,1.58261900,0.12739762,1.49451209,0.00381955,0.04451978,0.01662079,0.10689882
-5.77788894,3.28417836,0.28218647,1.60483072,0.13103250,1.48184177,0.00427633,0.04373192,0.01600341,0.10822281
-5.77188594,3.30995436,0.28306324,1.63433924,0.13535294,1.47351476,0.00479090,0.04300415,0.01554295,0.11045803
-5.76588294,3.34832749,0.28572661,1.67065222,0.14031008,1.46956169,0.00536139,0.04235078,0.01524768,0.11357560
-5.75987994,3.39856603,0.29007816,1.71316545,0.14584632,1.46991235,0.00598481,0.04178361,0.01512243,0.11753327
-5.75387694,3.45970226,0.29599005,1.76116817,0.15189534,1.47439171,0.00665697,0.04131153,0.01516853,0.12227537
-5.74787394,3.53053836,0.30330682,1.81385042,0.15838234,1.48271840,0.00737251,0.04094019,0.01538393,0.12773314
-5.74187094,3.60965803,0.31184789,1.87031260,0.16522432,1.49450603,0.00812487,0.04067191,0.01576326,0.13382529
-5.73586793,3.69544489,0.32141075,1.92957771,0.17233064,1.50926780,0.00890642,0.04050556,0.01629809,0.14045896
-5.72986493,3.78610815,0.33177467,1.99060657,0.17960384,1.52642483,0.00970856,0.04043668,0.01697721,0.14753099
-5.72386193,3.87971602,0.34270530,2.05231615,0.18694087,1.54531817,0.01052195,0.04045768,0.01778691,0.15492973
-5.71785893,3.97423670,0.35395974,2.11360096,0.19423468,1.56522462,0.01133669,0.04055817,0.01871146,0.16253712
-5.71185593,4.06758637,0.36529233,2.17335724,0.20137613,1.58537606,0.01214262,0.04072541,0.01973346,0.17023129
-5.70585293,4.15768308,0.37646090,2.23050938,0.20825638,1.60498163,0.01292965,0.04094482,0.02083437,0.17788942
-5.69984992,4.24250488,0.38723326,2.28403790,0.21476945,1.62325233,0.01368801,0.04120059,0.02199502,0.18539091
-5.69384692,4.32015001,0.39739391,2.33300773,0.22081511,1.63942682,0.01440864,0.04147636,0.02319605,0.19262063
-5.68784392,4.38889672,0.40675055,2.37659586,0.22630174,1.65279759,0.01508345,0.04175587,0.02441852,0.19947226
-5.68184092,4.44725985,0.41514016,2.41411682,0.23114926,1.66273614,0.01570564,0.04202365,0.02564431,0.20585141
-5.67583792,4.49404138,0.42243438,2.44504468,0.23529177,1.66871611,0.01626990,0.04226564,0.02685665,0.21167851
-5.66983492,4.52837210,0.42854393,2.46903030,0.23867990,1.67033307,0.01677260,0.04246980,0.02804046,0.21689120
-5.66383192,4.54974204,0.43342174,2.48591262,0.24128269,1.66731998,0.01721189,0.04262650,0.02918273,0.22144611
-5.65782891,4.55801747,0.43706455,2.49572300,0.24308881,1.65955738,0.01758769,0.04272897,0.03027270,0.22531998
-5.65182591,4.55344319,0.43951292,2.49868224,0.24410716,1.64707766,0.01790169,0.04277347,0.03130211,0.22850992
-5.64582291,4.53662933,0.44084954,2.49518980,0.24436667,1.63006315,0.01815714,0.04275935,0.03226515,0.23103281
-5.63981991,4.50852295,0.44119574,2.48580562,0.24391535,1.60883776,0.01835866,0.04268901,0.03315845,0.23292395
-5.63381691,4.47036527,0.44070642,2.47122519,0.24281860,1.58385272,0.01851197,0.04256765,0.03398093,0.23423485
-5.62781391,4.42363647,0.43956352,2.45224883,0.24115688,1.55566672,0.01862353,0.04240288,0.03473351,0.23503031
-5.62181091,4.36999053,0.43796833,2.42974668,0.23902278,1.52492162,0.01870019,0.04220429,0.03541880,0.23538508
-5.61580790,4.31118325,0.43613296,2.40462116,0.23651775,1.49231462,0.01874879,0.04198279,0.03604069,0.23538002
-5.60980490,4.24899698,0.43427136,2.37776865,0.23374849,1.45856834,0.01877583,0.04175004,0.03660394,0.23509823
-5.60380190,4.18516582,0.43259033,2.35004247,0.23082338,1.42440017,0.01878711,0.04151773,0.03711374,0.23462115
-5.59779890,4.12130504,0.43128101,2.32221897,0.22784898,1.39049238,0.01878746,0.04129695,0.03757526,0.23402498
-5.59179590,4.05884807,0.43051109,2.29496856,0.22492677,1.35746438,0.01878047,0.04109754,0.03799326,0.23337756
-5.58579290,3.99899437,0.43041836,2.26883297,0.22215042,1.32584842,0.01876843,0.04092757,0.03837180,0.23273584
-5.57978989,3.94267030,0.43110573,2.24420997,0.21960354,1.29606984,0.01875219,0.04079294,0.03871399,0.23214416
-5.57378689,3.89050487,0.43263795,2.22134600,0.21735806,1.26843274,0.01873124,0.04069700,0.03902182,0.23163331
-5.56778389,3.84282103,0.43504027,2.20033706,0.21547332,1.24311167,0.01870379,0.04064048,0.03929613,0.23122043
-5.56178089,3.79964248,0.43829901,2.18113724,0.21399574,1.22014946,0.01866695,0.04062145,0.03953667,0.23090974
-5.55577789,3.76071509,0.44236380,2.16357443,0.21295917,1.19946140,0.01861701,0.04063547,0.03974222,0.23069397
