energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,1.24200349,0.00698932,0.01414779,0.00488596,0.74032278,0.40157955,0.37924579
-5.99399700,1.15097359,0.00626185,0.01269912,0.00448290,0.68719374,0.36675138,0.35285942
-5.98799400,1.06154553,0.00558252,0.01135519,0.00410840,0.63486639,0.33304017,0.32681427
-5.98199100,0.97456495,0.00495460,0.01012352,0.00376408,0.58384690,0.30072551,0.30136233
-5.97598799,0.89080928,0.00438019,0.00900984,0.00345158,0.53460512,0.27004813,0.27674035
-5.96998499,0.81097687,0.00386031,0.00801814,0.00317259,0.48756739,0.24120705,0.25316616
-5.96398199,0.73567893,0.00339502,0.00715094,0.00292874,0.44311124,0.21435835,0.23083570
-5.95797899,0.66543459,0.00298366,0.00640943,0.00272165,0.40156161,0.18961530,0.20992085
-5.95197599,0.60066851,0.00262490,0.00579372,0.00255284,0.36318883,0.16704981,0.19056800
-5.94597299,0.54171099,0.00231695,0.00530301,0.00242375,0.32820792,0.14669492,0.17289723
-5.93996998,0.48880005,0.00205765,0.00493580,0.00233567,0.29677929,0.12854815,0.15700217
-5.93396698,0.44208522,0.00184461,0.00469000,0.00228968,0.26901031,0.11257541,0.14295032
-5.92796398,0.40163246,0.00167527,0.00456310,0.00228667,0.24495778,0.09871533,0.13078373
-5.92196098,0.36742996,0.00154701,0.00455220,0.00232722,0.22463095,0.08688366,0.12052010
-5.91595798,0.33939438,0.00145720,0.00465413,0.00241156,0.20799484,0.07697760,0.11215397
-5.90995498,0.31737736,0.00140322,0.00486539,0.00253953,0.19497384,0.06887992,0.10565817
-5.90395198,0.30117196,0.00138249,0.00518225,0.00271050,0.18545537,0.06246277,0.10098532
-5.89794897,0.29051911,0.00139248,0.00560065,0.00292331,0.17929358,0.05759099,0.09806947
-5.89194597,0.28511387,0.00143075,0.00611626,0.00317623,0.17631303,0.05412500,0.09682776
-5.88594297,0.28461177,0.00149488,0.00672444,0.00346692,0.17631250,0.05192323,0.09716225
-5.87993997,0.28863509,0.00158255,0.00742026,0.00379238,0.17906883,0.05084411,0.09896193
-5.87393697,0.29677950,0.00169146,0.00819856,0.00414900,0.18434104,0.05074774,0.10210479
-5.86793397,0.30862106,0.00181940,0.00905407,0.00453253,0.19187472,0.05149720,0.10646030
-5.86193097,0.32372379,0.00196425,0.00998151,0.00493817,0.20140681,0.05295973,0.11189207
-5.85592796,0.34164795,0.00212397,0.01097578,0.00536065,0.21267088,0.05500772,0.11826083
-5.84992496,0.36195895,0.00229668,0.01203223,0.00579431,0.22540280,0.05751971,0.12542776
-5.84392196,0.38423701,0.00248067,0.01314694,0.00623329,0.23934690,0.06038134,0.13325805
-5.83791896,0.40808727,0.00267447,0.01431698,0.00667170,0.25426245,0.06348641,0.14162467
-5.83191596,0.43315016,0.00287686,0.01554078,0.00710378,0.26993025,0.06673789,0.15041229
-5.82591296,0.45911163,0.00308699,0.01681843,0.00752415,0.28615916,0.07004912,0.15952112
-5.81990995,0.48571276,0.00330435,0.01815198,0.00792801,0.30279225,0.07334490,0.16887053
-5.81390695,0.51275824,0.00352888,0.01954564,0.00831136,0.31971223,0.07656260,0.17840234
-5.80790395,0.54012320,0.00376094,0.02100598,0.00867122,0.33684580,0.07965315,0.18808341
-5.80190095,0.56775771,0.00400133,0.02254192,0.00900577,0.35416657,0.08258187,0.19790753
-5.79589795,0.59568850,0.00425130,0.02416473,0.00931454,0.37169622,0.08532899,0.20789615
-5.78989495,0.62401751,0.00451245,0.02588772,0.00959845,0.38950364,0.08788984,0.21809815
-5.78389195,0.65291683,0.00478672,0.02772592,0.00985992,0.40770180,0.09027468,0.22858813
-5.77788894,0.68262005,0.00507622,0.02969557,0.01010279,0.42644236,0.09250798,0.23946350
-5.77188594,0.71340999,0.00538316,0.03181339,0.01033227,0.44590798,0.09462729,0.25084019
-5.76588294,0.74560304,0.00570967,0.03409581,0.01055478,0.46630244,0.09668156,0.26284710
-5.75987994,0.77953066,0.00605764,0.03655805,0.01077776,0.48783904,0.09872902,0.27561948
