energy_ev,total_up,In_p_up,In_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,1.73852258,0.18833802,0.00309631,0.81027192,0.00000000,0.78776994,0.34352446
-5.99399700,1.81297949,0.20299855,0.00346726,0.81344779,0.00000000,0.82482871,0.34536362
-5.98799400,1.89136229,0.21846322,0.00386062,0.81659380,0.00000000,0.86340043,0.34737211
-5.98199100,1.97404906,0.23469189,0.00427463,0.82025833,0.00000000,0.90350255,0.34981771
-5.97598799,2.06134338,0.25162823,0.00470717,0.82499033,0.00000000,0.94511010,0.35297107
-5.96998499,2.15346758,0.26920067,0.00515578,0.83132812,0.00000000,0.98815681,0.35710034
-5.96398199,2.25056045,0.28732394,0.00561776,0.83978962,0.00000000,1.03253899,0.36246624
-5.95797899,2.35267898,0.30590112,0.00609019,0.85086434,0.00000000,1.07812179,0.36931747
-5.95197599,2.45980324,0.32482607,0.00657001,0.86500665,0.00000000,1.12474734,0.37788677
-5.94597299,2.57184311,0.34398597,0.00705408,0.88263044,0.00000000,1.17224403,0.38838711
-5.93996998,2.68864551,0.36326394,0.00753925,0.90410437,0.00000000,1.22043595,0.40100817
-5.93396698,2.81000056,0.38254135,0.00802239,0.92974753,0.00000000,1.26915179,0.41591278
-5.92796398,2.93564532,0.40169975,0.00850044,0.95982476,0.00000000,1.31823203,0.43323327
-5.92196098,3.06526374,0.42062222,0.00897044,0.99454137,0.00000000,1.36753374,0.45306744
-5.91595798,3.19848227,0.43919413,0.00942952,1.03403670,0.00000000,1.41693231,0.47547430
-5.90995498,3.33486047,0.45730313,0.00987489,1.07837657,0.00000000,1.46631963,0.50046930
-5.90395198,3.47387709,0.47483851,0.01030386,1.12754437,0.00000000,1.51559868,0.52801947
-5.89794897,3.61491236,0.49169004,0.01071372,1.18143127,0.00000000,1.56467459,0.55803831
-5.89194597,3.75722776,0.50774638,0.01110180,1.23982594,0.00000000,1.61344289,0.59038099
-5.88594297,3.89994535,0.52289337,0.01146536,1.30240437,0.00000000,1.66177548,0.62484003
-5.87993997,4.04202868,0.53701235,0.01180159,1.36872093,0.00000000,1.70950571,0.66114200
-5.87393697,4.18226781,0.54997890,0.01210756,1.43820136,0.00000000,1.75641352,0.69894565
-5.86793397,4.31927080,0.56166216,0.01238025,1.51013899,0.00000000,1.80221222,0.73784179
-5.86193097,4.45146393,0.57192497,0.01261654,1.58369495,0.00000000,1.84653809,0.77735561
-5.85592796,4.57710231,0.58062501,0.01281322,1.65790347,0.00000000,1.88894403,0.81695135
-5.84992496,4.69429209,0.58761704,0.01296712,1.73168272,0.00000000,1.92889839,0.85603997
-5.84392196,4.80102483,0.59275620,0.01307514,1.80385166,0.00000000,1.96578944,0.89398945
-5.83791896,4.89522339,0.59590232,0.01313437,1.87315291,0.00000000,1.99893605,0.93013793
-5.83191596,4.97479835,0.59692502,0.01314220,1.93828128,0.00000000,2.02760431,0.96380920
-5.82591296,5.03771274,0.59570940,0.01309649,1.99791722,0.00000000,2.05102971,0.99433022
-5.81990995,5.08205245,0.59216193,0.01299564,2.05076413,0.00000000,2.06844389,1.02104995
-5.81390695,5.10609894,0.58621629,0.01283876,2.09558805,0.00000000,2.07910485,1.04335885
-5.80790395,5.10840067,0.57783860,0.01262574,2.13125823,0.00000000,2.08232890,1.06070815
-5.80190095,5.08783952,0.56703198,0.01235739,2.15678661,0.00000000,2.07752287,1.07262811
-5.79589795,5.04368857,0.55383974,0.01203542,2.17136456,0.00000000,2.06421477,1.07874434
-5.78989495,4.97565799,0.53834737,0.01166252,2.17439491,0.00000000,2.04208111,1.07879141
-5.78389195,4.88392656,0.52068275,0.01124232,2.16551791,0.00000000,2.01096948,1.07262313
-5.77788894,4.76915667,0.50101486,0.01077933,2.14462959,0.00000000,1.97091497,1.06021888
