energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,1.79037833,0.00272067,0.23575197,0.31166668,0.24956585,0.70688172,0.67385771,0.76520327,0.00000000
-5.99399700,1.79975730,0.00262982,0.23871308,0.31513029,0.25090919,0.73478237,0.66862728,0.77063457,0.00000000
-5.98799400,1.81163320,0.00256477,0.24298108,0.31873701,0.25224489,0.76598595,0.66512254,0.77620063,0.00000000
-5.98199100,1.82626256,0.00252995,0.24849747,0.32255425,0.25365928,0.80035212,0.66342154,0.78205527,0.00000000
-5.97598799,1.84382491,0.00253068,0.25518467,0.32664710,0.25523264,0.83768804,0.66356723,0.78832425,0.00000000
-5.96998499,1.86441482,0.00257315,0.26294682,0.33107706,0.25703742,0.87775060,0.66556421,0.79510123,0.00000000
-5.96398199,1.88803968,0.00266439,0.27167128,0.33590167,0.25913736,0.92025127,0.66937748,0.80244654,0.00000000
-5.95797899,1.91462356,0.00281221,0.28123101,0.34117489,0.26158740,0.96486338,0.67493335,0.81038859,0.00000000
-5.95197599,1.94401666,0.00302510,0.29148763,0.34694828,0.26443439,1.01123150,0.68212229,0.81892786,0.00000000
-5.94597299,1.97600963,0.00331213,0.30229504,0.35327270,0.26771841,1.05898248,0.69080375,0.82804301,0.00000000
-5.93996998,2.01035141,0.00368281,0.31350346,0.36020025,0.27147453,1.10773728,0.70081239,0.83769849,0.00000000
-5.93396698,2.04676932,0.00414688,0.32496371,0.36778634,0.27573489,1.15712302,0.71196540,0.84785300,0.00000000
-5.92796398,2.08498959,0.00471411,0.33653139,0.37609132,0.28053065,1.20678417,0.72407038,0.85846795,0.00000000
-5.92196098,2.12475668,0.00539400,0.34807080,0.38518159,0.28589383,1.25639233,0.73693326,0.86951516,0.00000000
-5.91595798,2.16584969,0.00619549,0.35945837,0.39512974,0.29185856,1.30565367,0.75036569,0.88098302,0.00000000
-5.90995498,2.20809470,0.00712662,0.37058543,0.40601364,0.29846175,1.35431354,0.76419151,0.89288052,0.00000000
-5.90395198,2.25137165,0.00819412,0.38136010,0.41791423,0.30574297,1.40215783,0.77825182,0.90523859,0.00000000
-5.89794897,2.29561530,0.00940298,0.39170824,0.43091201,0.31374339,1.44901094,0.79240845,0.91810869,0.00000000
-5.89194597,2.34081013,0.01075609,0.40157343,0.44508235,0.32250404,1.49473039,0.80654566,0.93155834,0.00000000
-5.88594297,2.38697925,0.01225376,0.41091605,0.46048972,0.33206312,1.53919858,0.82057005,0.94566412,0.00000000
-5.87993997,2.43416831,0.01389339,0.41971140,0.47718118,0.34245284,1.58231205,0.83440879,0.96050234,0.00000000
-5.87393697,2.48242546,0.01566904,0.42794716,0.49517949,0.35369579,1.62396920,0.84800639,0.97613823,0.00000000
-5.86793397,2.53177891,0.01757122,0.43562030,0.51447630,0.36580120,1.66405739,0.86132043,0.99261420,0.00000000
-5.86193097,2.58221373,0.01958667,0.44273365,0.53502583,0.37876125,1.70244035,0.87431644,1.00993840,0.00000000
-5.85592796,2.63364972,0.02169825,0.44929238,0.55673967,0.39254783,1.73894702,0.88696263,1.02807418,0.00000000
-5.84992496,2.68592208,0.02388501,0.45530066,0.57948294,0.40710993,1.77336276,0.89922463,1.04693152,0.00000000
-5.84392196,2.73876637,0.02612237,0.46075859,0.60307242,0.42237185,1.80542376,0.91106084,1.06636114,0.00000000
-5.83791896,2.79180917,0.02838243,0.46565981,0.62727681,0.43823246,1.83481539,0.92241855,1.08615191,0.00000000
-5.83191596,2.84456515,0.03063448,0.46998966,0.65181929,0.45456554,1.86117471,0.93323128,1.10603194,0.00000000
-5.82591296,2.89644111,0.03284557,0.47372432,0.67638249,0.47122121,1.88409753,0.94341737,1.12567352,0.00000000
-5.81990995,2.94674697,0.03498130,0.47683065,0.70061577,0.48802846,1.90314961,0.95287988,1.14470178,0.00000000
-5.81390695,2.99471326,0.03700669,0.47926697,0.72414451,0.50479863,1.91788175,0.96150788,1.16270673,0.00000000
-5.80790395,3.03951409,0.03888703,0.48098460,0.74658103,0.52132960,1.92784794,0.96917893,1.17925812,0.00000000
-5.80190095,3.08029465,0.04058896,0.48193009,0.76753676,0.53741057,1.93262570,0.97576256,1.19392227,0.00000000
-5.79589795,3.11620145,0.04208138,0.48204804,0.78663508,0.55282718,1.93183754,0.98112456,1.20628005,0.00000000
-5.78989495,3.14641391,0.04333640,0.48128420,0.80352407,0.56736661,1.92517228,0.98513172,1.21594500,0.00000000
-5.78389195,3.17017550,0.04433025,0.47958887,0.81788881,0.58082266,1.91240512,0.98765682,1.22258056,0.00000000
-5.77788894,3.18682280,0.04504399,0.47692019,0.82946246,0.59300038,1.89341517,0.98858357,1.22591550,0.00000000
-5.77188594,3.19581111,0.04546412,0.47324727,0.83803563,0.60372020,1.86819950,0.98781111,1.22575669,0.00000000
-5.76588294,3.19673534,0.04558301,0.46855295,0.84346363,0.61282150,1.83688280,0.98525811,1.22199858,0.00000000
-5.75987994,3.18934516,0.04539915,0.46283599,0.84567126,0.62016543,1.79972194,0.98086602,1.21462876,0.00000000
-5.75387694,3.17355398,0.04491714,0.45611266,0.84465488,0.62563707,1.75710516,0.97460155,1.20372952,0.00000000
-5.74787394,3.14944134,0.04414751,0.44841748,0.84048176,0.62914689,1.70954565,0.96645816,1.18947523,0.00000000
-5.74187094,3.11724886,0.04310636,0.43980331,0.83328676,0.63063156,1.65766983,0.95645665,1.17212565,0.00000000
-5.73586793,3.07737012,0.04181480,0.43034057,0.82326650,0.63005426,1.60220068,0.94464481,1.15201575,0.00000000
-5.72986493,3.03033501,0.04029823,0.42011565,0.81067128,0.62740446,1.54393684,0.93109609,1.12954230,0.00000000
-5.72386193,2.97678956,0.03858548,0.40922871,0.79579533,0.62269728,1.48372843,0.91590757,1.10514813,0.00000000
-5.71785893,2.91747208,0.03670798,0.39779083,0.77896555,0.61597256,1.42245050,0.89919710,1.07930469,0.00000000
-5.71185593,2.85318680,0.03469873,0.38592070,0.76052955,0.60729361,1.36097545,0.88109992,1.05249372,0.00000000
-5.70585293,2.78477614,0.03259139,0.37374097,0.74084330,0.59674564,1.30014550,0.86176470,1.02518900,0.00000000
-5.69984992,2.71309274,0.03041936,0.36137443,0.72025899,0.58443405,1.24074634,0.84134934,0.99783873,0.00000000
-5.69384692,2.63897232,0.02821493,0.34894022,0.69911354,0.57048242,1.18348321,0.82001648,0.97084953,0.00000000
-5.68784392,2.56320845,0.02600851,0.33655016,0.67771834,0.55503023,1.12896028,0.79792901,0.94457256,0.00000000
-5.68184092,2.48653009,0.02382804,0.32430548,0.65635035,0.53823042,1.07766416,0.77524573,0.91929224,0.00000000
-5.67583792,2.40958267,0.02169848,0.31229390,0.63524507,0.52024669,1.02995223,0.75211719,0.89521815,0.00000000
-5.66983492,2.33291340,0.01964144,0.30058748,0.61459153,0.50125058,0.98604613,0.72868209,0.87248023,0.00000000
-5.66383192,2.25696123,0.01767498,0.28924097,0.59452939,0.48141850,0.94603054,0.70506418,0.85112740,0.00000000
-5.65782891,2.18205168,0.01581353,0.27829109,0.57514821,0.46092862,0.90985738,0.68136998,0.83112972,0.00000000
-5.65182591,2.10839682,0.01406794,0.26775651,0.55648889,0.43995777,0.87735485,0.65768725,0.81238366,0.00000000
-5.64582291,2.03610010,0.01244562,0.25763865,0.53854703,0.41867856,0.84824105,0.63408452,0.79472052,0.00000000
-5.63981991,1.96516593,0.01095079,0.24792324,0.52127813,0.39725660,0.82214142,0.61061151,0.77791732,0.00000000
-5.63381691,1.89551330,0.00958478,0.23858255,0.50460423,0.37584818,0.79860919,0.58730058,0.76170979,0.00000000
