energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,2.50684668,0.49729120,0.82298950,0.00108240,0.13259285,0.00383659,1.26753776,0.46986685,0.38821589
-5.99399700,2.48688221,0.48905490,0.82304176,0.00093720,0.12006069,0.00433128,1.26479383,0.45815845,0.38537645
-5.98799400,2.46804236,0.48129324,0.82224503,0.00080632,0.10914707,0.00489056,1.26155688,0.44803023,0.38271745
-5.98199100,2.44957961,0.47386944,0.82042782,0.00068943,0.09974836,0.00551274,1.25750503,0.43922112,0.38010175
-5.97598799,2.43079357,0.46665271,0.81745342,0.00058602,0.09174721,0.00619470,1.25234701,0.43146410,0.37739876
-5.96998499,2.41105265,0.45952170,0.81322442,0.00049535,0.08501709,0.00693185,1.24583057,0.42449508,0.37448864
-5.96398199,2.38981036,0.45236694,0.80768524,0.00041660,0.07942629,0.00771800,1.23774843,0.41806062,0.37126560
-5.95797899,2.36661610,0.44509254,0.80082275,0.00034882,0.07484147,0.00854533,1.22794168,0.41192425,0.36764029
-5.95197599,2.34112045,0.43761700,0.79266498,0.00029101,0.07113052,0.00940443,1.21630100,0.40587134,0.36354123
-5.94597299,2.31307559,0.42987342,0.78327818,0.00024216,0.06816503,0.01028435,1.20276557,0.39971267,0.35891537
-5.93996998,2.28233122,0.42180910,0.77276226,0.00020126,0.06582208,0.01117277,1.18732026,0.39328663,0.35372790
-5.93396698,2.24882703,0.41338471,0.76124509,0.00016732,0.06398579,0.01205623,1.16999135,0.38646036,0.34796129
-5.92796398,2.21258246,0.40457324,0.74887588,0.00013942,0.06254835,0.01292037,1.15084118,0.37912987,0.34161385
-5.92196098,2.17368468,0.39535881,0.73581806,0.00011669,0.06141083,0.01375033,1.12996224,0.37121938,0.33469788
-5.91595798,2.13227588,0.38573546,0.72224195,0.00009833,0.06048376,0.01453105,1.10747092,0.36268006,0.32723754
-5.90995498,2.08854045,0.37570605,0.70831778,0.00008362,0.05968747,0.01524778,1.08350159,0.35348834,0.31926667
-5.90395198,2.04269307,0.36528133,0.69420908,0.00007193,0.05895237,0.01588646,1.05820098,0.34364398,0.31082660
-5.89794897,1.99496808,0.35447922,0.68006713,0.00006268,0.05821910,0.01643417,1.03172337,0.33316793,0.30196414
-5.89194597,1.94561072,0.34332428,0.66602634,0.00005540,0.05743851,0.01687952,1.00422658,0.32210024,0.29272973
-5.88594297,1.89487040,0.33184742,0.65220102,0.00004967,0.05657172,0.01721309,0.97586901,0.31049786,0.28317593
-5.87993997,1.84299613,0.32008572,0.63868349,0.00004513,0.05558987,0.01742767,0.94680759,0.29843264,0.27335621
-5.87393697,1.79023413,0.30808240,0.62554357,0.00004150,0.05447398,0.01751858,0.91719674,0.28598928,0.26332402
-5.86793397,1.73682721,0.29588680,0.61282948,0.00003854,0.05321451,0.01748377,0.88718805,0.27326344,0.25313223
-5.86193097,1.68301580,0.28355431,0.60056994,0.00003606,0.05181092,0.01732393,0.85693076,0.26035978,0.24283276
-5.85592796,1.62904008,0.27114627,0.58877729,0.00003391,0.05027103,0.01704242,0.82657257,0.24739012,0.23247649
-5.84992496,1.57514289,0.25872960,0.57745143,0.00003199,0.04861024,0.01664520,0.79626081,0.23447151,0.22211330
-5.84392196,1.52157273,0.24637632,0.56658430,0.00003020,0.04685062,0.01614057,0.76614358,0.22172428,0.21179220
-5.83791896,1.46858656,0.23416282,0.55616449,0.00002848,0.04501986,0.01553890,0.73637081,0.20926999,0.20156153
-5.83191596,1.41645191,0.22216880,0.54618181,0.00002680,0.04315016,0.01485228,0.70709490,0.19722935,0.19146911
-5.82591296,1.36544796,0.21047608,0.53663143,0.00002514,0.04127692,0.01409408,0.67847090,0.18572006,0.18156234
-5.81990995,1.31586520,0.19916708,0.52751739,0.00002348,0.03943753,0.01327856,0.65065611,0.17485463,0.17188820
-5.81390695,1.26800368,0.18832322,0.51885513,0.00002182,0.03767000,0.01242042,0.62380898,0.16473817,0.16249310
-5.80790395,1.22216967,0.17802309,0.51067310,0.00002017,0.03601169,0.01153431,0.59808740,0.15546632,0.15342261
-5.80190095,1.17867088,0.16834063,0.50301313,0.00001854,0.03449812,0.01063451,0.57364632,0.14712318,0.14472108
-5.79589795,1.13781024,0.15934325,0.49592968,0.00001694,0.03316179,0.00973450,0.55063488,0.13977956,0.13643105
-5.78989495,1.09987874,0.15109009,0.48948799,0.00001539,0.03203122,0.00884667,0.52919307,0.13349144,0.12859265
-5.78389195,1.06514750,0.14363037,0.48376123,0.00001390,0.03113007,0.00798209,0.50944827,0.12829876,0.12124288
-5.77788894,1.03385955,0.13700204,0.47882686,0.00001248,0.03047657,0.00715028,0.49151161,0.12422464,0.11441484
-5.77188594,1.00622185,0.13123063,0.47476250,0.00001116,0.03008302,0.00635916,0.47547460,0.12127507,0.10813702
-5.76588294,0.98239787,0.12632852,0.47164143,0.00000993,0.02995557,0.00561496,0.46140608,0.11943907,0.10243259
-5.75987994,0.96250134,0.12229459,0.46952815,0.00000882,0.03009425,0.00492226,0.44934971,0.11868941,0.09731881
-5.75387694,0.94659148,0.11911425,0.46847429,0.00000784,0.03049317,0.00428403,0.43932227,0.11898387,0.09280658
-5.74787394,0.93467021,0.11675992,0.46851504,0.00000698,0.03114095,0.00370178,0.43131278,0.12026696,0.08890013
-5.74187094,0.92668137,0.11519198,0.46966646,0.00000628,0.03202129,0.00317570,0.42528259,0.12247218,0.08559692
-5.73586793,0.92251236,0.11436006,0.47192377,0.00000572,0.03311379,0.00270482,0.42116657,0.12552462,0.08288778
-5.72986493,0.92199802,0.11420470,0.47526080,0.00000533,0.03439483,0.00228723,0.41887525,0.12934392,0.08075728
-5.72386193,0.92492680,0.11465938,0.47963064,0.00000511,0.03583853,0.00192023,0.41829790,0.13384734,0.07918428
-5.71785893,0.93104889,0.11565267,0.48496747,0.00000508,0.03741784,0.00160056,0.41930650,0.13895302,0.07814272
-5.71185593,0.94008591,0.11711057,0.49118941,0.00000526,0.03910554,0.00132454,0.42176024,0.14458297,0.07760265
-5.70585293,0.95174185,0.11895891,0.49820235,0.00000566,0.04087527,0.00108827,0.42551056,0.15066601,0.07753133
-5.69984992,0.96571445,0.12112558,0.50590437,0.00000631,0.04270245,0.00088776,0.43040627,0.15714016,0.07789448
-5.69384692,0.98170663,0.12354271,0.51419060,0.00000723,0.04456505,0.00071902,0.43629853,0.16395454,0.07865755
-5.68784392,0.99943714,0.12614848,0.52295807,0.00000844,0.04644425,0.00057822,0.44304553,0.17107065,0.07978701
-5.68184092,1.01864989,0.12888856,0.53211040,0.00000999,0.04832488,0.00046171,0.45051639,0.17846282,0.08125149
-5.67583792,1.03912131,0.13171719,0.54156183,0.00001190,0.05019558,0.00036610,0.45859426,0.18611789,0.08302279
-5.66983492,1.06066531,0.13459768,0.55124037,0.00001422,0.05204887,0.00028828,0.46717823,0.19403394,0.08507662
-5.66383192,1.08313544,0.13750247,0.56108994,0.00001697,0.05388087,0.00022547,0.47618409,0.20221837,0.08739314
-5.65782891,1.10642399,0.14041255,0.57107113,0.00002020,0.05569082,0.00017520,0.48554384,0.21068505,0.08995700
-5.65182591,1.13045813,0.14331658,0.58116062,0.00002393,0.05748050,0.00013531,0.49520385,0.21945093,0.09275720
-5.64582291,1.15519313,0.14620939,0.59134931,0.00002820,0.05925339,0.00010391,0.50512202,0.22853223,0.09578641
-5.63981991,1.18060306,0.14909025,0.60163902,0.00003304,0.06101375,0.00007942,0.51526388,0.23794025,0.09903998
-5.63381691,1.20666948,0.15196088,0.61203827,0.00003845,0.06276568,0.00006050,0.52559800,0.24767721,0.10251469
-5.62781391,1.23336887,0.15482331,0.62255706,0.00004446,0.06451211,0.00004602,0.53609102,0.25773230,0.10620708
-5.62181091,1.26065937,0.15767779,0.63320126,0.00005105,0.06625388,0.00003505,0.54670263,0.26807813,0.11011176
-5.61580790,1.28846796,0.16052079,0.64396675,0.00005821,0.06798897,0.00002683,0.55738075,0.27866785,0.11421949
-5.60980490,1.31667872,0.16334332,0.65483388,0.00006590,0.06971178,0.00002077,0.56805743,0.28943318,0.11851540
-5.60380190,1.34512310,0.16612956,0.66576249,0.00007409,0.07141273,0.00001636,0.57864566,0.30028340,0.12297732
-5.59779890,1.37357294,0.16885603,0.67668793,0.00008269,0.07307802,0.00001321,0.58903736,0.31110553,0.12757439
-5.59179590,1.40173679,0.17149120,0.68751839,0.00009164,0.07468965,0.00001103,0.59910282,0.32176566,0.13226608
-5.58579290,1.42925999,0.17399571,0.69813374,0.00010083,0.07622571,0.00000956,0.60869168,0.33211144,0.13700169
-5.57978989,1.45572865,0.17632317,0.70838601,0.00011014,0.07766088,0.00000863,0.61763537,0.34197567,0.14172041
-5.57378689,1.48067770,0.17842138,0.71810165,0.00011946,0.07896722,0.00000809,0.62575112,0.35118089,0.14635203
-5.56778389,1.50360253,0.18023415,0.72708543,0.00012863,0.08011502,0.00000782,0.63284724,0.35954468,0.15081826
-5.56178089,1.52397391,0.18170340,0.73512588,0.00013751,0.08107391,0.00000775,0.63872955,0.36688550,0.15503461
-5.55577789,1.54125560,0.18277160,0.74200208,0.00014595,0.08181399,0.00000780,0.64320854,0.37302887,0.15891290
-5.54977489,1.55492364,0.18338428,0.74749137,0.00015379,0.08230695,0.00000794,0.64610701,0.37781350,0.16236408
-5.54377189,1.56448669,0.18349267,0.75137778,0.00016089,0.08252728,0.00000811,0.64726778,0.38109715,0.16530150
-5.53776888,1.56950615,0.18305610,0.75346061,0.00016711,0.08245328,0.00000829,0.64656109,0.38276197,0.16764421
-5.53176588,1.56961535,0.18204426,0.75356295,0.00017233,0.08206798,0.00000847,0.64389123,0.38271910,0.16932035
-5.52576288,1.56453666,0.18043906,0.75153945,0.00017643,0.08135991,0.00000861,0.63920227,0.38091221,0.17027028
-5.51975988,1.55409579,0.17823607,0.74728333,0.00017933,0.08032366,0.00000872,0.63248234,0.37732002,0.17044939
-5.51375688,1.53823251,0.17544544,0.74073189,0.00018097,0.07896015,0.00000877,0.62376641,0.37195752,0.16983040
-5.50775388,1.51700726,0.17209223,0.73187061,0.00018132,0.07727679,0.00000878,0.61313734,0.36487598,0.16840504
-5.50175088,1.49060328,0.16821615,0.72073541,0.00018036,0.07528730,0.00000872,0.60072508,0.35616171,0.16618490
-5.49574787,1.45932411,0.16387076,0.70741308,0.00017812,0.07301138,0.00000862,0.58670411,0.34593361,0.16320164
-5.48974487,1.42358654,0.15912209,0.69203973,0.00017464,0.07047413,0.00000845,0.57128910,0.33433967,0.15950621
-5.48374187,1.38390924,0.15404673,0.67479748,0.00017000,0.06770535,0.00000824,0.55472900,0.32155260,0.15516745
-5.47773887,1.34089752,0.14872955,0.65590931,0.00016430,0.06473871,0.00000799,0.53729973,0.30776472,0.15026983
-5.47173587,1.29522490,0.14326105,0.63563254,0.00015764,0.06161074,0.00000770,0.51929576,0.29318230,0.14491067
-5.46573287,1.24761218,0.13773452,0.61425090,0.00015017,0.05835988,0.00000738,0.50102093,0.27801971,0.13919687
-5.45972986,1.19880492,0.13224310,0.59206579,0.00014203,0.05502543,0.00000705,0.48277879,0.26249349,0.13324124
-5.45372686,1.14955028,0.12687681,0.56938690,0.00013337,0.05164656,0.00000673,0.46486290,0.24681650,0.12715883
-5.44772386,1.10057408,0.12171978,0.54652273,0.00012434,0.04826132,0.00000642,0.44754746,0.23119258,0.12106323
-5.44172086,1.05255918,0.11684773,0.52377121,0.00011509,0.04490583,0.00000615,0.43107855,0.21581167,0.11506309
-5.43571786,1.00612591,0.11232579,0.50141099,0.00010576,0.04161348,0.00000594,0.41566654,0.20084566,0.10925904
-5.42971486,0.96181554,0.10820683,0.47969366,0.00009650,0.03841435,0.00000583,0.40147974,0.18644502,0.10374124
-5.42371186,0.92007722,0.10453028,0.45883720,0.00008742,0.03533466,0.00000585,0.38863966,0.17273643,0.09858742
-5.41770885,0.88125920,0.10132160,0.43902106,0.00007864,0.03239651,0.00000604,0.37721818,0.15982126,0.09386184
-5.41170585,0.84560445,0.09859240,0.42038285,0.00007024,0.02961764,0.00000646,0.36723658,0.14777504,0.08961493
-5.40570285,0.81325092,0.09634110,0.40301700,0.00006231,0.02701145,0.00000717,0.35866659,0.13664783,0.08588379
-5.39969985,0.78423647,0.09455437,0.38697526,0.00005489,0.02458705,0.00000825,0.35143335,0.12646551,0.08269344
-5.39369685,0.75850805,0.09320896,0.37226907,0.00004804,0.02234956,0.00000981,0.34542034,0.11723180,0.08005883
-5.38769385,0.73593487,0.09227423,0.35887370,0.00004179,0.02030041,0.00001195,0.34047574,0.10893088,0.07798742
-5.38169085,0.71632479,0.09171491,0.34673383,0.00003613,0.01843780,0.00001483,0.33642034,0.10153063,0.07648233
-5.37568784,0.69944326,0.09149426,0.33577046,0.00003109,0.01675721,0.00001862,0.33305633,0.09498618,0.07554576
-5.36968484,0.68503390,0.09157729,0.32588863,0.00002664,0.01525192,0.00002351,0.33017677,0.08924366,0.07518263
-5.36368184,0.67283962,0.09193408,0.31698575,0.00002277,0.01391363,0.00002974,0.32757524,0.08424405,0.07540422
-5.35767884,0.66262351,0.09254281,0.30895991,0.00001947,0.01273303,0.00003759,0.32505527,0.07992689,0.07623159
-5.35167584,0.65418822,0.09339259,0.30171796,0.00001669,0.01170033,0.00004738,0.32243911,0.07623375,0.07769865
-5.34567284,0.64739308,0.09448576,0.29518285,0.00001443,0.01080582,0.00005944,0.31957545,0.07311138,0.07985460
-5.33966983,0.64216791,0.09583959,0.28929984,0.00001264,0.01004031,0.00007417,0.31634577,0.07051430,0.08276566
-5.33366683,0.63852298,0.09748726,0.28404131,0.00001131,0.00939552,0.00009201,0.31266907,0.06840685,0.08651593
-5.32766383,0.63655434,0.09947804,0.27940994,0.00001040,0.00886442,0.00011340,0.30850473,0.06676465,0.09120709
-5.32166083,0.63644433,0.10187659,0.27544002,0.00000989,0.00844140,0.00013883,0.30385346,0.06557528,0.09695715
-5.31565783,0.63845693,0.10476129,0.27219682,0.00000976,0.00812247,0.00016881,0.29875635,0.06483834,0.10389783
-5.30965483,0.64292822,0.10822176,0.26977414,0.00001000,0.00790523,0.00020383,0.29329208,0.06456483,0.11217083
-5.30365183,0.65025200,0.11235549,0.26828992,0.00001058,0.00778880,0.00024439,0.28757249,0.06477582,0.12192294
-5.29764882,0.66086120,0.11726367,0.26788030,0.00001151,0.00777375,0.00029094,0.28173668,0.06550058,0.13329997
-5.29164582,0.67520584,0.12304643,0.26869228,0.00001276,0.00786177,0.00034389,0.27594415,0.06677420,0.14643985
-5.28564282,0.69372814,0.12979763,0.27087534,0.00001432,0.00805542,0.00040357,0.27036704,0.06863475,0.16146495
-5.27963982,0.71683615,0.13759928,0.27457236,0.00001619,0.00835774,0.00047022,0.26518209,0.07112023,0.17847388
-5.27363682,0.74487663,0.14651598,0.27991024,0.00001836,0.00877185,0.00054396,0.26056247,0.07426520,0.19753322
-5.26763382,0.77810868,0.15658949,0.28699074,0.00002080,0.00930050,0.00062475,0.25667006,0.07809756,0.21866940
-5.26163082,0.81667907,0.16783379,0.29588178,0.00002351,0.00994565,0.00071239,0.25364816,0.08263524,0.24186112
-5.25562781,0.86060053,0.18023071,0.30660978,0.00002646,0.01070795,0.00080650,0.25161529,0.08788323,0.26703281
-5.24962481,0.90973408,0.19372655,0.31915329,0.00002963,0.01158640,0.00090649,0.25065992,0.09383097,0.29404946
-5.24362181,0.96377636,0.20822980,0.33343824,0.00003298,0.01257792,0.00101156,0.25083651,0.10045021,0.32271319
-5.23761881,1.02225262,0.22361018,0.34933512,0.00003648,0.01367703,0.00112071,0.25216288,0.10769345,0.35276192
-5.23161581,1.08451623,0.23969907,0.36665825,0.00004008,0.01487562,0.00123273,0.25461893,0.11549311,0.38387041
-5.22561281,1.14975472,0.25629152,0.38516716,0.00004374,0.01616281,0.00134622,0.25814669,0.12376148,0.41565382
-5.21960980,1.21700273,0.27314978,0.40457026,0.00004740,0.01752489,0.00145960,0.26265171,0.13239139,0.44767386
-5.21360680,1.28516144,0.29000832,0.42453058,0.00005100,0.01894536,0.00157119,0.26800554,0.14125780,0.47944756
-5.20760380,1.35302418,0.30658027,0.44467353,0.00005449,0.02040517,0.00167919,0.27404935,0.15022008,0.51045830
-5.20160080,1.41930733,0.32256498,0.46459636,0.00005781,0.02188297,0.00178176,0.28059847,0.15912512,0.54016905
-5.19559780,1.48268553,0.33765664,0.48387913,0.00006089,0.02335554,0.00187706,0.28744757,0.16781100,0.56803710
-5.18959480,1.54183003,0.35155343,0.50209664,0.00006367,0.02479833,0.00196331,0.29437655,0.17611126,0.59353001
-5.18359180,1.59544869,0.36396705,0.51883106,0.00006611,0.02618603,0.00203886,0.30115676,0.18385949,0.61614198
-5.17758879,1.64232609,0.37463216,0.53368472,0.00006815,0.02749327,0.00210221,0.30755744,0.19089413,0.63541002
-5.17158579,1.68136230,0.38331533,0.54629262,0.00006974,0.02869535,0.00215212,0.31335224,0.19706335,0.65092929
-5.16558279,1.71160864,0.38982325,0.55633409,0.00007086,0.02976893,0.00218757,0.31832560,0.20222966,0.66236679
-5.15957979,1.73229903,0.39400962,0.56354333,0.00007149,0.03069282,0.00220790,0.32227877,0.20627424,0.66947297
-5.15357679,1.74287567,0.39578076,0.56771826,0.00007160,0.03144864,0.00221273,0.32503542,0.20910069,0.67209050
-5.14757379,1.74300796,0.39509935,0.56872744,0.00007119,0.03202145,0.00220208,0.32644656,0.21063804,0.67016002
-5.14157079,1.73260396,0.39198639,0.56651473,0.00007028,0.03240027,0.00217629,0.32639471,0.21084306,0.66372246
-5.13556778,1.71181395,0.38652121,0.56110162,0.00006889,0.03257849,0.00213606,0.32479710,0.20970147,0.65291786
-5.12956478,1.68102590,0.37883948,0.55258703,0.00006704,0.03255413,0.00208241,0.32160792,0.20722834,0.63798081
-5.12356178,1.64085330,0.36912943,0.54114471,0.00006477,0.03232996,0.00201666,0.31681937,0.20346743,0.61923261
-5.11755878,1.59211577,0.35762640,0.52701835,0.00006213,0.03191348,0.00194039,0.31046168,0.19848957,0.59707071
-5.11155578,1.53581347,0.34460586,0.51051458,0.00005918,0.03131668,0.00185536,0.30260187,0.19239023,0.57195572
-5.10555278,1.47309628,0.33037536,0.49199421,0.00005597,0.03055572,0.00176350,0.29334151,0.18528631,0.54439673
-5.09954977,1.40522924,0.31526561,0.47186212,0.00005256,0.02965043,0.00166684,0.28281332,0.17731233,0.51493556
-5.09354677,1.33355562,0.29962112,0.45055612,0.00004901,0.02862371,0.00156743,0.27117699,0.16861615,0.48413049
-5.08754377,1.25945900,0.28379065,0.42853533,0.00004540,0.02750084,0.00146732,0.25861418,0.15935450,0.45254033
-5.08154077,1.18432600,0.26811798,0.40626851,0.00004177,0.02630868,0.00136848,0.24532295,0.14968837,0.42070924
-5.07553777,1.10951084,0.25293310,0.38422279,0.00003820,0.02507492,0.00127279,0.23151185,0.13977856,0.38915299
-5.06953477,1.03630308,0.23854431,0.36285327,0.00003472,0.02382726,0.00118194,0.21739390,0.12978146,0.35834694
-5.06353177,0.96589951,0.22523133,0.34259380,0.00003141,0.02259261,0.00109747,0.20318060,0.11984527,0.32871623
-5.05752876,0.89938098,0.21323964,0.32384940,0.00002829,0.02139637,0.00102071,0.18907632,0.11010676,0.30062824
-5.05152576,0.83769487,0.20277624,0.30699041,0.00002543,0.02026181,0.00095277,0.17527312,0.10068866,0.27438750
-5.04552276,0.78164339,0.19400683,0.29234880,0.00002287,0.01920950,0.00089457,0.16194631,0.09169765,0.25023302
-5.03951976,0.73187790,0.18705454,0.28021651,0.00002063,0.01825686,0.00084681,0.14925073,0.08322316,0.22833788
-5.03351676,0.68889917,0.18200015,0.27084603,0.00001878,0.01741790,0.00080999,0.13731799,0.07533677,0.20881093
-5.02751376,0.65306315,0.17888381,0.26445311,0.00001734,0.01670302,0.00078446,0.12625463,0.06809230,0.19170036
-5.02151076,0.62459191,0.17770810,0.26122150,0.00001637,0.01611898,0.00077042,0.11614124,0.06152648,0.17699882
-5.01550775,0.60358903,0.17844248,0.26130943,0.00001592,0.01566899,0.00076799,0.10703246,0.05566010,0.16464973
-5.00950475,0.59005865,0.18102876,0.26485769,0.00001605,0.01535293,0.00077719,0.09895791,0.05049965,0.15455457
-5.00350175,0.58392743,0.18538771,0.27199878,0.00001683,0.01516769,0.00079806,0.09192375,0.04603920,0.14658073
-4.99749875,0.58506834,0.19142632,0.28286687,0.00001835,0.01510754,0.00083060,0.08591502,0.04226255,0.14056964
-4.99149575,0.59332544,0.19904571,0.29760792,0.00002069,0.01516468,0.00087492,0.08089834,0.03914542,0.13634494
-4.98549275,0.60853847,0.20814929,0.31638955,0.00002397,0.01532971,0.00093120,0.07682496,0.03665775,0.13372040
