energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,10.38312563,0.00959733,1.94543657,0.01464757,0.00000000,5.45547867,4.88248991,0.04900802,2.76788995
-5.99399700,10.34135021,0.00930543,1.94436463,0.01481214,0.00000000,5.49061769,4.83350421,0.05075646,2.76295115
-5.98799400,10.28941064,0.00900812,1.94263094,0.01495741,0.00000000,5.52070221,4.78129971,0.05238387,2.75355169
-5.98199100,10.22707713,0.00870784,1.94009973,0.01508041,0.00000000,5.54541947,4.72605999,0.05386427,2.73955123
-5.97598799,10.15378635,0.00840693,1.93650598,0.01517851,0.00000000,5.56436033,4.66769131,0.05517314,2.72082204
-5.96998499,10.06871338,0.00810771,1.93147361,0.01524951,0.00000000,5.57705068,4.60585688,0.05628827,2.69726559
-5.96398199,9.97086053,0.00781248,1.92454002,0.01529178,0.00000000,5.58298736,4.54002491,0.05719037,2.66882905
-5.95797899,9.85915735,0.00752361,1.91518543,0.01530433,0.00000000,5.58167601,4.46952736,0.05786383,2.63552013
-5.95197599,9.73256532,0.00724347,1.90286537,0.01528690,0.00000000,5.57266827,4.39362567,0.05829717,2.59741964
-5.94597299,9.59018095,0.00697451,1.88704443,0.01523998,0.00000000,5.55559593,4.31157941,0.05848358,2.55469060
-5.93996998,9.43133125,0.00671920,1.86722943,0.01516480,0.00000000,5.53020002,4.22271402,0.05842116,2.50758343
-5.93396698,9.25565630,0.00648003,1.84300027,0.01506329,0.00000000,5.49635307,4.12648373,0.05811311,2.45643688
-5.92796398,9.06317460,0.00625944,1.81403678,0.01493802,0.00000000,5.45407363,4.02252655,0.05756778,2.40167458
-5.92196098,8.85432840,0.00605985,1.78014052,0.01479208,0.00000000,5.40353272,3.91070843,0.05679847,2.34379761
-5.91595798,8.63000731,0.00588356,1.74125033,0.01462897,0.00000000,5.34505223,3.79115489,0.05582325,2.28337344
-5.90995498,8.39155001,0.00573272,1.69745127,0.01445249,0.00000000,5.27909645,3.66426883,0.05466449,2.22102221
-5.90395198,8.14072542,0.00560933,1.64897675,0.01426656,0.00000000,5.20625790,3.53073434,0.05334846,2.15740110
-5.89794897,7.87969528,0.00551519,1.59620408,0.01407515,0.00000000,5.12723939,3.39150694,0.05190472,2.09318792
-5.89194597,7.61096176,0.00545190,1.53964400,0.01388210,0.00000000,5.04283410,3.24779150,0.05036551,2.02906493
-5.88594297,7.33730362,0.00542082,1.47992510,0.01369110,0.00000000,4.95390596,3.10100963,0.04876516,1.96570378
-5.87993997,7.06170521,0.00542317,1.41777417,0.01350555,0.00000000,4.86137187,2.95275861,0.04713942,1.90375253
-5.87393697,6.78728239,0.00545994,1.35399362,0.01332859,0.00000000,4.76618749,2.80476443,0.04552489,1.84382518
-5.86793397,6.51720905,0.00553202,1.28943735,0.01316304,0.00000000,4.66933764,2.65883136,0.04395843,1.78649433
-5.86193097,6.25464760,0.00564014,1.22498606,0.01301146,0.00000000,4.57183172,2.51679054,0.04247668,1.73228678
-5.85592796,6.00268578,0.00578496,1.16152332,0.01287619,0.00000000,4.47470409,2.38044970,0.04111558,1.68168220
-5.84992496,5.76428156,0.00596706,1.09991304,0.01275937,0.00000000,4.37901875,2.25154602,0.03990999,1.63511433
-5.84392196,5.54221690,0.00618697,1.04097939,0.01266307,0.00000000,4.28587704,2.13170358,0.03889338,1.59297410
-5.83791896,5.33906033,0.00644511,0.98548933,0.01258933,0.00000000,4.19642671,2.02239649,0.03809750,1.55561407
