energy_ev,total_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,3.29940460,1.79199257,1.33215201,0.00742997,1.11605638,0.37988758,0.00057106
-5.99399700,3.34068013,1.81199930,1.35147284,0.00724203,1.13691673,0.37887245,0.00058819
-5.98799400,3.38147856,1.83177616,1.37090030,0.00707417,1.15869695,0.37669965,0.00060545
-5.98199100,3.42324067,1.85202910,1.39107896,0.00693567,1.18194024,0.37344685,0.00062299
-5.97598799,3.46748075,1.87348663,1.41269071,0.00683592,1.20720428,0.36920911,0.00064095
-5.96998499,3.51574524,1.89688069,1.43643621,0.00678431,1.23504531,0.36409719,0.00065948
-5.96398199,3.56956588,1.92292555,1.46301379,0.00679016,1.26600036,0.35823502,0.00067872
-5.95797899,3.63040874,1.95229496,1.49309618,0.00686252,1.30056832,0.35175671,0.00069879
-5.95197599,3.69962077,1.98559866,1.52730601,0.00701010,1.33919031,0.34480294,0.00071980
-5.94597299,3.77837595,2.02335872,1.56619098,0.00724107,1.38223035,0.33751697,0.00074180
-5.93996998,3.86762342,2.06598707,1.61019965,0.00756291,1.42995689,0.33004045,0.00076482
-5.93396698,3.96803988,2.11376491,1.65965912,0.00798221,1.48252627,0.32250914,0.00078883
-5.92796398,4.07998857,2.16682526,1.71475546,0.00850449,1.53996875,0.31504879,0.00081375
-5.92196098,4.20348702,2.22513946,1.77551794,0.00913392,1.60217804,0.30777133,0.00083944
-5.91595798,4.33818529,2.28850844,1.84180795,0.00987318,1.66890475,0.30077160,0.00086572
-5.90995498,4.48335608,2.35655928,1.91331312,0.01072315,1.73975432,0.29412473,0.00089232
-5.90395198,4.63789734,2.42874749,1.98954711,0.01168275,1.81418960,0.28788434,0.00091895
-5.89794897,4.80034771,2.50436497,2.06985515,0.01274873,1.89153817,0.28208158,0.00094526
-5.89194597,4.96891411,2.58255341,2.15342513,0.01391548,1.97100401,0.27672513,0.00097084
-5.88594297,5.14151062,2.66232274,2.23930395,0.01517491,2.05168333,0.27180200,0.00099530
-5.87993997,5.31580688,2.74257372,2.32641833,0.01651641,2.13258377,0.26727928,0.00101819
-5.87393697,5.48928410,2.82212381,2.41359932,0.01792678,2.21264628,0.26310655,0.00103909
-5.86793397,5.65929647,2.89973534,2.49960962,0.01939034,2.29076886,0.25921890,0.00105756
-5.86193097,5.82313531,2.97414475,2.58317241,0.02088910,2.36583120,0.25554044,0.00107320
-5.85592796,5.97809388,3.04409179,2.66300101,0.02240294,2.43671947,0.25198799,0.00108565
-5.84992496,6.12153023,3.10834785,2.73782797,0.02390997,2.50235030,0.24847492,0.00109458
-5.84392196,6.25092638,3.16574227,2.80643301,0.02538692,2.56169335,0.24491492,0.00109973
-5.83791896,6.36394199,3.21518613,2.86766885,0.02680967,2.61379186,0.24122543,0.00110090
-5.83191596,6.45846131,3.25569297,2.92048437,0.02815377,2.65778072,0.23733081,0.00109794
-5.82591296,6.53263267,3.28639609,2.96394464,0.02939504,2.69290184,0.23316495,0.00109080
-5.81990995,6.58489998,3.30656238,2.99724766,0.03051023,2.71851664,0.22867329,0.00107948
-5.81390695,6.61402631,3.31560276,3.01973755,0.03147766,2.73411572,0.22381428,0.00106405
-5.80790395,6.61910979,3.31307945,3.03091426,0.03227783,2.73932570,0.21856025,0.00104465
-5.80190095,6.59959227,3.29871020,3.03044000,0.03289404,2.73391350,0.21289758,0.00102149
-5.79589795,6.55526149,3.27237014,3.01814244,0.03331286,2.71778819,0.20682637,0.00099480
-5.78989495,6.48624737,3.23409115,2.99401508,0.03352460,2.69100063,0.20035972,0.00096491
-5.78389195,6.39301322,3.18405941,2.95821481,0.03352362,2.65374114,0.19352240,0.00093212
-5.77788894,6.27634239,3.12261112,2.91105711,0.03330849,2.60633521,0.18634947,0.00089682
-5.77188594,6.13732098,3.05022660,2.85300899,0.03288212,2.54923761,0.17888446,0.00085938
-5.76588294,5.97731711,2.96752287,2.78467988,0.03225159,2.48302474,0.17117763,0.00082021
-5.75987994,5.79795699,2.87524473,2.70681068,0.03142800,2.40838548,0.16328414,0.00077969
-5.75387694,5.60109814,2.77425417,2.62026105,0.03042610,2.32611049,0.15526224,0.00073823
-5.74787394,5.38880009,2.66551832,2.52599528,0.02926384,2.23707999,0.14717173,0.00069623
-5.74187094,5.16329263,2.55009571,2.42506671,0.02796182,2.14225032,0.13907250,0.00065405
-5.73586793,4.92694213,2.42912101,2.31860106,0.02654269,2.04263911,0.13102335,0.00061207
-5.72986493,4.68221616,2.30378832,2.20777889,0.02503046,1.93930953,0.12308108,0.00057061
-5.72386193,4.43164689,2.17533318,2.09381737,0.02344986,1.83335367,0.11529985,0.00053000
-5.71785893,4.17779395,2.04501377,1.97795185,0.02182566,1.72587550,0.10773072,0.00049054
-5.71185593,3.92320724,1.91409146,1.86141744,0.02018208,1.61797368,0.10042158,0.00045248
-5.70585293,3.67039046,1.78381134,1.74543099,0.01854221,1.51072468,0.09341712,0.00041607
-5.69984992,3.42176623,1.65538327,1.63117391,0.01692753,1.40516655,0.08675913,0.00038154
-5.69384692,3.17964333,1.52996382,1.51977613,0.01535754,1.30228381,0.08048681,0.00034905
-5.68784392,2.94618698,1.40863979,1.41230144,0.01384946,1.20299386,0.07463723,0.00031880
-5.68184092,2.72339254,1.29241366,1.30973473,0.01241806,1.10813508,0.06924582,0.00029090
-5.67583792,2.51306337,1.18219140,1.21297098,0.01107557,1.01845708,0.06434679,0.00026549
-5.66983492,2.31679291,1.07877290,1.12280650,0.00983170,0.93461312,0.05997355,0.00024266
-5.66383192,2.13595145,0.98284512,1.03993227,0.00869372,0.85715488,0.05615895,0.00022248
-5.65782891,1.97167725,0.89497801,0.96492933,0.00766662,0.78652949,0.05293546,0.00020502
-5.65182591,1.82487219,0.81562307,0.89826637,0.00675335,0.72307877,0.05033509,0.00019030
-5.64582291,1.69620133,0.74511433,0.84029915,0.00595503,0.66704052,0.04838913,0.00017834
-5.63981991,1.58609624,0.68367130,0.79127164,0.00527125,0.61855157,0.04712764,0.00016915
-5.63381691,1.49476130,0.63140370,0.75131865,0.00470032,0.57765238,0.04657878,0.00016270
-5.62781391,1.42218273,0.58831726,0.72046976,0.00423952,0.54429280,0.04676780,0.00015896
-5.62181091,1.36813947,0.55432043,0.69865414,0.00388535,0.51833879,0.04771591,0.00015787
-5.61580790,1.33221562,0.52923130,0.68570619,0.00363371,0.49957964,0.04943892,0.00015934
-5.60980490,1.31381380,0.51278462,0.68137164,0.00348008,0.48773562,0.05194578,0.00016329
-5.60380190,1.31216913,0.50463846,0.68531403,0.00341962,0.48246556,0.05523700,0.00016960
-5.59779890,1.32636345,0.50438041,0.69712128,0.00344722,0.48337444,0.05930307,0.00017812
-5.59179590,1.35533963,0.51153327,0.71631244,0.00355759,0.49002070,0.06412297,0.00018869
-5.58579290,1.39791593,0.52556018,0.74234436,0.00374521,0.50192316,0.06966280,0.00020112
-5.57978989,1.45280033,0.54586935,0.77461843,0.00400430,0.51856767,0.07587469,0.00021521
-5.57378689,1.51860511,0.57181871,0.81248735,0.00432879,0.53941334,0.08269600,0.00023072
-5.56778389,1.59386173,0.60272051,0.85526204,0.00471223,0.56389862,0.09004901,0.00024740
-5.56178089,1.67703639,0.63784650,0.90221881,0.00514774,0.59144707,0.09784104,0.00026497
-5.55577789,1.76654644,0.67643374,0.95260690,0.00562794,0.62147316,0.10596517,0.00028316
-5.54977489,1.86077796,0.71769145,1.00565654,0.00614495,0.65338815,0.11430153,0.00030165
-5.54377189,1.95810475,0.76080924,1.06058771,0.00669031,0.68660608,0.12271922,0.00032014
-5.53776888,2.05690878,0.80496662,1.11661964,0.00725505,0.72055015,0.13107879,0.00033832
-5.53176588,2.15560228,0.84934418,1.17298115,0.00782974,0.75465940,0.13923522,0.00035587
-5.52576288,2.25265123,0.89313610,1.22892191,0.00840454,0.78839578,0.14704146,0.00037249
-5.51975988,2.34660018,0.93556404,1.28372441,0.00896940,0.82125169,0.15435215,0.00038788
-5.51375688,2.43609784,0.97589192,1.33671678,0.00951415,0.85275770,0.16102768,0.00040179
-5.50775388,2.51992306,1.01344128,1.38728586,0.01002873,0.88249053,0.16693819,0.00041397
-5.50175088,2.59701039,1.04760672,1.43489063,0.01050341,0.91008104,0.17196750,0.00042421
-5.49574787,2.66647442,1.07787069,1.47907527,0.01092900,0.93522190,0.17601668,0.00043233
-5.48974487,2.72763204,1.10381718,1.51948161,0.01129709,0.95767471,0.17900723,0.00043820
-5.48374187,2.78002156,1.12514342,1.55586031,0.01160028,0.97727637,0.18088358,0.00044175
-5.47773887,2.82341769,1.14166918,1.58808025,0.01183236,0.99394406,0.18161489,0.00044294
-5.47173587,2.85784159,1.15334297,1.61613565,0.01198851,1.00767882,0.18119600,0.00044177
-5.46573287,2.88356480,1.16024467,1.64015018,0.01206545,1.01856719,0.17964753,0.00043832
-5.45972986,2.90110672,1.16258430,1.66037774,0.01206149,1.02678061,0.17701509,0.00043269
-5.45372686,2.91122486,1.16069665,1.67719950,0.01197662,1.03257255,0.17336762,0.00042504
-5.44772386,2.91489768,1.15503181,1.69111674,0.01181249,1.03627302,0.16879500,0.00041556
-5.44172086,2.91330011,1.14614171,1.70273966,0.01157233,1.03828050,0.16340496,0.00040449
-5.43571786,2.90777198,1.13466300,1.71277189,0.01126086,1.03905137,0.15731946,0.00039208
-5.42971486,2.89978006,1.12129679,1.72199119,0.01088411,1.03908692,0.15067077,0.00037863
