energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.29382416,0.00419009,0.37262107,2.31087389,0.78247020,0.02537240,0.55039184,0.47167367,0.10396808
-5.99399700,2.30677895,0.00401532,0.37480532,2.33822106,0.79116618,0.02376685,0.55233045,0.48202457,0.10264877
-5.98799400,2.31241357,0.00383272,0.37548668,2.35452829,0.79732235,0.02223272,0.55282591,0.49169382,0.10112024
-5.98199100,2.31064713,0.00364401,0.37465890,2.35962348,0.80083896,0.02077615,0.55189393,0.50064149,0.09939756
-5.97598799,2.30159212,0.00345099,0.37235147,2.35358443,0.80168316,0.01940288,0.54959547,0.50885449,0.09750192
-5.96998499,2.28555376,0.00325555,0.36862898,2.33674358,0.79989138,0.01811808,0.54603537,0.51634609,0.09546004
-5.96398199,2.26302376,0.00305957,0.36358955,2.30968546,0.79556961,0.01692621,0.54135959,0.52315468,0.09330338
-5.95797899,2.23466872,0.00286494,0.35736219,2.27323663,0.78889144,0.01583085,0.53575115,0.52934189,0.09106737
-5.95197599,2.20131351,0.00267352,0.35010349,2.22844844,0.78009409,0.01483464,0.52942513,0.53499017,0.08879051
-5.94597299,2.16392045,0.00248707,0.34199341,2.17657291,0.76947243,0.01393914,0.52262276,0.54019999,0.08651335
-5.93996998,2.12356483,0.00230727,0.33323070,2.11903232,0.75737122,0.01314484,0.51560492,0.54508657,0.08427761
-5.93396698,2.08140765,0.00213564,0.32402771,2.05738367,0.74417597,0.01245106,0.50864529,0.54977650,0.08212524
-5.92796398,2.03866659,0.00197359,0.31460517,1.99327872,0.73030257,0.01185607,0.50202328,0.55440405,0.08009751
-5.92196098,1.99658589,0.00182232,0.30518670,1.92842116,0.71618628,0.01135710,0.49601702,0.55910743,0.07823426
-5.91595798,1.95640609,0.00168288,0.29599355,1.86452189,0.70227028,0.01095045,0.49089652,0.56402503,0.07657311
-5.90995498,1.91933445,0.00155609,0.28723953,1.80325402,0.68899420,0.01063165,0.48691715,0.56929149,0.07514890
-5.90395198,1.88651670,0.00144259,0.27912626,1.74620865,0.67678310,0.01039559,0.48431357,0.57503396,0.07399310
-5.89794897,1.85901064,0.00134281,0.27183886,1.69485287,0.66603703,0.01023666,0.48329418,0.58136831,0.07313340
-5.89194597,1.83776230,0.00125696,0.26554217,1.65049104,0.65712157,0.01014897,0.48403613,0.58839550,0.07259328
-5.88594297,1.82358474,0.00118507,0.26037755,1.61423048,0.65035956,0.01012646,0.48668102,0.59619803,0.07239176
-5.87993997,1.81714007,0.00112694,0.25646013,1.58695235,0.64602404,0.01016309,0.49133118,0.60483674,0.07254309
-5.87393697,1.81892466,0.00108222,0.25387678,1.56928862,0.64433269,0.01025292,0.49804682,0.61434784,0.07305659
-5.86793397,1.82925786,0.00105035,0.25268453,1.56160553,0.64544366,0.01039020,0.50684375,0.62474039,0.07393640
-5.86193097,1.84827415,0.00103063,0.25290957,1.56399407,0.64945279,0.01056946,0.51769211,0.63599435,0.07518136
-5.85592796,1.87591891,0.00102223,0.25454677,1.57626767,0.65639230,0.01078551,0.53051576,0.64805929,0.07678485
-5.84992496,1.91194780,0.00102418,0.25755971,1.59796711,0.66623074,0.01103343,0.54519275,0.66085383,0.07873468
-5.84392196,1.95592975,0.00103544,0.26188117,1.62837258,0.67887416,0.01130851,0.56155664,0.67426606,0.08101299
-5.83791896,2.00725352,0.00105489,0.26741418,1.66652255,0.69416839,0.01160623,0.57939888,0.68815485,0.08359626
-5.83191596,2.06513790,0.00108139,0.27403347,1.71123904,0.71190241,0.01192212,0.59847215,0.70235220,0.08645529
-5.82591296,2.12864540,0.00111378,0.28158749,1.76115861,0.73181248,0.01225174,0.61849479,0.71666658,0.08955538
-5.81990995,2.19669940,0.00115094,0.28990096,1.81476837,0.75358728,0.01259053,0.63915620,0.73088724,0.09285655
-5.81390695,2.26810446,0.00119180,0.29877782,1.87044593,0.77687364,0.01293380,0.66012311,0.74478936,0.09631392
-5.80790395,2.34156976,0.00123538,0.30800486,1.92650244,0.80128303,0.01327667,0.68104675,0.75813990,0.09987823
-5.80190095,2.41573509,0.00128081,0.31735574,1.98122740,0.82639856,0.01361404,0.70157062,0.77070397,0.10349655
-5.79589795,2.48919914,0.00132739,0.32659549,2.03293398,0.85178260,0.01394064,0.72133878,0.78225146,0.10711311
-5.78989495,2.56054957,0.00137455,0.33548549,2.08000368,0.87698478,0.01425110,0.74000440,0.79256373,0.11067033
-5.78389195,2.62839408,0.00142195,0.34378861,2.12092890,0.90155037,0.01454006,0.75723834,0.80144013,0.11410999
-5.77788894,2.69139197,0.00146943,0.35127473,2.15435222,0.92502901,0.01480229,0.77273753,0.80870399,0.11737448
-5.77188594,2.74828533,0.00151708,0.35772620,2.17910109,0.94698356,0.01503292,0.78623280,0.81420802,0.12040823
-5.76588294,2.79792897,0.00156520,0.36294325,2.19421710,0.96699893,0.01522756,0.79749601,0.81783883,0.12315906
-5.75987994,2.83931838,0.00161433,0.36674913,2.19897867,0.98469091,0.01538258,0.80634625,0.81952052,0.12557963
-5.75387694,2.87161480,0.00166524,0.36899478,2.19291666,0.99971460,0.01549529,0.81265467,0.81921707,0.12762879
-5.74787394,2.89416653,0.00171891,0.36956290,2.17582249,1.01177237,0.01556409,0.81634810,0.81693373,0.12927279
-5.74187094,2.90652587,0.00177653,0.36837123,2.14774851,1.02062106,0.01558868,0.81741102,0.81271720,0.13048637
-5.73586793,2.90846089,0.00183947,0.36537487,2.10900078,1.02607820,0.01557015,0.81588596,0.80665469,0.13125356
-5.72986493,2.89996162,0.00190925,0.36056764,2.06012479,1.02802709,0.01551102,0.81187212,0.79887201,0.13156829
-5.72386193,2.88124030,0.00198752,0.35398227,2.00188453,1.02642036,0.01541525,0.80552247,0.78953060,0.13143461
-5.71785893,2.85272542,0.00207597,0.34568949,1.93523603,1.02128196,0.01528821,0.79703902,0.77882383,0.13086664
-5.71185593,2.81504976,0.00217636,0.33579606,1.86129629,1.01270736,0.01513649,0.78666680,0.76697247,0.12988813
-5.70585293,2.76903247,0.00229041,0.32444173,1.78130892,1.00086182,0.01496775,0.77468631,0.75421960,0.12853173
-5.69984992,2.71565594,0.00241978,0.31179532,1.69660770,0.98597682,0.01479046,0.76140495,0.74082503,0.12683791
-5.69384692,2.65603788,0.00256601,0.29805004,1.60857948,0.96834452,0.01461362,0.74714758,0.72705940,0.12485360
-5.68784392,2.59139979,0.00273045,0.28341822,1.51862764,0.94831052,0.01444642,0.73224653,0.71319803,0.12263061
-5.68184092,2.52303268,0.00291425,0.26812572,1.42813737,0.92626504,0.01429793,0.71703141,0.69951476,0.12022390
-5.67583792,2.45226140,0.00311830,0.25240611,1.33844382,0.90263286,0.01417675,0.70181910,0.68627589,0.11768967
-5.66983492,2.38040880,0.00334319,0.23649498,1.25080398,0.87786227,0.01409071,0.68690427,0.67373430,0.11508357
-5.66383192,2.30876107,0.00358919,0.22062445,1.16637306,0.85241366,0.01404655,0.67255083,0.66212413,0.11245885
-5.65782891,2.23853559,0.00385623,0.20501809,1.08618568,0.82674787,0.01404975,0.65898467,0.65165587,0.10986470
-5.65182591,2.17085228,0.00414394,0.18988642,1.01114220,0.80131500,0.01410429,0.64638789,0.64251230,0.10734483
-5.64582291,2.10670974,0.00445159,0.17542307,0.94200004,0.77654402,0.01421260,0.63489495,0.63484520,0.10493629
-5.63981991,2.04696666,0.00477818,0.16180168,0.87936984,0.75283351,0.01437547,0.62459071,0.62877304,0.10266861
-5.63381691,1.99232921,0.00512243,0.14917354,0.82371599,0.73054396,0.01459212,0.61551057,0.62437968,0.10056335
-5.62781391,1.94334455,0.00548288,0.13766597,0.77536091,0.70999169,0.01486030,0.60764265,0.62171403,0.09863394
-5.62181091,1.90040024,0.00585786,0.12738147,0.73449240,0.69144478,0.01517645,0.60093187,0.62079077,0.09688593
-5.61580790,1.86372940,0.00624563,0.11839745,0.70117331,0.67512079,0.01553595,0.59528571,0.62159188,0.09531757
-5.60980490,1.83342072,0.00664435,0.11076656,0.67535282,0.66118637,0.01593334,0.59058137,0.62406901,0.09392064
-5.60380190,1.80943249,0.00705221,0.10451753,0.65687840,0.64975855,0.01636263,0.58667394,0.62814633,0.09268154
-5.59779890,1.79160975,0.00746738,0.09965630,0.64550807,0.64090750,0.01681761,0.58340502,0.63372391,0.09158251
-5.59179590,1.77970321,0.00788812,0.09616755,0.64092225,0.63466048,0.01729213,0.58061162,0.64068115,0.09060295
-5.58579290,1.77338899,0.00831270,0.09401642,0.64273475,0.63100665,0.01778039,0.57813447,0.64888034,0.08972073
-5.57978989,1.77228813,0.00873947,0.09315031,0.65050285,0.62990244,0.01827719,0.57582573,0.65816994,0.08891345
-5.57378689,1.77598480,0.00916680,0.09350093,0.66373623,0.63127721,0.01877812,0.57355542,0.66838768,0.08815951
-5.56778389,1.78404266,0.00959300,0.09498628,0.68190481,0.63503882,0.01927976,0.57121644,0.67936324,0.08743907
-5.56178089,1.79601884,0.01001633,0.09751284,0.70444575,0.64107904,0.01977978,0.56872796,0.69092056,0.08673476
-5.55577789,1.81147524,0.01043491,0.10097770,0.73076985,0.64927847,0.02027697,0.56603707,0.70287990,0.08603212
-5.54977489,1.82998712,0.01084663,0.10527076,0.76026772,0.65951102,0.02077128,0.56311878,0.71505963,0.08531983
-5.54377189,1.85114922,0.01124910,0.11027707,0.79231597,0.67164770,0.02126377,0.55997445,0.72727793,0.08458976
-5.53776888,1.87457976,0.01163961,0.11587908,0.82628395,0.68555989,0.02175647,0.55662890,0.73935457,0.08383669
-5.53176588,1.89992264,0.01201508,0.12195901,0.86154108,0.70112192,0.02225232,0.55312648,0.75111296,0.08305806
-5.52576288,1.92684848,0.01237203,0.12840121,0.89746514,0.71821311,0.02275494,0.54952649,0.76238248,0.08225345
-5.51975988,1.95505480,0.01270661,0.13509442,0.93345140,0.73671918,0.02326844,0.54589821,0.77300129,0.08142408
-5.51375688,1.98426593,0.01301462,0.14193402,0.96892262,0.75653315,0.02379720,0.54231600,0.78281959,0.08057232
-5.50775388,2.01423272,0.01329160,0.14882402,1.00333965,0.77755560,0.02434565,0.53885467,0.79170331,0.07970121
-5.50175088,2.04473236,0.01353294,0.15567893,1.03621226,0.79969442,0.02491797,0.53558547,0.79953804,0.07881400
-5.49574787,2.07556824,0.01373397,0.16242521,1.06710970,0.82286384,0.02551785,0.53257289,0.80623319,0.07791389
-5.48974487,2.10656969,0.01389014,0.16900241,1.09567052,0.84698289,0.02614827,0.52987223,0.81172585,0.07700381
-5.48374187,2.13759151,0.01399719,0.17536384,1.12161103,0.87197308,0.02681118,0.52752819,0.81598439,0.07608632
-5.47773887,2.16851279,0.01405128,0.18147673,1.14473182,0.89775548,0.02750732,0.52557432,0.81901119,0.07516363
-5.47173587,2.19923497,0.01404922,0.18732190,1.16492183,0.92424707,0.02823598,0.52403313,0.82084440,0.07423765
-5.46573287,2.22967860,0.01398859,0.19289292,1.18215958,0.95135658,0.02899484,0.52291691,0.82155847,0.07331023
-5.45972986,2.25977886,0.01386787,0.19819472,1.19651123,0.97897987,0.02977981,0.52222887,0.82126303,0.07238321
-5.45372686,2.28947962,0.01368656,0.20324184,1.20812532,1.00699514,0.03058496,0.52196453,0.82010033,0.07145871
-5.44772386,2.31872615,0.01344528,0.20805619,1.21722434,1.03525817,0.03140245,0.52211309,0.81824092,0.07053920
-5.44172086,2.34745678,0.01314573,0.21266472,1.22409325,1.06359790,0.03222263,0.52265855,0.81587780,0.06962759
-5.43571786,2.37559376,0.01279077,0.21709672,1.22906534,1.09181277,0.03303408,0.52358062,0.81321915,0.06872731
-5.42971486,2.40303388,0.01238429,0.22138126,1.23250606,1.11966803,0.03382383,0.52485511,0.81047993,0.06784217
-5.42371186,2.42963951,0.01193118,0.22554457,1.23479544,1.14689450,0.03457761,0.52645388,0.80787265,0.06697625
-5.41770885,2.45523051,0.01143713,0.22960772,1.23630979,1.17318890,0.03528017,0.52834436,0.80559780,0.06613368
-5.41170585,2.47957773,0.01090857,0.23358452,1.23740359,1.19821604,0.03591567,0.53048857,0.80383420,0.06531834
-5.40570285,2.50239872,0.01035239,0.23747982,1.23839232,1.22161296,0.03646813,0.53284189,0.80272997,0.06453353
-5.39969985,2.52335597,0.00977581,0.24128831,1.23953685,1.24299500,0.03692191,0.53535167,0.80239427,0.06378164
-5.39369685,2.54205810,0.00918618,0.24499373,1.24103041,1.26196375,0.03726218,0.53795574,0.80289043,0.06306376
-5.38769385,2.55806418,0.00859076,0.24856865,1.24298828,1.27811652,0.03747543,0.54058115,0.80423068,0.06237943
-5.38169085,2.57089109,0.00799654,0.25197471,1.24544105,1.29105710,0.03754997,0.54314314,0.80637288,0.06172630
-5.37568784,2.58002391,0.00741013,0.25516341,1.24833141,1.30040737,0.03747630,0.54554464,0.80921924,0.06110004
-5.36968484,2.58492886,0.00683755,0.25807728,1.25151485,1.30581923,0.03724749,0.54767638,0.81261739,0.06049417
-5.36368184,2.58506839,0.00628418,0.26065149,1.25476411,1.30698631,0.03685947,0.54941767,0.81636356,0.05990017
-5.35767884,2.57991788,0.00575468,0.26281575,1.25777724,1.30365507,0.03631122,0.55063803,0.82020801,0.05930753
-5.35167584,2.56898333,0.00525292,0.26449656,1.26018895,1.29563461,0.03560484,0.55119961,0.82386245,0.05870409
-5.34567284,2.55181932,0.00478202,0.26561952,1.26158478,1.28280485,0.03474553,0.55096036,0.82700917,0.05807633
-5.33966983,2.52804658,0.00434434,0.26611189,1.26151756,1.26512277,0.03374146,0.54977802,0.82931166,0.05740988
-5.33366683,2.49736860,0.00394155,0.26590507,1.25952553,1.24262631,0.03260360,0.54751467,0.83042637,0.05669004
-5.32766383,2.45958658,0.00357471,0.26493716,1.25515134,1.21543594,0.03134532,0.54404179,0.83001507,0.05590238
-5.32166083,2.41461231,0.00324437,0.26315527,1.24796132,1.18375376,0.02998212,0.53924556,0.82775757,0.05503336
-5.31565783,2.36247843,0.00295065,0.26051784,1.23756408,1.14786031,0.02853114,0.53303231,0.82336412,0.05407103
-5.30965483,2.30334591,0.00269342,0.25699649,1.22362802,1.10810915,0.02701070,0.52533375,0.81658723,0.05300557
-5.30365183,2.23750829,0.00247235,0.25257771,1.20589677,1.06491964,0.02543986,0.51611186,0.80723234,0.05182995
-5.29764882,2.16539275,0.00228708,0.24726414,1.18420216,1.01876815,0.02383792,0.50536317,0.79516703,0.05054038
-5.29164582,2.08755787,0.00213729,0.24107537,1.15847418,0.97017814,0.02222400,0.49312213,0.78032829,0.04913677
-5.28564282,2.00468814,0.00202282,0.23404834,1.12874757,0.91970949,0.02061662,0.47946357,0.76272772,0.04762299
-5.27963982,1.91758543,0.00194372,0.22623721,1.09516470,0.86794751,0.01903336,0.46450394,0.74245425,0.04600710
-5.27363682,1.82715758,0.00190034,0.21771273,1.05797485,0.81549209,0.01749054,0.44840131,0.71967450,0.04430134
-5.26763382,1.73440446,0.00189331,0.20856112,1.01752973,0.76294716,0.01600301,0.43135398,0.69463048,0.04252209
-5.26163082,1.64040188,0.00192359,0.19888250,0.97427563,0.71091097,0.01458395,0.41359789,0.66763489,0.04068956
-5.25562781,1.54628370,0.00199240,0.18878880,0.92874233,0.65996731,0.01324483,0.39540265,0.63906418,0.03882747
-5.24962481,1.45322257,0.00210120,0.17840142,0.88152945,0.61067784,0.01199530,0.37706642,0.60934942,0.03696255
-5.24362181,1.36240993,0.00225161,0.16784851,0.83329057,0.56357565,0.01084322,0.35890982,0.57896557,0.03512394
-5.23761881,1.27503543,0.00244527,0.15726208,0.78471585,0.51916012,0.00979471,0.34126888,0.54841926,0.03334249
-5.23161581,1.19226649,0.00268375,0.14677499,0.73651374,0.47789300,0.00885425,0.32448741,0.51823574,0.03164998
-5.22561281,1.11522832,0.00296840,0.13651795,0.68939244,0.44019556,0.00802477,0.30890890,0.48894524,0.03007838
-5.21960980,1.04498468,0.00330017,0.12661659,0.64404172,0.40644684,0.00730778,0.29486820,0.46106921,0.02865898
-5.21360680,0.98251988,0.00367949,0.11718870,0.60111564,0.37698274,0.00670351,0.28268323,0.43510694,0.02742153
-5.20760380,0.92872227,0.00410608,0.10834184,0.56121671,0.35209568,0.00621102,0.27264689,0.41152292,0.02639349
-5.20160080,0.88436937,0.00457879,0.10017113,0.52488185,0.33203492,0.00582836,0.26501944,0.39073511,0.02559922
-5.19559780,0.85011498,0.00509551,0.09275758,0.49257059,0.31700703,0.00555262,0.26002149,0.37310469,0.02505929
-5.18959480,0.82647844,0.00565304,0.08616675,0.46465547,0.30717665,0.00538012,0.25782788,0.35892730,0.02478982
-5.18359180,0.81383610,0.00624699,0.08044796,0.44141514,0.30266725,0.00530642,0.25856240,0.34842606,0.02480197
-5.17758879,0.81241527,0.00687182,0.07563387,0.42302990,0.30356186,0.00532643,0.26229379,0.34174647,0.02510150
-5.17158579,0.82229072,0.00752078,0.07174060,0.40957982,0.30990373,0.00543449,0.26903293,0.33895329,0.02568846
-5.16558279,0.84338382,0.00818602,0.06876817,0.40104532,0.32169691,0.00562439,0.27873140,0.34002947,0.02655706
-5.15957979,0.87546447,0.00885869,0.06670148,0.39731018,0.33890674,0.00588946,0.29128152,0.34487703,0.02769558
-5.15357679,0.91815599,0.00952912,0.06551149,0.39816668,0.36146037,0.00622263,0.30651796,0.35332003,0.02908656
-5.14757379,0.97094274,0.01018702,0.06515683,0.40332279,0.38924739,0.00661650,0.32422082,0.36510936,0.03070706
-5.14157079,1.03318071,0.01082175,0.06558559,0.41241120,0.42212052,0.00706338,0.34412035,0.37992948,0.03252911
-5.13556778,1.10411089,0.01142260,0.06673736,0.42499997,0.45989661,0.00755544,0.36590308,0.39740672,0.03452029
-5.12956478,1.18287509,0.01197912,0.06854530,0.44060451,0.50235788,0.00808476,0.38921944,0.41711917,0.03664449
-5.12356178,1.26853415,0.01248141,0.07093845,0.45870065,0.54925356,0.00864346,0.41369249,0.43860777,0.03886279
-5.11755878,1.36008788,0.01292046,0.07384387,0.47873858,0.60030174,0.00922383,0.43892773,0.46138846,0.04113436
-5.11155578,1.45649632,0.01328846,0.07718887,0.50015717,0.65519165,0.00981845,0.46452356,0.48496494,0.04341757
-5.10555278,1.55670162,0.01357904,0.08090305,0.52239853,0.71358611,0.01042032,0.49008220,0.50884183,0.04567107
-5.09954977,1.65964995,0.01378753,0.08492020,0.54492225,0.77512421,0.01102296,0.51522055,0.53253767,0.04785483
-5.09354677,1.76431249,0.01391108,0.08917996,0.56721910,0.83942401,0.01162057,0.53958071,0.55559754,0.04993130
-5.08754377,1.86970501,0.01394884,0.09362926,0.58882369,0.90608538,0.01220808,0.56283975,0.57760472,0.05186630
-5.08154077,1.97490512,0.01390193,0.09822339,0.60932582,0.97469264,0.01278122,0.58471828,0.59819110,0.05362996
-5.07553777,2.07906682,0.01377346,0.10292683,0.62838006,1.04481720,0.01333656,0.60498753,0.61704598,0.05519747
-5.06953477,2.18143176,0.01356839,0.10771361,0.64571346,1.11602009,0.01387156,0.62347469,0.63392285,0.05654956
-5.06353177,2.28133699,0.01329342,0.11256749,0.66113088,1.18785445,0.01438446,0.64006620,0.64864408,0.05767293
-5.05752876,2.37821922,0.01295673,0.11748167,0.67451811,1.25986812,0.01487428,0.65470895,0.66110315,0.05856039
-5.05152576,2.47161566,0.01256777,0.12245831,0.68584241,1.33160638,0.01534072,0.66740933,0.67126463,0.05921075
-5.04552276,2.56116170,0.01213689,0.12750772,0.69515075,1.40261517,0.01578403,0.67823031,0.67916166,0.05962861
-5.03951976,2.64658620,0.01167511,0.13264735,0.70256562,1.47244484,0.01620485,0.68728647,0.68489134,0.05982387
