energy_ev,total_up,Ge_p_up,Ge_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,0.74236692,0.00270788,0.00000000,0.29704567,0.42940869,0.02174401,0.15921563
-5.99399700,0.69769360,0.00278241,0.00000000,0.26505511,0.40783477,0.01834444,0.14408927
-5.98799400,0.65984590,0.00284441,0.00000000,0.23737704,0.38979144,0.01537834,0.13111906
-5.98199100,0.62781202,0.00289184,0.00000000,0.21355782,0.37469763,0.01281213,0.12005279
-5.97598799,0.60058760,0.00292299,0.00000000,0.19313800,0.36198007,0.01061023,0.11063831
-5.96998499,0.57720475,0.00293655,0.00000000,0.17566612,0.35108938,0.00873630,0.10263055
-5.96398199,0.55675652,0.00293164,0.00000000,0.16071020,0.34151368,0.00715431,0.09579727
-5.95797899,0.53841663,0.00290786,0.00000000,0.14786689,0.33278957,0.00582947,0.08992357
-5.95197599,0.52145429,0.00286528,0.00000000,0.13676827,0.32451036,0.00472889,0.08481535
-5.94597299,0.50524444,0.00280444,0.00000000,0.12708658,0.31633188,0.00382212,0.08030149
-5.93996998,0.48927354,0.00272630,0.00000000,0.11853684,0.30797570,0.00308154,0.07623519
-5.93396698,0.47314151,0.00263226,0.00000000,0.11087789,0.29923029,0.00248255,0.07249436
-5.92796398,0.45656023,0.00252403,0.00000000,0.10391194,0.28995020,0.00200370,0.06898123
-5.92196098,0.43934934,0.00240364,0.00000000,0.09748298,0.28005370,0.00162680,0.06562154
-5.91595798,0.42142988,0.00227333,0.00000000,0.09147443,0.26951926,0.00133681,0.06236316
-5.90995498,0.40281652,0.00213550,0.00000000,0.08580625,0.25838113,0.00112190,0.05917450
-5.90395198,0.38360905,0.00199264,0.00000000,0.08043181,0.24672456,0.00097335,0.05604284
-5.89794897,0.36398370,0.00184727,0.00000000,0.07533479,0.23468089,0.00088557,0.05297257
-5.89194597,0.34418497,0.00170186,0.00000000,0.07052630,0.22242297,0.00085611,0.04998367
-5.88594297,0.32451837,0.00155882,0.00000000,0.06604245,0.21016109,0.00088570,0.04711028
-5.87993997,0.30534466,0.00142045,0.00000000,0.06194240,0.19813980,0.00097843,0.04439970
-5.87393697,0.28707571,0.00128891,0.00000000,0.05830714,0.18663577,0.00114191,0.04191162
-5.86793397,0.27017239,0.00116621,0.00000000,0.05523886,0.17595677,0.00138753,0.03971785
-5.86193097,0.25514436,0.00105424,0.00000000,0.05286113,0.16644189,0.00173082,0.03790232
-5.85592796,0.24255187,0.00095475,0.00000000,0.05131956,0.15846293,0.00219178,0.03656155
-5.84992496,0.23300921,0.00086941,0.00000000,0.05078313,0.15242684,0.00279535,0.03580539
-5.84392196,0.22718955,0.00079983,0.00000000,0.05144582,0.14877893,0.00357180,0.03575797
-5.83791896,0.22583050,0.00074760,0.00000000,0.05352841,0.14800654,0.00455719,0.03655882
-5.83191596,0.22973988,0.00071432,0.00000000,0.05728027,0.15064284,0.00579370,0.03836400
-5.82591296,0.23980074,0.00070168,0.00000000,0.06298075,0.15727008,0.00732998,0.04134699
-5.81990995,0.25697486,0.00071145,0.00000000,0.07093989,0.16852180,0.00922126,0.04569930
-5.81390695,0.28230362,0.00074555,0.00000000,0.08149823,0.18508340,0.01152933,0.05163057
-5.80790395,0.31690536,0.00080605,0.00000000,0.09502508,0.20769038,0.01432234,0.05936785
-5.80190095,0.36196807,0.00089520,0.00000000,0.11191533,0.23712351,0.01767421,0.06915406
-5.79589795,0.41873673,0.00101538,0.00000000,0.13258412,0.27420062,0.02166383,0.08124526
-5.78989495,0.48849437,0.00116912,0.00000000,0.15745941,0.31976415,0.02637384,0.09590681
-5.78389195,0.57253640,0.00135903,0.00000000,0.18697206,0.37466452,0.03188904,0.11340807
-5.77788894,0.67213809,0.00158777,0.00000000,0.22154360,0.43973888,0.03829444,0.13401579
-5.77188594,0.78851528,0.00185792,0.00000000,0.26157155,0.51578548,0.04567290,0.15798622
-5.76588294,0.92277884,0.00217194,0.00000000,0.30741274,0.60353410,0.05410247,0.18555590
-5.75987994,1.07588422,0.00253205,0.00000000,0.35936473,0.70361307,0.06365341,0.21693152
-5.75387694,1.24857725,0.00294007,0.00000000,0.41764624,0.81651403,0.07438506,0.25227911
-5.74787394,1.44133855,0.00339737,0.00000000,0.48237704,0.94255568,0.08634260,0.29171283
-5.74187094,1.65432861,0.00390472,0.00000000,0.55355829,1.08184796,0.09955387,0.33528403
-5.73586793,1.88733659,0.00446216,0.00000000,0.63105431,1.23425869,0.11402635,0.38297093
-5.72986493,2.13973541,0.00506892,0.00000000,0.71457681,1.39938426,0.12974454,0.43466964
-5.72386193,2.41044637,0.00572335,0.00000000,0.80367271,1.57652655,0.14666782,0.49018694
-5.71785893,2.69791594,0.00642285,0.00000000,0.89771654,1.76467770,0.16472896,0.54923556
-5.71185593,3.00010719,0.00716385,0.00000000,0.99590837,1.96251449,0.18383338,0.61143220
-5.70585293,3.31450794,0.00794182,0.00000000,1.09727799,2.16840354,0.20385934,0.67629892
-5.69984992,3.63815686,0.00875131,0.00000000,1.20069584,2.38041819,0.22465903,0.74326792
-5.69384692,3.96768781,0.00958601,0.00000000,1.30489092,2.59636721,0.24606064,0.81168996
-5.68784392,4.29939219,0.01043891,0.00000000,1.40847547,2.81383533,0.26787128,0.88084619
-5.68184092,4.62929765,0.01130238,0.00000000,1.50997586,3.03023421,0.28988080,0.94996315
-5.67583792,4.95326067,0.01216840,0.00000000,1.60786894,3.24286260,0.31186626,1.01823051
-5.66983492,5.26706998,0.01302870,0.00000000,1.70062242,3.44897343,0.33359692,1.08482078
-5.66383192,5.56655656,0.01387499,0.00000000,1.78673797,3.64584514,0.35483955,1.14891040
-5.65782891,5.84770586,0.01469916,0.00000000,1.86479506,3.83085450,0.37536381,1.20970113
-5.65182591,6.10676750,0.01549350,0.00000000,1.93349393,4.00154775,0.39494751,1.26644107
-5.64582291,6.34035778,0.01625086,0.00000000,1.99169562,4.15570699,0.41338141,1.31844426
-5.63981991,6.54555071,0.01696486,0.00000000,2.03845731,4.29140921,0.43047356,1.36510819
-5.63381691,6.71995378,0.01763005,0.00000000,2.07306146,4.40707527,0.44605285,1.40592845
-5.62781391,6.86176568,0.01824203,0.00000000,2.09503736,4.50150733,0.45997177,1.44051004
-5.62181091,6.96981414,0.01879759,0.00000000,2.10417426,4.57391326,0.47210825,1.46857511
-5.61580790,7.04357310,0.01929478,0.00000000,2.10052551,4.62391777,0.48236669,1.48996692
-5.60980490,7.08315960,0.01973297,0.00000000,2.08440377,4.65156043,0.49067811,1.50465027
-5.60380190,7.08931192,0.02011292,0.00000000,2.05636769,4.65728162,0.49699972,1.51270853
-5.59779890,7.06335115,0.02043678,0.00000000,2.01720083,4.64189785,0.50131380,1.51433796
-5.59179590,7.00712930,0.02070812,0.00000000,1.96788421,4.60656856,0.50362630,1.50983966
-5.58579290,6.92296728,0.02093189,0.00000000,1.90956371,4.55275641,0.50396516,1.49960989
-5.57978989,6.81358639,0.02111444,0.00000000,1.84351409,4.48218359,0.50237862,1.48412943
-5.57378689,6.68203649,0.02126344,0.00000000,1.77110136,4.39678626,0.49893352,1.46395234
-5.56778389,6.53162414,0.02138782,0.00000000,1.69374493,4.29866891,0.49371383,1.43969477
-5.56178089,6.36584276,0.02149770,0.00000000,1.61288132,4.19006043,0.48681940,1.41202399
-5.55577789,6.18830673,0.02160424,0.00000000,1.52993032,4.07327269,0.47836482,1.38164794
-5.54977489,6.00269010,0.02171947,0.00000000,1.44626501,3.95066223,0.46847856,1.34930505
-5.54377189,5.81267025,0.02185609,0.00000000,1.36318585,3.82459521,0.45730217,1.31575453
-5.53776888,5.62187574,0.02202717,0.00000000,1.28189949,3.69741494,0.44498947,1.28176649
