energy_ev,total_up,Ir_p_up,Ir_d_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,7.21942817,2.97145096,2.92619462,0.40475325,0.00000000,0.05549248,0.76635525,0.11675409,2.77894377
-5.99399700,7.14653266,2.96462015,2.88234102,0.40958794,0.00000000,0.05501186,0.76212595,0.11753754,2.75374210
-5.98799400,7.06004879,2.94955084,2.83383681,0.41302135,0.00000000,0.05471702,0.75600178,0.11794242,2.72310890
-5.98199100,6.95939250,2.92569875,2.78054622,0.41497857,0.00000000,0.05461914,0.74787241,0.11794514,2.68680662
-5.97598799,6.84412866,2.89261105,2.72238759,0.41540712,0.00000000,0.05472675,0.73765208,0.11752676,2.64465313
-5.96998499,6.71401178,2.84995602,2.65934506,0.41427904,0.00000000,0.05504502,0.72528543,0.11667402,2.59653868
-5.96398199,6.56902087,2.79754930,2.59147870,0.41159223,0.00000000,0.05557503,0.71075239,0.11538015,2.54244037
-5.95797899,6.40938650,2.73537532,2.51893243,0.40737089,0.00000000,0.05631307,0.69407205,0.11364561,2.48243349
-5.95197599,6.23560816,2.66360241,2.44193912,0.40166504,0.00000000,0.05725011,0.67530498,0.11147844,2.41669873
-5.94597299,6.04846080,2.58259076,2.36082252,0.39454914,0.00000000,0.05837143,0.65455411,0.10889444,2.34552493
-5.93996998,5.84899028,2.49289248,2.27599581,0.38611996,0.00000000,0.05965640,0.63196390,0.10591707,2.26930733
-5.93396698,5.63849776,2.39524396,2.18795688,0.37649371,0.00000000,0.06107855,0.60771793,0.10257699,2.18854109
-5.92796398,5.41851429,2.29055058,2.09728044,0.36580265,0.00000000,0.06260586,0.58203499,0.09891145,2.10381093
-5.92196098,5.19076694,2.17986481,2.00460764,0.35419139,0.00000000,0.06420134,0.55516394,0.09496337,2.01577707
-5.91595798,4.95713870,2.06435878,1.91063366,0.34181300,0.00000000,0.06582389,0.52737752,0.09078027,1.92515871
-5.90995498,4.71962437,1.94529262,1.81609403,0.32882514,0.00000000,0.06742930,0.49896553,0.08641309,1.83271572
-5.90395198,4.48028491,1.82398037,1.72175058,0.31538643,0.00000000,0.06897159,0.47022764,0.08191486,1.73922967
-5.89794897,4.24120273,1.70175493,1.62837761,0.30165320,0.00000000,0.07040446,0.44146624,0.07733949,1.64548518
-5.89194597,4.00444006,1.57993383,1.53674913,0.28777663,0.00000000,0.07168280,0.41297963,0.07274046,1.55225240
-5.88594297,3.77200215,1.45978712,1.44762773,0.27390055,0.00000000,0.07276427,0.38505578,0.06816965,1.46027159
-5.87993997,3.54580665,1.34250888,1.36175541,0.26015975,0.00000000,0.07361092,0.35796694,0.06367636,1.37024001
-5.87393697,3.32765995,1.22919309,1.27984673,0.24667891,0.00000000,0.07419052,0.33196522,0.05930636,1.28280183
-5.86793397,3.11924058,1.12081471,1.20258426,0.23357196,0.00000000,0.07447792,0.30727928,0.05510125,1.19854093
