energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,S_s_up,S_p_up
-6.00000000,1.28750016,0.14008700,1.03311050,0.00062954,0.03338150,0.42523430,0.04873520,0.00147785,0.16867936
-5.99399700,1.32026650,0.13842114,1.07031709,0.00063643,0.03312734,0.41819135,0.04863256,0.00149914,0.16469615
-5.98799400,1.35208733,0.13662426,1.10624989,0.00064285,0.03282037,0.41069892,0.04873025,0.00151909,0.16107932
-5.98199100,1.38235224,0.13465348,1.14032235,0.00064816,0.03244861,0.40264814,0.04903399,0.00153600,0.15783656
-5.97598799,1.41053551,0.13248167,1.17200938,0.00065177,0.03200397,0.39397249,0.04955276,0.00154835,0.15498854
-5.96998499,1.43621023,0.13009789,1.20086164,0.00065316,0.03148238,0.38464927,0.05029871,0.00155484,0.15256834
-5.96398199,1.45905797,0.12750704,1.22651639,0.00065189,0.03088383,0.37469898,0.05128677,0.00155440,0.15062012
-5.95797899,1.47887319,0.12472881,1.24870457,0.00064764,0.03021216,0.36418272,0.05253408,0.00154623,0.14919698
-5.95197599,1.49556239,0.12179592,1.26725365,0.00064015,0.02947471,0.35319786,0.05405912,0.00152981,0.14835822
-5.94597299,1.50913790,0.11875185,1.28208622,0.00062932,0.02868187,0.34187211,0.05588065,0.00150489,0.14816594
-5.93996998,1.51970671,0.11564814,1.29321443,0.00061513,0.02784646,0.33035647,0.05801635,0.00147149,0.14868119
-5.93396698,1.52745491,0.11254131,1.30073063,0.00059767,0.02698304,0.31881723,0.06048144,0.00142990,0.14995982
-5.92796398,1.53262866,0.10948981,1.30479478,0.00057714,0.02610718,0.30742752,0.06328711,0.00138062,0.15204821
-5.92196098,1.53551268,0.10655080,1.30561938,0.00055384,0.02523475,0.29635887,0.06643898,0.00132437,0.15497909
-5.91595798,1.53640744,0.10377725,1.30345288,0.00052813,0.02438114,0.28577299,0.06993560,0.00126203,0.15876760
-5.90995498,1.53560647,0.10121520,1.29856236,0.00050043,0.02356063,0.27581428,0.07376720,0.00119462,0.16340791
-5.90395198,1.53337496,0.09890149,1.29121665,0.00047124,0.02278574,0.26660335,0.07791458,0.00112324,0.16887054
-5.89794897,1.52993093,0.09686204,1.28167084,0.00044107,0.02206681,0.25823177,0.08234848,0.00104905,0.17510049
-5.89194597,1.52543004,0.09511057,1.27015289,0.00041043,0.02141157,0.25075834,0.08702924,0.00097322,0.18201648
-5.88594297,1.51995497,0.09364805,1.25685320,0.00037988,0.02082494,0.24420692,0.09190703,0.00089691,0.18951128
-5.87993997,1.51350981,0.09246273,1.24191764,0.00034992,0.02030892,0.23856594,0.09692258,0.00082123,0.19745324
-5.87393697,1.50601997,0.09153073,1.22544425,0.00032107,0.01986266,0.23378952,0.10200839,0.00074719,0.20568899
-5.86793397,1.49733745,0.09081726,1.20748380,0.00029380,0.01948262,0.22980015,0.10709051,0.00067573,0.21404729
-5.86193097,1.48725114,0.09027833,1.18804397,0.00026855,0.01916288,0.22649267,0.11209066,0.00060767,0.22234382
-5.85592796,1.47550157,0.08986275,1.16709667,0.00024572,0.01889551,0.22373951,0.11692886,0.00054371,0.23038691
-5.84992496,1.46179912,0.08951456,1.14458810,0.00022567,0.01867112,0.22139668,0.12152615,0.00048441,0.23798371
-5.84392196,1.44584459,0.08917558,1.12045061,0.00020871,0.01847929,0.21931042,0.12580757,0.00043024,0.24494678
-5.83791896,1.42735093,0.08878796,1.09461572,0.00019513,0.01830921,0.21732407,0.12970504,0.00038150,0.25110071
-5.83191596,1.40606478,0.08829677,1.06702721,0.00018516,0.01815015,0.21528481,0.13316007,0.00033844,0.25628835
-5.82591296,1.38178651,0.08765230,1.03765354,0.00017898,0.01799205,0.21305013,0.13612619,0.00030116,0.26037660
-5.81990995,1.35438764,0.08681213,1.00649882,0.00017676,0.01782593,0.21049354,0.13857082,0.00026971,0.26326121
-5.81390695,1.32382456,0.08574281,0.97361148,0.00017860,0.01764429,0.20750940,0.14047668,0.00024403,0.26487057
-5.80790395,1.29014782,0.08442110,0.93909032,0.00018458,0.01744142,0.20401673,0.14184243,0.00022402,0.26516817
-5.80190095,1.25350648,0.08283477,0.90308743,0.00019473,0.01721358,0.19996171,0.14268264,0.00020951,0.26415367
-5.79589795,1.21414731,0.08098284,0.86580788,0.00020905,0.01695911,0.19531903,0.14302707,0.00020031,0.26186258
-5.78989495,1.17240889,0.07887542,0.82750630,0.00022747,0.01667841,0.19009189,0.14291916,0.00019616,0.25836445
-5.78389195,1.12871121,0.07653306,0.78848048,0.00024988,0.01637383,0.18431091,0.14241399,0.00019680,0.25375987
-5.77788894,1.08354119,0.07398573,0.74906247,0.00027612,0.01604952,0.17803194,0.14157572,0.00020192,0.24817631
-5.77188594,1.03743514,0.07127150,0.70960782,0.00030596,0.01571114,0.17133301,0.14047466,0.00021119,0.24176305
-5.76588294,0.99095925,0.06843497,0.67048338,0.00033910,0.01536558,0.16431061,0.13918409,0.00022426,0.23468559
-5.75987994,0.94468904,0.06552562,0.63205462,0.00037518,0.01502067,0.15707558,0.13777721,0.00024075,0.22711970
-5.75387694,0.89918912,0.06259601,0.59467304,0.00041375,0.01468479,0.14974872,0.13632405,0.00026025,0.21924549
-5.74787394,0.85499414,0.05970019,0.55866435,0.00045433,0.01436661,0.14245648,0.13488886,0.00028234,0.21124175
-5.74187094,0.81259206,0.05689205,0.52431810,0.00049633,0.01407480,0.13532686,0.13352791,0.00030655,0.20328088
-5.73586793,0.77241037,0.05422399,0.49187921,0.00053912,0.01381779,0.12848568,0.13228782,0.00033239,0.19552452
-5.72986493,0.73480585,0.05174572,0.46154171,0.00058202,0.01360357,0.12205342,0.13120461,0.00035935,0.18812008
-5.72386193,0.70005830,0.04950335,0.43344503,0.00062430,0.01343957,0.11614256,0.13030334,0.00038691,0.18119831
-5.71785893,0.66836805,0.04753876,0.40767280,0.00066521,0.01333261,0.11085565,0.12959849,0.00041453,0.17487177
-5.71185593,0.63985739,0.04588907,0.38425411,0.00070401,0.01328880,0.10628392,0.12909483,0.00044165,0.16923431
-5.70585293,0.61457519,0.04458649,0.36316704,0.00073994,0.01331362,0.10250647,0.12878886,0.00046775,0.16436133
-5.69984992,0.59250444,0.04365818,0.34434405,0.00077231,0.01341191,0.09958996,0.12867061,0.00049230,0.16031070
-5.69384692,0.57357178,0.04312628,0.32767895,0.00080045,0.01358790,0.09758860,0.12872554,0.00051482,0.15712421
-5.68784392,0.55765830,0.04300797,0.31303485,0.00082379,0.01384525,0.09654440,0.12893663,0.00053485,0.15482917
-5.68184092,0.54461094,0.04331556,0.30025268,0.00084184,0.01418707,0.09648763,0.12928628,0.00055204,0.15344021
-5.67583792,0.53425355,0.04405648,0.28915975,0.00085423,0.01461586,0.09743713,0.12975795,0.00056607,0.15296083
-5.66983492,0.52639706,0.04523321,0.27957802,0.00086070,0.01513351,0.09940073,0.13033747,0.00057672,0.15338471
-5.66383192,0.52084824,0.04684318,0.27133157,0.00086113,0.01574112,0.10237546,0.13101386,0.00058390,0.15469668
-5.65782891,0.51741663,0.04887844,0.26425312,0.00085555,0.01643891,0.10634760,0.13177966,0.00058761,0.15687312
