energy_ev,total_up,B_p_up,B_d_up,Hf_p_up,Hf_d_up,Te_p_up,Te_d_up
-6.00000000,1.73239297,0.10164403,0.00000000,0.55120612,0.31317339,0.90039659,0.00000000
-5.99399700,1.75896784,0.09945967,0.00000000,0.55696550,0.32000186,0.91782912,0.00000000
-5.98799400,1.78681091,0.09751485,0.00000000,0.56252559,0.32776074,0.93548856,0.00000000
-5.98199100,1.81613946,0.09584836,0.00000000,0.56799831,0.33644700,0.95347491,0.00000000
-5.97598799,1.84701765,0.09448730,0.00000000,0.57346701,0.34601550,0.97181611,0.00000000
-5.96998499,1.87934040,0.09344696,0.00000000,0.57897920,0.35637832,0.99045814,0.00000000
-5.96398199,1.91282663,0.09273128,0.00000000,0.58454199,0.36740651,1.00925961,0.00000000
-5.95797899,1.94702273,0.09233395,0.00000000,0.59012034,0.37893417,1.02799139,0.00000000
-5.95197599,1.98131678,0.09224027,0.00000000,0.59563854,0.39076499,1.04634166,0.00000000
-5.94597299,2.01496324,0.09242945,0.00000000,0.60098483,0.40268085,1.06392638,0.00000000
-5.93996998,2.04711731,0.09287752,0.00000000,0.60601910,0.41445245,1.08030470,0.00000000
-5.93396698,2.07687769,0.09356052,0.00000000,0.61058328,0.42585151,1.09499894,0.00000000
-5.92796398,2.10333569,0.09445803,0.00000000,0.61451394,0.43666396,1.10751797,0.00000000
-5.92196098,2.12562852,0.09555675,0.00000000,0.61765642,0.44670368,1.11738300,0.00000000
-5.91595798,2.14299387,0.09685401,0.00000000,0.61987971,0.45582611,1.12415434,0.00000000
-5.90995498,2.15482317,0.09836112,0.00000000,0.62109128,0.46394103,1.12745781,0.00000000
-5.90395198,2.16071045,0.10010620,0.00000000,0.62125092,0.47102396,1.12700923,0.00000000
-5.89794897,2.16049417,0.10213650,0.00000000,0.62038275,0.47712539,1.12263575,0.00000000
-5.89194597,2.15428948,0.10451998,0.00000000,0.61858467,0.48237740,1.11429267,0.00000000
-5.88594297,2.14250891,0.10734600,0.00000000,0.61603445,0.48699710,1.10207485,0.00000000
-5.87993997,2.12586997,0.11072496,0.00000000,0.61299211,0.49128657,1.08622190,0.00000000
-5.87393697,2.10538872,0.11478699,0.00000000,0.60979811,0.49562902,1.06711682,0.00000000
-5.86793397,2.08235904,0.11967935,0.00000000,0.60686718,0.50048108,1.04527799,0.00000000
-5.86193097,2.05831817,0.12556281,0.00000000,0.60467805,0.50636136,1.02134470,0.00000000
-5.85592796,2.03499946,0.13260686,0.00000000,0.60375911,0.51383538,0.99605702,0.00000000
-5.84992496,2.01427402,0.14098391,0.00000000,0.60467059,0.52349736,0.97023061,0.00000000
-5.84392196,1.99808364,0.15086265,0.00000000,0.60798388,0.53594934,0.94472782,0.00000000
-5.83791896,1.98836744,0.16240065,0.00000000,0.61425883,0.55177837,0.92042615,0.00000000
-5.83191596,1.98698523,0.17573650,0.00000000,0.62401977,0.57153242,0.89818563,0.00000000
-5.82591296,1.99564078,0.19098180,0.00000000,0.63773148,0.59569601,0.87881641,0.00000000
-5.81990995,2.01580802,0.20821323,0.00000000,0.65577590,0.62466645,0.86304804,0.00000000
-5.81390695,2.04866342,0.22746505,0.00000000,0.67843080,0.65873155,0.85150157,0.00000000
-5.80790395,2.09502730,0.24872244,0.00000000,0.70585127,0.69804993,0.84466593,0.00000000
-5.80190095,2.15531667,0.27191601,0.00000000,0.73805492,0.74263467,0.84287915,0.00000000
-5.79589795,2.22951182,0.29691772,0.00000000,0.77491174,0.79234132,0.84631553,0.00000000
-5.78989495,2.31713820,0.32353869,0.00000000,0.81613897,0.84686073,0.85497889,0.00000000
-5.78389195,2.41726479,0.35152895,0.00000000,0.86130159,0.90571752,0.86870248,0.00000000
-5.77788894,2.52851918,0.38057953,0.00000000,0.90981859,0.96827437,0.88715511,0.00000000
