energy_ev,total_up,Ag_p_up,Ag_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-2.00200100,1.02521289,0.29728420,0.09586361,0.22241661,0.68481428,0.00125038,0.05293117,0.00448947,0.32492534
-1.99599800,1.02720678,0.29201175,0.09230181,0.22407000,0.70495900,0.00113206,0.05150539,0.00419432,0.31628315
-1.98999500,1.02866294,0.28685352,0.08891127,0.22586418,0.72373661,0.00103162,0.05010065,0.00393419,0.30804693
-1.98399200,1.03007374,0.28200054,0.08578194,0.22792596,0.74131130,0.00094920,0.04875706,0.00371343,0.30044358
-1.97798899,1.03199227,0.27766086,0.08300154,0.23039368,0.75792506,0.00088484,0.04751467,0.00353593,0.29369695
-1.97198599,1.03502677,0.27405617,0.08065467,0.23341601,0.77389524,0.00083846,0.04641301,0.00340510,0.28802633
-1.96598299,1.03983168,0.27141726,0.07882180,0.23714997,0.78960840,0.00080990,0.04549062,0.00332377,0.28364475
-1.95997999,1.04709486,0.26997860,0.07757825,0.24175797,0.80551035,0.00079891,0.04478447,0.00329418,0.28075677
-1.95397699,1.05752106,0.26997207,0.07699308,0.24740402,0.82209236,0.00080513,0.04432933,0.00331788,0.27955575
-1.94797399,1.07181161,0.27161979,0.07712777,0.25424885,0.83987375,0.00082808,0.04415710,0.00339571,0.28022038
-1.94197099,1.09064079,0.27512649,0.07803486,0.26244426,0.85938144,0.00086717,0.04429600,0.00352770,0.28291046
-1.93596798,1.11462941,0.28067148,0.07975636,0.27212668,0.88112697,0.00092164,0.04476973,0.00371304,0.28776198
-1.92996498,1.14431661,0.28840044,0.08232214,0.28341027,0.90558194,0.00099058,0.04559656,0.00395004,0.29488162
-1.92396198,1.18013089,0.29841758,0.08574818,0.29637973,0.93315290,0.00107291,0.04678842,0.00423604,0.30434087
-1.91795898,1.22236173,0.31077814,0.09003496,0.31108333,0.96415675,0.00116733,0.04835001,0.00456741,0.31616997
-1.91195598,1.27113327,0.32548195,0.09516583,0.32752632,0.99879796,0.00127236,0.05027803,0.00493955,0.33035220
-1.90595298,1.32638151,0.34246814,0.10110571,0.34566540,1.03714877,0.00138632,0.05256041,0.00534687,0.34681859
-1.89994997,1.38783649,0.36161145,0.10780008,0.36540432,1.07913350,0.00150730,0.05517593,0.00578288,0.36544383
-1.89394697,1.45501089,0.38272040,0.11517444,0.38659129,1.12451816,0.00163324,0.05809385,0.00624019,0.38604347
-1.88794397,1.52719609,0.40553758,0.12313430,0.40901825,1.17290596,0.00176189,0.06127406,0.00671069,0.40837297
