energy_ev,total_up,Cr_p_up,Cr_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,0.28598770,0.13748195,0.05692633,0.05405916,0.02006402,0.00088952,0.01084287,0.00812518,0.14474046
-5.99399700,0.27807108,0.14160059,0.05132046,0.05623201,0.02137104,0.00078013,0.01159187,0.00741961,0.14063655
-5.98799400,0.27577163,0.14854281,0.04673490,0.05987635,0.02309658,0.00068124,0.01262116,0.00684113,0.13933710
-5.98199100,0.27898016,0.15827019,0.04315854,0.06496506,0.02523930,0.00059279,0.01392190,0.00638626,0.14079652
-5.97598799,0.28755748,0.17072519,0.04057603,0.07147332,0.02779424,0.00051454,0.01548481,0.00605019,0.14495332
-5.96998499,0.30133359,0.18582872,0.03896875,0.07937649,0.03075230,0.00044609,0.01729970,0.00582698,0.15172992
-5.96398199,0.32010680,0.20347801,0.03831565,0.08864785,0.03409980,0.00038689,0.01935497,0.00570973,0.16103242
-5.95797899,0.34364292,0.22354513,0.03859391,0.09925619,0.03781815,0.00033631,0.02163711,0.00569070,0.17275053
-5.95197599,0.37167507,0.24587625,0.03977939,0.11116343,0.04188373,0.00029365,0.02413026,0.00576155,0.18675779
-5.94597299,0.40390424,0.27029200,0.04184687,0.12432243,0.04626790,0.00025814,0.02681590,0.00591344,0.20291217
-5.93996998,0.44000094,0.29658900,0.04477024,0.13867510,0.05093731,0.00022901,0.02967253,0.00613720,0.22105730
-5.93396698,0.47960815,0.32454280,0.04852242,0.15415094,0.05585440,0.00020549,0.03267559,0.00642353,0.24102427
-5.92796398,0.52234577,0.35391215,0.05307538,0.17066610,0.06097822,0.00018681,0.03579746,0.00676311,0.26263426
-5.92196098,0.56781669,0.38444467,0.05839998,0.18812301,0.06626550,0.00017225,0.03900763,0.00714683,0.28570195
-5.91595798,0.61561443,0.41588381,0.06446595,0.20641067,0.07167191,0.00016111,0.04227297,0.00756587,0.31003964
-5.90995498,0.66533214,0.44797686,0.07124184,0.22540572,0.07715359,0.00015278,0.04555824,0.00801197,0.33546209
