energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,2.56447545,0.01627627,0.00000000,0.01610154,0.31527972,0.02922078,1.31670969,0.63466369,0.28788194
-5.99399700,2.55520555,0.01612416,0.00000000,0.01578752,0.31397851,0.02938174,1.31268258,0.63874245,0.28540050
-5.98799400,2.54085864,0.01596725,0.00000000,0.01545331,0.31177484,0.02942815,1.30639986,0.64163491,0.28246361
-5.98199100,2.52173641,0.01580584,0.00000000,0.01510615,0.30878706,0.02936001,1.29791924,0.64337606,0.27915173
-5.97598799,2.49822049,0.01564068,0.00000000,0.01475305,0.30513835,0.02917921,1.28734480,0.64402592,0.27554825
-5.96998499,2.47074789,0.01547272,0.00000000,0.01440057,0.30095157,0.02888934,1.27481697,0.64366348,0.27173543
-5.96398199,2.43978479,0.01530300,0.00000000,0.01405451,0.29634415,0.02849549,1.26050118,0.64237972,0.26779057
-5.95797899,2.40580002,0.01513244,0.00000000,0.01371976,0.29142363,0.02800403,1.24457586,0.64027028,0.26378240
-5.95197599,2.36924003,0.01496169,0.00000000,0.01340010,0.28628371,0.02742231,1.22722047,0.63742819,0.25976793
-5.94597299,2.33050648,0.01479099,0.00000000,0.01309811,0.28100128,0.02675843,1.20860436,0.63393696,0.25578997
-5.93996998,2.28993784,0.01462004,0.00000000,0.01281505,0.27563436,0.02602100,1.18887705,0.62986461,0.25187534
-5.93396698,2.24779581,0.01444793,0.00000000,0.01255092,0.27022112,0.02521887,1.16816054,0.62525885,0.24803404
-5.92796398,2.20425730,0.01427315,0.00000000,0.01230449,0.26477999,0.02436097,1.14654390,0.62014377,0.24425917
-5.92196098,2.15941219,0.01409359,0.00000000,0.01207339,0.25931077,0.02345610,1.12408056,0.61451817,0.24052780
-5.91595798,2.11326687,0.01390659,0.00000000,0.01185425,0.25379667,0.02251283,1.10078833,0.60835558,0.23680268
-5.90995498,2.06575323,0.01370912,0.00000000,0.01164296,0.24820716,0.02153938,1.07665204,0.60160614,0.23303463
-5.90395198,2.01674237,0.01349786,0.00000000,0.01143483,0.24250141,0.02054355,1.05162868,0.59419996,0.22916557
-5.89794897,1.96606219,0.01326939,0.00000000,0.01122489,0.23663213,0.01953269,1.02565452,0.58605200,0.22513199
-5.89194597,1.91351777,0.01302043,0.00000000,0.01100810,0.23054959,0.01851372,0.99865403,0.57706810,0.22086866
-5.88594297,1.85891336,0.01274797,0.00000000,0.01077967,0.22420564,0.01749309,0.97054978,0.56715187,0.21631250
-5.87993997,1.80207475,0.01244951,0.00000000,0.01053525,0.21755747,0.01647686,0.94127293,0.55621207,0.21140618
-5.87393697,1.74287087,0.01212321,0.00000000,0.01027113,0.21057093,0.01547071,0.91077373,0.54417013,0.20610164
-5.86793397,1.68123346,0.01176804,0.00000000,0.00998450,0.20322337,0.01448001,0.87903134,0.53096744,0.20036305
-5.86193097,1.61717398,0.01138391,0.00000000,0.00967349,0.19550572,0.01350982,0.84606271,0.51657209,0.19416918
-5.85592796,1.55079710,0.01097176,0.00000000,0.00933735,0.18742392,0.01256500,0.81192995,0.50098482,0.18751527
-5.84992496,1.48231003,0.01053358,0.00000000,0.00897642,0.17899953,0.01165021,0.77674591,0.48424381,0.18041404
-5.84392196,1.41202791,0.01007241,0.00000000,0.00859217,0.17026968,0.01076994,0.74067792,0.46642837,0.17289608
-5.83791896,1.34037483,0.00959235,0.00000000,0.00818713,0.16128632,0.00992857,0.70394946,0.44766130,0.16500949
-5.83191596,1.26788104,0.00909845,0.00000000,0.00776480,0.15211490,0.00913037,0.66683996,0.42811000,0.15681890
-5.82591296,1.19517667,0.00859665,0.00000000,0.00732954,0.14283259,0.00837954,0.62968279,0.40798634,0.14840398
-5.81990995,1.12298252,0.00809363,0.00000000,0.00688638,0.13352621,0.00768018,0.59286163,0.38754544,0.13985742
-5.81390695,1.05209867,0.00759672,0.00000000,0.00644088,0.12428990,0.00703638,0.55680570,0.36708363,0.13128266
-5.80790395,0.98339155,0.00711375,0.00000000,0.00599896,0.11522285,0.00645212,0.52198386,0.34693560,0.12279135
-5.80190095,0.91778012,0.00665292,0.00000000,0.00556668,0.10642697,0.00593137,0.48889814,0.32747108,0.11450082
-5.79589795,0.85622184,0.00622266,0.00000000,0.00515010,0.09800483,0.00547800,0.45807687,0.30909123,0.10653143
-5.78989495,0.79969885,0.00583151,0.00000000,0.00475511,0.09005780,0.00509583,0.43006755,0.29222477,0.09900418
-5.78389195,0.74920466,0.00548800,0.00000000,0.00438727,0.08268450,0.00478856,0.40542979,0.27732413,0.09203843
-5.77788894,0.70573149,0.00520058,0.00000000,0.00405173,0.07597959,0.00455975,0.38472820,0.26486149,0.08574985
-5.77188594,0.67025830,0.00497748,0.00000000,0.00375306,0.07003286,0.00441277,0.36852534,0.25532475,0.08024859
-5.76588294,0.64373923,0.00482665,0.00000000,0.00349525,0.06492855,0.00435073,0.35737457,0.24921332,0.07563775
-5.75987994,0.62709207,0.00475565,0.00000000,0.00328158,0.06074502,0.00437638,0.35181269,0.24703353,0.07201202
-5.75387694,0.62118652,0.00477159,0.00000000,0.00311464,0.05755439,0.00449202,0.35235210,0.24929344,0.06945643
-5.74787394,0.62683155,0.00488100,0.00000000,0.00299628,0.05542243,0.00469939,0.35947237,0.25649682,0.06804531
-5.74187094,0.64476155,0.00508977,0.00000000,0.00292759,0.05440820,0.00499949,0.37361091,0.26913597,0.06784121
-5.73586793,0.67562089,0.00540295,0.00000000,0.00290895,0.05456379,0.00539245,0.39515271,0.28768322,0.06889391
-5.72986493,0.71994657,0.00582469,0.00000000,0.00294000,0.05593370,0.00587739,0.42441901,0.31258083,0.07123929
-5.72386193,0.77814905,0.00635804,0.00000000,0.00301967,0.05855403,0.00645222,0.46165498,0.34422930,0.07489822
-5.71785893,0.85049135,0.00700480,0.00000000,0.00314625,0.06245139,0.00711354,0.50701654,0.38297402,0.07987537
-5.71185593,0.93706693,0.00776531,0.00000000,0.00331734,0.06764150,0.00785646,0.56055681,0.42909039,0.08615792
-5.70585293,1.03777708,0.00863830,0.00000000,0.00352998,0.07412752,0.00867454,0.62221235,0.48276788,0.09371437
-5.69984992,1.15230871,0.00962070,0.00000000,0.00378062,0.08189813,0.00955969,0.69179011,0.54409331,0.10249336
-5.69384692,1.28011385,0.01070749,0.00000000,0.00406522,0.09092561,0.01050218,0.76895562,0.61303410,0.11242268
-5.68784392,1.42039212,0.01189153,0.00000000,0.00437928,0.10116372,0.01149067,0.85322318,0.68942223,0.12340853
-5.68184092,1.57207767,0.01316352,0.00000000,0.00471792,0.11254591,0.01251228,0.94394905,0.77293980,0.13533524
-5.67583792,1.73383197,0.01451192,0.00000000,0.00507594,0.12498363,0.01355279,1.04032826,0.86310715,0.14806535
-5.66983492,1.90404390,0.01592298,0.00000000,0.00544793,0.13836523,0.01459687,1.14139589,0.95927452,0.16144045
-5.66383192,2.08083822,0.01738085,0.00000000,0.00582830,0.15255532,0.01562832,1.24603347,1.06061808,0.17528260
-5.65782891,2.26209334,0.01886774,0.00000000,0.00621145,0.16739496,0.01663045,1.35298072,1.16614139,0.18939646
-5.65182591,2.44546885,0.02036418,0.00000000,0.00659179,0.18270263,0.01758647,1.46085322,1.27468263,0.20357232
-5.64582291,2.62844291,0.02184934,0.00000000,0.00696389,0.19827618,0.01847987,1.56816551,1.38492835,0.21758973
-5.63981991,2.80835902,0.02330146,0.00000000,0.00732256,0.21389563,0.01929489,1.67335975,1.49543361,0.23122190
-5.63381691,2.98248131,0.02469830,0.00000000,0.00766290,0.22932707,0.02001694,1.77483886,1.60464858,0.24424067
-5.62781391,3.14805681,0.02601771,0.00000000,0.00798045,0.24432729,0.02063300,1.87100371,1.71095089,0.25642195
-5.62181091,3.30238295,0.02723815,0.00000000,0.00827121,0.25864922,0.02113201,1.96029280,1.81268311,0.26755138
-5.61580790,3.44287790,0.02833930,0.00000000,0.00853169,0.27204802,0.02150518,2.04122344,1.90819407,0.27743016
-5.60980490,3.56715139,0.02930264,0.00000000,0.00875903,0.28428748,0.02174629,2.11243268,1.99588269,0.28588072
-5.60380190,3.67307318,0.03011198,0.00000000,0.00895095,0.29514653,0.02185180,2.17271668,2.07424266,0.29275198
-5.59779890,3.75883662,0.03075399,0.00000000,0.00910582,0.30442576,0.02182105,2.22106679,2.14190633,0.29792411
-5.59179590,3.82301463,0.03121862,0.00000000,0.00922268,0.31195337,0.02165616,2.25670110,2.19768585,0.30131255
-5.58579290,3.86460589,0.03149946,0.00000000,0.00930121,0.31759060,0.02136206,2.27908995,2.24061011,0.30287099
-5.57978989,3.88306926,0.03159397,0.00000000,0.00934176,0.32123618,0.02094628,2.28797461,2.26995558,0.30259341
-5.57378689,3.87834496,0.03150363,0.00000000,0.00934530,0.32282972,0.02041872,2.28337817,2.28527003,0.30051492
-5.56778389,3.85086172,0.03123396,0.00000000,0.00931346,0.32235379,0.01979142,2.26560828,2.28638784,0.29671135
-5.56178089,3.80152943,0.03079443,0.00000000,0.00924844,0.31983467,0.01907815,2.23525167,2.27343637,0.29129782
-5.55577789,3.73171778,0.03019820,0.00000000,0.00915307,0.31534171,0.01829410,2.19316056,2.24683312,0.28442598
-5.54977489,3.64322156,0.02946188,0.00000000,0.00903071,0.30898528,0.01745547,2.14043162,2.20727376,0.27628043
-5.54377189,3.53821413,0.02860505,0.00000000,0.00888525,0.30091345,0.01657911,2.07837827,2.15571154,0.26707415
-5.53776888,3.41919073,0.02764978,0.00000000,0.00872110,0.29130749,0.01568209,2.00849726,2.09332903,0.25704321
-5.53176588,3.28890381,0.02662011,0.00000000,0.00854311,0.28037651,0.01478137,1.93243088,2.02150341,0.24644099
-5.52576288,3.15029261,0.02554143,0.00000000,0.00835650,0.26835119,0.01389349,1.85192603,1.94176657,0.23553204
-5.51975988,3.00640946,0.02443987,0.00000000,0.00816684,0.25547720,0.01303421,1.76879144,1.85576179,0.22458581
-5.51375688,2.86034504,0.02334168,0.00000000,0.00797995,0.24200827,0.01221834,1.68485447,1.76519852,0.21387037
-5.50775388,2.71515493,0.02227260,0.00000000,0.00780179,0.22819934,0.01145943,1.60191858,1.67180695,0.20364637
-5.50175088,2.57378943,0.02125731,0.00000000,0.00763838,0.21429994,0.01076964,1.52172278,1.57729387,0.19416132
-5.49574787,2.43902843,0.02031887,0.00000000,0.00749564,0.20054804,0.01015961,1.44590382,1.48330138,0.18564435
-5.48974487,2.31342276,0.01947823,0.00000000,0.00737927,0.18716456,0.00963826,1.37596213,1.39136941,0.17830151
-5.48374187,2.19924332,0.01875384,0.00000000,0.00729463,0.17434867,0.00921281,1.31323198,1.30290324,0.17231172
-5.47773887,2.09843868,0.01816125,0.00000000,0.00724655,0.16227398,0.00888863,1.25885658,1.21914671,0.16782339
-5.47173587,2.01260191,0.01771283,0.00000000,0.00723923,0.15108566,0.00866923,1.21376826,1.14116143,0.16495182
-5.46573287,1.94294684,0.01741761,0.00000000,0.00727604,0.14089859,0.00855623,1.17867408,1.06981246,0.16377729
-5.45972986,1.89029404,0.01728113,0.00000000,0.00735945,0.13179640,0.00854935,1.15404705,1.00576031,0.16434395
-5.45372686,1.85506639,0.01730537,0.00000000,0.00749088,0.12383146,0.00864639,1.14012283,0.94945907,0.16665952
-5.44772386,1.83729409,0.01748881,0.00000000,0.00767063,0.11702577,0.00884332,1.13690205,0.90116038,0.17069574
-5.44172086,1.83662871,0.01782657,0.00000000,0.00789784,0.11137259,0.00913428,1.14415802,0.86092264,0.17638961
-5.43571786,1.85236605,0.01831056,0.00000000,0.00817044,0.10683870,0.00951169,1.16144971,0.82862492,0.18364549
-5.42971486,1.88347686,0.01892975,0.00000000,0.00848519,0.10336736,0.00996635,1.18813967,0.80398483,0.19233790
-5.42371186,1.92864512,0.01967053,0.00000000,0.00883769,0.10088160,0.01048759,1.22341648,0.78657958,0.20231508
-5.41770885,1.98631260,0.02051710,0.00000000,0.00922255,0.09928800,0.01106347,1.26632138,0.77586952,0.21340326
-5.41170585,2.05472885,0.02145190,0.00000000,0.00963342,0.09848057,0.01168102,1.31577818,0.77122321,0.22541154
-5.40570285,2.13200521,0.02245612,0.00000000,0.01006322,0.09834489,0.01232644,1.37062599,0.77194328,0.23813730
-5.39969985,2.21617146,0.02351023,0.00000000,0.01050427,0.09876222,0.01298547,1.42965362,0.77729232,0.25137197
-5.39369685,2.30523330,0.02459450,0.00000000,0.01094852,0.09961349,0.01364368,1.49163464,0.78651782,0.26490701
-5.38769385,2.39722900,0.02568952,0.00000000,0.01138775,0.10078311,0.01428680,1.55536204,0.79887561,0.27853995
-5.38169085,2.49028316,0.02677674,0.00000000,0.01181381,0.10216256,0.01490110,1.61968119,0.81365097,0.29208020
-5.37568784,2.58265575,0.02783894,0.00000000,0.01221878,0.10365348,0.01547370,1.68351982,0.83017681,0.30535446
-5.36968484,2.67278449,0.02886060,0.00000000,0.01259523,0.10517031,0.01599289,1.74591393,0.84784846,0.31821140
-5.36368184,2.75931895,0.02982827,0.00000000,0.01293636,0.10664247,0.01644845,1.80602839,0.86613458,0.33052560
-5.35767884,2.84114486,0.03073081,0.00000000,0.01323617,0.10801576,0.01683185,1.86317150,0.88458401,0.34220019
-5.35167584,2.91739772,0.03155950,0.00000000,0.01348959,0.10925326,0.01713646,1.91680270,0.90282843,0.35316847
