energy_ev,total_up,Au_p_up,Au_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-6.00000000,3.97310193,0.27519560,3.35896215,0.00948427,0.03624239,0.38841903,0.00000000
-5.99399700,3.78822081,0.26380850,3.20862351,0.00908091,0.03533754,0.36702771,0.00000000
-5.98799400,3.60682256,0.25268869,3.06169387,0.00866799,0.03449802,0.34578409,0.00000000
-5.98199100,3.43147218,0.24201392,2.92022595,0.00825202,0.03374105,0.32500347,0.00000000
-5.97598799,3.26440789,0.23194349,2.78598488,0.00783993,0.03308162,0.30497493,0.00000000
-5.96998499,3.10749141,0.22261417,2.66041120,0.00743889,0.03253196,0.28595379,0.00000000
-5.96398199,2.96217636,0.21413722,2.54459895,0.00705619,0.03210113,0.26815576,0.00000000
-5.95797899,2.82949487,0.20659665,2.43928907,0.00669910,0.03179477,0.25175314,0.00000000
-5.95197599,2.71006183,0.20004871,2.34487715,0.00637472,0.03161500,0.23687293,0.00000000
-5.94597299,2.60409514,0.19452260,2.26143422,0.00608983,0.03156055,0.22359677,0.00000000
-5.93996998,2.51144982,0.19002212,2.18873871,0.00585073,0.03162697,0.21196262,0.00000000
-5.93396698,2.43166320,0.18652831,2.12631696,0.00566311,0.03180708,0.20196788,0.00000000
-5.92796398,2.36400811,0.18400266,2.07348986,0.00553186,0.03209147,0.19357361,0.00000000
-5.92196098,2.30755077,0.18239084,2.02942266,0.00546100,0.03246912,0.18670973,0.00000000
-5.91595798,2.26121016,0.18162665,1.99317536,0.00545354,0.03292803,0.18128059,0.00000000
-5.90995498,2.22381575,0.18163597,1.96375099,0.00551131,0.03345595,0.17717089,0.00000000
-5.90395198,2.19416092,0.18234047,1.94013953,0.00563497,0.03404102,0.17425143,0.00000000
-5.89794897,2.17104981,0.18366097,1.92135579,0.00582387,0.03467233,0.17238459,0.00000000
-5.89194597,2.15333589,0.18552026,1.90646970,0.00607605,0.03534042,0.17142929,0.00000000
-5.88594297,2.13995124,0.18784525,1.89462843,0.00638822,0.03603765,0.17124527,0.00000000
-5.87993997,2.12992609,0.19056847,1.88507001,0.00675576,0.03675840,0.17169654,0.00000000
-5.87393697,2.12239894,0.19362880,1.87712876,0.00717284,0.03749910,0.17265414,0.00000000
-5.86793397,2.11661789,0.19697155,1.87023341,0.00763242,0.03825814,0.17399800,0.00000000
-5.86193097,2.11193465,0.20054795,1.86389907,0.00812647,0.03903555,0.17561811,0.00000000
-5.85592796,2.10779263,0.20431408,1.85771459,0.00864608,0.03983262,0.17741499,0.00000000
-5.84992496,2.10371120,0.20822948,1.85132697,0.00918168,0.04065132,0.17929964,0.00000000
-5.84392196,2.09926787,0.21225552,1.84442458,0.00972323,0.04149371,0.18119311,0.00000000
-5.83791896,2.09408051,0.21635372,1.83672094,0.01026053,0.04236130,0.18302566,0.00000000
-5.83191596,2.08779111,0.22048413,1.82794048,0.01078341,0.04325436,0.18473597,0.00000000
-5.82591296,2.08005279,0.22460400,1.81780758,0.01128203,0.04417132,0.18627010,0.00000000
-5.81990995,2.07052090,0.22866674,1.80603971,0.01174719,0.04510827,0.18758074,0.00000000
-5.81390695,2.05884912,0.23262144,1.79234528,0.01217052,0.04605856,0.18862646,0.00000000
-5.80790395,2.04469064,0.23641287,1.77642617,0.01254474,0.04701256,0.18937128,0.00000000
-5.80190095,2.02770426,0.23998201,1.75798477,0.01286393,0.04795760,0.18978445,0.00000000
-5.79589795,2.00756488,0.24326718,1.73673481,0.01312361,0.04887814,0.18984050,0.00000000
-5.78989495,1.98397743,0.24620572,1.71241510,0.01332095,0.04975605,0.18951953,0.00000000
-5.78389195,1.95669307,0.24873604,1.68480503,0.01345482,0.05057118,0.18880775,0.00000000
-5.77788894,1.92552641,0.25080004,1.65374064,0.01352586,0.05130201,0.18769807,0.00000000
-5.77188594,1.89037232,0.25234577,1.61912997,0.01353641,0.05192642,0.18619090,0.00000000
-5.76588294,1.85122107,0.25333005,1.58096649,0.01349050,0.05242265,0.18429487,0.00000000
-5.75987994,1.80817062,0.25372112,1.53933967,0.01339371,0.05277021,0.18202754,0.00000000
-5.75387694,1.76143501,0.25350092,1.49444163,0.01325297,0.05295083,0.17941593,0.00000000
-5.74787394,1.71134816,0.25266701,1.44656955,0.01307643,0.05294933,0.17649684,0.00000000
-5.74187094,1.65836259,0.25123390,1.39612339,0.01287315,0.05275443,0.17331696,0.00000000
-5.73586793,1.60304298,0.24923379,1.34359886,0.01265285,0.05235939,0.16993258,0.00000000
-5.72986493,1.54605464,0.24671643,1.28957601,0.01242566,0.05176251,0.16640902,0.00000000
-5.72386193,1.48814734,0.24374835,1.23470385,0.01220176,0.05096734,0.16281967,0.00000000
-5.71785893,1.43013512,0.24041116,1.17968162,0.01199110,0.04998282,0.15924466,0.00000000
-5.71185593,1.37287302,0.23679918,1.12523776,0.01180310,0.04882301,0.15576928,0.00000000
-5.70585293,1.31723158,0.23301636,1.07210731,0.01164636,0.04750681,0.15248202,0.00000000
-5.69984992,1.26407029,0.22917268,1.02100879,0.01152841,0.04605732,0.14947242,0.00000000
-5.69384692,1.21421109,0.22538016,0.97262164,0.01145546,0.04450115,0.14682880,0.00000000
-5.68784392,1.16841290,0.22174869,0.92756508,0.01143222,0.04286749,0.14463586,0.00000000
-5.68184092,1.12734837,0.21838188,0.88637915,0.01146174,0.04118724,0.14297237,0.00000000
-5.67583792,1.09158365,0.21537319,0.84950889,0.01154535,0.03949199,0.14190889,0.00000000
-5.66983492,1.06156195,0.21280243,0.81729207,0.01168264,0.03781306,0.14150579,0.00000000
-5.66383192,1.03759166,0.21073301,0.78995090,0.01187147,0.03618057,0.14181147,0.00000000
-5.65782891,1.01983928,0.20920999,0.76758816,0.01210809,0.03462268,0.14286109,0.00000000
-5.65182591,1.00832754,0.20825900,0.75018758,0.01238734,0.03316487,0.14467556,0.00000000
-5.64582291,1.00293871,0.20788634,0.73761865,0.01270284,0.03182950,0.14726119,0.00000000
