energy_ev,total_up,Al_p_up,Al_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,6.98299647,0.77380753,0.00000000,3.76272095,4.05298804,1.72943232,0.00000000
-5.99399700,7.24806175,0.81128078,0.00000000,3.90753886,4.21220550,1.78549594,0.00000000
-5.98799400,7.48858405,0.84654577,0.00000000,4.03605592,4.35799401,1.83483038,0.00000000
-5.98199100,7.69947981,0.87871529,0.00000000,4.14572950,4.48737912,1.87633605,0.00000000
-5.97598799,7.87618136,0.90697073,0.00000000,4.23434628,4.59766296,1.90904318,0.00000000
-5.96998499,8.01477742,0.93058567,0.00000000,4.30009149,4.68650725,1.93214279,0.00000000
-5.96398199,8.11213829,0.94894719,0.00000000,4.34160785,4.75200843,1.94501420,0.00000000
-5.95797899,8.16602034,0.96157407,0.00000000,4.35804163,4.79276138,1.94724775,0.00000000
-5.95197599,8.17514474,0.96813111,0.00000000,4.34907373,4.80790873,1.93866164,0.00000000
-5.94597299,8.13924682,0.96843894,0.00000000,4.31493425,4.79717354,1.91931199,0.00000000
-5.93996998,8.05909326,0.96247898,0.00000000,4.25640000,4.76087343,1.88949553,0.00000000
-5.93396698,7.93646617,0.95039323,0.00000000,4.17477465,4.69991548,1.84974464,0.00000000
-5.92796398,7.77411444,0.93247895,0.00000000,4.07185264,4.61577190,1.80081476,0.00000000
-5.92196098,7.57567432,0.90917859,0.00000000,3.94986825,4.51043752,1.74366480,0.00000000
-5.91595798,7.34556274,0.88106529,0.00000000,3.81143201,4.38637087,1.67943121,0.00000000
-5.90995498,7.08884802,0.84882482,0.00000000,3.65945727,4.24642161,1.60939684,0.00000000
-5.90395198,6.81110362,0.81323460,0.00000000,3.49707986,4.09374743,1.53495591,0.00000000
-5.89794897,6.51825108,0.77514090,0.00000000,3.32757426,3.93172397,1.45757660,0.00000000
-5.89194597,6.21639874,0.73543505,0.00000000,3.15426934,3.76385173,1.37876263,0.00000000
-5.88594297,5.91168245,0.69502975,0.00000000,2.98046682,3.59366343,1.30001548,0.00000000
-5.87993997,5.61011416,0.65483619,0.00000000,2.80936510,3.42463547,1.22279847,0.00000000
-5.87393697,5.31744330,0.61574293,0.00000000,2.64399073,3.26010647,1.14850394,0.00000000
-5.86793397,5.03903499,0.57859700,0.00000000,2.48713907,3.10320514,1.07842438,0.00000000
-5.86193097,4.77976786,0.54418780,0.00000000,2.34132535,2.95678944,1.01372827,0.00000000
-5.85592796,4.54395296,0.51323387,0.00000000,2.20874651,2.82339785,0.95544082,0.00000000
-5.84992496,4.33527414,0.48637278,0.00000000,2.09125369,2.70521308,0.90442982,0.00000000
-5.84392196,4.15674921,0.46415390,0.00000000,1.99033492,2.60403792,0.86139635,0.00000000
-5.83791896,4.01071012,0.44703392,0.00000000,1.90710696,2.52128217,0.82687002,0.00000000
-5.83191596,3.89880002,0.43537471,0.00000000,1.84231516,2.45795957,0.80120816,0.00000000
