energy_ev,total_up,Ge_p_up,Ge_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,7.98705090,0.31660628,0.00000000,2.28599917,3.64747236,0.03849624,4.70920166
-5.99399700,7.90439230,0.31708830,0.00000000,2.27202313,3.60604635,0.03749302,4.66436013
-5.98799400,7.81772195,0.31747818,0.00000000,2.25720849,3.56158367,0.03654588,4.61662806
-5.98199100,7.72892585,0.31776900,0.00000000,2.24208427,3.51495436,0.03566445,4.56722608
-5.97598799,7.63982018,0.31794492,0.00000000,2.22716138,3.46701696,0.03485722,4.51734542
-5.96998499,7.55210574,0.31798178,0.00000000,2.21292086,3.41859666,0.03413143,4.46811725
-5.96398199,7.46732554,0.31784812,0.00000000,2.19980255,3.37046473,0.03349301,4.42058364
-5.95797899,7.38682642,0.31750648,0.00000000,2.18819433,3.32331951,0.03294645,4.37567059
-5.95197599,7.31172543,0.31691500,0.00000000,2.17842214,3.27776951,0.03249484,4.33416377
-5.94597299,7.24288175,0.31602925,0.00000000,2.17074083,3.23431896,0.03213982,4.29668744
-5.93996998,7.18087479,0.31480413,0.00000000,2.16532616,3.19335609,0.03188163,4.26368715
-5.93396698,7.12598925,0.31319592,0.00000000,2.16226813,3.15514454,0.03171912,4.23541674
-5.92796398,7.07820760,0.31116421,0.00000000,2.16156596,3.11981807,0.03164994,4.21193015
-5.92196098,7.03721065,0.30867384,0.00000000,2.16312514,3.08737889,0.03167054,4.19307842
-5.91595798,7.00238665,0.30569665,0.00000000,2.16675667,3.05769978,0.03177644,4.17851257
-5.90995498,6.97284903,0.30221299,0.00000000,2.17217903,3.03053010,0.03196233,4.16769224
-5.90395198,6.94746306,0.29821304,0.00000000,2.17902291,3.00550575,0.03222232,4.15990061
-5.89794897,6.92488098,0.29369776,0.00000000,2.18683903,2.98216298,0.03255013,4.15426524
-5.89194597,6.90358500,0.28867955,0.00000000,2.19510895,2.95995584,0.03293929,4.14978476
-5.88594297,6.88193743,0.28318254,0.00000000,2.20325878,2.93827682,0.03338342,4.14536066
-5.87993997,6.85823631,0.27724251,0.00000000,2.21067558,2.91648027,0.03387634,4.13983353
-5.87393697,6.83077510,0.27090645,0.00000000,2.21672599,2.89390773,0.03441231,4.13202245
-5.86793397,6.79790422,0.26423174,0.00000000,2.22077643,2.86991443,0.03498607,4.12076652
-5.86193097,6.75809241,0.25728505,0.00000000,2.22221428,2.84389605,0.03559300,4.10496674
-5.85592796,6.70998537,0.25014085,0.00000000,2.22046917,2.81531447,0.03622907,4.08362690
