energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,2.93302291,-4.47908843,0.02738669,-0.03418153,0.51489773,-0.86421837,2.16886029,-4.81287837,0.62822874,-0.53772012,1.18147193,-1.88460637,0.00000000,-0.00000000,0.43764325,-0.71918099,0.15706904,-0.23038234
-5.99399700,2.89949984,-4.53516606,0.02728208,-0.03544281,0.50504141,-0.87705399,2.16466271,-4.83681132,0.61676376,-0.55352889,1.17901402,-1.90437343,0.00000000,-0.00000000,0.44228556,-0.72248524,0.15391509,-0.23456277
-5.98799400,2.88749636,-4.58104230,0.02752974,-0.03670053,0.49918820,-0.88774463,2.18346299,-4.84277670,0.60987863,-0.56874852,1.18514128,-1.92022397,0.00000000,-0.00000000,0.45116258,-0.72397720,0.15130104,-0.23830817
-5.98199100,2.89687450,-4.61675328,0.02813682,-0.03796483,0.49733888,-0.89628998,2.22453147,-4.83078039,0.60769308,-0.58338311,1.19973088,-1.93218614,0.00000000,-0.00000000,0.46421590,-0.72365519,0.14922450,-0.24163880
-5.97598799,2.92714969,-4.64270180,0.02910358,-0.03924658,0.49942757,-0.90275319,2.28679971,-4.80131948,0.61024208,-0.59746294,1.22252494,-1.94045379,0.00000000,-0.00000000,0.48132572,-0.72159896,0.14767443,-0.24458940
-5.96998499,2.97748997,-4.65962683,0.03042330,-0.04055657,0.50532233,-0.90725458,2.36886957,-4.75537039,0.61747487,-0.61103757,1.25312853,-1.94537486,0.00000000,-0.00000000,0.50231030,-0.71796545,0.14663081,-0.24720698
-5.96398199,3.04671947,-4.66855628,0.03208240,-0.04190470,0.51482659,-0.90996255,2.46902640,-4.69435699,0.62925524,-0.62416766,1.29100951,-1.94743207,0.00000000,-0.00000000,0.52692631,-0.71298120,0.14606432,-0.24954792
-5.95797899,3.13332790,-4.67074608,0.03406067,-0.04329911,0.52768154,-0.91108222,2.58525765,-4.62010076,0.64536330,-0.63691584,1.33550114,-1.94721719,0.00000000,-0.00000000,0.55487050,-0.70693193,0.14593620,-0.25167446
-5.95197599,3.23548731,-4.66760930,0.03633166,-0.04474540,0.54356966,-0.91084256,2.71527818,-4.53475602,0.66549887,-0.64933734,1.38580813,-1.94540034,0.00000000,-0.00000000,0.58578282,-0.70014978,0.14619825,-0.25365085
-5.94597299,3.35107758,-4.66063961,0.03886324,-0.04624594,0.56211948,-0.90948292,2.85656305,-4.44073386,0.68928664,-0.66147102,1.44101685,-1.94269613,0.00000000,-0.00000000,0.61925149,-0.69299908,0.14679329,-0.25553929
-5.93996998,3.47772145,-4.65133368,0.04161830,-0.04779927,0.58291183,-0.90723964,3.00638849,-4.34061886,0.71628319,-0.67333134,1.50011016,-1.93982854,0.00000000,-0.00000000,0.65481994,-0.68586126,0.14765591,-0.25739608
-5.93396698,3.61282939,-4.64111695,0.04455556,-0.04939976,0.60548737,-0.90433392,3.16188096,-4.23708295,0.74598592,-0.68490197,1.56198707,-1.93749650,0.00000000,-0.00000000,0.69199581,-0.67911961,0.14871373,-0.25926801
-5.92796398,3.75365410,-4.63127700,0.04763059,-0.05103738,0.62935560,-0.90096126,3.32007394,-4.13280061,0.77784374,-0.69613140,1.62548701,-1.93634197,0.00000000,-0.00000000,0.73026175,-0.67314484,0.14988906,-0.26118937
-5.92196098,3.89735356,-4.62290790,0.05079685,-0.05269781,0.65400499,-0.89728347,3.47797115,-4.03036920,0.81126939,-0.70693101,1.68941832,-1.93692199,0.00000000,-0.00000000,0.76908797,-0.66828179,0.15110107,-0.26317973
-5.91595798,4.04106103,-4.61686830,0.05400682,-0.05436265,0.67891407,-0.89342342,3.63261466,-3.93223754,0.84565297,-0.71717570,1.75259007,-1.93968618,0.00000000,-0.00000000,0.80794591,-0.66483790,0.15226831,-0.26524248
-5.90995498,4.18195960,-4.61375476,0.05721325,-0.05600990,0.70356327,-0.88946278,3.78115541,-3.84064530,0.88037643,-0.72670712,1.81384608,-1.94496039,0.00000000,-0.00000000,0.84632274,-0.66307393,0.15331154,-0.26736448
-5.90395198,4.31735840,-4.61389102,0.06037028,-0.05761472,0.72744681,-0.88544277,3.92092378,-3.75757450,0.91482832,-0.73533937,1.87209986,-1.95293701,0.00000000,-0.00000000,0.88373586,-0.66319698,0.15415672,-0.26951648
-5.89794897,4.44476741,-4.61733257,0.06343463,-0.05915020,0.75008457,-0.88136766,4.04949712,-3.68471397,0.94841838,-0.74286678,1.92636864,-1.96367202,0.00000000,-0.00000000,0.91974692,-0.66535605,0.15473811,-0.27165459
-5.89194597,4.56196728,-4.62388517,0.06636668,-0.06058833,0.77103318,-0.87721047,4.16476141,-3.62343637,0.98059141,-0.74907331,1.97580514,-1.97708840,0.00000000,-0.00000000,0.95397445,-0.66964005,0.15500112,-0.27372248
-5.88594297,4.66707108,-4.63313493,0.06913134,-0.06190109,0.78989603,-0.87292047,4.26496422,-3.57478692,1.01083966,-0.75374304,2.01972521,-1.99298523,0.00000000,-0.00000000,0.98610466,-0.67607803,0.15490506,-0.27565423
-5.87993997,4.75857479,-4.64448724,0.07169890,-0.06306147,0.80633180,-0.86843159,4.34875647,-3.53948224,1.03871351,-0.75667100,2.05763006,-2.01105148,0.00000000,-0.00000000,1.01589963,-0.68464159,0.15442526,-0.27737761
-5.87393697,4.83539414,-4.65721113,0.07404556,-0.06404450,0.82006104,-0.86367113,4.41522097,-3.51791751,1.06382978,-0.75767368,2.08922166,-2.03088351,0.00000000,-0.00000000,1.04320252,-0.69524886,0.15355481,-0.27881769
-5.86793397,4.89688588,-4.67048601,0.07615383,-0.06482825,0.83087081,-0.85856799,4.46388646,-3.51017970,1.08587757,-0.75659873,2.11441045,-2.05200486,0.00000000,-0.00000000,1.06793943,-0.70777000,0.15230546,-0.27990039
-5.86193097,4.94285242,-4.68344755,0.07801265,-0.06539459,0.83861696,-0.85305978,4.49472623,-3.51606515,1.10462131,-0.75333295,2.13331493,-2.07388739,0.00000000,-0.00000000,1.09011779,-0.72203365,0.15070788,-0.28055592
-5.85592796,4.97352974,-4.69523002,0.07961729,-0.06572992,0.84322420,-0.84709830,4.50814171,-3.53509950,1.11990115,-0.74780849,2.14625283,-2.09597251,0.00000000,-0.00000000,1.10982131,-0.73783410,0.14881102,-0.28072191
-5.84992496,4.98955907,-4.70500309,0.08096910,-0.06582570,0.84468410,-0.84065301,4.50493159,-3.56655876,1.13163081,-0.74000662,2.15372426,-2.11769166,0.00000000,-0.00000000,1.12720175,-0.75493885,0.14668074,-0.28034604
-5.84392196,4.99194405,-4.71200150,0.08207492,-0.06567869,0.84305100,-0.83371238,4.48624801,-3.60949055,1.13979306,-0.72995916,2.15638763,-2.13848525,0.00000000,-0.00000000,1.14246786,-0.77309628,0.14439765,-0.27938805
-5.83791896,4.98199534,-4.71554706,0.08294649,-0.06529117,0.83843634,-0.82628303,4.45354199,-3.66273506,1.14443339,-0.71774738,2.15502937,-2.15781963,0.00000000,-0.00000000,1.15587211,-0.79204323,0.14205426,-0.27782123
-5.83191596,4.96126569,-4.71506296,0.08359959,-0.06467084,0.83100160,-0.81838705,4.40850051,-3.72494596,1.14565220,-0.70349873,2.15052882,-2.17520174,0.00000000,-0.00000000,1.16769583,-0.81151235,0.13975152,-0.27563321
-5.82591296,4.93147827,-4.71008099,0.08405314,-0.06383061,0.82095030,-0.81005767,4.35297807,-3.79461162,1.14359611,-0.68738157,2.14381995,-2.19019142,0.00000000,-0.00000000,1.17823356,-0.83123905,0.13759504,-0.27282614
-5.81990995,4.89445194,-4.70024306,0.08432827,-0.06278829,0.80851938,-0.80133401,4.28892567,-3.87007749,1.13844879,-0.66959842,2.13585157,-2.20241138,0.00000000,-0.00000000,1.18777727,-0.85096797,0.13569085,-0.26941641
-5.81390695,4.85202644,-4.68529828,0.08444733,-0.06156608,0.79397042,-0.79225526,4.21832009,-3.94957049,1.13042186,-0.65037816,2.12754785,-2.21155502,0.00000000,-0.00000000,1.19660131,-0.87045899,0.13414123,-0.26543391
-5.80790395,4.80599075,-4.66509739,0.08443292,-0.06019008,0.77758098,-0.78285511,4.14309624,-4.03122635,1.11974627,-0.62996789,2.11977062,-2.21739249,0.00000000,-0.00000000,1.20494869,-0.88949255,0.13304044,-0.26092089
-5.80190095,4.75801734,-4.63958624,0.08430706,-0.05868966,0.75963629,-0.77315685,4.06508484,-4.11312062,1.10666439,-0.60862469,2.11328522,-2.21977496,0.00000000,-0.00000000,1.21301931,-0.90787436,0.13247083,-0.25593067
-5.79589795,4.70960453,-4.60879957,0.08409033,-0.05709685,0.74042168,-0.76316973,3.98595768,-4.19330372,1.09142313,-0.58660812,2.10873092,-2.21863752,0.00000000,-0.00000000,1.22096054,-0.92543936,0.13249916,-0.25052625
-5.78989495,4.66202881,-4.57285628,0.08380120,-0.05544573,0.72021576,-0.75288695,3.90718185,-4.26983995,1.07426817,-0.56417356,2.10659701,-2.21400077,0.00000000,-0.00000000,1.22886057,-0.94205483,0.13317363,-0.24477873
-5.78389195,4.61630818,-4.53195686,0.08345547,-0.05377181,0.69928447,-0.74228559,3.82998412,-4.34085008,1.05543926,-0.54156700,2.10720544,-2.20597110,0.00000000,-0.00000000,1.23674448,-0.95762267,0.13452140,-0.23876596
-5.77788894,4.57317727,-4.48638306,0.08306579,-0.05211143,0.67787616,-0.73132835,3.75532613,-4.40455642,1.03516662,-0.51902118,2.11070008,-2.19473959,0.00000000,-0.00000000,1.24457337,-0.97208052,0.13654690,-0.23257103
-5.77188594,4.53307423,-4.43649962,0.08264141,-0.05050121,0.65621760,-0.71996735,3.68389051,-4.45932891,1.01366828,-0.49675336,2.11704304,-2.18057943,0.00000000,-0.00000000,1.25224604,-0.98540191,0.13923097,-0.22628099
-5.76588294,4.49613916,-4.38275720,0.08218794,-0.04897756,0.63451090,-0.70814943,3.61607776,-4.50373042,0.99114819,-0.47496463,2.12601778,-2.16384162,0.00000000,-0.00000000,1.25960338,-0.99759518,0.14253077,-0.21998555
