energy_ev,total_up,C_s_up,C_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,3.31414215,0.00635810,1.02078196,2.07226748,1.26048209,0.03446609,0.60477721
-5.99399700,3.33219037,0.00573533,1.02574223,2.08336300,1.27386739,0.03396822,0.61112516
-5.98799400,3.35248730,0.00514839,1.02882058,2.09419254,1.28621146,0.03351741,0.62103959
-5.98199100,3.37492439,0.00460225,1.02999913,2.10479233,1.29736743,0.03312166,0.63449016
-5.97598799,3.39937472,0.00410077,1.02931162,2.11523083,1.30723206,0.03278564,0.65137394
-5.96998499,3.42569526,0.00364673,1.02684050,2.12560954,1.31574473,0.03251067,0.67151920
-5.96398199,3.45372762,0.00324198,1.02271211,2.13606100,1.32288456,0.03229485,0.69469065
-5.95797899,3.48329716,0.00288748,1.01709016,2.14674404,1.32866576,0.03213335,0.72059599
-5.95197599,3.51421060,0.00258350,1.01016759,2.15783653,1.33313166,0.03201876,0.74889349
-5.94597299,3.54625247,0.00232971,1.00215745,2.16952583,1.33634753,0.03194149,0.77920040
-5.93996998,3.57918085,0.00212532,0.99328304,2.18199751,1.33839276,0.03189033,0.81110201
-5.93396698,3.61272271,0.00196924,0.98376777,2.19542305,1.33935271,0.03185293,0.84416097
-5.92796398,3.64656955,0.00186012,0.97382535,2.20994705,1.33931066,0.03181642,0.87792669
-5.92196098,3.68037376,0.00179653,0.96365053,2.22567493,1.33834042,0.03176792,0.91194463
-5.91595798,3.71374621,0.00177695,0.95341114,2.24266165,1.33649977,0.03169507,0.94576503
-5.90995498,3.74625558,0.00179987,0.94324138,2.26090232,1.33382516,0.03158649,0.97895115
-5.90395198,3.77742954,0.00186380,0.93323707,2.28032512,1.33032799,0.03143221,1.01108660
-5.89794897,3.80675827,0.00196726,0.92345265,2.30078709,1.32599248,0.03122396,1.04178181
-5.89194597,3.83370023,0.00210877,0.91390033,2.32207305,1.32077529,0.03095541,1.07067937
-5.88594297,3.85769019,0.00228679,0.90455116,2.34389779,1.31460694,0.03062230,1.09745837
-5.87993997,3.87814937,0.00249970,0.89533809,2.36591149,1.30739478,0.03022248,1.12183757
-5.87393697,3.89449750,0.00274571,0.88616066,2.38770808,1.29902747,0.02975587,1.14357762
-5.86793397,3.90616627,0.00302280,0.87689119,2.40883631,1.28938072,0.02922434,1.16248218
-5.86193097,3.91261385,0.00332867,0.86738201,2.42881296,1.27832390,0.02863149,1.17839829
-5.85592796,3.91333997,0.00366065,0.85747353,2.44713768,1.26572728,0.02798244,1.19121592
-5.84992496,3.90790099,0.00401567,0.84700262,2.46330872,1.25146964,0.02728350,1.20086693
-5.84392196,3.89592447,0.00439022,0.83581095,2.47683908,1.23544566,0.02654193,1.20732361
-5.83791896,3.87712261,0.00478039,0.82375298,2.48727230,1.21757308,0.02576559,1.21059683
-5.83191596,3.85130429,0.00518181,0.81070318,2.49419736,1.19779906,0.02496266,1.21073405
-5.82591296,3.81838508,0.00558976,0.79656228,2.49726225,1.17610563,0.02414138,1.20781718
-5.81990995,3.77839504,0.00599924,0.78126227,2.49618576,1.15251404,0.02330981,1.20196050
-5.81390695,3.73148401,0.00640502,0.76476999,2.49076715,1.12708772,0.02247559,1.19330866
-5.80790395,3.67792426,0.00680184,0.74708927,2.48089371,1.09993394,0.02164588,1.18203469
-5.80190095,3.61811055,0.00718451,0.72826156,2.46654597,1.07120401,0.02082716,1.16833835
-5.79589795,3.55255751,0.00754812,0.70836518,2.44780076,1.04109210,0.02002520,1.15244442
-5.78989495,3.48189468,0.00788818,0.68751320,2.42483212,1.00983282,0.01924506,1.13460130
-5.78389195,3.40685928,0.00820080,0.66585019,2.39791041,0.97769756,0.01849105,1.11507954
-5.77788894,3.32828699,0.00848289,0.64354808,2.36739971,0.94498993,0.01776682,1.09417056
-5.77188594,3.24710109,0.00873229,0.62080124,2.33375374,0.91204030,0.01707540,1.07218516
-5.76588294,3.16430013,0.00894791,0.59782110,2.29751055,0.87919985,0.01641927,1.04945202
-5.75987994,3.08094444,0.00912982,0.57483060,2.25928613,0.84683412,0.01580043,1.02631581
-5.75387694,2.99814158,0.00927930,0.55205856,2.21976690,0.81531649,0.01522054,1.00313510
-5.74787394,2.91703106,0.00939889,0.52973417,2.17970127,0.78502155,0.01468094,0.98027961
-5.74187094,2.83876831,0.00949229,0.50808195,2.13989018,0.75631872,0.01418274,0.95812697
-5.73586793,2.76450802,0.00956435,0.48731701,2.10117652,0.72956611,0.01372685,0.93705882
-5.72986493,2.69538700,0.00962088,0.46764093,2.06443348,0.70510486,0.01331406,0.91745613
-5.72386193,2.63250669,0.00966849,0.44923820,2.03055162,0.68325396,0.01294502,0.89969382
-5.71785893,2.57691533,0.00971441,0.43227323,2.00042482,0.66430568,0.01262022,0.88413467
-5.71185593,2.52959022,0.00976619,0.41688803,1.97493504,0.64852169,0.01234001,0.87112268
-5.70585293,2.49142016,0.00983149,0.40320039,1.95493618,0.63612983,0.01210456,0.86097590
-5.69984992,2.46318872,0.00991778,0.39130268,1.94123711,0.62732169,0.01191375,0.85397917
-5.69384692,2.44555845,0.01003208,0.38126111,1.93458450,0.62225089,0.01176721,0.85037683
-5.68784392,2.43905698,0.01018071,0.37311559,1.93564566,0.62103218,0.01166420,0.85036585
-5.68184092,2.44406515,0.01036905,0.36687995,1.94499204,0.62374125,0.01160359,0.85408959
-5.67583792,2.46080801,0.01060136,0.36254269,1.96308393,0.63041529,0.01158382,0.86163267
