energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Na_s_up,Na_s_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,5.39946781,-3.09782711,0.02662141,-0.01241015,0.83940899,-0.51504189,1.63925016,-0.98038290,1.18365023,-0.40728048,0.33067539,-0.05257276,0.09553101,-0.05054597,1.70270064,-1.14576869
-5.99399700,5.15144003,-3.38884789,0.02631613,-0.01357662,0.80365508,-0.56328593,1.57450336,-1.07226670,1.13850818,-0.44559964,0.32274324,-0.05792766,0.09142606,-0.05530482,1.61910620,-1.25368946
-5.98799400,4.90742949,-3.68288537,0.02610723,-0.01475294,0.76926567,-0.61196197,1.51297801,-1.16476549,1.09364560,-0.48439665,0.31329882,-0.06373489,0.08748134,-0.06010904,1.53612491,-1.36279360
-5.98199100,4.67087754,-3.97604591,0.02600476,-0.01592342,0.73675102,-0.66041536,1.45559389,-1.25662760,1.04977768,-0.52317152,0.30252792,-0.06997866,0.08375983,-0.06489389,1.45487970,-1.47164771
-5.97598799,4.44475581,-4.26421150,0.02601512,-0.01707141,0.70653268,-0.70795385,1.40308653,-1.34652917,1.00753659,-0.56139648,0.29063313,-0.07664508,0.08031453,-0.06959073,1.37635734,-1.57873501
-5.96998499,4.23152450,-4.54314759,0.02614089,-0.01817986,0.67893827,-0.75386563,1.35599877,-1.43310892,0.96746053,-0.59853003,0.27782763,-0.08372325,0.07718771,-0.07412884,1.30139434,-1.68249506
-5.96398199,4.03310847,-4.80862285,0.02638092,-0.01923172,0.65419935,-0.79743952,1.31467861,-1.51500687,0.92998605,-0.63403254,0.26432891,-0.09120619,0.07441044,-0.07843737,1.23066823,-1.78136779
-5.95797899,3.85089044,-5.05653618,0.02673040,-0.02021050,0.63245226,-0.83798632,1.27928293,-1.59090544,0.89544388,-0.66738269,0.25035267,-0.09909161,0.07200254,-0.08244745,1.16469410,-1.87384027
-5.95197599,3.68572013,-5.28304575,0.02718113,-0.02110082,0.61374161,-0.87486063,1.24978642,-1.65957140,0.86405795,-0.69809412,0.23610713,-0.10738235,0.06997276,-0.08609443,1.10382594,-1.95849418
-5.94597299,3.53793770,-5.48469425,0.02772180,-0.02188892,0.59802611,-0.90748203,1.22599507,-1.71989669,0.83594761,-0.72573152,0.22178799,-0.11608633,0.06831928,-0.08931989,1.04826252,-2.03405186
-5.93996998,3.40740962,-5.65852438,0.02833845,-0.02256315,0.58518634,-0.93535468,1.20756352,-1.77093628,0.81113264,-0.74992529,0.20757423,-0.12521614,0.06703048,-0.09207370,0.99805701,-2.09941869
-5.93396698,3.29357485,-5.80217901,0.02901485,-0.02311442,0.57503404,-0.95808448,1.19401540,-1.81194130,0.78954080,-0.77038425,0.19362483,-0.13478796,0.06608583,-0.09431573,0.95312994,-2.15371982
-5.92796398,3.19549907,-5.91398083,0.02973303,-0.02353654,0.56732263,-0.97539279,1.18476589,-1.84238571,0.77101749,-0.78690546,0.18007647,-0.14481996,0.06545705,-0.09601723,0.91328475,-2.19632927
-5.92196098,3.11193490,-5.99298736,0.03047380,-0.02382646,0.56175837,-0.98712607,1.17914571,-1.86198528,0.75533718,-0.79938086,0.16704230,-0.15533016,0.06510934,-0.09716186,0.87822528,-2.22688992
-5.91595798,3.04138594,-6.03901830,0.03121728,-0.02398445,0.55801209,-0.99326098,1.17642591,-1.87070775,0.74221609,-0.80780019,0.15461167,-0.16633371,0.06500267,-0.09774625,0.84757447,-2.24532319
-5.90995498,2.98217257,-6.05265362,0.03194344,-0.02401414,0.55573082,-0.99390457,1.17584259,-1.86877374,0.73132587,-0.81225011,0.14285082,-0.17783977,0.06509320,-0.09778003,0.82089388,-2.25182802
