energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,3.18778426,-1.68505280,2.67096314,-1.76442342,0.98964242,-0.42465208,0.45436551,-0.31541619,0.00000000,-0.00000000,0.01344508,-0.00114854,0.97176630,-0.45547953,0.05230105,-0.00610431,0.81110896,-0.60131217
-5.99399700,3.25209020,-1.61855952,2.68948098,-1.68217750,0.99900770,-0.40945425,0.46515361,-0.30647233,0.00000000,-0.00000000,0.01411237,-0.00125775,0.97952823,-0.43745752,0.05568465,-0.00622488,0.84378520,-0.57624287
-5.98799400,3.30755729,-1.55842135,2.69799978,-1.60835558,1.00602216,-0.39495814,0.47420758,-0.29923048,0.00000000,-0.00000000,0.01476539,-0.00139755,0.98418460,-0.42067695,0.05900837,-0.00645781,0.87492486,-0.55389167
-5.98199100,3.35291054,-1.50627473,2.69578687,-1.54444257,1.01037495,-0.38168319,0.48132962,-0.29386242,0.00000000,-0.00000000,0.01540175,-0.00157141,0.98547380,-0.40572751,0.06223503,-0.00681606,0.90400937,-0.53465870
-5.97598799,3.38699159,-1.46360801,2.68229505,-1.49169524,1.01176913,-0.37013033,0.48636274,-0.29049557,0.00000000,-0.00000000,0.01601924,-0.00178303,0.98316732,-0.39317500,0.06532638,-0.00731288,0.93054752,-0.51887225
-5.96998499,3.40879667,-1.43173080,2.65718686,-1.45112126,1.00993553,-0.36076995,0.48919383,-0.28920990,0.00000000,-0.00000000,0.01661579,-0.00203626,0.97708198,-0.38354873,0.06824372,-0.00796161,0.95408588,-0.50678381
-5.96398199,3.41751053,-1.41174832,2.62035217,-1.42346457,1.00464614,-0.35403064,0.48975518,-0.29003624,0.00000000,-0.00000000,0.01718934,-0.00233502,0.96709117,-0.37732961,0.07094860,-0.00877537,0.97421817,-0.49856569
-5.95797899,3.41253493,-1.40454081,2.57191822,-1.40919676,0.99572640,-0.35028909,0.48802445,-0.29295612,0.00000000,-0.00000000,0.01773774,-0.00268316,0.95313426,-0.37493914,0.07340363,-0.00976681,0.99059326,-0.49431100
-5.95197599,3.39351017,-1.41074820,2.51225144,-1.40851432,0.98306564,-0.34986122,0.48402326,-0.29790298,0.00000000,-0.00000000,0.01825864,-0.00308433,0.93522386,-0.37672950,0.07557324,-0.01094778,1.00292165,-0.49403595
-5.94597299,3.36032921,-1.43075995,2.44195109,-1.42134118,0.96662529,-0.35299466,0.47781449,-0.30476473,0.00000000,-0.00000000,0.01874941,-0.00354185,0.91345042,-0.38297487,0.07742449,-0.01232892,1.01098030,-0.49768407
-5.93996998,3.31314344,-1.46470979,2.36183499,-1.44733638,0.94644431,-0.35986282,0.46949842,-0.31338763,0.00000000,-0.00000000,0.01920707,-0.00405856,0.88798396,-0.39386404,0.07892790,-0.01391932,1.01461562,-0.50513223
