energy_ev,total_up,Al_p_up,Al_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
0.30315158,4.96495594,0.90572342,0.00000000,2.44165989,1.37295036,0.06953144,2.55098221
0.30915458,4.92895753,0.87752207,0.00000000,2.39498400,1.36749553,0.06561758,2.50156237
0.31515758,4.90183812,0.85048975,0.00000000,2.35054560,1.36298300,0.06208340,2.46051456
0.32116058,4.88352782,0.82503236,0.00000000,2.30876252,1.35930192,0.05893129,2.42813436
0.32716358,4.87377053,0.80151108,0.00000000,2.26997428,1.35631036,0.05615883,2.40460527
0.33316658,4.87213776,0.78023578,0.00000000,2.23443943,1.35384003,0.05375959,2.39000345
0.33916958,4.87804289,0.76145932,0.00000000,2.20233340,1.35170093,0.05172378,2.38430096
0.34517259,4.89075556,0.74537280,0.00000000,2.17374710,1.34968587,0.05003879,2.38736726
0.35117559,4.90941595,0.73210193,0.00000000,2.14868604,1.34757471,0.04868958,2.39896925
0.35717859,4.93304898,0.72170435,0.00000000,2.12707037,1.34513836,0.04765897,2.41877001
0.36318159,4.96057863,0.71416818,0.00000000,2.10873570,1.34214259,0.04692770,2.44632698
0.36918459,4.99084257,0.70941175,0.00000000,2.09343517,1.33835165,0.04647451,2.48109029
0.37518759,5.02260759,0.70728462,0.00000000,2.08084283,1.33353180,0.04627599,2.52240197
0.38119060,5.05458617,0.70757007,0.00000000,2.07055851,1.32745486,0.04630656,2.56949692
0.38719360,5.08545445,0.70998890,0.00000000,2.06211461,1.31990179,0.04653829,2.62150655
0.39319660,5.11387195,0.71420495,0.00000000,2.05498467,1.31066643,0.04694090,2.67746554
0.39919960,5.13850312,0.71983198,0.00000000,2.04859394,1.29955937,0.04748179,2.73632229
0.40520260,5.15804056,0.72644218,0.00000000,2.04233188,1.28641195,0.04812619,2.79695339
0.41120560,5.17122965,0.73357611,0.00000000,2.03556644,1.27108030,0.04883745,2.85818177
0.41720860,5.17689417,0.74075385,0.00000000,2.02765978,1.25344933,0.04957755,2.91879844
0.42321161,5.17396211,0.74748727,0.00000000,2.01798515,1.23343662,0.05030766,2.97758716
0.42921461,5.16149091,0.75329301,0.00000000,2.00594428,1.21099579,0.05098894,3.03335107
0.43521761,5.13869119,0.75770582,0.00000000,1.99098482,1.18611958,0.05158338,3.08494035
0.44122061,5.10494800,0.76029193,0.00000000,1.97261712,1.15884199,0.05205479,3.13127970
0.44722361,5.05983858,0.76066176,0.00000000,1.95042973,1.12923973,0.05236974,3.17139453
0.45322661,5.00314594,0.75848185,0.00000000,1.92410296,1.09743255,0.05249860,3.20443459
0.45922961,4.93486744,0.75348518,0.00000000,1.89342000,1.06358259,0.05241638,3.22969417
0.46523262,4.85521804,0.74547976,0.00000000,1.85827500,1.02789248,0.05210358,3.24662796
0.47123562,4.76462803,0.73435498,0.00000000,1.81867804,0.99060245,0.05154684,3.25486208
0.47723862,4.66373531,0.72008555,0.00000000,1.77475654,0.95198635,0.05073934,3.25420009
0.48324162,4.55337280,0.70273279,0.00000000,1.72675333,0.91234688,0.04968110,3.24462387
0.48924462,4.43455149,0.68244336,0.00000000,1.67502150,0.87201004,0.04837896,3.22628991
0.49524762,4.30844025,0.65944542,0.00000000,1.62001633,0.83131921,0.04684636,3.19952158
0.50125063,4.17634341,0.63404247,0.00000000,1.56228484,0.79062907,0.04510294,3.16479812
0.50725363,4.03967732,0.60660520,0.00000000,1.50245346,0.75029957,0.04317382,3.12274147
0.51325663,3.89994725,0.57756159,0.00000000,1.44121455,0.71069030,0.04108891,3.07410186
