energy_ev,total_up,Os_p_up,Os_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,2.62512384,0.78484203,1.29488406,0.03014068,0.69985064,0.61851033,0.00000000
-5.99399700,2.65960459,0.80660197,1.30491938,0.03043186,0.71082546,0.62242784,0.00000000
-5.98799400,2.69368847,0.82807647,1.31500203,0.03075254,0.72163923,0.62615767,0.00000000
-5.98199100,2.72702366,0.84905081,1.32501630,0.03109931,0.73221764,0.62963226,0.00000000
-5.97598799,2.75924677,0.86932390,1.33482950,0.03146743,0.74247944,0.63277945,0.00000000
-5.96998499,2.79000292,0.88871767,1.34430046,0.03185113,0.75234074,0.63552764,0.00000000
-5.96398199,2.81896480,0.90708530,1.35328805,0.03224383,0.76171951,0.63781051,0.00000000
-5.95797899,2.84584974,0.92431789,1.36165923,0.03263840,0.77054000,0.63957117,0.00000000
-5.95197599,2.87043378,0.94034908,1.36929616,0.03302741,0.77873670,0.64076546,0.00000000
-5.94597299,2.89256211,0.95515746,1.37610206,0.03340336,0.78625796,0.64136416,0.00000000
-5.93996998,2.91215530,0.96876645,1.38200562,0.03375893,0.79306871,0.64135418,0.00000000
-5.93396698,2.92921124,0.98124187,1.38696372,0.03408714,0.79915242,0.64073853,0.00000000
-5.92796398,2.94380282,0.99268714,1.39096263,0.03438153,0.80451211,0.63953530,0.00000000
-5.92196098,2.95607159,1.00323646,1.39401747,0.03463626,0.80917037,0.63777570,0.00000000
-5.91595798,2.96621804,1.01304638,1.39617044,0.03484621,0.81316841,0.63550142,0.00000000
-5.90995498,2.97448920,1.02228621,1.39748781,0.03500702,0.81656426,0.63276151,0.00000000
-5.90395198,2.98116442,1.03112786,1.39805601,0.03511511,0.81943011,0.62960905,0.00000000
-5.89794897,2.98654016,1.03973564,1.39797729,0.03516771,0.82184913,0.62609797,0.00000000
-5.89194597,2.99091493,1.04825663,1.39736500,0.03516278,0.82391178,0.62228005,0.00000000
-5.88594297,2.99457510,1.05681224,1.39633904,0.03509902,0.82571190,0.61820263,0.00000000
-5.87993997,2.99778240,1.06549124,1.39502163,0.03497584,0.82734279,0.61390688,0.00000000
-5.87393697,3.00076387,1.07434490,1.39353353,0.03479329,0.82889343,0.60942693,0.00000000
-5.86793397,3.00370454,1.08338424,1.39199109,0.03455205,0.83044510,0.60478990,0.00000000
-5.86193097,3.00674330,1.09257975,1.39050387,0.03425344,0.83206853,0.60001663,0.00000000
-5.85592796,3.00997185,1.10186344,1.38917321,0.03389937,0.83382163,0.59512328,0.00000000
-5.84992496,3.01343672,1.11113308,1.38809137,0.03349240,0.83574806,0.59012340,0.00000000
-5.84392196,3.01714398,1.12025848,1.38734137,0.03303575,0.83787645,0.58503049,0.00000000
-5.83791896,3.02106616,1.12908935,1.38699728,0.03253330,0.84022046,0.57986072,0.00000000
-5.83191596,3.02515086,1.13746428,1.38712485,0.03198971,0.84277953,0.57463561,0.00000000
-5.82591296,3.02933027,1.14522044,1.38778228,0.03141037,0.84554022,0.56938448,0.00000000
-5.81990995,3.03353108,1.15220331,1.38902098,0.03080152,0.84847807,0.56414641,0.00000000
-5.81390695,3.03768395,1.15827609,1.39088626,0.03017018,0.85155982,0.55897162,0.00000000
-5.80790395,3.04173210,1.16332809,1.39341775,0.02952421,0.85474581,0.55392206,0.00000000
-5.80190095,3.04563829,1.16728179,1.39664950,0.02887224,0.85799248,0.54907114,0.00000000
-5.79589795,3.04939009,1.17009819,1.40060979,0.02822358,0.86125473,0.54450268,0.00000000
-5.78989495,3.05300285,1.17178009,1.40532063,0.02758816,0.86448818,0.54030892,0.00000000
-5.78389195,3.05652052,1.17237325,1.41079693,0.02697631,0.86765101,0.53658784,0.00000000
-5.77788894,3.06001420,1.17196528,1.41704557,0.02639859,0.87070552,0.53343985,0.00000000
-5.77188594,3.06357865,1.17068243,1.42406423,0.02586555,0.87361930,0.53096391,0.00000000
-5.76588294,3.06732697,1.16868437,1.43184031,0.02538747,0.87636595,0.52925351,0.00000000
-5.75987994,3.07138387,1.16615728,1.44034984,0.02497401,0.87892548,0.52839239,0.00000000
-5.75387694,3.07587799,1.16330569,1.44955664,0.02463397,0.88128435,0.52845052,0.00000000
-5.74787394,3.08093368,1.16034328,1.45941161,0.02437493,0.88343524,0.52948027,0.00000000
-5.74187094,3.08666275,1.15748338,1.46985248,0.02420295,0.88537669,0.53151319,0.00000000
-5.73586793,3.09315676,1.15492950,1.48080376,0.02412231,0.88711253,0.53455734,0.00000000
-5.72986493,3.10048019,1.15286640,1.49217717,0.02413528,0.88865136,0.53859557,0.00000000
-5.72386193,3.10866497,1.15145216,1.50387249,0.02424192,0.89000591,0.54358450,0.00000000
