energy_ev,total_up,In_p_up,In_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,0.06776320,0.00457278,0.00000324,0.02108209,0.01978416,0.00019899,0.04221575
-5.99399700,0.07967269,0.00532177,0.00000440,0.02585469,0.02312953,0.00023213,0.04956419
-5.98799400,0.09312489,0.00615724,0.00000592,0.03150170,0.02687127,0.00026941,0.05783890
-5.98199100,0.10822113,0.00708380,0.00000794,0.03813349,0.03102551,0.00031116,0.06709185
-5.97598799,0.12505581,0.00810600,0.00001057,0.04586382,0.03560418,0.00035778,0.07736800
-5.96998499,0.14371535,0.00922854,0.00001400,0.05480771,0.04061458,0.00040972,0.08870421
-5.96398199,0.16427766,0.01045653,0.00001842,0.06507904,0.04605909,0.00046754,0.10112846
-5.95797899,0.18681230,0.01179582,0.00002410,0.07678784,0.05193509,0.00053192,0.11465942
-5.95197599,0.21138146,0.01325345,0.00003133,0.09003736,0.05823522,0.00060370,0.12930660
-5.94597299,0.23804170,0.01483816,0.00004048,0.10492116,0.06494782,0.00068396,0.14507098
-5.93996998,0.26684666,0.01656090,0.00005196,0.12152017,0.07205770,0.00077400,0.16194630
-5.93396698,0.29785045,0.01843545,0.00006627,0.13989999,0.07954727,0.00087545,0.17992083
-5.92796398,0.33111182,0.02047897,0.00008399,0.16010854,0.08739779,0.00099033,0.19897984
-5.92196098,0.36669875,0.02271252,0.00010575,0.18217415,0.09559093,0.00112104,0.21910836
-5.91595798,0.40469324,0.02516149,0.00013229,0.20610427,0.10411051,0.00127046,0.24029445
-5.90995498,0.44519593,0.02785587,0.00016441,0.23188487,0.11294415,0.00144198,0.26253253
-5.90395198,0.48833017,0.03083031,0.00020299,0.25948056,0.12208503,0.00163948,0.28582668
-5.89794897,0.53424501,0.03412393,0.00024897,0.28883541,0.13153344,0.00186739,0.31019367
-5.89194597,0.58311663,0.03777982,0.00030335,0.31987451,0.14129796,0.00213064,0.33566542
-5.88594297,0.63514782,0.04184421,0.00036716,0.35250602,0.15139639,0.00243459,0.36229059
-5.87993997,0.69056495,0.04636524,0.00044145,0.38662357,0.16185604,0.00278501,0.39013507
-5.87393697,0.74961219,0.05139138,0.00052723,0.42210890,0.17271342,0.00318791,0.41928112
-5.86793397,0.81254262,0.05696948,0.00062548,0.45883437,0.18401332,0.00364940,0.44982502
-5.86193097,0.87960631,0.06314248,0.00073708,0.49666506,0.19580704,0.00417554,0.48187300
-5.85592796,0.95103540,0.06994692,0.00086279,0.53546035,0.20815000,0.00477207,0.51553550
-5.84992496,1.02702646,0.07741017,0.00100317,0.57507464,0.22109861,0.00544420,0.55091991
-5.84392196,1.10772075,0.08554772,0.00115859,0.61535705,0.23470655,0.00619634,0.58812177
-5.83791896,1.19318314,0.09436047,0.00132912,0.65615010,0.24902057,0.00703177,0.62721493
-5.83191596,1.28338052,0.10383220,0.00151452,0.69728733,0.26407606,0.00795242,0.66824097
-5.82591296,1.37816102,0.11392750,0.00171422,0.73858996,0.27989247,0.00895854,0.71119837
-5.81990995,1.47723505,0.12459014,0.00192724,0.77986291,0.29646893,0.01004849,0.75603211
-5.81390695,1.58015954,0.13574212,0.00215221,0.82089042,0.31378029,0.01121850,0.80262412
-5.80790395,1.68632663,0.14728343,0.00238734,0.86143176,0.33177370,0.01246254,0.85078546
-5.80190095,1.79495784,0.15909280,0.00263043,0.90121747,0.35036625,0.01377217,0.90025064
-5.79589795,1.90510476,0.17102918,0.00287888,0.93994659,0.36944345,0.01513662,0.95067458
-5.78989495,2.01565675,0.18293428,0.00312975,0.97728549,0.38885918,0.01654276,1.00163291
-5.78389195,2.12535622,0.19463592,0.00337976,1.01286854,0.40843675,0.01797534,1.05262548
-5.77788894,2.23282114,0.20595220,0.00362541,1.04630105,0.42797142,0.01941720,1.10308357
-5.77188594,2.33657461,0.21669625,0.00386303,1.07716473,0.44723421,0.02084964,1.15238048
-5.76588294,2.43508034,0.22668157,0.00408887,1.10502546,0.46597691,0.02225279,1.19984535
-5.75987994,2.52678306,0.23572752,0.00429921,1.12944355,0.48393808,0.02360615,1.24477969
-5.75387694,2.61015213,0.24366497,0.00449044,1.14998579,0.50084990,0.02488909,1.28647606
