energy_ev,total_up,Ge_p_up,Ge_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,1.83535129,0.50417808,0.00000000,0.74856319,1.01955786,0.54107879,0.00000000
-5.99399700,1.83840262,0.49872402,0.00000000,0.72233892,1.02328186,0.55234082,0.00000000
-5.98799400,1.84912891,0.49571302,0.00000000,0.70135678,1.03099646,0.56513087,0.00000000
-5.98199100,1.86675042,0.49491650,0.00000000,0.68510511,1.04235336,0.57923171,0.00000000
-5.97598799,1.89035580,0.49606691,0.00000000,0.67301449,1.05692808,0.59439712,0.00000000
-5.96998499,1.91892827,0.49886788,0.00000000,0.66447812,1.07423208,0.61035703,0.00000000
-5.96398199,1.95137355,0.50300444,0.00000000,0.65887187,1.09372598,0.62682310,0.00000000
-5.95797899,1.98654870,0.50815323,0.00000000,0.65557349,1.11483362,0.64349483,0.00000000
-5.95197599,2.02329110,0.51399230,0.00000000,0.65398035,1.13695650,0.66006584,0.00000000
-5.94597299,2.06044711,0.52021023,0.00000000,0.65352546,1.15948844,0.67623042,0.00000000
-5.93996998,2.09689950,0.52651436,0.00000000,0.65369124,1.18183000,0.69169008,0.00000000
-5.93396698,2.13159318,0.53263797,0.00000000,0.65402086,1.20340240,0.70615999,0.00000000
-5.92796398,2.16355864,0.53834617,0.00000000,0.65412692,1.22366076,0.71937527,0.00000000
-5.92196098,2.19193260,0.54344052,0.00000000,0.65369736,1.24210612,0.73109678,0.00000000
-5.91595798,2.21597548,0.54776225,0.00000000,0.65249869,1.25829630,0.74111653,0.00000000
-5.90995498,2.23508524,0.55119413,0.00000000,0.65037638,1.27185505,0.74926236,0.00000000
-5.90395198,2.24880748,0.55366099,0.00000000,0.64725289,1.28247956,0.75540183,0.00000000
-5.89794897,2.25684142,0.55512894,0.00000000,0.64312324,1.28994595,0.75944520,0.00000000
-5.89194597,2.25904188,0.55560350,0.00000000,0.63804866,1.29411268,0.76134738,0.00000000
-5.88594297,2.25541713,0.55512669,0.00000000,0.63214851,1.29492189,0.76110871,0.00000000
-5.87993997,2.24612282,0.55377319,0.00000000,0.62559094,1.29239837,0.75877457,0.00000000
-5.87393697,2.23145212,0.55164595,0.00000000,0.61858259,1.28664655,0.75443375,0.00000000
-5.86793397,2.21182258,0.54887114,0.00000000,0.61135787,1.27784531,0.74821560,0.00000000
-5.86193097,2.18775998,0.54559288,0.00000000,0.60416812,1.26624090,0.74028601,0.00000000
-5.85592796,2.15987977,0.54196779,0.00000000,0.59727098,1.25213820,0.73084238,0.00000000
-5.84992496,2.12886679,0.53815959,0.00000000,0.59092050,1.23589068,0.72010767,0.00000000
-5.84392196,2.09545382,0.53433392,0.00000000,0.58535808,1.21788920,0.70832374,0.00000000
-5.83791896,2.06039980,0.53065354,0.00000000,0.58080459,1.19855038,0.69574422,0.00000000
-5.83191596,2.02446844,0.52727405,0.00000000,0.57745378,1.17830469,0.68262727,0.00000000
-5.82591296,1.98840785,0.52434021,0.00000000,0.57546724,1.15758483,0.66922826,0.00000000
-5.81990995,1.95293199,0.52198307,0.00000000,0.57497072,1.13681485,0.65579300,0.00000000
-5.81390695,1.91870454,0.52031781,0.00000000,0.57605206,1.11640037,0.64255136,0.00000000
-5.80790395,1.88632549,0.51944252,0.00000000,0.57876046,1.09672026,0.62971196,0.00000000
-5.80190095,1.85632112,0.51943772,0.00000000,0.58310711,1.07812002,0.61745772,0.00000000
-5.79589795,1.82913730,0.52036682,0.00000000,0.58906690,1.06090713,0.60594268,0.00000000
-5.78989495,1.80513627,0.52227720,0.00000000,0.59658121,1.04534835,0.59529007,0.00000000
-5.78389195,1.78459686,0.52520203,0.00000000,0.60556131,1.03166901,0.58559159,0.00000000
-5.77788894,1.76771763,0.52916253,0.00000000,0.61589238,1.02005412,0.57690796,0.00000000
-5.77188594,1.75462285,0.53417068,0.00000000,0.62743785,1.01065110,0.56927052,0.00000000
-5.76588294,1.74537037,0.54023194,0.00000000,0.64004380,1.00357374,0.56268384,0.00000000
-5.75987994,1.73996112,0.54734807,0.00000000,0.65354334,0.99890702,0.55712897,0.00000000
-5.75387694,1.73834935,0.55551967,0.00000000,0.66776072,0.99671248,0.55256729,0.00000000
-5.74787394,1.74045291,0.56474823,0.00000000,0.68251513,0.99703343,0.54894453,0.00000000
