energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,6.65484542,0.43304581,0.29207429,0.09626559,0.03574164,0.08988545,1.21641698,0.25523176,4.06223836
-5.99399700,6.43510522,0.45535423,0.29045124,0.09041618,0.03469849,0.09192954,1.21963825,0.24688767,3.86170707
-5.98799400,6.24686308,0.48297159,0.29139950,0.08453011,0.03388181,0.09446005,1.23185696,0.23989585,3.67567180
-5.98199100,6.09326986,0.51598215,0.29506766,0.07869825,0.03330217,0.09752940,1.25360446,0.23438369,3.50602881
-5.97598799,5.97690933,0.55438225,0.30156470,0.07300757,0.03296751,0.10117717,1.28524211,0.23045485,3.35442857
-5.96998499,5.89968797,0.59807384,0.31095465,0.06753930,0.03288290,0.10542760,1.32694166,0.22818628,3.22220821
-5.96398199,5.86274685,0.64686011,0.32325216,0.06236734,0.03305023,0.11028751,1.37866999,0.22762589,3.11033698
-5.95797899,5.86639931,0.70044347,0.33841902,0.05755714,0.03346810,0.11574483,1.44017952,0.22879121,3.01937648
-5.95197599,5.91009712,0.75842634,0.35636202,0.05316485,0.03413174,0.12176767,1.51100474,0.23166899,2.94945683
-5.94597299,5.99242637,0.82031473,0.37693235,0.04923693,0.03503309,0.12830420,1.59046549,0.23621583,2.90026934
-5.93996998,6.11113337,0.88552479,0.39992664,0.04581005,0.03616093,0.13528312,1.67767717,0.24235979,2.87107519
-5.93396698,6.26317910,0.95339221,0.42508976,0.04291126,0.03750123,0.14261503,1.77156774,0.25000294,2.86072928
-5.92796398,6.44482003,1.02318422,0.45211940,0.04055844,0.03903744,0.15019441,1.87090120,0.25902467,2.86771763
-5.92196098,6.65171163,1.09411399,0.48067231,0.03876094,0.04075102,0.15790229,1.97430662,0.26928564,2.89020619
-5.91595798,6.87903015,1.16535668,0.51037214,0.03752029,0.04262186,0.16560946,2.08031197,0.28063220,2.92609873
-5.90995498,7.12160755,1.23606698,0.54081856,0.03683104,0.04462884,0.17318016,2.18738133,0.29290098,2.97310099
-5.90395198,7.37407406,1.30539710,0.57159746,0.03668156,0.04675034,0.18047607,2.29395410,0.30592342,3.02878823
-5.89794897,7.63100249,1.37251485,0.60229173,0.03705486,0.04896466,0.18736038,2.39848475,0.31953015,3.09067359
-5.89194597,7.88704887,1.43662107,0.63249245,0.03792935,0.05125043,0.19370201,2.49948154,0.33355481,3.15627440
-5.88594297,8.13708410,1.49696570,0.66180983,0.03927943,0.05358691,0.19937945,2.59554271,0.34783728,3.22317417
-5.87993997,8.37631223,1.55286211,0.68988376,0.04107613,0.05595417,0.20428447,2.68538890,0.36222613,3.28907832
-5.87393697,8.60037143,1.60369918,0.71639329,0.04328754,0.05833317,0.20832526,2.76789062,0.37658026,3.35186197
-5.86793397,8.80541531,1.64895076,0.74106495,0.04587918,0.06070571,0.21142899,2.84208997,0.39076959,3.40960872
-5.86193097,8.98817268,1.68818251,0.76367948,0.04881437,0.06305432,0.21354378,2.90721601,0.40467506,3.46063995
-5.85592796,9.14598550,1.72105595,0.78407681,0.05205445,0.06536199,0.21463987,2.96269375,0.41818777,3.50353437
-5.84992496,9.27682542,1.74732979,0.80215904,0.05555903,0.06761196,0.21471012,3.00814663,0.43120770,3.53713821
-5.84392196,9.37929047,1.76685899,0.81789157,0.05928625,0.06978739,0.21376972,3.04339312,0.44364192,3.56056678
