energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,8.84480384,0.78112636,0.64061618,0.01608548,2.67767818,0.04081302,2.61492803,3.33622737,2.32792632
-5.99399700,8.87949583,0.77201021,0.63815479,0.01633826,2.70608851,0.04148780,2.60512217,3.37035830,2.35310108
-5.98799400,8.89232561,0.76113649,0.63402988,0.01657355,2.72783264,0.04225192,2.58783900,3.39322415,2.37071155
-5.98199100,8.88368638,0.74891511,0.62843549,0.01679304,2.74243664,0.04311949,2.56391172,3.40455799,2.38035091
-5.97598799,8.85436905,0.73579792,0.62159396,0.01699870,2.74955168,0.04410406,2.53429967,3.40428806,2.38174556
-5.96998499,8.80556226,0.72226614,0.61374880,0.01719275,2.74897765,0.04521802,2.50005865,3.39255069,2.37477304
-5.96398199,8.73883735,0.70881656,0.60515692,0.01737754,2.74068133,0.04647207,2.46230775,3.36969666,2.35947491
-5.95797899,8.65611723,0.69594694,0.59608033,0.01755549,2.72480752,0.04787460,2.42219409,3.33628996,2.33606346
-5.95197599,8.55962916,0.68414102,0.58677767,0.01772889,2.70168226,0.04943125,2.38085643,3.29309865,2.30492162
-5.94597299,8.45184232,0.67385368,0.57749587,0.01789983,2.67180754,0.05114436,2.33938919,3.24107737,2.26659577
-5.93996998,8.33539200,0.66549673,0.56846228,0.01807000,2.63584738,0.05301263,2.29880814,3.18134202,2.22178142
-5.93396698,8.21299331,0.65942594,0.55987747,0.01824059,2.59460579,0.05503085,2.26001913,3.11513725,2.17130244
-5.92796398,8.08734784,0.65592960,0.55190912,0.01841213,2.54899742,0.05718975,2.22379116,3.04379795,2.11608445
-5.92196098,7.96104769,0.65521933,0.54468721,0.01858440,2.50001241,0.05947598,2.19073487,2.96870633,2.05712371
-5.91595798,7.83648152,0.65742339,0.53830066,0.01875637,2.44867705,0.06187235,2.16128740,2.89124646,1.99545299
-5.90995498,7.71574729,0.66258285,0.53279562,0.01892610,2.39601239,0.06435811,2.13570438,2.81275837,1.93210593
-5.90395198,7.60057655,0.67065088,0.52817552,0.01909080,2.34299290,0.06690950,2.11405926,2.73449379,1.86808179
-5.89794897,7.49227419,0.68149521,0.52440289,0.01924683,2.29050741,0.06950039,2.09625028,2.65757584,1.80431216
-5.89194597,7.39167736,0.69490389,0.52140272,0.01938982,2.23932437,0.07210312,2.08201451,2.58296441,1.74163135
-5.88594297,7.29913585,0.71059391,0.51906754,0.01951479,2.19006333,0.07468935,2.07094857,2.51142915,1.68075180
-5.87993997,7.21451520,0.72822273,0.51726363,0.01961634,2.14317397,0.07723112,2.06253488,2.44353109,1.62224555
