energy_ev,total_up,Bi_p_up,Bi_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,2.48692680,0.39956242,0.00388265,0.05980141,1.33310709,0.90706245,0.82355315
-5.99399700,2.67378541,0.43608431,0.00421349,0.06507144,1.42563896,0.96826738,0.88632027
-5.98799400,2.86472595,0.47429624,0.00455462,0.07047076,1.51934316,1.02958420,0.95045041
-5.98199100,3.05882288,0.51404393,0.00490398,0.07596024,1.61377696,1.09065798,1.01562784
-5.97598799,3.25506274,0.55513269,0.00525918,0.08149771,1.70848203,1.15113659,1.08151334
-5.96998499,3.45235146,0.59732647,0.00561750,0.08703888,1.80298946,1.21067522,1.14774840
-5.96398199,3.64952427,0.64034811,0.00597596,0.09253825,1.89682515,1.26894040,1.21396000
-5.95797899,3.84535846,0.68388103,0.00633131,0.09795027,1.98951556,1.32561348,1.27976611
-5.95197599,4.03858878,0.72757233,0.00668010,0.10323038,2.08059359,1.38039354,1.34478158
-5.94597299,4.22792513,0.77103742,0.00701875,0.10833618,2.16960444,1.43299964,1.40862428
-5.93996998,4.41207233,0.81386608,0.00734357,0.11322843,2.25611123,1.48317258,1.47092130
-5.93396698,4.58975123,0.85562989,0.00765091,0.11787211,2.33970021,1.53067613,1.53131492
-5.92796398,4.75972057,0.89589086,0.00793717,0.12223723,2.41998525,1.57529790,1.58946809
-5.92196098,4.92079894,0.93421087,0.00819896,0.12629947,2.49661154,1.61684991,1.64506926
-5.91595798,5.07188598,0.97016185,0.00843314,0.13004077,2.56925826,1.65516918,1.69783630
-5.90995498,5.21198227,1.00333614,0.00863694,0.13344953,2.63764026,1.69011830,1.74751948
-5.90395198,5.34020722,1.03335682,0.00880803,0.13652072,2.70150867,1.72158628,1.79390339
-5.89794897,5.45581449,1.05988764,0.00894458,0.13925573,2.76065064,1.74948981,1.83680774
-5.89194597,5.55820461,1.08264203,0.00904538,0.14166207,2.81488831,1.77377492,1.87608731
-5.88594297,5.64693463,1.10139121,0.00910983,0.14375285,2.86407729,1.79441926,1.91163102
-5.87993997,5.72172474,1.11597081,0.00913798,0.14554614,2.90810495,1.81143487,1.94336045
-5.87393697,5.78246200,1.12628601,0.00913061,0.14706429,2.94688883,1.82487139,1.97122797
-5.86793397,5.82920130,1.13231501,0.00908912,0.14833307,2.98037544,1.83481953,1.99521476
-5.86193097,5.86216391,1.13411068,0.00901563,0.14938091,3.00853969,1.84141469,2.01532898
-5.85592796,5.88173383,1.13180051,0.00891282,0.15023805,3.03138521,1.84484027,2.03160425
-5.84992496,5.88845214,1.12558479,0.00878397,0.15093577,3.04894541,1.84533039,2.04409854
-5.84392196,5.88300967,1.11573321,0.00863284,0.15150564,3.06128555,1.84317175,2.05289364
-5.83791896,5.86623786,1.10257987,0.00846360,0.15197887,3.06850528,1.83870400,2.05809511
-5.83191596,5.83909811,1.08651699,0.00828073,0.15238569,3.07074166,1.83231860,2.05983259
-5.82591296,5.80266921,1.06798744,0.00808894,0.15275480,3.06817217,1.82445551,2.05826039
-5.81990995,5.75813293,1.04747620,0.00789303,0.15311288,3.06101726,1.81559776,2.05355802
-5.81390695,5.70675761,1.02550101,0.00769781,0.15348419,3.04954198,1.80626367,2.04593049
-5.80790395,5.64987946,1.00260238,0.00750800,0.15389010,3.03405638,1.79699672,2.03560805
-5.80190095,5.58888165,0.97933308,0.00732811,0.15434877,3.01491421,1.78835328,2.02284517
-5.79589795,5.52517126,0.95624739,0.00716238,0.15487476,2.99250964,1.78088853,2.00791852
-5.78989495,5.46015426,0.93389019,0.00701464,0.15547877,2.96727205,1.77514096,1.99112387
-5.78389195,5.39520902,0.91278622,0.00688831,0.15616731,2.93965875,1.77161603,1.97277190
-5.77788894,5.33165898,0.89342958,0.00678627,0.15694250,2.91014600,1.77076975,1.95318291
-5.77188594,5.27074527,0.87627387,0.00671086,0.15780190,2.87921851,1.77299282,1.93268072
-5.76588294,5.21360032,0.86172303,0.00666382,0.15873849,2.84735818,1.77859616,1.91158588
-5.75987994,5.16122351,0.85012325,0.00664629,0.15974068,2.81503235,1.78779859,1.89020871
-5.75387694,5.11445992,0.84175613,0.00665878,0.16079254,2.78268255,1.80071726,1.86884235
-5.74787394,5.07398338,0.83683341,0.00670120,0.16187415,2.75071406,1.81736148,1.84775637
-5.74187094,5.04028454,0.83549328,0.00677287,0.16296210,2.71948717,1.83763032,1.82719122
