energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,2.97404128,0.59737230,0.28707457,0.02248062,0.10581824,0.08216650,1.61109072
-5.99399700,3.11670594,0.61792994,0.30006734,0.02351530,0.10996121,0.08304597,1.68731850
-5.98799400,3.25918398,0.63789471,0.31330834,0.02456288,0.11409125,0.08362844,1.76293109
-5.98199100,3.40134397,0.65734510,0.32683561,0.02562187,0.11822053,0.08393583,1.83782924
-5.97598799,3.54299220,0.67635977,0.34067459,0.02668927,0.12235832,0.08399438,1.91189636
-5.96998499,3.68383674,0.69500792,0.35483257,0.02776038,0.12650918,0.08383333,1.98498101
-5.96398199,3.82345350,0.71333965,0.36929365,0.02882856,0.13067118,0.08348345,2.05687986
-5.95797899,3.96125668,0.73137694,0.38401447,0.02988518,0.13483444,0.08297562,2.12732219
-5.95197599,4.09647629,0.74910580,0.39892106,0.03091968,0.13897997,0.08233941,2.19595739
-5.94597299,4.22814482,0.76647013,0.41390710,0.03191970,0.14307895,0.08160185,2.26234654
-5.93996998,4.35509502,0.78336776,0.42883378,0.03287135,0.14709247,0.08078632,2.32595917
-5.93396698,4.47597020,0.79964908,0.44353152,0.03375965,0.15097190,0.07991175,2.38617594
-5.92796398,4.58924770,0.81511841,0.45780338,0.03456898,0.15465974,0.07899206,2.44229793
-5.92196098,4.69327554,0.82953826,0.47143041,0.03528373,0.15809107,0.07803596,2.49356242
-5.91595798,4.78632158,0.84263639,0.48417858,0.03588892,0.16119554,0.07704701,2.53916520
-5.90995498,4.86663352,0.85411551,0.49580715,0.03637096,0.16389970,0.07602404,2.57828865
-5.90395198,4.93250759,0.86366508,0.50607813,0.03671829,0.16612979,0.07496179,2.61013460
-5.89794897,4.98236300,0.87097489,0.51476653,0.03692214,0.16781462,0.07385185,2.63396067
-5.89194597,5.01481872,0.87574964,0.52167072,0.03697713,0.16888859,0.07268375,2.64911838
-5.88594297,5.02876902,0.87772393,0.52662262,0.03688181,0.16929464,0.07144615,2.65509128
-5.87993997,5.02345377,0.87667677,0.52949720,0.03663912,0.16898697,0.07012809,2.65153106
-5.87393697,4.99851979,0.87244507,0.53022065,0.03625667,0.16793337,0.06872027,2.63828974
-5.86793397,4.95406984,0.86493513,0.52877698,0.03574685,0.16611712,0.06721613,2.61544600
-5.86193097,4.89069608,0.85413180,0.52521245,0.03512685,0.16353829,0.06561287,2.58332405
-5.85592796,4.80949574,0.84010451,0.51963785,0.03441842,0.16021445,0.06391222,2.54250365
-5.84992496,4.71206726,0.82300998,0.51222806,0.03364748,0.15618058,0.06212096,2.49382015
-5.84392196,4.60048636,0.80309134,0.50321909,0.03284358,0.15148844,0.06025117,2.43835420
-5.83791896,4.47726204,0.78067353,0.49290258,0.03203921,0.14620520,0.05832016,2.37741088
-5.83191596,4.34527365,0.75615531,0.48161776,0.03126897,0.14041149,0.05635012,2.31248864
-5.82591296,4.20769116,0.72999792,0.46974135,0.03056858,0.13419892,0.05436750,2.24523904
-5.81990995,4.06788122,0.70271105,0.45767559,0.02997387,0.12766731,0.05240214,2.17741848
-5.81390695,3.92930257,0.67483658,0.44583489,0.02951973,0.12092151,0.05048616,2.11083365
-5.80790395,3.79539467,0.64693085,0.43463162,0.02923894,0.11406816,0.04865272,2.04728289
-5.80190095,3.66946399,0.61954610,0.42446162,0.02916109,0.10721247,0.04693470,1.98849538
-5.79589795,3.55457214,0.59321191,0.41568987,0.02931157,0.10045510,0.04536333,1.93607091
-5.78989495,3.45343059,0.56841742,0.40863698,0.02971053,0.09388927,0.04396682,1.89142237
-5.78389195,3.36830592,0.54559497,0.40356711,0.03037210,0.08759833,0.04276914,1.85572354
-5.77788894,3.30093944,0.52510595,0.40067763,0.03130363,0.08165361,0.04178890,1.82986415
-5.77188594,3.25248466,0.50722921,0.40009106,0.03250515,0.07611297,0.04103852,1.81441427
-5.76588294,3.22346496,0.49215266,0.40184972,0.03396912,0.07101971,0.04052354,1.80959968
-5.75987994,3.21375346,0.47996830,0.40591317,0.03568024,0.06640217,0.04024229,1.81528918
-5.75387694,3.22257609,0.47067069,0.41215867,0.03761568,0.06227378,0.04018585,1.83099478
-5.74787394,3.24853792,0.46415915,0.42038480,0.03974541,0.05863367,0.04033829,1.85588491
-5.74187094,3.28967207,0.46024332,0.43031794,0.04203292,0.05546775,0.04067727,1.88881039
-5.73586793,3.34350949,0.45865195,0.44162160,0.04443608,0.05275010,0.04117487,1.92834227
